path,ko_current,ja_value,proposed_ko,source,ns
ruleEnginePage.wms.tabLot,ロット/消費期限,ロット/消費期限,로트/유통기한,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.tabInvoice,インボイス,インボイス,인보이스,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.tabBundle,バンドル/BOM,バンドル/BOM,번들/BOM,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.tabPicking,ピッキング/梱包,ピッキング/梱包,피킹/포장,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.wmsHeroDesc,倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理,倉庫登録 · 入出庫 · 在庫管理 · バンドル · 宅配/特送 · コマーシャルインボイス管理,창고 등록 · 입출고 · 재고 관리 · 번들 · 택배/특송 · 상업 송장 관리,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.ioDemoMsg,📌 体験モード: 実際の入出庫は登録されません。,📌 体験モード: 実際の入出庫は登録されません。,📌 체험 모드: 실제 입출고는 등록되지 않습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.ioSkuRequired,SKUと数量は必須です。,SKUと数量は必須です。,SKU와 수량은 필수입니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.invLowOnly,⚠️ 不足商品のみ,⚠️ 不足商品のみ,⚠️ 부족 상품만,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.invNoResult,🔍 検索結果がありません。,🔍 検索結果がありません。,🔍 검색 결과가 없습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.invOutOfStock,📛 品切れ,📛 品切れ,📛 품절,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.invDemoAdj,📌 体験: 在庫調整は適用されません。,📌 体験: 在庫調整は適用されません。,📌 체험: 재고 조정은 적용되지 않습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.bdlTitle,📦 バンドル・キット BOM管理,📦 バンドル・キット BOM管理,📦 번들·키트 BOM 관리,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.supNameRequired,会社名とコードは必須です。,会社名とコードは必須です。,회사명과 코드는 필수입니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.auditTitle,📋 棚卸し,📋 棚卸し,📋 재고 조사,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.trackTitle,🔍 リアルタイム配送追跡,🔍 リアルタイム配送追跡,🔍 실시간 배송 추적,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.trackDesc,宅配社APIで配送状態をリアルタイム照会,宅配社APIで配送状態をリアルタイム照会,택배사 API로 배송 상태 실시간 조회,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.trackNumRequired,送り状番号を入力してください。,送り状番号を入力してください。,운송장 번호를 입력해주세요.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideStep9Title,プロモカレンダー,プロモカレンダー,프로모션 캘린더,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideStep9Desc,プロモーション価格イベントを計画・予約します。,プロモーション価格イベントを計画・予約します。,프로모션 가격 이벤트를 계획하고 예약합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideStep10Title,レビュー＆適用,レビュー＆適用,검토 & 적용,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideStep10Desc,サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。,サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。,요약 탭에서 최적화 결과를 검토합니다. 카탈로그 동기화를 통해 추천 가격을 채널에 실시간으로 적용합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideStep11Title,コマーシャルインボイス,コマーシャルインボイス,상업 송장,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideStep11Desc,国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。,国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。,"국제 배송용 세관 송장을 INCOTERMS, HS 코드, 다중 통화 기준으로 자동 생성합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideStep12Title,バンドル/キットBOM,バンドル/キットBOM,번들/키트 BOM,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideStep12Desc,BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,BOM(부품표)으로 상품 번들을 생성합니다. 구성품 재고를 추적하고 번들 세트 조립/출고를 관리합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideStep13Desc,連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。,連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。,"연락처, 지급 조건, 리드타임, 평가 정보를 기준으로 공급사를 등록·관리합니다. 공급사별 발주 이력을 추적합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideStep14Desc,実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。,実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。,실사 재고 조사를 진행합니다. 장부 재고와 실물을 비교해 차이를 식별하고 차이 보고서를 생성합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabWhDesc,倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。,倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。,"창고를 등록하고 보관 유형을 설정하며, 접근 권한을 관리하고 시설별 재고 수준을 모니터링합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabInOutDesc,タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。,タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。,"유형 분류, 참조 번호, 실시간 감사 추적 로깅으로 전체 재고 이동을 기록합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideTabInvDesc,不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。,不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。,"재고 부족 알림, CSV 가져오기/내보내기, 바코드 스캔으로 전체 창고의 통합 재고를 확인합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabRecvDesc,入庫発注を追跡し、入庫確認すると在庫が自動更新されます。,入庫発注を追跡し、入庫確認すると在庫が自動更新されます。,입고 발주를 추적하고 입고 확인 시 재고가 자동으로 업데이트됩니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabPickDesc,出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。,出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。,출고 승인 워크플로우로 피킹 리스트를 처리하고 패킹 슬립을 인쇄하며 처리 현황을 추적합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabLotDesc,期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。,期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。,유통기한 임박 상품 자동 알림으로 로트 번호와 유통기한을 관리합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabReplDesc,再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。,再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。,재주문 시점을 자동 감지하고 안전 재고 기준 추천 수량으로 발주서를 생성합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabCombDesc,コスト最適化と追跡のため複数注文を単一配送に統合します。,コスト最適化と追跡のため複数注文を単一配送に統合します。,비용 최적화와 추적 관리를 위해 여러 주문을 하나의 배송으로 통합합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideTabCarrDesc,配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。,配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。,배송업체를 등록하고 API 연결을 테스트하며 국내외 배송 파트너를 관리합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabTrackDesc,配送業者APIによるリアルタイム配送追跡とタイムライン可視化。,配送業者APIによるリアルタイム配送追跡とタイムライン可視化。,배송업체 API를 통한 실시간 배송 추적 및 타임라인 시각화,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.guideTabInvcDesc,INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,"INCOTERMS, HS 코드, 환율을 기준으로 세관용 상업 송장을 생성합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideTabBdlDesc,BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,BOM으로 상품 키트를 생성하고 구성품 재고를 추적하며 번들 조립/출고를 관리합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideTabSupDesc,サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。,サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。,"공급사 정보, 지급 조건, 리드타임, 발주 이력을 관리합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.wms.guideTabAuditDesc,帳簿対実物比較と差異報告による実地棚卸。,帳簿対実物比較と差異報告による実地棚卸。,"장부 재고와 실물 비교, 차이 보고를 통한 실사 재고 조사",b8_batch_10,ruleEnginePage
ruleEnginePage.wms.ioBulkTitle,入出庫一括アップロード,入出庫一括アップロード,입출고 일괄 업로드,b8_batch_10,ruleEnginePage
ruleEnginePage.wms.ioBulkInfo,Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,Excel(.xlsx) 또는 CSV 파일을 업로드해 입출고 기록을 일괄 등록합니다. 샘플 파일을 다운로드해 양식을 확인해주세요.,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.ioBulkSampleBtn,サンプルDL,サンプルDL,샘플 다운로드,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.ioBulkSelectBtn,ファイル選択,ファイル選択,파일 선택,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.ioBulkDone,{n}件が正常に登録されました！,{n}件が正常に登録されました！,{n}건이 정상적으로 등록되었습니다!,b8_batch_09,ruleEnginePage
ruleEnginePage.wms.bulkXlsxError,Excelファイルの解析に失敗しました。書式を確認してください。,Excelファイルの解析に失敗しました。書式を確認してください。,Excel 파일 분석에 실패했습니다. 파일 양식을 확인해주세요.,b8_batch_09,ruleEnginePage
ruleEnginePage.dash.chTrendKpi,チャネル成果推移,チャネル成果推移,채널 성과 추이,b8_batch_09,ruleEnginePage
ruleEnginePage.dash.KRChannel,KRチャネル,KRチャネル,KR 채널,b8_batch_09,ruleEnginePage
ruleEnginePage.dash.chTrend,チャネルトレンド,チャネルトレンド,채널 트렌드,b8_batch_09,ruleEnginePage
ruleEnginePage.dash.allChSummary,全チャネルサマリー,全チャネルサマリー,전체 채널 요약,b8_batch_10,ruleEnginePage
ruleEnginePage.dash.genderDist,性別・年齢分布,性別・年齢分布,성별·연령 분포,b8_batch_10,ruleEnginePage
ruleEnginePage.dash.channelMix,チャネル売上ミックス,チャネル売上ミックス,채널 매출 믹스,b8_batch_09,ruleEnginePage
ruleEnginePage.dash.liveActivity,リアルタイム活動,リアルタイム活動,실시간 활동,b8_batch_10,ruleEnginePage
ruleEnginePage.dash.moduleShortcuts,モジュールショートカット,モジュールショートカット,모듈 바로가기,b8_batch_10,ruleEnginePage
ruleEnginePage.dash.analyticsModules,分析モジュール,分析モジュール,분석 모듈,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.todayChecklist,今日のチェックリスト,今日のチェックリスト,오늘의 체크리스트,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.priorityActions,優先アクション,優先アクション,우선 조치,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.executionFeed,実行フィード,実行フィード,실행 피드,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.noActions,アクション不要,アクション不要,조치 불필요,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.hubTitle,⚡ オペレーションハブ,⚡ オペレーションハブ,⚡ 운영 허브,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.tabCampaigns,📣 広告キャンペーン,📣 広告キャンペーン,📣 광고 캠페인,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.goalType,目標タイプ,目標タイプ,목표 유형,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.applyChange,変更を適用,変更を適用,변경 사항 적용,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.searchProduct,商品名・SKU検索...,商品名・SKU検索...,상품명·SKU 검색...,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.couponCode,クーポンコード,クーポンコード,쿠폰 코드,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.priceApply,💹 価格変更を適用,💹 価格変更を適用,💹 가격 변경 적용,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.statusSoldout,売り切れ,売り切れ,품절,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.viewProductList,商品リストを表示,商品リストを表示,상품 목록 표시,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.costPriceMargin,原価マージン,原価マージン,원가 마진,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.tabInfluencer,🤝 インフルエンサー,🤝 インフルエンサー,🤝 인플루언서,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.heroDesc,クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。,クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。,쿠폰/프로모션 운영과 AI 광고 마케팅 디자인 생성을 한 화면에서 관리합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.tabProductsDesc,登録・編集・停止・価格・在庫・プロモ,登録・編集・停止・価格・在庫・プロモ,등록·편집·중지·가격·재고·프로모션,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.tabCampaignsDesc,作成・クリエイティブ・予算・入札,作成・クリエイティブ・予算・入札,생성·크리에이티브·예산·입찰,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.tabPromo,🎁 クーポン/ディール/プロモ,🎁 クーポン/ディール/プロモ,🎁 쿠폰/딜/프로모션,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.tabPromoDesc,クーポン作成・ディール管理,クーポン作成・ディール管理,쿠폰 생성·딜 관리,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.tabInfluencerDesc,オファー・契約・e-Sign・決済,オファー・契約・e-Sign・決済,오퍼·계약·e-Sign·결제,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.costMargin,原価/マージン,原価/マージン,원가/마진,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.downloadExcel,📥 Excelダウンロード,📥 Excelダウンロード,📥 Excel 다운로드,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.noProducts,登録された商品はありません。商品を登録してください。,登録された商品はありません。商品を登録してください。,등록된 상품이 없습니다. 상품을 등록해주세요.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.colChannelReg,チャネル登録状況,チャネル登録状況,채널 등록 현황,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.colMarginAmt,マージン(円),マージン(円),마진(엔),b8_batch_10,ruleEnginePage
ruleEnginePage.operations.colMargin,マージン(%),マージン(%),마진율(%),b8_batch_10,ruleEnginePage
ruleEnginePage.operations.colChannels,チャネル数,チャネル数,채널 수,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.btnPromo,🎁 プロモ,🎁 プロモ,🎁 프로모션,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.modalPromo,🎁 プロモーション設定,🎁 プロモーション設定,🎁 프로모션 설정,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.fieldChannels,販売チャネル,販売チャネル,판매 채널,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.btnApplyPromo,🎁 プロモ適用,🎁 プロモ適用,🎁 프로모션 적용,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.fbUpdated,商品情報が更新されました。,商品情報が更新されました。,상품 정보가 업데이트되었습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.campaigns,件のキャンペーン,件のキャンペーン,건의 캠페인,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.noCampaigns,登録されたキャンペーンはありません。,登録されたキャンペーンはありません。,등록된 캠페인이 없습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.budgetBid,予算・入札,予算・入札,예산·입찰,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.newCampaign,新規キャンペーン作成,新規キャンペーン作成,새 캠페인 생성,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.promotions,件のプロモーション,件のプロモーション,건의 프로모션,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.createPromo,プロモーション作成,プロモーション作成,프로모션 생성,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.noPromos,登録されたプロモーションはありません。,登録されたプロモーションはありません。,등록된 프로모션이 없습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.newPromo,新規プロモーション作成,新規プロモーション作成,새 프로모션 생성,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.promoName,プロモーション名,プロモーション名,프로모션명,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.influencers,名のインフルエンサー,名のインフルエンサー,명의 인플루언서,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.noInfluencers,登録されたインフルエンサーはいません。,登録されたインフルエンサーはいません。,등록된 인플루언서가 없습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.guideTipTitle,活用ティップ,活用ティップ,활용 팁,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.guideTipDesc,プロモーションとAIデザインを組み合わせて活用しましょう。,プロモーションとAIデザインを組み合わせて活用しましょう。,프로모션과 AI 디자인을 함께 활용해보세요.,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.tabCreativeDesc,AI広告デザイン・画像生成・アップロード,AI広告デザイン・画像生成・アップロード,AI 광고 디자인·이미지 생성·업로드,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_creatives,件のクリエイティブ,件のクリエイティブ,건의 크리에이티브,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_createDesign,AI広告デザイン作成,AI広告デザイン作成,AI 광고 디자인 생성,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_adTitlePh,プロモーションタイトルを入力,プロモーションタイトルを入力,프로모션 제목 입력,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_sale,セール/割引,セール/割引,세일/할인,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_seasonal,シーズンプロモ,シーズンプロモ,시즌 프로모션,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_brand,ブランドキャンペーン,ブランドキャンペーン,브랜드 캠페인,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_descPh,広告内容を簡単に入力,広告内容を簡単に入力,광고 내용을 간단히 입력,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_customPrompt,カスタムイメージプロンプト,カスタムイメージプロンプト,커스텀 이미지 프롬프트,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_customPromptPh,希望のイメージスタイルを入力,希望のイメージスタイルを入力,원하는 이미지 스타일 입력,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_customPromptHelp,空白の場合、タイトル/イベント/季節から自動生成,空白の場合、タイトル/イベント/季節から自動生成,공란일 경우 제목/이벤트/시즌을 기준으로 자동 생성,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_addLinkUrl,ショートカットURLリンク追加,ショートカットURLリンク追加,단축 URL 링크 추가,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_saveCreative,クリエイティブ保存,クリエイティブ保存,크리에이티브 저장,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_goNow,今すぐ行く,今すぐ行く,지금 이동,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_emptyTitle,AI広告デザインを作成しましょう,AI広告デザインを作成しましょう,AI 광고 디자인을 만들어보세요,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_emptyDesc,プラットフォーム別広告画像をAIで自動生成またはアップロード,プラットフォーム別広告画像をAIで自動生成またはアップロード,플랫폼별 광고 이미지를 AI로 자동 생성하거나 업로드,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_forPlatform,プラットフォーム用,プラットフォーム用,플랫폼용,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_cat_fashion,ファッション,ファッション,패션,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_cat_beauty,ビューティー,ビューティー,뷰티,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_cat_tech,テクノロジー,テクノロジー,테크놀로지,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_editDesign,デザイン編集,デザイン編集,디자인 편집,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_changeImageTitle,画像変更リクエスト,画像変更リクエスト,이미지 변경 요청,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_changeImagePh,例: 「冬のテーマにして」「食べ物の写真を追加」,例: 「冬のテーマにして」「食べ物の写真を追加」,"예: ‘겨울 테마로 변경’, ‘음식 사진 추가’",b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_changeImageHelp,希望のイメージスタイルを入力すると、それに合わせて再生成されます。,希望のイメージスタイルを入力すると、それに合わせて再生成されます。,원하는 이미지 스타일을 입력하면 해당 스타일에 맞춰 다시 생성됩니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_applyCampaign,🚀 キャンペーンに適用,🚀 キャンペーンに適用,🚀 캠페인에 적용,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_confirmDelete,このクリエイティブを削除しますか？,このクリエイティブを削除しますか？,이 크리에이티브를 삭제하시겠습니까?,b8_batch_09,ruleEnginePage
ruleEnginePage.operations.ai_dupWarningTitle,同一のクリエイティブが既に存在します,同一のクリエイティブが既に存在します,동일한 크리에이티브가 이미 존재합니다,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_dupWarningDesc,同じクリエイティブがサーバーに保存されています。,同じクリエイティブがサーバーに保存されています。,동일한 크리에이티브가 서버에 저장되어 있습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.operations.ai_serverSynced,サーバー同期完了,サーバー同期完了,서버 동기화 완료,b8_batch_09,ruleEnginePage
ruleEnginePage.gNav.adAnalytics,広告·チャネル分析,広告·チャネル分析,광고·채널 분석,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.crm,顧客・CRM,顧客・CRM,고객·CRM,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.automation,自動化・AIルール,自動化・AIルール,자동화·AI 규칙,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.data,データ・収集,データ・収集,데이터·수집,b8_batch_09,ruleEnginePage
ruleEnginePage.gNav.memberTools,メンバーツール,メンバーツール,멤버 도구,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.adPerformance,広告パフォーマンス,広告パフォーマンス,광고 성과,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.accountPerformance,アカウントパフォーマンス,アカウントパフォーマンス,계정 성과,b8_batch_09,ruleEnginePage
ruleEnginePage.gNav.emailMarketing,Eメールマーケティング,Eメールマーケティング,이메일 마케팅,b8_batch_09,ruleEnginePage
ruleEnginePage.gNav.influencer,インフルエンサー・UGC,インフルエンサー・UGC,인플루언서·UGC,b8_batch_09,ruleEnginePage
ruleEnginePage.gNav.reviewsUgc,レビュー·UGC,レビュー·UGC,리뷰·UGC,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.orderHub,注文センター,注文センター,주문 센터,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.supplyChain,サプライチェーン分析,サプライチェーン分析,공급망 분석,b8_batch_09,ruleEnginePage
ruleEnginePage.gNav.returnsPortal,返品ポータル,返品ポータル,반품 포털,b8_batch_10,ruleEnginePage
ruleEnginePage.gNav.dataProduct,データプロダクト,データプロダクト,데이터 프로덕트,b8_batch_09,ruleEnginePage
