rank,ja_value,count,sample_path,sample_ns,proposed_ko
152,🎨 AI広告クリエイティブ生成スタジオ,3,pages.perms.menu.marketingIntel.adCreativeTitle,pages,
153,🎨 クリエイティブ,3,crm.aiHub.crm.email.tabCreative,crm,
154,🎨 クリエイティブスタイル,3,pages.perms.menu.marketingIntel.adStyle,pages,
155,🎨 生成された広告素材,3,pages.perms.menu.marketingIntel.adResult,pages,
156,🎯 ターゲット,3,pages.perms.menu.marketingIntel.adTarget,pages,
157,🏆 チャネル総合貢献度スコア (20項目加重合算),3,pages.perms.menu.marketingIntel.kpiTotal,pages,
158,📊 流入・転換分析,3,pages.perms.menu.marketingIntel.tabFunnel,pages,
159,📋 20項目標準評価指標詳細 (チャネル別),3,pages.perms.menu.marketingIntel.kpiTable,pages,
160,📋 コピー,3,pages.perms.menu.marketingIntel.adCopy,pages,
161,📐 広告サイズ,3,pages.perms.menu.marketingIntel.adSize,pages,
162,📖 利用ガイド,3,ruleEnginePage.marketing.guideTabGuideName,ruleEnginePage,
163,📜 自動化実行ログ,3,pages.perms.menu.marketingIntel.execLog,pages,
164,📢 広告プラットフォーム選択,3,pages.perms.menu.marketingIntel.adPlatform,pages,
165,📣 CTAボタン,3,pages.perms.menu.marketingIntel.adCta,pages,
166,📣 チャネル別流入・転換詳細 (クリックで展開),3,pages.perms.menu.marketingIntel.channelDetail,pages,
167,🔑 キーワード,3,pages.perms.menu.marketingIntel.adKeyword,pages,
168,🔽 全体マーケティングファネル (4チャネル統合),3,pages.perms.menu.marketingIntel.funnelTotal,pages,
169,🕸️ モデル比較,3,attribution.modelCompare,attribution,
170,🛡️ ポリシー,3,crm.email.aiPolicy.tabPolicies,crm,
171,🤖 AIが広告素材を生成中…,3,pages.perms.menu.marketingIntel.adGenerating,pages,
172,🤖 AI推薦エンジン,3,pages.perms.menu.marketingIntel.tabAi,pages,
173,🤖 Claude AI マーケティング推薦エンジン,3,pages.perms.menu.marketingIntel.aiEngine,pages,
174,🤝 インフルエンサーキャンペーン流入・転換,3,pages.perms.menu.marketingIntel.infFunnel,pages,
175,🧠 マーケティングインテリジェンス,3,pages.perms.menu.marketingIntel.pageTitle,pages,
176,+ インポート,2,ruleEnginePage.super.importBtn,ruleEnginePage,
177,100+システム統合対応,2,pages.marketingIntel.onboarding.kpiConnector,pages,
178,12時間ごと,2,crm.email.catalogSync.schedFreq12h,crm,
179,3PL、サプライチェーン、返品、アジア、アラート。,2,pages.marketingIntel.onboarding.guideSecOps,pages,
180,3PLパートナー登録,2,pages.marketingIntel.onboarding.step3PL,pages,
181,3PL・物流・サプライチェーン・返品統合運営,2,pages.marketingIntel.onboarding.roleOpsDesc,pages,
182,3段階ドリルダウン,2,ruleEnginePage.accountPerf.guideTabDrilldownDesc,ruleEnginePage,
183,400+ APIエンドポイント対応,2,pages.marketingIntel.onboarding.kpiAPIKey,pages,
184,52週時系列データ,2,pages.marketingIntel.attrData.timeSeries,pages,
185,5つのモデル,2,pages.marketingIntel.attrData.tabMtaDesc,pages,
186,5ステップカスタムパス,2,pages.marketingIntel.onboarding.fiveStepPath,pages,
187,A/Bテスト実行,2,pages.marketingIntel.onboarding.stepABTest,pages,
188,A/Bテスト結果,2,crm.aiHub.catalogSync.webPopup.abResult,crm,
189,AIが顧客セグメントを自動生成し、最適な送信時間にEmail・Kakao・SMSを自動配信します。,2,pages.marketingIntel.onboarding.stepAIMarketingDesc,pages,
190,AIオートマーケティング,2,ruleEnginePage.gNav.autoMarketing,ruleEnginePage,
191,AIポリシー,2,ruleEnginePage.dash.AIPolicy,ruleEnginePage,
192,AIモニタリング,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideMonitorName,pages,
193,AIルールエンジンとAIポリシーからの承認リクエストがリアルタイムで表示されます。,2,pages.marketingIntel.marketingIntel.approvals.noRequestsDesc,pages,
194,AI分析と改善,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideMonitorDesc,pages,
195,AI自動化へ,2,crm.email.campaignMgr.btnAutoMarketing,crm,
196,AI自動化ルールの実行条件・承認フロー・監査ログを構成します。,2,pages.marketingIntel.onboarding.stepAIPolicyDesc,pages,
197,AI返信トーン,2,crm.aiHub.reviews.aiToneLabel,crm,
198,APIキー、コネクタ、スキーマ、監視、AI。,2,pages.marketingIntel.onboarding.guideSecDev,pages,
199,APIキー発行,2,pages.marketingIntel.onboarding.stepAPIKey,pages,
200,APIレイテンシ、DLQエラー、バッチジョブ状態をリアルタイムで監視します。,2,pages.marketingIntel.onboarding.stepSysMonitorDesc,pages,
201,API連携、システム監視、データスキーマ,2,pages.marketingIntel.onboarding.roleDevDesc,pages,
202,CRMセグメント,2,crm.email.dt.srcCRM,crm,
203,CRMセグメント設定,2,pages.marketingIntel.onboarding.stepCRM,pages,
204,CSVダウンロード,2,crm.email.settlements.csvDownload,crm,
205,CSエスカレーション,2,crm.aiHub.reviews.csEscalate,crm,
206,ERP・PIM・WMS等既存システムと双方向データパイプラインを構成します。,2,pages.marketingIntel.onboarding.stepConnectorDesc,pages,
207,Geniego-ROIへようこそ！,2,pages.marketingIntel.onboarding.welcomeTitle,pages,
208,LTV/CAC比率でどのチャネルが長期的に最も収益性が高いか分析します。,2,pages.marketingIntel.onboarding.stepChannelProfitDesc,pages,
209,Meta・Google・TikTok・Naver・KakaoのAPIキー入力だけで広告データが自動収集されます。,2,pages.marketingIntel.onboarding.stepAdsIntegrationDesc,pages,
210,P&L、収益性、照合、ESG、レポート。,2,pages.marketingIntel.onboarding.guideSecFinance,pages,
211,P&Lダッシュボード,2,pages.marketingIntel.onboarding.stepPnL,pages,
212,P&L分析、チャネル別収益性、ESG・レポート自動化,2,pages.marketingIntel.onboarding.roleFinanceDesc,pages,
213,Prepareを実行してカテゴリ提案を取得。,2,pages.writeback.runPrepareCategory,pages,
214,Prepareを実行してポリシーを検証。,2,pages.writeback.runPreparePolicy,pages,
215,REST APIキーを発行して外部システムとGeniego-ROIを統合します。,2,pages.marketingIntel.onboarding.stepAPIKeyDesc,pages,
216,ROIランキング,2,crm.aiHub.guideRoiName,crm,
217,SKU IDを選択または入力,2,pages.graphScore.phSkuId,pages,
218,SKUを入力,2,pages.writeback.skuPlaceholder,pages,
219,SKUを入力してください。,2,pages.writeback.errNoSku,pages,
220,SKU重み,2,pages.graphScore.weightSku,pages,
221,SLAモニタリング,2,ruleEnginePage.super.settingsSlaMonitor,ruleEnginePage,
222,Shapley Valueベースでどのチャネルが実際の売上に貢献したかを公正に測定します。,2,pages.marketingIntel.onboarding.stepAttributionDesc,pages,
223,Shopify・Coupang・Naver・Amazon APIを接続すると商品・在庫・注文がリアルタイム同期されます。,2,pages.marketingIntel.onboarding.stepChannelConnectDesc,pages,
224,Slackに承認通知を送信,2,pages.marketingIntel.marketingIntel.approvals.cfgSlackNotifyDesc,pages,
225,UGC/インフルエンサー,2,crm.email.ds.ugcInfluencer,crm,
226,UGCレビュー,2,crm.aiHub.guideUgcName,crm,
227,VIP・離脱リスク・再購入可能な顧客をAIが自動分類します。,2,pages.marketingIntel.onboarding.stepCRMDesc,pages,
228,Webポップアップ,2,ruleEnginePage.gNav.webPopup,ruleEnginePage,
229,✓ CSVダウンロード完了,2,crm.email.settlements.csvSuccess,crm,
230,このステップ完了時の予想効果,2,pages.marketingIntel.onboarding.expectedEffect,pages,
231,アカウント別実績,2,ruleEnginePage.accountPerf.pageTitle,ruleEnginePage,
232,アクション実行前に5分遅延,2,pages.marketingIntel.marketingIntel.approvals.cfgExecDelayDesc,pages,
233,アジア物流連携,2,pages.marketingIntel.onboarding.stepAsiaLogistics,pages,
234,アラートルール,2,crm.email.ds.badgeAlertRules,crm,
235,アラート条件,2,crm.email.ds.alertCondition,crm,
236,イベントスキーマ,2,ruleEnginePage.gNav.eventNorm,ruleEnginePage,
237,イベントタイプ,2,ruleEnginePage.operations.ai_eventType,ruleEnginePage,
238,インフルエンサーIDを選択または入力,2,pages.graphScore.phInfId,pages,
239,インフルエンサー・クリエイティブ・SKU・注文間のグラフネットワークを分析し、各ノードの貢献度をスコアリングします。,2,pages.graphScore.heroDesc,pages,
240,インフルエンサー重み,2,pages.graphScore.weightInfluencer,pages,
241,ウェブサイトポップアップキャンペーン管理,2,crm.aiHub.catalogSync.webPopup.pageSub,crm,
242,エスカレーション,2,crm.aiHub.reviews.escalationCount,crm,
243,エッジ重み = 貢献度指標,2,pages.graphScore.weightDesc,pages,
244,エンゲージメント,2,crm.aiHub.engagement,crm,
245,エンゲージメント率,2,crm.email.ds.fEngRate,crm,
246,オンボーディング完了。Geniego-ROIでROIを最大化しましょう。,2,pages.marketingIntel.onboarding.completionMsg,pages,
247,オンボーディング開始,2,pages.marketingIntel.onboarding.roleStarted,pages,
248,オーディエンスターゲティング,2,crm.email.ds.secAudienceTarget,crm,
249,カジュアル,2,crm.email.campaignMgr.toneCasual,crm,
250,カスタム画像アップロード,2,ruleEnginePage.operations.ai_uploadCustom,ruleEnginePage,
251,カテゴリ提案,2,pages.writeback.categorySuggestion,pages,
252,カレンダー,2,crm.aiHub.catalogSync.contentCal.tabCalendar,crm,
253,カレンダービュー,2,crm.aiHub.catalogSync.contentCal.guideCalName,crm,
254,カート復旧,2,crm.aiHub.catalogSync.journey.tplCart,crm,
255,ガイド,2,ruleEnginePage.marketing.bgTabGuide,ruleEnginePage,
256,キャンバスクリア,2,ruleEnginePage.super.clearCanvas,ruleEnginePage,
257,キャンペーン ➔ 広告セット ➔ 広告,2,ruleEnginePage.accountPerf.hierarchyTitle,ruleEnginePage,
258,キャンペーン承認,2,crm.aiHub.catalogSync.devHub.ev_campaign_approved,crm,
259,キャンペーン現況,2,crm.email.campaignMgr.tabOverview,crm,
260,キャンペーン複製,2,pages.marketingIntel.marketingIntel.unified.cloneCampaign,pages,
261,キャンペーン設定へ移動,2,ruleEnginePage.marketing.creativeSyncBtn,ruleEnginePage,
262,キャンペーン階層,2,crm.email.ds.secCampaignHierarchy,crm,
263,キーワード分析,2,pages.marketingIntel.pricingDetail.growth_s2i3,pages,
264,クリエイター統合,2,crm.aiHub.guideIdentName,crm,
265,クリエイティブIDを選択または入力,2,pages.graphScore.phCreativeId,pages,
266,クリエイティブ重み,2,pages.graphScore.weightCreative,pages,
267,クリエイティブ（広告素材）,2,pages.graphScore.lbl_creative,pages,
268,クリックして選択,2,channelKpi.selectGoal,channelKpi,
269,クレーム/返品,2,ruleEnginePage.tabClaims,ruleEnginePage,
270,グローバル+国内,2,crm.aiHub.omniChannel.badgeRegion,crm,
271,グローバル売上,2,pages.marketingIntel.marketingIntel.tabs.sales,pages,
272,コネクタ設定,2,pages.marketingIntel.onboarding.stepConnector,pages,
273,コホート,2,pages.marketingIntel.influencer.attrData.guideCohortName,pages,
274,コマースオーナー,2,pages.marketingIntel.onboarding.roleCommerce,pages,
275,コミュニティ,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideCommunityName,pages,
276,コミュニティ分析,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideCommunityDesc,pages,
277,コンソール,2,pages.writeback.tabConsole,pages,
278,コンバージョンファネル,2,ruleEnginePage.dash.convFunnel,ruleEnginePage,
279,コンバージョン率平均+18%向上,2,pages.marketingIntel.onboarding.kpiABTest,pages,
280,サプライチェーン,2,pages.marketingIntel.onboarding.tagSupplyChain,pages,
281,サプライチェーンリスク早期検知,2,pages.marketingIntel.onboarding.kpiSupplyChain,pages,
282,サプライチェーン管理,2,pages.marketingIntel.onboarding.stepSupplyChain,pages,
283,サプライヤーから消費者まで全サプライチェーンの可視性をリアルタイムで確認します。,2,pages.marketingIntel.onboarding.stepSupplyChainDesc,pages,
284,サマリーダッシュボード,2,pages.graphScore.guideSummaryTitle,pages,
285,サーバーモニター,2,ruleEnginePage.gNav.serverMonitor,ruleEnginePage,
286,システム,2,crm.email.mr.apvSystem,crm,
287,シーズンイベント,2,crm.aiHub.catalogSync.webPopup.aiThemeSeason,crm,
288,ジャーニーを作成する,2,crm.aiHub.journey.guideStartBtn,crm,
289,ジャーニー一覧,2,crm.aiHub.catalogSync.journey.tabList,crm,
290,ジョブ更新,2,pages.writeback.btnRefreshJobs,pages,
291,スクロール深度,2,crm.aiHub.catalogSync.webPopup.triggerScroll,crm,
292,スケジュール保存,2,crm.email.catalogSync.schedSaveBtn,crm,
293,スコア,2,crm.email.campaignMgr.copyScore,crm,
294,ステップ別設定案内,2,crm.aiHub.omniChannel.tabGuideDesc,crm,
295,ステップ完了,2,pages.marketingIntel.onboarding.stepCompleted,pages,
296,ソース,2,crm.email.pxl.source,crm,
297,タイムスタンプ,2,crm.aiHub.catalogSync.ihub.efTimestamp,crm,
298,タブ別詳細ガイド,2,pages.graphScore.guideTabsTitle,pages,
299,ダッシュボードへ,2,pages.marketingIntel.onboarding.goToDashboard,pages,
300,チャネルライトバック操作,2,pages.writeback.tabConsoleDesc,pages,
301,チャネル一覧・接続状態,2,crm.aiHub.omniChannel.tabChannelsDesc,crm,
302,チャネル別APIレート制限,2,pages.writeback.cfgRateLimitDesc,pages,
303,チャネル別・SKU別の実質純利益を広告費・手数料・物流費控除後にリアルタイムで確認します。,2,pages.marketingIntel.onboarding.stepPnLDesc,pages,
304,チャネル別収益性分析,2,pages.marketingIntel.onboarding.stepChannelProfit,pages,
305,チャネル別手数料を自動照合し、実質純利益をリアルタイム計算します。,2,pages.marketingIntel.onboarding.stepSettlementDesc,pages,
306,チャネル役割,2,pages.marketingIntel.marketingIntel.channelKpiPage.guideRoleName,pages,
307,チャネル無駄予算平均23%削減,2,pages.marketingIntel.onboarding.kpiAttribution,pages,
308,チャネル配分,2,ruleEnginePage.marketing.bgTabPacing,ruleEnginePage,
309,チャンピオン,2,aiPredict.grade.champions,aiPredict,
310,チーム予算,2,ruleEnginePage.accountPerf.teamDashboard,ruleEnginePage,
311,チーム予算・KPI・収益,2,ruleEnginePage.accountPerf.guideTabDashboardDesc,ruleEnginePage,
312,チーム別パフォーマンス,2,ruleEnginePage.accountPerf.pageSub,ruleEnginePage,
313,チーム別分析,2,ruleEnginePage.accountPerf.aiInsightDesc,ruleEnginePage,
314,チーム管理,2,pages.marketingIntel.pricingDetail.growth_s8,pages,
315,テンプレートなし,2,crm.aiHub.crm.email.noTemplates,crm,
316,テンプレートコード,2,crm.aiHub.journey.kakaoTemplate,crm,
317,テンプレート作成,2,crm.aiHub.crm.email.tplCreate,crm,
318,テンプレート保存,2,pages.marketingIntel.marketingIntel.unified.saveTemplate,pages,
319,テンプレート編集,2,crm.aiHub.crm.email.tplEdit,crm,
320,デフォルトに戻す,2,pages.graphScore.weightReset,pages,
321,データ,2,pages.marketingIntel.onboarding.tagData,pages,
322,データがありません。統合ハブでチャネルを接続し、データを収集してください。,2,pages.graphScore.noData,pages,
323,データスキーマ確認,2,pages.marketingIntel.onboarding.stepDataSchema,pages,
324,データソース,2,crm.email.dt.lineageSources,crm,
325,データポイント,2,crm.email.dt.historyDataPoints,crm,
326,トップ貢献インフルエンサー,2,pages.graphScore.topInfluencer,pages,
327,トリガーイベント,2,crm.aiHub.journey.triggerEvent,crm,
328,トリガータイプ,2,crm.aiHub.journey.triggerType,crm,
329,トリガー条件,2,crm.email.ds.triggerCondition,crm,
330,トレンド,2,crm.aiHub.reviews.tabTrend,crm,
331,トレンド分析,2,crm.aiHub.catalogSync.reviews.tabTrend,crm,
332,トーン,2,crm.email.campaignMgr.copyTone,crm,
333,ドライランモード,2,pages.writeback.cfgDryRun,pages,
334,ドラッグ＆ドロップまたはクリック,2,crm.aiHub.catalogSync.journey.uploadDragDrop,crm,
335,ネガティブキーワードTop 5,2,crm.aiHub.reviews.negKeywordsTitle,crm,
336,ネットワーク全体のノード数、エッジ数、トップ貢献者を一覧する総合ダッシュボード。ノードタイプ別の色分けで直感的に視覚化します。,2,pages.graphScore.guideSummaryDesc,pages,
337,ノードIDでフィルタ,2,pages.graphScore.phNodeIdFilter,pages,
338,ノードタイプ別の重みを調整してスコアリング基準をカスタマイズします。,2,pages.graphScore.weightSettingsDesc,pages,
