path,ko_current,ja_value,proposed_ko,source,ns
ruleEnginePage.dash.Influencer,インフルエンサー,インフルエンサー,인플루언서,auto,ruleEnginePage
ruleEnginePage.dash.Alerts,アラート,アラート,알림,auto,ruleEnginePage
ruleEnginePage.dash.AIPolicy,AIポリシー,AIポリシー,AI 정책,top500,ruleEnginePage
ruleEnginePage.dash.chRoas,チャネル別ROAS,チャネル別ROAS,채널별 ROAS,auto,ruleEnginePage
ruleEnginePage.dash.convFunnel,コンバージョンファネル,コンバージョンファネル,전환 퍼널,top500,ruleEnginePage
ruleEnginePage.dash.sysStatus,システム現況,システム現況,시스템 현황,auto,ruleEnginePage
ruleEnginePage.operations.pageTitle,🔌 連携ハブ,🔌 連携ハブ,🔌 연동 허브,auto,ruleEnginePage
ruleEnginePage.operations.pageSub,コネクタ＆統合管理,コネクタ＆統合管理,커넥터 & 통합 관리,auto,ruleEnginePage
ruleEnginePage.operations.viewAll,すべて表示,すべて表示,전체 보기,auto,ruleEnginePage
ruleEnginePage.operations.thProductSku,商品・SKU,商品・SKU,상품·SKU,top500,ruleEnginePage
ruleEnginePage.operations.thCategory,カテゴリ,カテゴリ,카테고리,auto,ruleEnginePage
ruleEnginePage.operations.thSupplier,サプライヤー,サプライヤー,공급업체,top500,ruleEnginePage
ruleEnginePage.operations.thStatus,ステータス,ステータス,상태,auto,ruleEnginePage
ruleEnginePage.operations.allCategory,全カテゴリ,全カテゴリ,전체 카테고리,auto,ruleEnginePage
ruleEnginePage.operations.allStatus,全ステータス,全ステータス,전체 상태,auto,ruleEnginePage
ruleEnginePage.operations.allChannel,全チャネル,全チャネル,전체 채널,auto,ruleEnginePage
ruleEnginePage.operations.createCampaign,キャンペーン作成,キャンペーン作成,캠페인 생성,top500,ruleEnginePage
ruleEnginePage.operations.createCampaignBtn,キャンペーン作成,キャンペーン作成,캠페인 생성,top500,ruleEnginePage
ruleEnginePage.operations.campName,キャンペーン名,キャンペーン名,캠페인명,auto,ruleEnginePage
ruleEnginePage.operations.platform,プラットフォーム,プラットフォーム,플랫폼,auto,ruleEnginePage
ruleEnginePage.operations.type,タイプ,タイプ,타입,auto,ruleEnginePage
ruleEnginePage.operations.avgMargin,平均マージン率,平均マージン率,평균 마진율,top500,ruleEnginePage
ruleEnginePage.operations.colProductSku,商品・SKU,商品・SKU,상품·SKU,top500,ruleEnginePage
ruleEnginePage.operations.colCategory,カテゴリ,カテゴリ,카테고리,auto,ruleEnginePage
ruleEnginePage.operations.colSupplier,サプライヤー,サプライヤー,공급업체,top500,ruleEnginePage
ruleEnginePage.operations.colPromotion,プロモーション,プロモーション,프로모션,auto,ruleEnginePage
ruleEnginePage.operations.colStatus,ステータス,ステータス,상태,auto,ruleEnginePage
ruleEnginePage.operations.colMarginRate,マージン率,マージン率,마진율,auto,ruleEnginePage
ruleEnginePage.operations.cancel,キャンセル,キャンセル,취소,auto,ruleEnginePage
ruleEnginePage.operations.clicks,クリック,クリック,클릭,auto,ruleEnginePage
ruleEnginePage.operations.draft,下書き,下書き,임시 저장,top500,ruleEnginePage
ruleEnginePage.operations.ai_selectPlatform,プラットフォーム選択,プラットフォーム選択,플랫폼 선택,top500,ruleEnginePage
ruleEnginePage.operations.ai_plat_popup,ポップアップ,ポップアップ,팝업,auto,ruleEnginePage
ruleEnginePage.operations.ai_plat_instagram,インスタグラム,インスタグラム,인스타그램,auto,ruleEnginePage
ruleEnginePage.operations.ai_plat_kakao,カカオ,カカオ,카카오,auto,ruleEnginePage
ruleEnginePage.operations.ai_plat_custom,カスタム,カスタム,사용자 설정,top500,ruleEnginePage
ruleEnginePage.operations.ai_adTitle,広告タイトル,広告タイトル,광고 제목,auto,ruleEnginePage
ruleEnginePage.operations.ai_eventType,イベントタイプ,イベントタイプ,이벤트 유형,top500,ruleEnginePage
ruleEnginePage.operations.ai_flash,フラッシュセール,フラッシュセール,플래시 세일,top500,ruleEnginePage
ruleEnginePage.operations.ai_uploadCustom,カスタム画像アップロード,カスタム画像アップロード,사용자 이미지 업로드,top500,ruleEnginePage
ruleEnginePage.operations.ai_generateAI,AIデザイン生成,AIデザイン生成,AI 디자인 생성,top500,ruleEnginePage
ruleEnginePage.operations.ai_category,カテゴリ,カテゴリ,카테고리,auto,ruleEnginePage
ruleEnginePage.operations.ai_cat_home,ホーム,ホーム,홈,auto,ruleEnginePage
ruleEnginePage.operations.ai_cat_fitness,フィットネス,フィットネス,피트니스,top500,ruleEnginePage
ruleEnginePage.operations.ai_dupDismiss,閉じる,閉じる,닫기,auto,ruleEnginePage
ruleEnginePage.gNav.home,ホーム,ホーム,홈,auto,ruleEnginePage
ruleEnginePage.gNav.aiMarketing,AIマーケティング自動化,AIマーケティング自動化,AI 마케팅 자동화,auto,ruleEnginePage
ruleEnginePage.gNav.commerce,コマース・決済,コマース・決済,커머스 · 결제,auto,ruleEnginePage
ruleEnginePage.gNav.analytics,アナリティクス,アナリティクス,분석,top500,ruleEnginePage
ruleEnginePage.gNav.finance,財務・精算,財務・精算,재무 · 정산,auto,ruleEnginePage
ruleEnginePage.gNav.adminSystem,システム管理,システム管理,시스템 관리,auto,ruleEnginePage
ruleEnginePage.gNav.dashboard,ダッシュボード,ダッシュボード,대시보드,auto,ruleEnginePage
ruleEnginePage.gNav.autoMarketing,AIオートマーケティング,AIオートマーケティング,AI 오토 마케팅,top500,ruleEnginePage
ruleEnginePage.gNav.campaignManager,キャンペーン管理,キャンペーン管理,캠페인 관리,top500,ruleEnginePage
ruleEnginePage.gNav.journeyBuilder,カスタマージャーニービルダー,カスタマージャーニービルダー,고객 여정 빌더,top500,ruleEnginePage
ruleEnginePage.gNav.budgetTracker,予算プランナー,予算プランナー,예산 플래너,top500,ruleEnginePage
ruleEnginePage.gNav.attribution,アトリビューション分析,アトリビューション分析,어트리뷰션 분석,top500,ruleEnginePage
ruleEnginePage.gNav.channelKpi,チャネルKPI,チャネルKPI,채널 KPI,auto,ruleEnginePage
ruleEnginePage.gNav.graphScore,グラフスコア,グラフスコア,그래프 점수,top500,ruleEnginePage
ruleEnginePage.gNav.kakaoChannel,カカオチャネル,カカオチャネル,카카오 채널,auto,ruleEnginePage
ruleEnginePage.gNav.webPopup,Webポップアップ,Webポップアップ,웹 팝업,top500,ruleEnginePage
ruleEnginePage.gNav.omniChannel,オムニチャネル,オムニチャネル,옴니채널,top500,ruleEnginePage
ruleEnginePage.gNav.catalog,カタログ同期,カタログ同期,카탈로그 동기화,top500,ruleEnginePage
ruleEnginePage.gNav.performanceHub,パフォーマンスセンター,パフォーマンスセンター,퍼포먼스 센터,top500,ruleEnginePage
ruleEnginePage.gNav.reportBuilder,レポートビルダー,レポートビルダー,리포트 빌더,top500,ruleEnginePage
ruleEnginePage.gNav.aiInsights,AIインサイト,AIインサイト,AI 인사이트,auto,ruleEnginePage
ruleEnginePage.gNav.aiPolicy,AIポリシー,AIポリシー,AI 정책,top500,ruleEnginePage
ruleEnginePage.gNav.mappingRegistry,マッピングレジストリ,マッピングレジストリ,매핑 레지스트리,auto,ruleEnginePage
ruleEnginePage.gNav.pricing,料金プラン,料金プラン,요금제,auto,ruleEnginePage
ruleEnginePage.gNav.auditLog,監査ログ,監査ログ,감사 로그,auto,ruleEnginePage
ruleEnginePage.gNav.help,ヘルプセンター,ヘルプセンター,헬프 센터,auto,ruleEnginePage
ruleEnginePage.gNav.feedback,フィードバック,フィードバック,피드백,auto,ruleEnginePage
ruleEnginePage.gNav.userMgmt,ユーザー管理,ユーザー管理,사용자 관리,auto,ruleEnginePage
ruleEnginePage.gNav.serverMonitor,サーバーモニター,サーバーモニター,서버 모니터,top500,ruleEnginePage
ruleEnginePage.gNav.contentCalendar,コンテンツカレンダー,コンテンツカレンダー,콘텐츠 캘린더,auto,ruleEnginePage
ruleEnginePage.gNav.budgetPlanner,予算プランナー,予算プランナー,예산 플래너,top500,ruleEnginePage
ruleEnginePage.gNav.smsMarketing,SMSマーケティング,SMSマーケティング,SMS 마케팅,top500,ruleEnginePage
ruleEnginePage.gNav.eventNorm,イベントスキーマ,イベントスキーマ,이벤트 스키마,top500,ruleEnginePage
ruleEnginePage.gNav.systemMonitor,サーバーモニター,サーバーモニター,서버 모니터,top500,ruleEnginePage
ruleEnginePage.gNav.performance,パフォーマンスセンター,パフォーマンスセンター,퍼포먼스 센터,top500,ruleEnginePage
ruleEnginePage.super.clearCanvas,キャンバスクリア,キャンバスクリア,캔버스 초기화,top500,ruleEnginePage
ruleEnginePage.super.importBtn,+ インポート,+ インポート,+ 가져오기,top500,ruleEnginePage
ruleEnginePage.super.emptyTitle,精算データなし,精算データなし,정산 데이터 없음,top500,ruleEnginePage
ruleEnginePage.super.emptyDesc,連携ハブでチャネルを接続すると精算データが自動収集されます,連携ハブでチャネルを接続すると精算データが自動収集されます,연동 허브에서 채널을 연결하면 정산 데이터가 자동 수집됩니다,top500,ruleEnginePage
ruleEnginePage.super.emptyGoHub,連携ハブへ移動,連携ハブへ移動,연동 허브로 이동,top500,ruleEnginePage
ruleEnginePage.super.pageTitle,チャネル精算管理,チャネル精算管理,채널 정산 관리,top500,ruleEnginePage
ruleEnginePage.super.noData,データがありません。,データがありません。,데이터가 없습니다.,auto,ruleEnginePage
ruleEnginePage.super.kpiClaimCount,クレーム,クレーム,클레임,auto,ruleEnginePage
ruleEnginePage.super.searchPlaceholder,注文番号・購入者・商品名で検索...,注文番号・購入者・商品名で検索...,주문번호·구매자·상품명으로 검색...,top500,ruleEnginePage
ruleEnginePage.super.allChannels,全チャネル,全チャネル,전체 채널,auto,ruleEnginePage
ruleEnginePage.super.allStatus,全ステータス,全ステータス,전체 상태,auto,ruleEnginePage
ruleEnginePage.super.colChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.super.badgeClaim,クレーム,クレーム,클레임,auto,ruleEnginePage
ruleEnginePage.super.labelChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.super.settleColChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.super.claimCancel,キャンセル,キャンセル,취소,auto,ruleEnginePage
ruleEnginePage.super.settingsSlaMonitor,SLAモニタリング,SLAモニタリング,SLA 모니터링,top500,ruleEnginePage
ruleEnginePage.accountPerf.pageTitle,アカウント別実績,アカウント別実績,계정별 실적,top500,ruleEnginePage
ruleEnginePage.accountPerf.pageSub,チーム別パフォーマンス,チーム別パフォーマンス,팀별 퍼포먼스,top500,ruleEnginePage
ruleEnginePage.accountPerf.teamDashboard,チーム予算,チーム予算,팀 예산,top500,ruleEnginePage
ruleEnginePage.accountPerf.tabDashboard,ダッシュボード,ダッシュボード,대시보드,auto,ruleEnginePage
ruleEnginePage.accountPerf.objectiveConversion,コンバージョン,コンバージョン,전환,auto,ruleEnginePage
ruleEnginePage.accountPerf.aiInsightDesc,チーム別分析,チーム別分析,팀별 분석,top500,ruleEnginePage
ruleEnginePage.accountPerf.aiInsightLow,効率低下。クリエイティブ更新,効率低下。クリエイティブ更新,효율 저하. 크리에이티브 업데이트 필요,top500,ruleEnginePage
ruleEnginePage.accountPerf.hierarchyTitle,キャンペーン ➔ 広告セット ➔ 広告,キャンペーン ➔ 広告セット ➔ 広告,캠페인 ➔ 광고 세트 ➔ 광고,top500,ruleEnginePage
ruleEnginePage.accountPerf.hierarchyDesc,行クリックでドリルダウン,行クリックでドリルダウン,행 클릭으로 드릴다운,top500,ruleEnginePage
ruleEnginePage.accountPerf.colTeam,チーム,チーム,팀,auto,ruleEnginePage
ruleEnginePage.accountPerf.colClicks,クリック,クリック,클릭,auto,ruleEnginePage
ruleEnginePage.accountPerf.defaultTeam,運用チーム,運用チーム,운영 팀,top500,ruleEnginePage
ruleEnginePage.accountPerf.guideTabsTitle,タブ説明,タブ説明,탭 설명,auto,ruleEnginePage
ruleEnginePage.accountPerf.guideTabDashboardName,ダッシュボード,ダッシュボード,대시보드,auto,ruleEnginePage
ruleEnginePage.accountPerf.guideTabDashboardDesc,チーム予算・KPI・収益,チーム予算・KPI・収益,팀 예산·KPI·수익,top500,ruleEnginePage
ruleEnginePage.accountPerf.guideTabDrilldownDesc,3段階ドリルダウン,3段階ドリルダウン,3단계 드릴다운,top500,ruleEnginePage
ruleEnginePage.acctPerf.tabDashboard,ダッシュボード,ダッシュボード,대시보드,auto,ruleEnginePage
ruleEnginePage.acctPerf.objectiveConversion,コンバージョン,コンバージョン,전환,auto,ruleEnginePage
ruleEnginePage.acctPerf.hierarchyTitle,キャンペーン ➔ 広告セット ➔ 広告,キャンペーン ➔ 広告セット ➔ 広告,캠페인 ➔ 광고 세트 ➔ 광고,top500,ruleEnginePage
ruleEnginePage.acctPerf.hierarchyDesc,行クリックでドリルダウン,行クリックでドリルダウン,행 클릭으로 드릴다운,top500,ruleEnginePage
ruleEnginePage.acctPerf.colTeam,チーム,チーム,팀,auto,ruleEnginePage
ruleEnginePage.acctPerf.colClicks,クリック,クリック,클릭,auto,ruleEnginePage
ruleEnginePage.acctPerf.pageTitle,アカウント別実績,アカウント別実績,계정별 실적,top500,ruleEnginePage
ruleEnginePage.acctPerf.pageSub,チーム別パフォーマンス,チーム別パフォーマンス,팀별 퍼포먼스,top500,ruleEnginePage
ruleEnginePage.acctPerf.teamDashboard,チーム予算,チーム予算,팀 예산,top500,ruleEnginePage
ruleEnginePage.acctPerf.aiInsightDesc,チーム別分析,チーム別分析,팀별 분석,top500,ruleEnginePage
ruleEnginePage.acctPerf.aiInsightLow,効率低下。クリエイティブ更新,効率低下。クリエイティブ更新,효율 저하. 크리에이티브 업데이트 필요,top500,ruleEnginePage
ruleEnginePage.acctPerf.defaultTeam,運用チーム,運用チーム,운영 팀,top500,ruleEnginePage
ruleEnginePage.acctPerf.guideTabsTitle,タブ説明,タブ説明,탭 설명,auto,ruleEnginePage
ruleEnginePage.acctPerf.guideTabDashboardName,ダッシュボード,ダッシュボード,대시보드,auto,ruleEnginePage
ruleEnginePage.acctPerf.guideTabDashboardDesc,チーム予算・KPI・収益,チーム予算・KPI・収益,팀 예산·KPI·수익,top500,ruleEnginePage
ruleEnginePage.acctPerf.guideTabDrilldownDesc,3段階ドリルダウン,3段階ドリルダウン,3단계 드릴다운,top500,ruleEnginePage
ruleEnginePage.marketing.sidebarUpgrade,アップグレード,アップグレード,업그레이드,auto,ruleEnginePage
ruleEnginePage.marketing.convRateLbl,コンバージョン率,コンバージョン率,전환율,auto,ruleEnginePage
ruleEnginePage.marketing.channel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.marketing.guideTabGuideName,📖 利用ガイド,📖 利用ガイド,📖 사용 가이드,top500,ruleEnginePage
ruleEnginePage.marketing.csTitle,クリエイティブスタジオ,クリエイティブスタジオ,크리에이티브 스튜디오,auto,ruleEnginePage
ruleEnginePage.marketing.csTabPerformance,パフォーマンス,パフォーマンス,퍼포먼스,auto,ruleEnginePage
ruleEnginePage.marketing.csKpiCreatives,クリエイティブ,クリエイティブ,크리에이티브,auto,ruleEnginePage
ruleEnginePage.marketing.csKpiFormats,フォーマット,フォーマット,포맷,top500,ruleEnginePage
ruleEnginePage.marketing.csKpiApproved,承認済み,承認済み,승인됨,auto,ruleEnginePage
ruleEnginePage.marketing.csColFormat,フォーマット,フォーマット,포맷,top500,ruleEnginePage
ruleEnginePage.marketing.csColPlatform,プラットフォーム,プラットフォーム,플랫폼,auto,ruleEnginePage
ruleEnginePage.marketing.csPreview,プレビュー,プレビュー,미리보기,auto,ruleEnginePage
ruleEnginePage.marketing.csDownload,ダウンロード,ダウンロード,다운로드,auto,ruleEnginePage
ruleEnginePage.marketing.metImpressions,インプレッション,インプレッション,노출,auto,ruleEnginePage
ruleEnginePage.marketing.metReach,リーチ,リーチ,도달,auto,ruleEnginePage
ruleEnginePage.marketing.metClicks,クリック,クリック,클릭,auto,ruleEnginePage
ruleEnginePage.marketing.metConv,コンバージョン,コンバージョン,전환,auto,ruleEnginePage
ruleEnginePage.marketing.colStatus,ステータス,ステータス,상태,auto,ruleEnginePage
ruleEnginePage.marketing.catPerformance,パフォーマンス,パフォーマンス,퍼포먼스,auto,ruleEnginePage
ruleEnginePage.marketing.catInfluencer,インフルエンサー,インフルエンサー,인플루언서,auto,ruleEnginePage
ruleEnginePage.marketing.noData,データなし,データなし,데이터 없음,auto,ruleEnginePage
ruleEnginePage.marketing.bgColCampSum,キャンペーン,キャンペーン,캠페인,auto,ruleEnginePage
ruleEnginePage.marketing.bgTabPacing,チャネル配分,チャネル配分,채널 배분,top500,ruleEnginePage
ruleEnginePage.marketing.bgSecurityStatus,セキュリティ,セキュリティ,보안,auto,ruleEnginePage
ruleEnginePage.marketing.bgPacingColChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.marketing.kpiTotal,全レビュー,全レビュー,전체 리뷰,top500,ruleEnginePage
ruleEnginePage.marketing.impressions,インプレッション,インプレッション,노출,auto,ruleEnginePage
ruleEnginePage.marketing.clicks,クリック,クリック,클릭,auto,ruleEnginePage
ruleEnginePage.marketing.conversions,コンバージョン,コンバージョン,전환,auto,ruleEnginePage
ruleEnginePage.marketing.created,作成済み,作成済み,생성 완료,top500,ruleEnginePage
ruleEnginePage.marketing.cat_beauty,ビューティー・コスメ,ビューティー・コスメ,뷰티·코스메틱,top500,ruleEnginePage
ruleEnginePage.marketing.tag_fitness,フィットネス,フィットネス,피트니스,top500,ruleEnginePage
ruleEnginePage.marketing.creativeSyncBtn,キャンペーン設定へ移動,キャンペーン設定へ移動,캠페인 설정으로 이동,top500,ruleEnginePage
ruleEnginePage.marketing.creativeGoSetup,キャンペーン設定へ移動,キャンペーン設定へ移動,캠페인 설정으로 이동,top500,ruleEnginePage
ruleEnginePage.marketing.defaultCampSuffix,キャンペーン,キャンペーン,캠페인,auto,ruleEnginePage
ruleEnginePage.marketing.guideTabsTitle,タブ別ガイド,タブ別ガイド,탭별 가이드,auto,ruleEnginePage
ruleEnginePage.marketing.connectedChannels,連携チャネル,連携チャネル,연동 채널,auto,ruleEnginePage
ruleEnginePage.marketing.bgTabGuide,ガイド,ガイド,가이드,top500,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep3Title,チャネル配分,チャネル配分,채널 배분,top500,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabsTitle,タブ別ガイド,タブ別ガイド,탭별 가이드,auto,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabCampaignsName,キャンペーン,キャンペーン,캠페인,auto,ruleEnginePage
ruleEnginePage.marketing.bgGuideTipsTitle,ヒント,ヒント,팁,auto,ruleEnginePage
ruleEnginePage.marketing.bgGuideTip5,リアルタイム同期,リアルタイム同期,실시간 동기화,auto,ruleEnginePage
ruleEnginePage.marketing.abBtnGuide,ガイド,ガイド,가이드,top500,ruleEnginePage
ruleEnginePage.marketing.abConnectedChannels,連携チャネル,連携チャネル,연동 채널,auto,ruleEnginePage
ruleEnginePage.marketing.abChartRoas,チャネル別ROAS,チャネル別ROAS,채널별 ROAS,auto,ruleEnginePage
ruleEnginePage.marketing.abReasonKakaoTitle,カカオ,カカオ,카카오,auto,ruleEnginePage
ruleEnginePage.marketing.abGuideTipsTitle,ヒント,ヒント,팁,auto,ruleEnginePage
ruleEnginePage.marketing.tabCampaign,キャンペーン管理,キャンペーン管理,캠페인 관리,top500,ruleEnginePage
ruleEnginePage.marketing.channelFeeTitle,チャネル手数料,チャネル手数料,채널 수수료,top500,ruleEnginePage
ruleEnginePage.guideStep8Title,自動ルーティングエンジン,自動ルーティングエンジン,자동 라우팅 엔진,top500,ruleEnginePage
ruleEnginePage.noData,データがありません。,データがありません。,데이터가 없습니다.,auto,ruleEnginePage
ruleEnginePage.tabClaims,クレーム/返品,クレーム/返品,클레임/반품,top500,ruleEnginePage
ruleEnginePage.kpiClaimCount,クレーム,クレーム,클레임,auto,ruleEnginePage
ruleEnginePage.kpiClaimRet,クレーム/返品,クレーム/返品,클레임/반품,top500,ruleEnginePage
ruleEnginePage.searchPlaceholder,注文番号・購入者・商品名で検索...,注文番号・購入者・商品名で検索...,주문번호·구매자·상품명으로 검색...,top500,ruleEnginePage
ruleEnginePage.allChannels,全チャネル,全チャネル,전체 채널,auto,ruleEnginePage
ruleEnginePage.allStatus,全ステータス,全ステータス,전체 상태,auto,ruleEnginePage
ruleEnginePage.colChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.badgeClaim,クレーム,クレーム,클레임,auto,ruleEnginePage
ruleEnginePage.labelChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.settleColChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.deliveryColChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.claimCancel,キャンセル,キャンセル,취소,auto,ruleEnginePage
ruleEnginePage.claimColChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.settingsSlaMonitor,SLAモニタリング,SLAモニタリング,SLA 모니터링,top500,ruleEnginePage
ruleEnginePage.routingEngineTitle,自動ルーティングエンジン,自動ルーティングエンジン,자동 라우팅 엔진,top500,ruleEnginePage
ruleEnginePage.routingRuleLabel,ルール名,ルール名,규칙명,top500,ruleEnginePage
ruleEnginePage.routingCancel,キャンセル,キャンセル,취소,auto,ruleEnginePage
ruleEnginePage.ovClaims,クレーム,クレーム,클레임,auto,ruleEnginePage
ruleEnginePage.enhColChannel,チャネル,チャネル,채널,auto,ruleEnginePage
ruleEnginePage.enhSearchPlaceholder,注文番号・購入者・商品名で検索...,注文番号・購入者・商品名で検索...,주문번호·구매자·상품명으로 검색...,top500,ruleEnginePage
ruleEnginePage.enhAllChannel,全チャネル,全チャネル,전체 채널,auto,ruleEnginePage
ruleEnginePage.enhAllStatus,全ステータス,全ステータス,전체 상태,auto,ruleEnginePage
ruleEnginePage.settleCoupon,クーポン,クーポン,쿠폰,auto,ruleEnginePage
ruleEnginePage.root_sidebarLogout,ログアウト,ログアウト,로그아웃,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_mappingRegistry,マッピングレジストリ,マッピングレジストリ,매핑 레지스트리,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_settlements,チャネル精算管理,チャネル精算管理,채널 정산 관리,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_audit,監査ログ,監査ログ,감사 로그,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_autoMarketing,AIオートマーケティング,AIオートマーケティング,AI 오토 마케팅,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_journeyBuilder,カスタマージャーニービルダー,カスタマージャーニービルダー,고객 여정 빌더,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_contentCalendar,コンテンツカレンダー,コンテンツカレンダー,콘텐츠 캘린더,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_emailMarketing,メールマーケティング,メールマーケティング,이메일 마케팅,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_smsMarketing,SMSマーケティング,SMSマーケティング,SMS 마케팅,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_kakaoChannel,カカオチャネル,カカオチャネル,카카오 채널,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_budgetTracker,予算プランナー,予算プランナー,예산 플래너,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_omniChannel,オムニチャネル,オムニチャネル,옴니채널,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_catalog,カタログ同期,カタログ同期,카탈로그 동기화,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_orderHub,注文ハブ,注文ハブ,주문 허브,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_performanceHub,パフォーマンスハブ,パフォーマンスハブ,퍼포먼스 허브,auto,ruleEnginePage
ruleEnginePage.root_pageTitle_reportBuilder,レポートビルダー,レポートビルダー,리포트 빌더,top500,ruleEnginePage
ruleEnginePage.root_pageTitle_dashboard,ダッシュボード,ダッシュボード,대시보드,auto,ruleEnginePage
performance.tabChannels,チャンネル,チャンネル,채널,auto,performance
performance.tabCreatives,クリエイティブ,クリエイティブ,크리에이티브,auto,performance
performance.kpiRoas,ローアス,ローアス,ROAS,top500,performance
performance.kpiCtr,クリック率,クリック率,클릭률,auto,performance
performance.colChannel,チャンネル,チャンネル,채널,auto,performance
performance.colRoas,ローアス,ローアス,ROAS,top500,performance
performance.colConversions,コンバージョン,コンバージョン,전환,auto,performance
attribution.modelCompare,🕸️ モデル比較,🕸️ モデル比較,🕸️ 모델 비교,top500,attribution
channelKpi.selectGoal,クリックして選択,クリックして選択,클릭하여 선택,top500,channelKpi
aiPredict.grade.champions,チャンピオン,チャンピオン,챔피언,top500,aiPredict
crm.email.catalogSync.heroDesc,API キーを登録し接続状態を管理します。,API キーを登録し接続状態を管理します。,API 키를 등록하고 연결 상태를 관리합니다.,auto,crm
crm.email.catalogSync.tabHistory,📋 アラート履歴,📋 アラート履歴,📋 알림 이력,top500,crm
crm.email.catalogSync.statusError,エラー,エラー,오류,auto,crm
crm.email.catalogSync.colStatus,ステータス,ステータス,상태,auto,crm
crm.email.catalogSync.cancel,キャンセル,キャンセル,취소,auto,crm
crm.email.catalogSync.cancelBtn,キャンセル,キャンセル,취소,auto,crm
crm.email.catalogSync.actualMarginLabel,実質マージン,実質マージン,실질 마진,top500,crm
crm.email.catalogSync.markupLabel,マークアップ(%),マークアップ(%),마크업(%),top500,crm
crm.email.catalogSync.closePreview,プレビューを閉じる,プレビューを閉じる,미리보기 닫기,top500,crm
crm.email.catalogSync.tabCategoryMapping,カテゴリマッピング,カテゴリマッピング,카테고리 매핑,top500,crm
crm.email.catalogSync.mappingStatus,マッピング状況,マッピング状況,매핑 현황,auto,crm
