ja_value,proposed_ko,source,batch
3PL・物流・サプライチェーン・返品統合運営,3PL·물류·공급망·반품 통합 운영,top500_fallback,T500
3PL削除・契約管理,3PL 삭제·계약 관리,b8_batch,06
3PL追加・編集,3PL 추가·편집,b8_batch,06
3段階ドリルダウン,3단계 드릴다운,top500_fallback,T500
3秒以内にポップアップが表示されます！,3초 이내에 팝업이 표시됩니다!,b8_batch,01
400+ APIエンドポイント対応,400개 이상 API 엔드포인트 지원,top500_fallback,T500
4チャンネル,4개 채널,top500_fallback,T500
"5,000回シミュレーションでA/Bテスト勝者を統計判定。","5,000회 시뮬레이션으로 A/B 테스트 승자를 통계적으로 판정합니다.",b8_batch,06
5. コンテンツ設定 (Content),5. 콘텐츠 설정 (Content),b8_batch,06
52週の時系列データで広告支出と売上の因果関係をベイジアン回帰で分析。,52주 시계열 데이터로 광고 지출과 매출의 인과 관계를 베이지안 회귀로 분석합니다.,b8_batch,06
52週時系列データ,52주 시계열 데이터,top500_fallback,T500
52週時系列回帰分析、残留効果、飽和度、予算シミュレーター。,"52주 시계열 회귀 분석, 잔류 효과, 포화도, 예산 시뮬레이터.",b8_batch,06
5つのモデル,5개 모델,top500_fallback,T500
5つのモデルでチャネル別貢献売上と変換パスを分析。,5개 모델로 채널별 기여 매출과 전환 경로를 분석합니다.,b8_batch,06
5つのモデルの貢献度をレーダーチャートで比較しA-Scoreを算定。,5개 모델의 기여도를 레이더 차트로 비교하여 A-Score를 산정합니다.,b8_batch,06
5インフルエンサー,인플루언서 5명,top500_fallback,T500
5ステップカスタムパス,5단계 맞춤 경로,top500_fallback,T500
5モデルをレーダー比較しA-Scoreを算定。,5개 모델을 레이더로 비교하여 A-Score를 산정합니다.,b8_batch,06
5モデル比較,5개 모델 비교,b8_batch,06
5分ごと,5분마다,b8_batch,01
5秒ごとに自動更新されます。LIVEバッジはリアルタイムデータを示します。,5초마다 자동 새로고침됩니다. LIVE 배지는 실시간 데이터를 의미합니다.,b8_batch,01
5秒間隔で自動更新し常に最新の状態を維持します。,5초 간격으로 자동 새로고침되어 항상 최신 상태를 유지합니다.,b8_batch,01
6. コミュニティ (Community),6. 커뮤니티 (Community),b8_batch,06
6ステップ,6단계,b8_batch,08
6時間ごと,6시간마다,top500_fallback,T500
8. 成果モニタリング (Monitor),8. 성과 모니터링 (Monitor),b8_batch,06
90日リテンション,90일 리텐션,b8_batch,06
9:16縦型フルスクリーン,9:16 세로형 풀스크린,b8_batch,08
9言語で全インターフェースを利用できます。,9개 언어로 전체 인터페이스를 사용할 수 있습니다.,b8_batch,06
:{{n}}チャネル連携,:{{n}}개 채널 연동,b8_batch,01
A-Score (アトリビューション信頼度),A-Score (어트리뷰션 신뢰도),b8_batch,06
A/Bテスト,A/B 테스트,top500_fallback,T500
A/Bテストデータなし,A/B 테스트 데이터 없음,b8_batch,01
A/Bテスト実行,A/B 테스트 실행,top500_fallback,T500
A/Bテスト結果,A/B 테스트 결과,top500_fallback,T500
A/Bテスト（メール・ポップアップ）,A/B 테스트(이메일·팝업),b8_batch,06
AIがAPIキーのスキャン・連携を自動化します。,AI가 API 키 스캔과 연동을 자동화합니다.,b8_batch,01
AIがカテゴリ＋予算分析に基づいて最適なチャネルの組み合わせを推奨します。手動でチャネルを追加・削除できます。,AI가 카테고리와 예산 분석을 기반으로 최적의 채널 조합을 추천합니다. 채널은 수동으로 추가·삭제할 수 있습니다.,b8_batch,08
AIがクリエイターデータを分析中です...,AI가 크리에이터 데이터를 분석 중입니다...,top500_fallback,T500
AIがリアルタイムデータを分析し、パフォーマンスの低いチャネルから高いチャネルへ予算を自動的に再配分します。,AI가 실시간 데이터를 분석해 성과가 낮은 채널의 예산을 성과가 높은 채널로 자동 재배분합니다.,b8_batch,08
AIが提示するチャネル別戦略根拠を確認します。最適化のヒントとともに詳細に説明します。,AI가 제시한 채널별 전략 근거를 확인합니다. 최적화 팁과 함께 상세히 안내합니다.,b8_batch,08
AIが最適バリアントを自動分析しコンバージョン率最適化を推奨します。,AI가 최적의 변형을 자동 분석하여 전환율 최적화를 추천합니다.,b8_batch,01
AIが最適配分を推奨,AI가 최적 배분 추천,b8_batch,08
AIが異常検知結果に基づき収益改善策を自動提案します。,AI가 이상 감지 결과를 기반으로 수익 개선 방안을 자동 제안합니다.,b8_batch,01
AIが自動生成したドラフトです。送信前に必ず確認してください。,AI가 자동 생성한 초안입니다. 발송 전 반드시 확인해주세요.,b8_batch,01
AIが設定可能な最大CPC/CPM,AI가 설정 가능한 최대 CPC/CPM,b8_batch,01
AIが顧客セグメントを自動生成し、最適な送信時間にEmail・Kakao・SMSを自動配信します。,AI가 고객 세그먼트를 자동 생성하고 최적의 발송 시간에 Email·Kakao·SMS를 자동 발송합니다.,top500_fallback,T500
AIが顧客データを分析しセグメントを自動作成。VIPアップセル候補、離脱リスク顧客を識別し、予測売上とAIインサイトを提供します。,"AI가 고객 데이터를 분석하여 세그먼트를 자동 생성합니다. VIP 업셀 후보, 이탈 위험 고객을 식별하고 예측 매출과 AI 인사이트를 제공합니다.",b8_batch,01
AIの日次予算超過支出を防止,AI의 일일 예산 초과 지출 방지,b8_batch,01
AIの配分方法と活用法,AI 배분 방식 및 활용법,b8_batch,08
AIインサイトフィード,AI 인사이트 피드,b8_batch,06
AIインフルエンサー総合評価,AI 인플루언서 종합 평가,b8_batch,01
AIオートマーケティング,AI 오토 마케팅,top500_fallback,T500
AIオートマーケティングでキャンペーンを作成してください,AI 오토 마케팅으로 캠페인을 생성해주세요,b8_batch,08
AIガードレール設定,AI 가드레일 설정,b8_batch,01
AIクリエイティブ生成,AI 크리에이티브 생성,b8_batch,08
AIコピー,AI 카피,b8_batch,01
AIコピーライター,AI 카피라이터,b8_batch,01
AIコピーライティング,AI 카피라이팅,b8_batch,06
AIコピー生成,AI 카피 생성,b8_batch,08
AIスコア,AI 점수,b8_batch,01
AIセグメント,AI 세그먼트,b8_batch,06
AIセグメント高度（カスタム基準）,AI 세그먼트 고급(사용자 설정 기준),b8_batch,06
AIセグメント（VIP・離脱リスク・潜在VIP自動分類）,AI 세그먼트(VIP·이탈 리스크·잠재 VIP 자동 분류),b8_batch,06
AIデザイン,AI 디자인,b8_batch,08
AIデザイン·作成/編集/削除,AI 디자인·생성/편집/삭제,b8_batch,01
AIデザイン生成,AI 디자인 생성,top500_fallback,T500
AIデザイン生成中...,AI 디자인 생성 중...,b8_batch,01
AIデザイン結果,AI 디자인 결과,b8_batch,01
AIトーン設定、自動エスカレーション、Slackアラート,"AI 톤 설정, 자동 에스컬레이션, Slack 알림",b8_batch,01
AIハブを見る,AI 허브 보기,b8_batch,06
AIハブ連携済,AI 허브 연동 완료,b8_batch,06
AIプラン生成,AI 플랜 생성,b8_batch,08
AIポップアップ自動デザイン,AI 팝업 자동 디자인,b8_batch,01
AIポリシー,AI 정책,top500_fallback,T500
AIポリシー設定・ルール一覧・テスト,AI 정책 설정·규칙 목록·테스트,b8_batch,06
AIマネージャー,AI 매니저,b8_batch,06
AIマーケティングキャンペーン統合管理 · 素材·予算·成果 · リアルタイム,AI 마케팅 캠페인 통합 관리 · 소재·예산·성과 · 실시간,b8_batch,01
AIマーケティングキャンペーン統合管理・素材・予算・成果・リアルタイム,AI 마케팅 캠페인 통합 관리·소재·예산·성과·실시간,b8_batch,06
AIマーケティングハブ,AI 마케팅 허브,b8_batch,08
AIマーケティングハブを先に確認,AI 마케팅 허브 먼저 확인,b8_batch,08
AIマーケティングハブ実行結果,AI 마케팅 허브 실행 결과,b8_batch,06
AIマーケティング手法推薦,AI 마케팅 전략 추천,top500_fallback,T500
AIマーケティング推奨,AI 마케팅 추천,b8_batch,01
AIマーケティング自動化からコマース・物流統合まで、7日間無料でお試しください。専任オンボーディングチームが初日からサポートします。,AI 마케팅 자동화부터 커머스·물류 통합까지 7일간 무료로 체험해보세요. 전담 온보딩 팀이 첫날부터 지원합니다.,b8_batch,01
AIマーケティング自動化プラットフォームの完全ワークフローをステップバイステップでご案内します。,AI 마케팅 자동화 플랫폼의 전체 워크플로우를 단계별로 안내합니다.,b8_batch,08
AIマーケティング自動化（コア）,AI 마케팅 자동화(코어),b8_batch,06
AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析,AI 기반 · ROI·전환율·참여도·커미션 추천·계약 갱신 제안 + 지역·연령·성별 분석,top500_fallback,T500
AIモニタリング,AI 모니터링,top500_fallback,T500
AIルール,AI 규칙,top500_fallback,T500
AIルールエンジン,AI 규칙 엔진,b8_batch,09
AIルールエンジン — Pro以上,AI 룰 엔진 — Pro 이상,b8_batch,06
AIルールエンジンとAIポリシーからの承認リクエストがリアルタイムで表示されます。,AI 규칙 엔진과 AI 정책의 승인 요청이 실시간으로 표시됩니다.,top500_fallback,T500
AIルールエンジンの発動ログがここに表示されます,AI 규칙 엔진의 실행 로그가 여기에 표시됩니다,b8_batch,01
AIルールエンジン＆自動化（新）,AI 룰 엔진 & 자동화(신규),b8_batch,06
AI予測エンジン（新）,AI 예측 엔진(신규),b8_batch,06
AI予測コンバージョン率,AI 예측 전환율,b8_batch,01
AI予測分析ハブ,AI 예측 분석 허브,b8_batch,01
AI予測（離脱・LTV・購買確率）,AI 예측(이탈·LTV·구매 확률),b8_batch,06
AI予測（離脱・LTV）— Pro以上,AI 예측(이탈·LTV) — Pro 이상,b8_batch,06
AI予算配分エンジン,AI 예산 배분 엔진,b8_batch,09
AI予算配分ガイド,AI 예산 배분 가이드,b8_batch,09
AI分析: ベイジアン信頼度に基づく最適バリアント自動配信推奨,AI 분석: 베이지안 신뢰도 기반 최적 변형 자동 배포 추천,b8_batch,01
AI分析と改善,AI 분석 및 개선,top500_fallback,T500
AI即時レコメンド,AI 즉시 추천,b8_batch,09
AI基盤の収益改善提案,AI 기반 수익 개선 제안,b8_batch,01
AI基盤総合評価とコミッション推薦,AI 기반 종합 평가와 커미션 추천,b8_batch,06
AI広告インサイト,AI 광고 인사이트,b8_batch,06
AI広告クリエイティブ&キャンペーン,AI 광고 크리에이티브 & 캠페인,b8_batch,06
AI広告クリエイティブ生成,AI 광고 크리에이티브 생성,b8_batch,06
AI広告デザインを作成しましょう,AI 광고 디자인을 만들어보세요,b8_batch,09
AI広告デザイン・画像生成・アップロード,AI 광고 디자인·이미지 생성·업로드,b8_batch,09
AI広告デザイン作成,AI 광고 디자인 생성,b8_batch,09
AI広告素材カテゴリ → キャンペーン設定自動連携,AI 광고 소재 카테고리 → 캠페인 설정 자동 연동,b8_batch,09
AI戦略シミュレーション,AI 전략 시뮬레이션,b8_batch,09
AI戦略シミュレーションに失敗しました。もう一度お試しください。,AI 전략 시뮬레이션에 실패했습니다. 다시 시도해주세요.,b8_batch,09
AI推奨チャネル自動選択 · 変更可能,AI 추천 채널 자동 선택 · 변경 가능,b8_batch,09
AI推定セグメント（実測ではない）,AI 추정 세그먼트(실측 아님),b8_batch,01
AI推薦コミッション,AI 추천 커미션,b8_batch,01
AI搭載のオムニチャネル顧客ジャーニーを設計・自動化,AI 기반 옴니채널 고객 여정 설계·자동화,b8_batch,01
AI生成ポップアップデザイン,AI 생성 팝업 디자인,b8_batch,01
AI生成案です。送信前に確認してください。,AI 생성안입니다. 발송 전 확인해주세요.,b8_batch,01
AI生成返信ドラフト,AI 생성 답변 초안,b8_batch,01
AI画像の説明,AI 이미지 설명,b8_batch,01
AI画像生成でメールデザインを作成,AI 이미지 생성으로 이메일 디자인 만들기,b8_batch,01
AI画像説明 (例: 夏のビーチにサングラス),AI 이미지 설명 (예: 여름 해변의 선글라스),b8_batch,01
AI画像説明(例：ビーチでサングラスをかけた女性が歓声を上げる姿),AI 이미지 설명(예: 해변에서 선글라스를 쓴 여성이 환호하는 모습),b8_batch,01
AI総合スコア/グレード·コミッション最適化·契約更新勧告,AI 종합 점수/등급·커미션 최적화·계약 갱신 권고,b8_batch,01
AI自動デザイン生成,AI 자동 디자인 생성,b8_batch,01
AI自動化へ,AI 자동화로 이동,top500_fallback,T500
AI自動化プラン,AI 자동화 플랜,b8_batch,06
AI自動化ルールの実行条件・承認フロー・監査ログを構成します。,AI 자동화 규칙의 실행 조건·승인 플로우·감사 로그를 구성합니다.,top500_fallback,T500
AI自動返信ドラフト生成,AI 자동 답변 초안 생성,b8_batch,06
AI評価ランキング,AI 평가 랭킹,b8_batch,01
AI返信トーン,AI 답변 톤,top500_fallback,T500
AI返信トーン·自動エスカレーション·Slack通知設定,AI 답변 톤·자동 에스컬레이션·Slack 알림 설정,b8_batch,01
AI返信案・CSエスカレーション,AI 답변안·CS 에스컬레이션,b8_batch,01
API·パイプライン·サーバー状態,API·파이프라인·서버 상태,b8_batch,06
APIキー、コネクタ、スキーマ、監視、AI。,API 키·커넥터·스키마·모니터링·AI.,top500_fallback,T500
APIキーが必要,API 키 필요,b8_batch,09
APIキーが未連動のチャネルがあります。連動ハブでAPIキーを登録すると自動的に有効化されます。,API 키가 연동되지 않은 채널이 있습니다. 연동 허브에서 API 키를 등록하면 자동으로 활성화됩니다.,b8_batch,09
APIキーまたはOAuthで広告・コマース・CRMプラットフォームを接続してください。,API 키 또는 OAuth로 광고·커머스·CRM 플랫폼을 연결해주세요.,b8_batch,01
APIキー・Webhook・OAuth連携,API 키·Webhook·OAuth 연동,b8_batch,06
APIキー未登録チャネルデータ,API 키 미등록 채널 데이터,b8_batch,01
APIキー発行,API 키 발급,top500_fallback,T500
APIキー登録・接続テスト・自動同期,API 키 등록·연결 테스트·자동 동기화,b8_batch,01
APIキー設定,API 키 설정,top500_fallback,T500
APIチャネル接続,API 채널 연결,b8_batch,09
APIデータストリーミングエクスポート — Enterprise,API 데이터 스트리밍 내보내기 — Enterprise,b8_batch,06
APIベースデータストリーミング出力,API 기반 데이터 스트리밍 출력,b8_batch,06
APIリアルタイム注文,API 실시간 주문,b8_batch,01
APIレイテンシ、DLQエラー、バッチジョブ状態をリアルタイムで監視します。,API 지연 시간·DLQ 오류·배치 작업 상태를 실시간으로 모니터링합니다.,top500_fallback,T500
API応答時間が200msを超えた場合はインフラ点検を推奨します。,API 응답 시간이 200ms를 초과하면 인프라 점검을 추천합니다.,b8_batch,06
API連携、システム監視、データスキーマ,API 연동·시스템 모니터링·데이터 스키마,top500_fallback,T500
API連携またはCSVアップロード,API 연동 또는 CSV 업로드,b8_batch,01
AWSリージョン,AWS 리전,b8_batch,01
Amazonアカウント状態モニター,Amazon 계정 상태 모니터,b8_batch,06
Amazonポリシー・レビュー管理 — Enterprise,Amazon 정책·리뷰 관리 — Enterprise,b8_batch,06
Amazonリスク,Amazon 리스크,b8_batch,09
Aグループ比率 (%),A 그룹 비율 (%),b8_batch,01
Aスコア (アトリビューション信頼度),A 점수 (어트리뷰션 신뢰도),b8_batch,01
B2Bタブで大量注文を別途管理します。,B2B 탭에서 대량 주문을 별도로 관리합니다.,b8_batch,09
BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,BOM으로 상품 키트를 생성하고 구성품 재고를 추적하며 번들 조립/출고를 관리합니다.,b8_batch,09
BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,BOM(부품표)으로 상품 번들을 생성합니다. 구성품 재고를 추적하고 번들 세트 조립/출고를 관리합니다.,b8_batch,09
BigQuery・Snowflake・Redshift・Databricksにマーケティングデータをリアルタイム同期。ネイティブコネクタで既存BIツールと即座に統合可能。,BigQuery·Snowflake·Redshift·Databricks에 마케팅 데이터를 실시간 동기화합니다. 네이티브 커넥터로 기존 BI 도구와 즉시 통합할 수 있습니다.,b8_batch,01
Blended ROASが200%以上なら全体収益性は良好です。,Blended ROAS가 200% 이상이면 전체 수익성이 양호합니다.,b8_batch,09
Bグループ,B 그룹,b8_batch,01
CAC変動率がマイナスなら顧客獲得効率が改善されています。,CAC 변동률이 마이너스이면 고객 획득 효율이 개선되고 있습니다.,b8_batch,09
CAPIアクセストークンを生成（イベントマネージャー → 設定）,CAPI 액세스 토큰 생성 (이벤트 매니저 → 설정),b8_batch,01
CJ ロジスティクス,CJ대한통운,b8_batch,09
CPO (件当たりコスト),CPO (건당 비용),top500_fallback,T500
CRM AIセグメント,CRM AI 세그먼트,b8_batch,01
CRMへ移動,CRM으로 이동,b8_batch,09
CRMセグメント,CRM 세그먼트,top500_fallback,T500
CRMセグメント検索,CRM 세그먼트 검색,b8_batch,01
CRMセグメント設定,CRM 세그먼트 설정,top500_fallback,T500
CRMチャネル,CRM 채널,b8_batch,01
CRM同期に失敗しました。,CRM 동기화에 실패했습니다.,b8_batch,09
CRUD、AIデザイン,"CRUD, AI 디자인",b8_batch,01
CSV/Excelファイルで商品を一括登録します。,CSV/Excel 파일로 상품을 일괄 등록합니다.,b8_batch,01
CSVがダウンロードされました。,CSV가 다운로드되었습니다.,b8_batch,01
CSVインポート,CSV 가져오기,top500_fallback,T500
CSVエクスポート,CSV 내보내기,top500_fallback,T500
CSVダウンロード,CSV 다운로드,top500_fallback,T500
CSVファイルにデータがありません,CSV 파일에 데이터가 없습니다,b8_batch,01
CSVファイルをドロップしてチャネル間在庫を自動アップロードします。,CSV 파일을 드롭하여 채널 간 재고를 자동 업로드합니다.,b8_batch,06
CSVファイル解析エラー,CSV 파일 분석 오류,b8_batch,01
CSV一括インポート,CSV 일괄 가져오기,b8_batch,01
CSエスカレーション,CS 에스컬레이션,top500_fallback,T500
CSエスカレーション完了,CS 에스컬레이션 완료,b8_batch,01
CS配置済み,CS 배정 완료,b8_batch,01
CTAクリック時にこのURLに移動します。,CTA 클릭 시 이 URL로 이동합니다.,b8_batch,01
CTAボタン,CTA 버튼,b8_batch,01
CTAボタンテキスト,CTA 버튼 텍스트,b8_batch,01
Claude AI チャネルKPI分析,Claude AI 채널 KPI 분석,b8_batch,01
Claude AIがクリエイターデータを分析中です...,Claude AI가 크리에이터 데이터를 분석 중입니다...,b8_batch,01
Claude AIがチャネル・カテゴリ・ターゲットに合わせた広告素材を自動生成します,Claude AI가 채널·카테고리·타겟에 맞는 광고 소재를 자동 생성합니다,top500_fallback,T500
Claude Sonnet 3.5基盤·ROI·コンバージョン·エンゲージメント·コミッション・更新勧告,Claude Sonnet 3.5 기반·ROI·전환·참여도·커미션·갱신 권고,b8_batch,01
Coupangコネクタ,Coupang 커넥터,b8_batch,06
Coupang・Naver・Cafe24チャネル連携,Coupang·Naver·Cafe24 채널 연동,b8_batch,06
DBスキーマ,DB 스키마,b8_batch,09
DDP:販売者が関税を負担します。,DDP: 판매자가 관세를 부담합니다.,b8_batch,09
DDU:購入者が関税を負担します。,DDU: 구매자가 관세를 부담합니다.,b8_batch,09
DMメッセージ,DM 메시지,b8_batch,01
DW連携を管理します。,DW 연동을 관리합니다.,b8_batch,01
Deltaトランザクション,Delta 트랜잭션,b8_batch,01
EC売上・精算状況,EC 매출·정산 현황,b8_batch,06
ERP・PIM・WMS等既存システムと双方向データパイプラインを構成します。,ERP·PIM·WMS 등 기존 시스템과 양방향 데이터 파이프라인을 구성합니다.,top500_fallback,T500
ERP・SCM・3PL基本連携設定,ERP·SCM·3PL 기본 연동 설정,b8_batch,06
ERP・SCM・WMS全連携,ERP·SCM·WMS 전체 연동,b8_batch,06
ESGレポート,ESG 리포트,top500_fallback,T500
ESG指標をモニタリングします。,ESG 지표를 모니터링합니다.,b8_batch,06
EUユーザー向けプライバシー同意表示,EU 사용자 대상 개인정보 동의 표시,b8_batch,01
Enterpriseの申し込み方法は？,Enterprise 신청 방법은?,b8_batch,06
Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,Excel(.xlsx) 또는 CSV 파일을 업로드해 입출고 기록을 일괄 등록합니다. 샘플 파일을 다운로드해 양식을 확인해주세요.,b8_batch,09
Excelインポート,Excel 가져오기,b8_batch,01
Excelエクスポート,Excel 내보내기,top500_fallback,T500
Excelテンプレート,Excel 템플릿,b8_batch,01
Excelファイルにデータがありません,Excel 파일에 데이터가 없습니다,b8_batch,01
Excelファイルの解析に失敗しました。書式を確認してください。,Excel 파일 분석에 실패했습니다. 파일 양식을 확인해주세요.,b8_batch,09
Excelファイル解析エラー,Excel 파일 분석 오류,b8_batch,01
Exit-Intentが検出されるとポップアップが自動表示されます。,Exit-Intent이 감지되면 팝업이 자동 표시됩니다.,b8_batch,01
Exit-Intentの動作方法,Exit-Intent 동작 방식,b8_batch,01
Exit-Intentテスト,Exit-Intent 테스트,b8_batch,01
Exit-Intentテスト·リアルタイム転換,Exit-Intent 테스트·실시간 전환,b8_batch,01
Exit-Intentライブデモ,Exit-Intent 라이브 데모,b8_batch,01
Exit-Intent検出·AI自動デザイン·A/Bテスト·リアルタイムコンバージョン追跡·プラットフォーム最適化,Exit-Intent 감지·AI 자동 디자인·A/B 테스트·실시간 전환 추적·플랫폼 최적화,b8_batch,01
Eメールマーケティング,이메일 마케팅,b8_batch,09
Flexメッセージ,Flex 메시지,b8_batch,01
GA4 Enhanced Ecommerce + Google Ads コンバージョントラッキング,GA4 Enhanced Ecommerce + Google Ads 전환 추적,b8_batch,01
Geniego-ROI REST APIドキュメント、Webhook管理、JWT認証、SDK統合ガイドを提供します。,"Geniego-ROI REST API 문서, Webhook 관리, JWT 인증, SDK 통합 가이드를 제공합니다.",b8_batch,01
Geniego-ROIに統合すると ,Geniego-ROI로 통합하면 ,b8_batch,06
Geniego-ROIへようこそ！,Geniego-ROI에 오신 것을 환영합니다!,top500_fallback,T500
Geniego-ROIを導入した企業の成果を確認し、連携チャネルとソリューションの活用事例を参考にしてください。,"Geniego-ROI를 도입한 기업의 성과를 확인하고, 연동 채널과 솔루션 활용 사례를 참고해보세요.",b8_batch,01
Geniego-ROIダッシュボードの主要機能と活用方法をご案内します。リアルタイムKPIを監視し、データに基づく意思決定を行いましょう。,Geniego-ROI 대시보드의 주요 기능과 활용 방법을 안내합니다. 실시간 KPI를 모니터링하고 데이터 기반 의사결정을 시작해보세요.,b8_batch,01
Geniego-ROIプラットフォームの基本機能を即座に無料でお試しください。,Geniego-ROI 플랫폼의 기본 기능을 즉시 무료로 체험해보세요.,b8_batch,06
GeniegoROIダッシュボードの全機能を活用する方法をご案内します。各タブの役割とデータフローを理解し、リアルタイムKPIを効果的にモニタリングしましょう。,GeniegoROI 대시보드의 전체 기능을 활용하는 방법을 안내합니다. 각 탭의 역할과 데이터 플로우를 이해하고 실시간 KPI를 효과적으로 모니터링하세요.,b8_batch,06
Google Ads → ツール → コンバージョン → タグ設定 → コンバージョンIDをコピー,Google Ads → 도구 → 전환 → 태그 설정 → 전환 ID 복사,b8_batch,01
Google Analytics 4連携でサイトトラフィックの実測分析を開始,Google Analytics 4 연동으로 사이트 트래픽 실측 분석 시작,b8_batch,01
Google Analytics → 管理 → データストリーム → 測定IDをコピー,Google Analytics → 관리 → 데이터 스트림 → 측정 ID 복사,b8_batch,01
Growth全機能 + AI予測・ジャーニービルダー・グローバルチャネル・ルールエンジン・SmartConnect・1st-Partyピクセル・高度なBI。,Growth 전체 기능 + AI 예측·여정 빌더·글로벌 채널·룰 엔진·SmartConnect·1st-Party 픽셀·고급 BI.,b8_batch,06
HTTPメソッド,HTTP 메서드,b8_batch,01
ID統合·重複·チャネル検出,ID 통합·중복·채널 감지,b8_batch,06
INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,"INCOTERMS, HS 코드, 환율을 기준으로 세관용 상업 송장을 생성합니다.",b8_batch,09
IP アドレス,IP 주소,b8_batch,01
Instagram DMメッセージを入力,Instagram DM 메시지 입력,b8_batch,01
Instagram DM・Facebook DM・DMキャンペーン,Instagram DM·Facebook DM·DM 캠페인,b8_batch,06
Instagramショッピング,Instagram 쇼핑,b8_batch,09
