path,ko_current,ja_value,proposed_ko,ns,type
ruleEnginePage.dash.analyticsModules,分析モジュール,分析モジュール,,ruleEnginePage,string
ruleEnginePage.operations.todayChecklist,今日のチェックリスト,今日のチェックリスト,,ruleEnginePage,string
ruleEnginePage.operations.priorityActions,優先アクション,優先アクション,,ruleEnginePage,string
ruleEnginePage.operations.executionFeed,実行フィード,実行フィード,,ruleEnginePage,string
ruleEnginePage.operations.noActions,アクション不要,アクション不要,,ruleEnginePage,string
ruleEnginePage.operations.hubTitle,⚡ オペレーションハブ,⚡ オペレーションハブ,,ruleEnginePage,string
ruleEnginePage.operations.tabCampaigns,📣 広告キャンペーン,📣 広告キャンペーン,,ruleEnginePage,string
ruleEnginePage.operations.thProductSku,商品・SKU,商品・SKU,,ruleEnginePage,string
ruleEnginePage.operations.thSupplier,サプライヤー,サプライヤー,,ruleEnginePage,string
ruleEnginePage.operations.createCampaign,キャンペーン作成,キャンペーン作成,,ruleEnginePage,string
ruleEnginePage.operations.createCampaignBtn,キャンペーン作成,キャンペーン作成,,ruleEnginePage,string
ruleEnginePage.operations.goalType,目標タイプ,目標タイプ,,ruleEnginePage,string
ruleEnginePage.operations.applyChange,変更を適用,変更を適用,,ruleEnginePage,string
ruleEnginePage.operations.searchProduct,商品名・SKU検索...,商品名・SKU検索...,,ruleEnginePage,string
ruleEnginePage.operations.couponCode,クーポンコード,クーポンコード,,ruleEnginePage,string
ruleEnginePage.operations.priceApply,💹 価格変更を適用,💹 価格変更を適用,,ruleEnginePage,string
ruleEnginePage.operations.statusSoldout,売り切れ,売り切れ,,ruleEnginePage,string
ruleEnginePage.operations.viewProductList,商品リストを表示,商品リストを表示,,ruleEnginePage,string
ruleEnginePage.operations.costPriceMargin,原価マージン,原価マージン,,ruleEnginePage,string
ruleEnginePage.operations.tabInfluencer,🤝 インフルエンサー,🤝 インフルエンサー,,ruleEnginePage,string
ruleEnginePage.operations.heroDesc,クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。,クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。,,ruleEnginePage,string
ruleEnginePage.operations.tabProductsDesc,登録・編集・停止・価格・在庫・プロモ,登録・編集・停止・価格・在庫・プロモ,,ruleEnginePage,string
ruleEnginePage.operations.tabCampaignsDesc,作成・クリエイティブ・予算・入札,作成・クリエイティブ・予算・入札,,ruleEnginePage,string
ruleEnginePage.operations.tabPromo,🎁 クーポン/ディール/プロモ,🎁 クーポン/ディール/プロモ,,ruleEnginePage,string
ruleEnginePage.operations.tabPromoDesc,クーポン作成・ディール管理,クーポン作成・ディール管理,,ruleEnginePage,string
ruleEnginePage.operations.tabInfluencerDesc,オファー・契約・e-Sign・決済,オファー・契約・e-Sign・決済,,ruleEnginePage,string
ruleEnginePage.operations.avgMargin,平均マージン率,平均マージン率,,ruleEnginePage,string
ruleEnginePage.operations.costMargin,原価/マージン,原価/マージン,,ruleEnginePage,string
ruleEnginePage.operations.downloadExcel,📥 Excelダウンロード,📥 Excelダウンロード,,ruleEnginePage,string
ruleEnginePage.operations.noProducts,登録された商品はありません。商品を登録してください。,登録された商品はありません。商品を登録してください。,,ruleEnginePage,string
ruleEnginePage.operations.colProductSku,商品・SKU,商品・SKU,,ruleEnginePage,string
ruleEnginePage.operations.colSupplier,サプライヤー,サプライヤー,,ruleEnginePage,string
ruleEnginePage.operations.colChannelReg,チャネル登録状況,チャネル登録状況,,ruleEnginePage,string
ruleEnginePage.operations.colMarginAmt,マージン(円),マージン(円),,ruleEnginePage,string
ruleEnginePage.operations.colMargin,マージン(%),マージン(%),,ruleEnginePage,string
ruleEnginePage.operations.colChannels,チャネル数,チャネル数,,ruleEnginePage,string
ruleEnginePage.operations.btnPromo,🎁 プロモ,🎁 プロモ,,ruleEnginePage,string
ruleEnginePage.operations.modalPromo,🎁 プロモーション設定,🎁 プロモーション設定,,ruleEnginePage,string
ruleEnginePage.operations.fieldChannels,販売チャネル,販売チャネル,,ruleEnginePage,string
ruleEnginePage.operations.btnApplyPromo,🎁 プロモ適用,🎁 プロモ適用,,ruleEnginePage,string
ruleEnginePage.operations.fbUpdated,商品情報が更新されました。,商品情報が更新されました。,,ruleEnginePage,string
ruleEnginePage.operations.campaigns,件のキャンペーン,件のキャンペーン,,ruleEnginePage,string
ruleEnginePage.operations.noCampaigns,登録されたキャンペーンはありません。,登録されたキャンペーンはありません。,,ruleEnginePage,string
ruleEnginePage.operations.budgetBid,予算・入札,予算・入札,,ruleEnginePage,string
ruleEnginePage.operations.newCampaign,新規キャンペーン作成,新規キャンペーン作成,,ruleEnginePage,string
ruleEnginePage.operations.promotions,件のプロモーション,件のプロモーション,,ruleEnginePage,string
ruleEnginePage.operations.createPromo,プロモーション作成,プロモーション作成,,ruleEnginePage,string
ruleEnginePage.operations.noPromos,登録されたプロモーションはありません。,登録されたプロモーションはありません。,,ruleEnginePage,string
ruleEnginePage.operations.draft,下書き,下書き,,ruleEnginePage,string
ruleEnginePage.operations.newPromo,新規プロモーション作成,新規プロモーション作成,,ruleEnginePage,string
ruleEnginePage.operations.promoName,プロモーション名,プロモーション名,,ruleEnginePage,string
ruleEnginePage.operations.influencers,名のインフルエンサー,名のインフルエンサー,,ruleEnginePage,string
ruleEnginePage.operations.noInfluencers,登録されたインフルエンサーはいません。,登録されたインフルエンサーはいません。,,ruleEnginePage,string
ruleEnginePage.operations.guideTipTitle,活用ティップ,活用ティップ,,ruleEnginePage,string
ruleEnginePage.operations.guideTipDesc,プロモーションとAIデザインを組み合わせて活用しましょう。,プロモーションとAIデザインを組み合わせて活用しましょう。,,ruleEnginePage,string
ruleEnginePage.operations.tabCreativeDesc,AI広告デザイン・画像生成・アップロード,AI広告デザイン・画像生成・アップロード,,ruleEnginePage,string
ruleEnginePage.operations.ai_creatives,件のクリエイティブ,件のクリエイティブ,,ruleEnginePage,string
ruleEnginePage.operations.ai_createDesign,AI広告デザイン作成,AI広告デザイン作成,,ruleEnginePage,string
ruleEnginePage.operations.ai_selectPlatform,プラットフォーム選択,プラットフォーム選択,,ruleEnginePage,string
ruleEnginePage.operations.ai_plat_custom,カスタム,カスタム,,ruleEnginePage,string
ruleEnginePage.operations.ai_adTitlePh,プロモーションタイトルを入力,プロモーションタイトルを入力,,ruleEnginePage,string
ruleEnginePage.operations.ai_eventType,イベントタイプ,イベントタイプ,,ruleEnginePage,string
ruleEnginePage.operations.ai_sale,セール/割引,セール/割引,,ruleEnginePage,string
ruleEnginePage.operations.ai_seasonal,シーズンプロモ,シーズンプロモ,,ruleEnginePage,string
ruleEnginePage.operations.ai_flash,フラッシュセール,フラッシュセール,,ruleEnginePage,string
ruleEnginePage.operations.ai_brand,ブランドキャンペーン,ブランドキャンペーン,,ruleEnginePage,string
ruleEnginePage.operations.ai_descPh,広告内容を簡単に入力,広告内容を簡単に入力,,ruleEnginePage,string
ruleEnginePage.operations.ai_customPrompt,カスタムイメージプロンプト,カスタムイメージプロンプト,,ruleEnginePage,string
ruleEnginePage.operations.ai_customPromptPh,希望のイメージスタイルを入力,希望のイメージスタイルを入力,,ruleEnginePage,string
ruleEnginePage.operations.ai_customPromptHelp,空白の場合、タイトル/イベント/季節から自動生成,空白の場合、タイトル/イベント/季節から自動生成,,ruleEnginePage,string
ruleEnginePage.operations.ai_addLinkUrl,ショートカットURLリンク追加,ショートカットURLリンク追加,,ruleEnginePage,string
ruleEnginePage.operations.ai_uploadCustom,カスタム画像アップロード,カスタム画像アップロード,,ruleEnginePage,string
ruleEnginePage.operations.ai_generateAI,AIデザイン生成,AIデザイン生成,,ruleEnginePage,string
ruleEnginePage.operations.ai_saveCreative,クリエイティブ保存,クリエイティブ保存,,ruleEnginePage,string
ruleEnginePage.operations.ai_goNow,今すぐ行く,今すぐ行く,,ruleEnginePage,string
ruleEnginePage.operations.ai_emptyTitle,AI広告デザインを作成しましょう,AI広告デザインを作成しましょう,,ruleEnginePage,string
ruleEnginePage.operations.ai_emptyDesc,プラットフォーム別広告画像をAIで自動生成またはアップロード,プラットフォーム別広告画像をAIで自動生成またはアップロード,,ruleEnginePage,string
ruleEnginePage.operations.ai_forPlatform,プラットフォーム用,プラットフォーム用,,ruleEnginePage,string
ruleEnginePage.operations.ai_cat_fashion,ファッション,ファッション,,ruleEnginePage,string
ruleEnginePage.operations.ai_cat_beauty,ビューティー,ビューティー,,ruleEnginePage,string
ruleEnginePage.operations.ai_cat_tech,テクノロジー,テクノロジー,,ruleEnginePage,string
ruleEnginePage.operations.ai_cat_fitness,フィットネス,フィットネス,,ruleEnginePage,string
ruleEnginePage.operations.ai_editDesign,デザイン編集,デザイン編集,,ruleEnginePage,string
ruleEnginePage.operations.ai_changeImageTitle,画像変更リクエスト,画像変更リクエスト,,ruleEnginePage,string
ruleEnginePage.operations.ai_changeImagePh,例: 「冬のテーマにして」「食べ物の写真を追加」,例: 「冬のテーマにして」「食べ物の写真を追加」,,ruleEnginePage,string
ruleEnginePage.operations.ai_changeImageHelp,希望のイメージスタイルを入力すると、それに合わせて再生成されます。,希望のイメージスタイルを入力すると、それに合わせて再生成されます。,,ruleEnginePage,string
ruleEnginePage.operations.ai_applyCampaign,🚀 キャンペーンに適用,🚀 キャンペーンに適用,,ruleEnginePage,string
ruleEnginePage.operations.ai_confirmDelete,このクリエイティブを削除しますか？,このクリエイティブを削除しますか？,,ruleEnginePage,string
ruleEnginePage.operations.ai_dupWarningTitle,同一のクリエイティブが既に存在します,同一のクリエイティブが既に存在します,,ruleEnginePage,string
ruleEnginePage.operations.ai_dupWarningDesc,同じクリエイティブがサーバーに保存されています。,同じクリエイティブがサーバーに保存されています。,,ruleEnginePage,string
ruleEnginePage.operations.ai_serverSynced,サーバー同期完了,サーバー同期完了,,ruleEnginePage,string
ruleEnginePage.gNav.adAnalytics,広告·チャネル分析,広告·チャネル分析,,ruleEnginePage,string
ruleEnginePage.gNav.crm,顧客・CRM,顧客・CRM,,ruleEnginePage,string
ruleEnginePage.gNav.analytics,アナリティクス,アナリティクス,,ruleEnginePage,string
ruleEnginePage.gNav.automation,自動化・AIルール,自動化・AIルール,,ruleEnginePage,string
ruleEnginePage.gNav.data,データ・収集,データ・収集,,ruleEnginePage,string
ruleEnginePage.gNav.memberTools,メンバーツール,メンバーツール,,ruleEnginePage,string
ruleEnginePage.gNav.autoMarketing,AIオートマーケティング,AIオートマーケティング,,ruleEnginePage,string
ruleEnginePage.gNav.campaignManager,キャンペーン管理,キャンペーン管理,,ruleEnginePage,string
ruleEnginePage.gNav.journeyBuilder,カスタマージャーニービルダー,カスタマージャーニービルダー,,ruleEnginePage,string
ruleEnginePage.gNav.adPerformance,広告パフォーマンス,広告パフォーマンス,,ruleEnginePage,string
ruleEnginePage.gNav.budgetTracker,予算プランナー,予算プランナー,,ruleEnginePage,string
ruleEnginePage.gNav.accountPerformance,アカウントパフォーマンス,アカウントパフォーマンス,,ruleEnginePage,string
ruleEnginePage.gNav.attribution,アトリビューション分析,アトリビューション分析,,ruleEnginePage,string
ruleEnginePage.gNav.graphScore,グラフスコア,グラフスコア,,ruleEnginePage,string
ruleEnginePage.gNav.emailMarketing,Eメールマーケティング,Eメールマーケティング,,ruleEnginePage,string
ruleEnginePage.gNav.influencer,インフルエンサー・UGC,インフルエンサー・UGC,,ruleEnginePage,string
ruleEnginePage.gNav.reviewsUgc,レビュー·UGC,レビュー·UGC,,ruleEnginePage,string
ruleEnginePage.gNav.webPopup,Webポップアップ,Webポップアップ,,ruleEnginePage,string
ruleEnginePage.gNav.omniChannel,オムニチャネル,オムニチャネル,,ruleEnginePage,string
ruleEnginePage.gNav.catalog,カタログ同期,カタログ同期,,ruleEnginePage,string
ruleEnginePage.gNav.orderHub,注文センター,注文センター,,ruleEnginePage,string
ruleEnginePage.gNav.supplyChain,サプライチェーン分析,サプライチェーン分析,,ruleEnginePage,string
ruleEnginePage.gNav.returnsPortal,返品ポータル,返品ポータル,,ruleEnginePage,string
ruleEnginePage.gNav.performanceHub,パフォーマンスセンター,パフォーマンスセンター,,ruleEnginePage,string
ruleEnginePage.gNav.reportBuilder,レポートビルダー,レポートビルダー,,ruleEnginePage,string
ruleEnginePage.gNav.dataProduct,データプロダクト,データプロダクト,,ruleEnginePage,string
ruleEnginePage.gNav.aiRuleEngine,AIルールエンジン,AIルールエンジン,,ruleEnginePage,string
ruleEnginePage.gNav.alertAutomation,アラート自動化,アラート自動化,,ruleEnginePage,string
ruleEnginePage.gNav.aiPolicy,AIポリシー,AIポリシー,,ruleEnginePage,string
ruleEnginePage.gNav.writeback,データライトバック,データライトバック,,ruleEnginePage,string
ruleEnginePage.gNav.onboarding,オンボーディング,オンボーディング,,ruleEnginePage,string
ruleEnginePage.gNav.integrationHub,連動ハブ,連動ハブ,,ruleEnginePage,string
ruleEnginePage.gNav.dataSchema,データスキーマ,データスキーマ,,ruleEnginePage,string
ruleEnginePage.gNav.pixelTracking,ピクセルトラッキング,ピクセルトラッキング,,ruleEnginePage,string
ruleEnginePage.gNav.dataTrust,データトラスト,データトラスト,,ruleEnginePage,string
ruleEnginePage.gNav.workspace,ワークスペース,ワークスペース,,ruleEnginePage,string
ruleEnginePage.gNav.caseStudy,ケーススタディ,ケーススタディ,,ruleEnginePage,string
ruleEnginePage.gNav.developerHub,開発者ハブ,開発者ハブ,,ruleEnginePage,string
ruleEnginePage.gNav.platformEnv,プラットフォーム設定,プラットフォーム設定,,ruleEnginePage,string
ruleEnginePage.gNav.menuRule,メニューアクセス,メニューアクセス,,ruleEnginePage,string
ruleEnginePage.gNav.dbSchema,DBスキーマ,DBスキーマ,,ruleEnginePage,string
ruleEnginePage.gNav.serverMonitor,サーバーモニター,サーバーモニター,,ruleEnginePage,string
ruleEnginePage.gNav.aiRecommend,AI即時レコメンド,AI即時レコメンド,,ruleEnginePage,string
ruleEnginePage.gNav.budgetPlanner,予算プランナー,予算プランナー,,ruleEnginePage,string
ruleEnginePage.gNav.marketingIntel,マーケティングインテリジェンス,マーケティングインテリジェンス,,ruleEnginePage,string
ruleEnginePage.gNav.digitalShelf,デジタルシェルフ,デジタルシェルフ,,ruleEnginePage,string
ruleEnginePage.gNav.amazonRisk,Amazonリスク,Amazonリスク,,ruleEnginePage,string
ruleEnginePage.gNav.smsMarketing,SMSマーケティング,SMSマーケティング,,ruleEnginePage,string
ruleEnginePage.gNav.krChannel,韓国チャネル精算,韓国チャネル精算,,ruleEnginePage,string
ruleEnginePage.gNav.asiaLogistics,アジア物流ハブ,アジア物流ハブ,,ruleEnginePage,string
ruleEnginePage.gNav.myCoupons,マイクーポン,マイクーポン,,ruleEnginePage,string
ruleEnginePage.gNav.connectors,マスターコネクタ,マスターコネクタ,,ruleEnginePage,string
ruleEnginePage.gNav.eventNorm,イベントスキーマ,イベントスキーマ,,ruleEnginePage,string
ruleEnginePage.gNav.adminCenter,管理センター,管理センター,,ruleEnginePage,string
ruleEnginePage.gNav.systemMonitor,サーバーモニター,サーバーモニター,,ruleEnginePage,string
ruleEnginePage.gNav.menuAccessManager,メニューアクセス管理,メニューアクセス管理,,ruleEnginePage,string
ruleEnginePage.gNav.performance,パフォーマンスセンター,パフォーマンスセンター,,ruleEnginePage,string
ruleEnginePage.super.clearCanvas,キャンバスクリア,キャンバスクリア,,ruleEnginePage,string
ruleEnginePage.super.importBtn,+ インポート,+ インポート,,ruleEnginePage,string
ruleEnginePage.super.emptyTitle,精算データなし,精算データなし,,ruleEnginePage,string
ruleEnginePage.super.emptyDesc,連携ハブでチャネルを接続すると精算データが自動収集されます,連携ハブでチャネルを接続すると精算データが自動収集されます,,ruleEnginePage,string
ruleEnginePage.super.emptyGoHub,連携ハブへ移動,連携ハブへ移動,,ruleEnginePage,string
