rank,ja_value,proposed_ko
193,AIルールエンジンとAIポリシーからの承認リクエストがリアルタイムで表示されます。,AI 규칙 엔진과 AI 정책의 승인 요청이 실시간으로 표시됩니다.
194,AI分析と改善,AI 분석 및 개선
195,AI自動化へ,AI 자동화로 이동
196,AI自動化ルールの実行条件・承認フロー・監査ログを構成します。,AI 자동화 규칙의 실행 조건·승인 플로우·감사 로그를 구성합니다.
197,AI返信トーン,AI 답변 톤
198,APIキー、コネクタ、スキーマ、監視、AI。,API 키·커넥터·스키마·모니터링·AI.
199,APIキー発行,API 키 발급
200,APIレイテンシ、DLQエラー、バッチジョブ状態をリアルタイムで監視します。,API 지연 시간·DLQ 오류·배치 작업 상태를 실시간으로 모니터링합니다.
201,API連携、システム監視、データスキーマ,API 연동·시스템 모니터링·데이터 스키마
202,CRMセグメント,CRM 세그먼트
203,CRMセグメント設定,CRM 세그먼트 설정
204,CSVダウンロード,CSV 다운로드
205,CSエスカレーション,CS 에스컬레이션
206,ERP・PIM・WMS等既存システムと双方向データパイプラインを構成します。,ERP·PIM·WMS 등 기존 시스템과 양방향 데이터 파이프라인을 구성합니다.
207,Geniego-ROIへようこそ！,Geniego-ROI에 오신 것을 환영합니다!
208,LTV/CAC比率でどのチャネルが長期的に最も収益性が高いか分析します。,LTV/CAC 비율을 기반으로 어떤 채널이 장기적으로 가장 높은 수익성을 가지는지 분석합니다.
209,Meta・Google・TikTok・Naver・KakaoのAPIキー入力だけで広告データが自動収集されます。,Meta·Google·TikTok·Naver·Kakao API 키 입력만으로 광고 데이터가 자동 수집됩니다.
210,P&L、収益性、照合、ESG、レポート。,P&L·수익성·정산·ESG·리포트.
211,P&Lダッシュボード,P&L 대시보드
212,P&L分析、チャネル別収益性、ESG・レポート自動化,P&L 분석·채널별 수익성·ESG·리포트 자동화
213,Prepareを実行してカテゴリ提案を取得。,Prepare를 실행하여 카테고리 추천을 가져옵니다.
214,Prepareを実行してポリシーを検証。,Prepare를 실행하여 정책을 검증합니다.
215,REST APIキーを発行して外部システムとGeniego-ROIを統合します。,REST API 키를 발급하여 외부 시스템과 Geniego-ROI를 연동합니다.
216,ROIランキング,ROI 랭킹
217,SKU IDを選択または入力,SKU ID 선택 또는 입력
218,SKUを入力,SKU 입력
219,SKUを入力してください。,SKU를 입력해주세요.
220,SKU重み,SKU 가중치
221,SLAモニタリング,SLA 모니터링
222,Shapley Valueベースでどのチャネルが実際の売上に貢献したかを公正に測定します。,Shapley Value 기반으로 어떤 채널이 실제 매출에 기여했는지 공정하게 측정합니다.
223,Shopify・Coupang・Naver・Amazon APIを接続すると商品・在庫・注文がリアルタイム同期されます。,Shopify·Coupang·Naver·Amazon API를 연결하면 상품·재고·주문 데이터가 실시간으로 동기화됩니다.
224,Slackに承認通知を送信,Slack으로 승인 알림 전송
225,UGC/インフルエンサー,UGC/인플루언서
226,UGCレビュー,UGC 리뷰
227,VIP・離脱リスク・再購入可能な顧客をAIが自動分類します。,AI가 VIP·이탈 위험·재구매 가능 고객을 자동 분류합니다.
228,Webポップアップ,웹 팝업
229,✓ CSVダウンロード完了,✓ CSV 다운로드 완료
230,このステップ完了時の予想効果,이 단계 완료 시 예상 효과
231,アカウント別実績,계정별 실적
232,アクション実行前に5分遅延,액션 실행 전 5분 지연
233,アジア物流連携,아시아 물류 연동
234,アラートルール,알림 규칙
235,アラート条件,알림 조건
236,イベントスキーマ,이벤트 스키마
237,イベントタイプ,이벤트 유형
238,インフルエンサーIDを選択または入力,인플루언서 ID 선택 또는 입력
239,インフルエンサー・クリエイティブ・SKU・注文間のグラフネットワークを分析し、各ノードの貢献度をスコアリングします。,인플루언서·크리에이티브·SKU·주문 간 그래프 네트워크를 분석하고 각 노드의 기여도를 점수화합니다.
240,インフルエンサー重み,인플루언서 가중치
241,ウェブサイトポップアップキャンペーン管理,웹사이트 팝업 캠페인 관리
242,エスカレーション,에스컬레이션
243,エッジ重み = 貢献度指標,엣지 가중치 = 기여도 지표
244,エンゲージメント,참여도
245,エンゲージメント率,참여율
246,オンボーディング完了。Geniego-ROIでROIを最大化しましょう。,온보딩이 완료되었습니다. Geniego-ROI로 ROI를 극대화해보세요.
247,オンボーディング開始,온보딩 시작
248,オーディエンスターゲティング,오디언스 타게팅
249,カジュアル,캐주얼
250,カスタム画像アップロード,사용자 이미지 업로드
251,カテゴリ提案,카테고리 추천
252,カレンダー,캘린더
253,カレンダービュー,캘린더 보기
254,カート復旧,장바구니 복구
255,ガイド,가이드
256,キャンバスクリア,캔버스 초기화
257,キャンペーン ➔ 広告セット ➔ 広告,캠페인 ➔ 광고 세트 ➔ 광고
258,キャンペーン承認,캠페인 승인
259,キャンペーン現況,캠페인 현황
260,キャンペーン複製,캠페인 복제
261,キャンペーン設定へ移動,캠페인 설정으로 이동
262,キャンペーン階層,캠페인 계층 구조
263,キーワード分析,키워드 분석
264,クリエイター統合,크리에이터 통합
265,クリエイティブIDを選択または入力,크리에이티브 ID 선택 또는 입력
266,クリエイティブ重み,크리에이티브 가중치
267,クリエイティブ（広告素材）,크리에이티브(광고 소재)
268,クリックして選択,클릭하여 선택
269,クレーム/返品,클레임/반품
270,グローバル+国内,글로벌+국내
271,グローバル売上,글로벌 매출
272,コネクタ設定,커넥터 설정
273,コホート,코호트
274,コマースオーナー,커머스 운영자
275,コミュニティ,커뮤니티
276,コミュニティ分析,커뮤니티 분석
277,コンソール,콘솔
278,コンバージョンファネル,전환 퍼널
279,コンバージョン率平均+18%向上,평균 전환율 +18% 향상
280,サプライチェーン,공급망
281,サプライチェーンリスク早期検知,공급망 리스크 조기 감지
282,サプライチェーン管理,공급망 관리
283,サプライヤーから消費者まで全サプライチェーンの可視性をリアルタイムで確認します。,공급업체부터 소비자까지 전체 공급망 가시성을 실시간으로 확인합니다.
284,サマリーダッシュボード,요약 대시보드
285,サーバーモニター,서버 모니터
286,システム,시스템
287,シーズンイベント,시즌 이벤트
288,ジャーニーを作成する,여정 생성
289,ジャーニー一覧,여정 목록
290,ジョブ更新,작업 새로고침
291,スクロール深度,스크롤 깊이
292,スケジュール保存,일정 저장
293,スコア,점수
294,ステップ別設定案内,단계별 설정 안내
295,ステップ完了,단계 완료
296,ソース,소스
297,タイムスタンプ,타임스탬프
298,タブ別詳細ガイド,탭별 상세 가이드
299,ダッシュボードへ,대시보드로 이동
300,チャネルライトバック操作,채널 Writeback 작업
301,チャネル一覧・接続状態,채널 목록·연결 상태
302,チャネル別APIレート制限,채널별 API 레이트 제한
303,チャネル別・SKU別の実質純利益を広告費・手数料・物流費控除後にリアルタイムで確認します。,채널별·SKU별 실질 순이익을 광고비·수수료·물류비 차감 후 실시간으로 확인합니다.
304,チャネル別収益性分析,채널별 수익성 분석
305,チャネル別手数料を自動照合し、実質純利益をリアルタイム計算します。,채널별 수수료를 자동 매칭하여 실질 순이익을 실시간으로 계산합니다.
306,チャネル役割,채널 역할
307,チャネル無駄予算平均23%削減,채널 낭비 예산 평균 23% 절감
308,チャネル配分,채널 배분
309,チャンピオン,챔피언
310,チーム予算,팀 예산
311,チーム予算・KPI・収益,팀 예산·KPI·수익
312,チーム別パフォーマンス,팀별 퍼포먼스
313,チーム別分析,팀별 분석
314,チーム管理,팀 관리
315,テンプレートなし,템플릿 없음
316,テンプレートコード,템플릿 코드
317,テンプレート作成,템플릿 생성
318,テンプレート保存,템플릿 저장
319,テンプレート編集,템플릿 편집
320,デフォルトに戻す,기본값으로 복원
321,データ,데이터
322,データがありません。統合ハブでチャネルを接続し、データを収集してください。,데이터가 없습니다. 통합 허브에서 채널을 연결하고 데이터를 수집해주세요.
323,データスキーマ確認,데이터 스키마 확인
324,データソース,데이터 소스
325,データポイント,데이터 포인트
326,トップ貢献インフルエンサー,최고 기여 인플루언서
327,トリガーイベント,트리거 이벤트
328,トリガータイプ,트리거 유형
329,トリガー条件,트리거 조건
330,トレンド,트렌드
331,トレンド分析,트렌드 분석
332,トーン,톤
333,ドライランモード,드라이런 모드
334,ドラッグ＆ドロップまたはクリック,드래그 앤 드롭 또는 클릭
335,ネガティブキーワードTop 5,부정 키워드 Top 5
336,ネットワーク全体のノード数、エッジ数、トップ貢献者を一覧する総合ダッシュボード。ノードタイプ別の色分けで直感的に視覚化します。,"네트워크 전체의 노드 수, 엣지 수, 최고 기여자를 한눈에 확인할 수 있는 종합 대시보드입니다. 노드 유형별 색상 구분으로 직관적으로 시각화합니다."
337,ノードIDでフィルタ,노드 ID로 필터링
338,ノードタイプ別の重みを調整してスコアリング基準をカスタマイズします。,노드 유형별 가중치를 조정하여 스코어링 기준을 사용자 설정할 수 있습니다.
339,パフォーマンスセンター,퍼포먼스 센터
340,パフォーマンス指標,퍼포먼스 지표
341,ビジネス目標を選択,비즈니스 목표 선택
342,ビューティー・コスメ,뷰티·코스메틱
343,ピッキングエラー率0.08%以下,피킹 오류율 0.08% 이하
344,ファーストタッチ,퍼스트 터치
345,フィットネス,피트니스
346,フォーマット,포맷
347,フォーマル,포멀
348,ブログ分析,블로그 분석
349,ブロック済み,차단됨
350,プラットフォーム別コンテンツ管理·ステータス追跡·AI分析·リアルタイム同期,플랫폼별 콘텐츠 관리·상태 추적·AI 분석·실시간 동기화
351,プラットフォーム精算内容と実際入金額を自動マッチングし、未払い・誤払いを即座に検知します。,플랫폼 정산 내역과 실제 입금액을 자동 매칭하여 미지급·오지급을 즉시 감지합니다.
352,プラットフォーム選択,플랫폼 선택
353,プレビューを閉じる,미리보기 닫기
354,ベイジアンMMM,베이지안 MMM
355,ベイズ最適化で勝者バリアントを統計的に95%信頼度で自動確定します。,베이즈 최적화로 우승 변형을 통계적 95% 신뢰도로 자동 확정합니다.
356,ペイロードエディタ,페이로드 에디터
357,ホームダッシュボード,홈 대시보드
358,ポップアップ名,팝업명
359,ポップアップ編集,팝업 편집
360,ポリシー検証,정책 검증
361,ポリシー発見事項,정책 발견 사항
362,マッチング率97.6%,매칭률 97.6%
363,マルチチャネル、注文、WMS、決済、アラート。,멀티채널·주문·WMS·결제·알림.
364,マルチチャネル注文・在庫・WMS・返品統合管理,멀티채널 주문·재고·WMS·반품 통합 관리
365,マークアップ(%),마크업(%)
366,マーケター,마케터
367,マーケティング成果,마케팅 성과
368,メッセージタイプ,메시지 유형
369,メッセージテンプレート管理,메시지 템플릿 관리
370,メトリクス,메트릭
371,メトリクスカタログ,메트릭 카탈로그
372,メール通知,이메일 알림
373,ライトバックジョブなし,Writeback 작업 없음
374,ライトバックジョブログ,Writeback 작업 로그
375,ライトバック操作を実行するとジョブ履歴が表示されます。,Writeback 작업을 실행하면 작업 이력이 표시됩니다.
376,ライトバック設定・ログ,Writeback 설정·로그
377,ライブテスト,라이브 테스트
378,ラストタッチ,라스트 터치
379,ラベル,라벨
380,リアルタイムソース,실시간 소스
381,リアルタイムデータ検証,실시간 데이터 검증
382,リアルタイムログ,실시간 로그
383,リアルタイム同期有効,실시간 동기화 활성화
384,リアルタイム在庫監視,실시간 재고 모니터링
385,リスト,목록
386,リストビュー,목록 보기
387,ルール保存,규칙 저장
388,ルール同期,규칙 동기화
389,ルール追加,규칙 추가
390,レビュー & UGC,리뷰 & UGC
391,レビュー管理,리뷰 관리
392,レビュー管理設定,리뷰 관리 설정
393,レポート,리포트
394,レポート作成時間90%削減,리포트 작성 시간 90% 단축
395,レポート自動化,리포트 자동화
396,レート制限,레이트 제한
397,下の入力欄にIDを入力,아래 입력란에 ID 입력
398,予想所要: 役割あたり30分以内,예상 소요: 역할당 30분 이내
399,交渉ヒント,협상 힌트
400,今すぐ購入,지금 구매하기
401,他の役割を探索,다른 역할 탐색
402,件の脅威,건의 위협
403,低リスク自動承認,저위험 자동 승인
404,低優先度リクエストを自動承認,낮은 우선순위 요청 자동 승인
405,作成済み,생성 완료
406,保留中のリクエスト,대기 중인 요청
407,保留中の承認時にメール送信,승인 대기 시 이메일 발송
408,入庫・ピッキング・出庫・棚卸をバーコードスキャンベースで自動化します。,입고·피킹·출고·재고 조사를 바코드 스캔 기반으로 자동화합니다.
409,全5ステップ完了！,전체 5단계 완료!
410,全エッジをテーブル形式で閲覧し、ノードIDで検索・フィルタリングする探索ツールです。ソースノード、ターゲットノード、重み、ラベルを確認できます。,전체 엣지를 테이블 형식으로 조회하고 노드 ID로 검색·필터링할 수 있는 탐색 도구입니다. 소스 노드·타겟 노드·가중치·라벨을 확인할 수 있습니다.
411,全キャンペーン,전체 캠페인
412,全チャネル注文を一カ所で処理し、配送会社自動割当ルールを設定します。,전체 채널 주문을 한곳에서 처리하고 배송사 자동 할당 규칙을 설정합니다.
413,全レビュー,전체 리뷰
414,分析ジャーニー,분석 여정
415,分析ダッシュボード,분석 대시보드
416,利用可能なノードタイプ,사용 가능한 노드 유형
417,効率低下。クリエイティブ更新,효율 저하. 크리에이티브 업데이트 필요
418,収集される全イベント・注文・顧客データのスキーマと正規化ルールを確認します。,수집되는 전체 이벤트·주문·고객 데이터의 스키마 및 정규화 규칙을 확인합니다.
419,商品JSONを入力し、プレビューで実行前に検証。,상품 JSON을 입력하고 미리보기로 실행 전 검증합니다.
420,商品JSONを入力してください。,상품 JSON을 입력해주세요.
421,商品ページ,상품 페이지
422,商品・SKU,상품·SKU
423,商品別コンバージョン貢献度,상품별 전환 기여도
424,在庫アラート設定,재고 알림 설정
425,在庫切れを事前防止,품절 사전 방지
426,失敗ジョブの自動再試行,실패 작업 자동 재시도
427,安全在庫以下で即時アラート、需要予測ベースの自動発注推奨を受けます。,"안전 재고 이하 시 즉시 알림을 받고, 수요 예측 기반 자동 발주 추천을 제공합니다."
428,完了/失敗時にWebhook送信,완료/실패 시 Webhook 전송
429,完了マーク,완료 표시
430,実行ログ,실행 로그
431,実質マージン,실질 마진
432,実際のAPI呼び出しなしにシミュレーション,실제 API 호출 없이 시뮬레이션
433,対象チャネル,대상 채널
434,専用スタートガイド,전용 시작 가이드
435,平均30分以内に初回データ収集,평균 30분 이내 최초 데이터 수집
436,平均マージン率,평균 마진율
437,広告イベント,광고 이벤트
438,広告チャネル連携,광고 채널 연동
439,広告パフォーマンス分析、AIキャンペーン自動化、CRMセグメント,광고 퍼포먼스 분석·AI 캠페인 자동화·CRM 세그먼트
440,強み,강점
441,役割と指標を定義,역할 및 지표 정의
442,役割を選択してください,역할을 선택해주세요
443,役割を選択すると、30分以内に最初のインサイトを得るためのカスタマイズされた5ステップパスをご案内します。,역할을 선택하면 30분 이내에 첫 인사이트를 얻을 수 있도록 맞춤형 5단계 경로를 안내합니다.
444,役割選択に戻る,역할 선택으로 돌아가기
445,悪意ある入力が検出されブロックされました。,악성 입력이 감지되어 차단되었습니다.
446,悪意のある入力が検出され、ブロックされました。,악성 입력이 감지되어 차단되었습니다.
447,承認が必要です。承認管理で承認してください。,승인이 필요합니다. 승인 관리에서 승인해주세요.
448,承認に2段階認証が必要,승인 시 2단계 인증 필요
449,承認決定と実行ログがリアルタイムで表示されます。,승인 결정 및 실행 로그가 실시간으로 표시됩니다.
450,指標カタログ,지표 카탈로그
451,接続チャネルの手数料を反映した純貢献度です。,연결된 채널의 수수료를 반영한 순 기여도입니다.
452,接続ノード,연결 노드
453,接続済みSKU,연결된 SKU
454,接続済みインフルエンサー,연결된 인플루언서
455,接続済みクリエイティブ,연결된 크리에이티브
456,接続済み注文,연결된 주문
457,推定ソース,추정 소스
458,最も効果的なクリエイティブ,가장 효과적인 크리에이티브
459,最高スコア,최고 점수
460,期限切れ,만료됨
461,未テスト,미테스트
462,未マッピング,미매핑
463,未払い,미지급
464,棚卸し,재고 조사
465,決定ログ,결정 로그
466,注文ハブ設定,주문 허브 설정
467,注文重み,주문 가중치
468,海外配送エラー78%減少,해외 배송 오류 78% 감소
469,炭素排出・持続可能性指標を自動集計し、投資家・規制対応レポートを生成します。,탄소 배출·지속가능성 지표를 자동 집계하여 투자자·규제 대응 리포트를 생성합니다.
470,物流パートナーを登録し、自動配車ルールを設定します。,물류 파트너를 등록하고 자동 배차 규칙을 설정합니다.
471,特定SKUに貢献したクリエイティブ数、注文数、インフルエンサーランキングを分析します。メダル表示（🥇🥈🥉）で最大貢献者を可視化します。,특정 SKU에 기여한 크리에이티브 수·주문 수·인플루언서 랭킹을 분석합니다. 메달 표시(🥇🥈🥉)로 최고 기여자를 시각화합니다.
472,特定インフルエンサーのGraph Score、接続SKU数、接続注文数をKPIカードで表示。貢献パステーブルで完全な変換経路を追跡します。,특정 인플루언서의 Graph Score·연결 SKU 수·연결 주문 수를 KPI 카드로 표시합니다. 기여 경로 테이블을 통해 전체 전환 경로를 추적합니다.
473,特定クリエイティブのGraph Score、接続SKU、関連インフルエンサー、派生注文数を分析します。クリエイティブ別ROI最適化に活用できます。,특정 크리에이티브의 Graph Score·연결 SKU·관련 인플루언서·파생 주문 수를 분석합니다. 크리에이티브별 ROI 최적화에 활용할 수 있습니다.
474,画像アップロード,이미지 업로드
475,異常なアクセスが検出され、ブロックされました。しばらくしてから再試行してください。,비정상 접근이 감지되어 차단되었습니다. 잠시 후 다시 시도해주세요.
476,異常なアクセスが検出されブロックされました。,비정상 접근이 감지되어 차단되었습니다.
477,異常アクセス検出,비정상 접근 감지
478,目標値を管理,목표값 관리
479,精算データなし,정산 데이터 없음
480,経営陣用週次/月次レポートをPDF・Excelでスケジュール自動送信設定します。,경영진용 주간/월간 리포트를 PDF·Excel 형식으로 예약 자동 발송 설정합니다.
481,統合ハブへ,통합 허브로 이동
482,総エッジ数：,총 엣지 수:
483,総リクエスト,총 요청 수
484,自動エスカレーション,자동 에스컬레이션
485,自動リトライ,자동 재시도
486,自動ルーティングエンジン,자동 라우팅 엔진
487,行クリックでドリルダウン,행 클릭으로 드릴다운
488,財務・経営者,재무·경영진
489,販売チャネル連携,판매 채널 연동
490,返信を表示,답변 보기
491,返信を隠す,답변 숨기기
492,返品ポータル設定,반품 포털 설정
493,連携ハブでチャネルを接続すると精算データが自動収集されます,연동 허브에서 채널을 연결하면 정산 데이터가 자동 수집됩니다
494,運営アラート設定,운영 알림 설정
495,運用チーム,운영 팀
496,過払い,초과 지급
497,配送遅延、在庫切迫、システムエラー発生時に即座にSlack・Emailアラートを受け取ります。,배송 지연·재고 부족·시스템 오류 발생 시 즉시 Slack·Email 알림을 받습니다.
498,重み設定,가중치 설정
499,重み適用,가중치 적용
500,開始する,시작하기
