path,ko_current,ja_value,ns
ruleEnginePage.wms.auditTitle,📋 棚卸し,📋 棚卸し,ruleEnginePage
ruleEnginePage.wms.trackTitle,🔍 リアルタイム配送追跡,🔍 リアルタイム配送追跡,ruleEnginePage
ruleEnginePage.wms.trackDesc,宅配社APIで配送状態をリアルタイム照会,宅配社APIで配送状態をリアルタイム照会,ruleEnginePage
ruleEnginePage.wms.trackNumRequired,送り状番号を入力してください。,送り状番号を入力してください。,ruleEnginePage
ruleEnginePage.wms.guideStep9Title,プロモカレンダー,プロモカレンダー,ruleEnginePage
ruleEnginePage.wms.guideStep9Desc,プロモーション価格イベントを計画・予約します。,プロモーション価格イベントを計画・予約します。,ruleEnginePage
ruleEnginePage.wms.guideStep10Title,レビュー＆適用,レビュー＆適用,ruleEnginePage
ruleEnginePage.wms.guideStep10Desc,サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。,サマリータブで最適化結果をレビューします。カタログ同期で推薦価格をリアルタイムでチャネルに適用します。,ruleEnginePage
ruleEnginePage.wms.guideStep11Title,コマーシャルインボイス,コマーシャルインボイス,ruleEnginePage
ruleEnginePage.wms.guideStep11Desc,国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。,国際配送用の税関インボイスをINCOTERMS、HSコード、多通貨対応で自動生成します。,ruleEnginePage
ruleEnginePage.wms.guideStep12Title,バンドル/キットBOM,バンドル/キットBOM,ruleEnginePage
ruleEnginePage.wms.guideStep12Desc,BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,BOM（部品表）で商品バンドルを作成します。構成品の在庫を追跡し、バンドルセットを組立/出荷します。,ruleEnginePage
ruleEnginePage.wms.guideStep13Desc,連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。,連絡先、支払条件、リードタイム、評価でサプライヤーを登録・管理します。サプライヤー別発注履歴を追跡します。,ruleEnginePage
ruleEnginePage.wms.guideStep14Desc,実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。,実地棚卸を実施します。帳簿在庫と実物を比較し、差異を特定して差異報告書を作成します。,ruleEnginePage
ruleEnginePage.wms.guideTabWhDesc,倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。,倉庫を登録し、保管タイプを設定し、アクセス権限を管理し、施設別在庫レベルを監視します。,ruleEnginePage
ruleEnginePage.wms.guideTabInOutDesc,タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。,タイプ分類、参照番号、リアルタイム監査証跡ロギングで全在庫移動を記録します。,ruleEnginePage
ruleEnginePage.wms.guideTabInvDesc,不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。,不足在庫アラート、CSVインポート/エクスポート、バーコードスキャンで全倉庫の統合在庫を確認します。,ruleEnginePage
ruleEnginePage.wms.guideTabRecvDesc,入庫発注を追跡し、入庫確認すると在庫が自動更新されます。,入庫発注を追跡し、入庫確認すると在庫が自動更新されます。,ruleEnginePage
ruleEnginePage.wms.guideTabPickDesc,出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。,出庫承認ワークフローでピッキングリストを処理し、梱包伝票を印刷し、処理状況を追跡します。,ruleEnginePage
ruleEnginePage.wms.guideTabLotDesc,期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。,期限切れ間近の商品の自動アラートでロット番号と消費期限を管理します。,ruleEnginePage
ruleEnginePage.wms.guideTabReplDesc,再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。,再注文ポイントを自動検出し、安全在庫に基づく推奨数量で発注書を作成します。,ruleEnginePage
ruleEnginePage.wms.guideTabCombDesc,コスト最適化と追跡のため複数注文を単一配送に統合します。,コスト最適化と追跡のため複数注文を単一配送に統合します。,ruleEnginePage
ruleEnginePage.wms.guideTabCarrDesc,配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。,配送業者を登録し、API接続をテストし、国内外の配送パートナーを管理します。,ruleEnginePage
ruleEnginePage.wms.guideTabTrackDesc,配送業者APIによるリアルタイム配送追跡とタイムライン可視化。,配送業者APIによるリアルタイム配送追跡とタイムライン可視化。,ruleEnginePage
ruleEnginePage.wms.guideTabInvcDesc,INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。,ruleEnginePage
ruleEnginePage.wms.guideTabBdlDesc,BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。,ruleEnginePage
ruleEnginePage.wms.guideTabSupDesc,サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。,サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。,ruleEnginePage
ruleEnginePage.wms.guideTabAuditDesc,帳簿対実物比較と差異報告による実地棚卸。,帳簿対実物比較と差異報告による実地棚卸。,ruleEnginePage
ruleEnginePage.wms.ioBulkTitle,入出庫一括アップロード,入出庫一括アップロード,ruleEnginePage
ruleEnginePage.wms.ioBulkInfo,Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。,ruleEnginePage
ruleEnginePage.wms.ioBulkSampleBtn,サンプルDL,サンプルDL,ruleEnginePage
ruleEnginePage.wms.ioBulkSelectBtn,ファイル選択,ファイル選択,ruleEnginePage
ruleEnginePage.wms.ioBulkDone,{n}件が正常に登録されました！,{n}件が正常に登録されました！,ruleEnginePage
ruleEnginePage.wms.bulkXlsxError,Excelファイルの解析に失敗しました。書式を確認してください。,Excelファイルの解析に失敗しました。書式を確認してください。,ruleEnginePage
ruleEnginePage.dash.chTrendKpi,チャネル成果推移,チャネル成果推移,ruleEnginePage
ruleEnginePage.dash.KRChannel,KRチャネル,KRチャネル,ruleEnginePage
ruleEnginePage.dash.chTrend,チャネルトレンド,チャネルトレンド,ruleEnginePage
ruleEnginePage.dash.allChSummary,全チャネルサマリー,全チャネルサマリー,ruleEnginePage
ruleEnginePage.dash.genderDist,性別・年齢分布,性別・年齢分布,ruleEnginePage
ruleEnginePage.dash.channelMix,チャネル売上ミックス,チャネル売上ミックス,ruleEnginePage
ruleEnginePage.dash.liveActivity,リアルタイム活動,リアルタイム活動,ruleEnginePage
ruleEnginePage.dash.moduleShortcuts,モジュールショートカット,モジュールショートカット,ruleEnginePage
ruleEnginePage.dash.analyticsModules,分析モジュール,分析モジュール,ruleEnginePage
ruleEnginePage.operations.todayChecklist,今日のチェックリスト,今日のチェックリスト,ruleEnginePage
ruleEnginePage.operations.priorityActions,優先アクション,優先アクション,ruleEnginePage
ruleEnginePage.operations.executionFeed,実行フィード,実行フィード,ruleEnginePage
ruleEnginePage.operations.noActions,アクション不要,アクション不要,ruleEnginePage
ruleEnginePage.operations.hubTitle,⚡ オペレーションハブ,⚡ オペレーションハブ,ruleEnginePage
ruleEnginePage.operations.tabCampaigns,📣 広告キャンペーン,📣 広告キャンペーン,ruleEnginePage
ruleEnginePage.operations.goalType,目標タイプ,目標タイプ,ruleEnginePage
ruleEnginePage.operations.applyChange,変更を適用,変更を適用,ruleEnginePage
ruleEnginePage.operations.searchProduct,商品名・SKU検索...,商品名・SKU検索...,ruleEnginePage
ruleEnginePage.operations.couponCode,クーポンコード,クーポンコード,ruleEnginePage
ruleEnginePage.operations.priceApply,💹 価格変更を適用,💹 価格変更を適用,ruleEnginePage
ruleEnginePage.operations.statusSoldout,売り切れ,売り切れ,ruleEnginePage
ruleEnginePage.operations.viewProductList,商品リストを表示,商品リストを表示,ruleEnginePage
ruleEnginePage.operations.costPriceMargin,原価マージン,原価マージン,ruleEnginePage
ruleEnginePage.operations.tabInfluencer,🤝 インフルエンサー,🤝 インフルエンサー,ruleEnginePage
ruleEnginePage.operations.heroDesc,クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。,クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。,ruleEnginePage
ruleEnginePage.operations.tabProductsDesc,登録・編集・停止・価格・在庫・プロモ,登録・編集・停止・価格・在庫・プロモ,ruleEnginePage
ruleEnginePage.operations.tabCampaignsDesc,作成・クリエイティブ・予算・入札,作成・クリエイティブ・予算・入札,ruleEnginePage
ruleEnginePage.operations.tabPromo,🎁 クーポン/ディール/プロモ,🎁 クーポン/ディール/プロモ,ruleEnginePage
ruleEnginePage.operations.tabPromoDesc,クーポン作成・ディール管理,クーポン作成・ディール管理,ruleEnginePage
ruleEnginePage.operations.tabInfluencerDesc,オファー・契約・e-Sign・決済,オファー・契約・e-Sign・決済,ruleEnginePage
ruleEnginePage.operations.costMargin,原価/マージン,原価/マージン,ruleEnginePage
ruleEnginePage.operations.downloadExcel,📥 Excelダウンロード,📥 Excelダウンロード,ruleEnginePage
ruleEnginePage.operations.noProducts,登録された商品はありません。商品を登録してください。,登録された商品はありません。商品を登録してください。,ruleEnginePage
ruleEnginePage.operations.colChannelReg,チャネル登録状況,チャネル登録状況,ruleEnginePage
ruleEnginePage.operations.colMarginAmt,マージン(円),マージン(円),ruleEnginePage
ruleEnginePage.operations.colMargin,マージン(%),マージン(%),ruleEnginePage
ruleEnginePage.operations.colChannels,チャネル数,チャネル数,ruleEnginePage
ruleEnginePage.operations.btnPromo,🎁 プロモ,🎁 プロモ,ruleEnginePage
ruleEnginePage.operations.modalPromo,🎁 プロモーション設定,🎁 プロモーション設定,ruleEnginePage
ruleEnginePage.operations.fieldChannels,販売チャネル,販売チャネル,ruleEnginePage
ruleEnginePage.operations.btnApplyPromo,🎁 プロモ適用,🎁 プロモ適用,ruleEnginePage
ruleEnginePage.operations.fbUpdated,商品情報が更新されました。,商品情報が更新されました。,ruleEnginePage
ruleEnginePage.operations.campaigns,件のキャンペーン,件のキャンペーン,ruleEnginePage
ruleEnginePage.operations.noCampaigns,登録されたキャンペーンはありません。,登録されたキャンペーンはありません。,ruleEnginePage
ruleEnginePage.operations.budgetBid,予算・入札,予算・入札,ruleEnginePage
ruleEnginePage.operations.newCampaign,新規キャンペーン作成,新規キャンペーン作成,ruleEnginePage
ruleEnginePage.operations.promotions,件のプロモーション,件のプロモーション,ruleEnginePage
ruleEnginePage.operations.createPromo,プロモーション作成,プロモーション作成,ruleEnginePage
ruleEnginePage.operations.noPromos,登録されたプロモーションはありません。,登録されたプロモーションはありません。,ruleEnginePage
ruleEnginePage.operations.newPromo,新規プロモーション作成,新規プロモーション作成,ruleEnginePage
ruleEnginePage.operations.promoName,プロモーション名,プロモーション名,ruleEnginePage
ruleEnginePage.operations.influencers,名のインフルエンサー,名のインフルエンサー,ruleEnginePage
ruleEnginePage.operations.noInfluencers,登録されたインフルエンサーはいません。,登録されたインフルエンサーはいません。,ruleEnginePage
ruleEnginePage.operations.guideTipTitle,活用ティップ,活用ティップ,ruleEnginePage
ruleEnginePage.operations.guideTipDesc,プロモーションとAIデザインを組み合わせて活用しましょう。,プロモーションとAIデザインを組み合わせて活用しましょう。,ruleEnginePage
ruleEnginePage.operations.tabCreativeDesc,AI広告デザイン・画像生成・アップロード,AI広告デザイン・画像生成・アップロード,ruleEnginePage
ruleEnginePage.operations.ai_creatives,件のクリエイティブ,件のクリエイティブ,ruleEnginePage
ruleEnginePage.operations.ai_createDesign,AI広告デザイン作成,AI広告デザイン作成,ruleEnginePage
ruleEnginePage.operations.ai_adTitlePh,プロモーションタイトルを入力,プロモーションタイトルを入力,ruleEnginePage
ruleEnginePage.operations.ai_sale,セール/割引,セール/割引,ruleEnginePage
ruleEnginePage.operations.ai_seasonal,シーズンプロモ,シーズンプロモ,ruleEnginePage
ruleEnginePage.operations.ai_brand,ブランドキャンペーン,ブランドキャンペーン,ruleEnginePage
ruleEnginePage.operations.ai_descPh,広告内容を簡単に入力,広告内容を簡単に入力,ruleEnginePage
ruleEnginePage.operations.ai_customPrompt,カスタムイメージプロンプト,カスタムイメージプロンプト,ruleEnginePage
ruleEnginePage.operations.ai_customPromptPh,希望のイメージスタイルを入力,希望のイメージスタイルを入力,ruleEnginePage
ruleEnginePage.operations.ai_customPromptHelp,空白の場合、タイトル/イベント/季節から自動生成,空白の場合、タイトル/イベント/季節から自動生成,ruleEnginePage
ruleEnginePage.operations.ai_addLinkUrl,ショートカットURLリンク追加,ショートカットURLリンク追加,ruleEnginePage
ruleEnginePage.operations.ai_saveCreative,クリエイティブ保存,クリエイティブ保存,ruleEnginePage
ruleEnginePage.operations.ai_goNow,今すぐ行く,今すぐ行く,ruleEnginePage
ruleEnginePage.operations.ai_emptyTitle,AI広告デザインを作成しましょう,AI広告デザインを作成しましょう,ruleEnginePage
ruleEnginePage.operations.ai_emptyDesc,プラットフォーム別広告画像をAIで自動生成またはアップロード,プラットフォーム別広告画像をAIで自動生成またはアップロード,ruleEnginePage
ruleEnginePage.operations.ai_forPlatform,プラットフォーム用,プラットフォーム用,ruleEnginePage
ruleEnginePage.operations.ai_cat_fashion,ファッション,ファッション,ruleEnginePage
ruleEnginePage.operations.ai_cat_beauty,ビューティー,ビューティー,ruleEnginePage
ruleEnginePage.operations.ai_cat_tech,テクノロジー,テクノロジー,ruleEnginePage
ruleEnginePage.operations.ai_editDesign,デザイン編集,デザイン編集,ruleEnginePage
ruleEnginePage.operations.ai_changeImageTitle,画像変更リクエスト,画像変更リクエスト,ruleEnginePage
ruleEnginePage.operations.ai_changeImagePh,例: 「冬のテーマにして」「食べ物の写真を追加」,例: 「冬のテーマにして」「食べ物の写真を追加」,ruleEnginePage
ruleEnginePage.operations.ai_changeImageHelp,希望のイメージスタイルを入力すると、それに合わせて再生成されます。,希望のイメージスタイルを入力すると、それに合わせて再生成されます。,ruleEnginePage
ruleEnginePage.operations.ai_applyCampaign,🚀 キャンペーンに適用,🚀 キャンペーンに適用,ruleEnginePage
ruleEnginePage.operations.ai_confirmDelete,このクリエイティブを削除しますか？,このクリエイティブを削除しますか？,ruleEnginePage
ruleEnginePage.operations.ai_dupWarningTitle,同一のクリエイティブが既に存在します,同一のクリエイティブが既に存在します,ruleEnginePage
ruleEnginePage.operations.ai_dupWarningDesc,同じクリエイティブがサーバーに保存されています。,同じクリエイティブがサーバーに保存されています。,ruleEnginePage
ruleEnginePage.operations.ai_serverSynced,サーバー同期完了,サーバー同期完了,ruleEnginePage
ruleEnginePage.gNav.adAnalytics,広告·チャネル分析,広告·チャネル分析,ruleEnginePage
ruleEnginePage.gNav.crm,顧客・CRM,顧客・CRM,ruleEnginePage
ruleEnginePage.gNav.automation,自動化・AIルール,自動化・AIルール,ruleEnginePage
ruleEnginePage.gNav.data,データ・収集,データ・収集,ruleEnginePage
ruleEnginePage.gNav.memberTools,メンバーツール,メンバーツール,ruleEnginePage
ruleEnginePage.gNav.adPerformance,広告パフォーマンス,広告パフォーマンス,ruleEnginePage
ruleEnginePage.gNav.accountPerformance,アカウントパフォーマンス,アカウントパフォーマンス,ruleEnginePage
ruleEnginePage.gNav.emailMarketing,Eメールマーケティング,Eメールマーケティング,ruleEnginePage
ruleEnginePage.gNav.influencer,インフルエンサー・UGC,インフルエンサー・UGC,ruleEnginePage
ruleEnginePage.gNav.reviewsUgc,レビュー·UGC,レビュー·UGC,ruleEnginePage
ruleEnginePage.gNav.orderHub,注文センター,注文センター,ruleEnginePage
ruleEnginePage.gNav.supplyChain,サプライチェーン分析,サプライチェーン分析,ruleEnginePage
ruleEnginePage.gNav.returnsPortal,返品ポータル,返品ポータル,ruleEnginePage
ruleEnginePage.gNav.dataProduct,データプロダクト,データプロダクト,ruleEnginePage
ruleEnginePage.gNav.aiRuleEngine,AIルールエンジン,AIルールエンジン,ruleEnginePage
ruleEnginePage.gNav.alertAutomation,アラート自動化,アラート自動化,ruleEnginePage
ruleEnginePage.gNav.writeback,データライトバック,データライトバック,ruleEnginePage
ruleEnginePage.gNav.onboarding,オンボーディング,オンボーディング,ruleEnginePage
ruleEnginePage.gNav.integrationHub,連動ハブ,連動ハブ,ruleEnginePage
ruleEnginePage.gNav.dataSchema,データスキーマ,データスキーマ,ruleEnginePage
ruleEnginePage.gNav.pixelTracking,ピクセルトラッキング,ピクセルトラッキング,ruleEnginePage
ruleEnginePage.gNav.dataTrust,データトラスト,データトラスト,ruleEnginePage
ruleEnginePage.gNav.workspace,ワークスペース,ワークスペース,ruleEnginePage
ruleEnginePage.gNav.caseStudy,ケーススタディ,ケーススタディ,ruleEnginePage
ruleEnginePage.gNav.developerHub,開発者ハブ,開発者ハブ,ruleEnginePage
ruleEnginePage.gNav.platformEnv,プラットフォーム設定,プラットフォーム設定,ruleEnginePage
ruleEnginePage.gNav.menuRule,メニューアクセス,メニューアクセス,ruleEnginePage
ruleEnginePage.gNav.dbSchema,DBスキーマ,DBスキーマ,ruleEnginePage
ruleEnginePage.gNav.aiRecommend,AI即時レコメンド,AI即時レコメンド,ruleEnginePage
ruleEnginePage.gNav.marketingIntel,マーケティングインテリジェンス,マーケティングインテリジェンス,ruleEnginePage
ruleEnginePage.gNav.digitalShelf,デジタルシェルフ,デジタルシェルフ,ruleEnginePage
ruleEnginePage.gNav.amazonRisk,Amazonリスク,Amazonリスク,ruleEnginePage
ruleEnginePage.gNav.krChannel,韓国チャネル精算,韓国チャネル精算,ruleEnginePage
ruleEnginePage.gNav.asiaLogistics,アジア物流ハブ,アジア物流ハブ,ruleEnginePage
ruleEnginePage.gNav.myCoupons,マイクーポン,マイクーポン,ruleEnginePage
ruleEnginePage.gNav.connectors,マスターコネクタ,マスターコネクタ,ruleEnginePage
ruleEnginePage.gNav.adminCenter,管理センター,管理センター,ruleEnginePage
ruleEnginePage.gNav.menuAccessManager,メニューアクセス管理,メニューアクセス管理,ruleEnginePage
ruleEnginePage.super.autoFeeDesc,チャネル接続時に標準手数料率が自動適用されます,チャネル接続時に標準手数料率が自動適用されます,ruleEnginePage
ruleEnginePage.super.pageDesc,プラットフォーム別精算額追跡・手数料分析,プラットフォーム別精算額追跡・手数料分析,ruleEnginePage
ruleEnginePage.super.settingsAutoCollectDesc,連携チャネルから注文データをリアルタイムで自動収集します。,連携チャネルから注文データをリアルタイムで自動収集します。,ruleEnginePage
ruleEnginePage.super.settingsSlaMonitorDesc,チャネル別出荷SLA基準時間を監視し、違反時に即座に通知します。,チャネル別出荷SLA基準時間を監視し、違反時に即座に通知します。,ruleEnginePage
ruleEnginePage.super.settingsNotifDesc,新規注文、クレーム受付、SLA違反時にSlack/Emailで通知します。,新規注文、クレーム受付、SLA違反時にSlack/Emailで通知します。,ruleEnginePage
ruleEnginePage.super.routingNoRules,ルーティングルールがありません。ルールを追加してください。,ルーティングルールがありません。ルールを追加してください。,ruleEnginePage
ruleEnginePage.marketing.sidebarCampaignActive,🟢 {{n}}キャンペーン実行中,🟢 {{n}}キャンペーン実行中,ruleEnginePage
ruleEnginePage.marketing.guideFullTitle,📋 最初から最後まで — 完全ガイド,📋 最初から最後まで — 完全ガイド,ruleEnginePage
ruleEnginePage.marketing.guideFullSub,AIマーケティング自動化プラットフォームの完全ワークフローをステップバイステップでご案内します。,AIマーケティング自動化プラットフォームの完全ワークフローをステップバイステップでご案内します。,ruleEnginePage
ruleEnginePage.marketing.guidePhaseA,フェーズA — 開始準備,フェーズA — 開始準備,ruleEnginePage
ruleEnginePage.marketing.guidePhaseB,フェーズB — キャンペーン設計,フェーズB — キャンペーン設計,ruleEnginePage
ruleEnginePage.marketing.guidePhaseC,フェーズC — AI戦略＆クリエイティブ制作,フェーズC — AI戦略＆クリエイティブ制作,ruleEnginePage
ruleEnginePage.marketing.guidePhaseD,フェーズD — 実行＆モニタリング,フェーズD — 実行＆モニタリング,ruleEnginePage
ruleEnginePage.marketing.guidePhaseE,フェーズE — 最適化＆完了,フェーズE — 最適化＆完了,ruleEnginePage
ruleEnginePage.marketing.gf1Title,ログイン＆環境確認,ログイン＆環境確認,ruleEnginePage
ruleEnginePage.marketing.gf1Desc,ログインし、サイドバーから「AIマーケティング→自動戦略」に移動します。本番/デモ環境を確認してください。,ログインし、サイドバーから「AIマーケティング→自動戦略」に移動します。本番/デモ環境を確認してください。,ruleEnginePage
ruleEnginePage.marketing.gf2Title,APIチャネル接続,APIチャネル接続,ruleEnginePage
ruleEnginePage.marketing.gf2Desc,統合ハブでMeta、Google、Naverなどの APIキーを登録します。接続されたチャネルのみキャンペーンで使用できます。,統合ハブでMeta、Google、Naverなどの APIキーを登録します。接続されたチャネルのみキャンペーンで使用できます。,ruleEnginePage
ruleEnginePage.marketing.gf3Title,ダッシュボードKPI確認,ダッシュボードKPI確認,ruleEnginePage
ruleEnginePage.marketing.gf3Desc,ホームダッシュボードで現在のKPI、アクティブキャンペーン、チャネル別ROASを確認します。このデータがAI推奨の基盤です。,ホームダッシュボードで現在のKPI、アクティブキャンペーン、チャネル別ROASを確認します。このデータがAI推奨の基盤です。,ruleEnginePage
ruleEnginePage.marketing.gf4Desc,「②キャンペーン設定」タブで月間広告予算を選択または入力します。AIが予算レベルに基づいてチャネル推奨を最適化します。,「②キャンペーン設定」タブで月間広告予算を選択または入力します。AIが予算レベルに基づいてチャネル推奨を最適化します。,ruleEnginePage
ruleEnginePage.marketing.gf5Title,商品カテゴリ選択,商品カテゴリ選択,ruleEnginePage
ruleEnginePage.marketing.gf5Desc,11カテゴリ（美容、ファッション、食品など）から選択します。複数選択でクロス分析が可能になり精度が向上します。,11カテゴリ（美容、ファッション、食品など）から選択します。複数選択でクロス分析が可能になり精度が向上します。,ruleEnginePage
ruleEnginePage.marketing.gf6Title,広告チャネル選択,広告チャネル選択,ruleEnginePage
ruleEnginePage.marketing.gf6Desc,AIがカテゴリ＋予算分析に基づいて最適なチャネルの組み合わせを推奨します。手動でチャネルを追加・削除できます。,AIがカテゴリ＋予算分析に基づいて最適なチャネルの組み合わせを推奨します。手動でチャネルを追加・削除できます。,ruleEnginePage
ruleEnginePage.marketing.gf7Title,ターゲット＆期間設定,ターゲット＆期間設定,ruleEnginePage
ruleEnginePage.marketing.gf7Desc,キャンペーン名、実行期間（月次/四半期/半期）、ターゲットオーディエンスを設定します。AIがチャネル別最適ターゲティングを提案します。,キャンペーン名、実行期間（月次/四半期/半期）、ターゲットオーディエンスを設定します。AIがチャネル別最適ターゲティングを提案します。,ruleEnginePage
ruleEnginePage.marketing.gf8Title,AI戦略シミュレーション,AI戦略シミュレーション,ruleEnginePage
ruleEnginePage.marketing.gf8Desc,「AI戦略生成」をクリックして、チャネル別予算配分、推定インプレッション、クリック、コンバージョン、ROASを自動計算します。,「AI戦略生成」をクリックして、チャネル別予算配分、推定インプレッション、クリック、コンバージョン、ROASを自動計算します。,ruleEnginePage
ruleEnginePage.marketing.gf9Title,広告クリエイティブ制作,広告クリエイティブ制作,ruleEnginePage
ruleEnginePage.marketing.gf9Desc,「①クリエイティブスタジオ」タブで、AIがチャネル別に最適化された広告クリエイティブを自動生成します。テキスト、画像、動画に対応。,「①クリエイティブスタジオ」タブで、AIがチャネル別に最適化された広告クリエイティブを自動生成します。テキスト、画像、動画に対応。,ruleEnginePage
ruleEnginePage.marketing.gf10Title,戦略プレビュー＆調整,戦略プレビュー＆調整,ruleEnginePage
ruleEnginePage.marketing.gf10Desc,「③AIプレビュー」タブでチャネル別配分と予想KPIを確認します。スライダーで配分比率を手動調整できます。,「③AIプレビュー」タブでチャネル別配分と予想KPIを確認します。スライダーで配分比率を手動調整できます。,ruleEnginePage
ruleEnginePage.marketing.gf11Desc,戦略を確定し「承認リクエスト」をクリックします。送信前に承認モーダルで予算、ROAS、チャネルを最終確認します。,戦略を確定し「承認リクエスト」をクリックします。送信前に承認モーダルで予算、ROAS、チャネルを最終確認します。,ruleEnginePage
ruleEnginePage.marketing.gf12Title,キャンペーンマネージャーで監視,キャンペーンマネージャーで監視,ruleEnginePage
