batch,idx,sample_path,ja_value,ns,occurrences,proposed_ko
03,62,crm.aiHub.catalogSync.pnl.channelBreakdownTitle,チャネル別損益分析,crm,1,
03,63,crm.aiHub.catalogSync.channelFinalSummary,チャネル別最終サマリー,crm,1,
03,64,crm.aiHub.catalogSync.recon.guideRoleUpload,チャネル別精算データをJSON形式でアップロードします。,crm,1,
03,65,crm.aiHub.catalogSync.settlements.channelNetTitle,チャネル別純精算金,crm,1,
03,66,crm.aiHub.omniChannel.overviewTitle,チャネル別統合現況,crm,1,
03,67,crm.aiHub.reviews.channelRatingTitle,チャネル別評価,crm,1,
03,68,crm.aiHub.channelRatingTitle,チャネル別評価状況,crm,1,
03,69,crm.aiHub.catalogSync.channelPrice,チャネル別販売価格,crm,1,
03,70,crm.aiHub.omniChannel.colName,チャネル名,crm,1,
03,71,crm.aiHub.catalogSync.ihub.stepChannel,チャネル情報,crm,1,
03,72,crm.aiHub.catalogSync.pnl.channelsConnected,チャネル接続,crm,1,
03,73,crm.email.settlements.autoFeeDesc,チャネル接続時に標準手数料率が自動適用,crm,1,
03,74,crm.aiHub.catalogSync.unregisterChannelAction,チャネル接続解除,crm,1,
03,75,crm.aiHub.catalogSync.ihub.chSearch,チャネル検索...,crm,1,
03,76,crm.aiHub.catalogSync.reportBuilder.widgetChannelPie,チャネル構成比,crm,1,
03,77,crm.aiHub.catalogSync.ihub.efDesc,チャネル活動をリアルタイム監視します。,crm,1,
03,78,crm.aiHub.catalogSync.registerToChannel,チャネル登録,crm,1,
03,79,crm.aiHub.catalogSync.recon.pageDesc,チャネル精算データをアップロードし手数料ルールと自動照合します。,crm,1,
03,80,crm.email.dt.srcSettlementDesc,チャネル精算レポートのアップロード,crm,1,
03,81,crm.aiHub.omniChannel.addChannel,チャネル追加,crm,1,
03,82,crm.aiHub.sms.ihubLinked,チャネル連携済み,crm,1,
03,83,crm.email.catalogSync.selectChannelStep,チャネル選択,crm,1,
03,84,crm.aiHub.dashGuide.step3Title,チャート分析,crm,1,
03,85,crm.email.mr.apvTeamLead,チームリーダー,crm,1,
03,86,crm.aiHub.journey.lineMsgText,テキスト,crm,1,
03,87,crm.email.pxl.testEventSend,テストイベント送信,crm,1,
03,88,crm.aiHub.catalogSync.sms.connectTesting,テスト中...,crm,1,
03,89,crm.email.dt.testDone,テスト完了,crm,1,
03,90,crm.email.catalogSync.excelTemplate,テンプレートDL,crm,1,
03,91,crm.aiHub.journey.popupTemplatePh,テンプレートIDを入力,crm,1,
03,92,crm.aiHub.sms.tplEmpty,テンプレートがありません。新しいテンプレートを作成してください。,crm,1,
03,93,crm.aiHub.catalogSync.journey.tplUse,テンプレートを使用,crm,1,
03,94,crm.aiHub.sms.campSelectTpl,テンプレートを選択,crm,1,
03,95,crm.email.catalogSync.downloadTemplate,テンプレートダウンロード,crm,1,
03,96,crm.aiHub.sms.campMsgPh,テンプレート未選択時に直接入力,crm,1,
03,97,crm.aiHub.sms.tplSearch,テンプレート検索…,crm,1,
03,98,crm.aiHub.crm.email.guideTplName,テンプレート管理,crm,1,
03,99,crm.aiHub.sms.campTemplate,テンプレート選択,crm,1,
03,100,crm.aiHub.webPopup.aiThemeLabel,テーマ,crm,1,
03,101,crm.aiHub.webPopup.aiDesignDesc,テーマとトピックを入力するとAIが最適なポップアップデザインを自動生成します。,crm,1,
03,102,crm.aiHub.catalogSync.webPopup.aiDesignDesc,テーマとプラットフォームを選択するとAIが最適化されたポップアップを自動生成します。,crm,1,
03,103,crm.aiHub.catalogSync.webPopup.aiTopicPh,テーマ入力(例：春セール),crm,1,
03,104,crm.aiHub.webPopup.aiGenerating,デザイン生成中...,crm,1,
03,105,crm.email.ds.fDeviceType,デバイスタイプ,crm,1,
03,106,crm.aiHub.omniChannel.defaultWarehouse,デフォルト,crm,1,
03,107,crm.aiHub.catalogSync.settlements.importMock,デモ: 連動ハブでAPIを接続してください。,crm,1,
03,108,crm.aiHub.omniChannel.demoStatusMsg,デモモードではステータス変更が無効です。,crm,1,
03,109,crm.aiHub.omniChannel.demoTestMsg,デモモードではテストが無効です。,crm,1,
03,110,crm.aiHub.omniChannel.demoSaveMsg,デモモードでは保存が無効です。,crm,1,
03,111,crm.aiHub.catalogSync.recon.guideRoleRecon,データと手数料ルールを自動照合し差異を計算・不一致チケットを作成します。,crm,1,
03,112,crm.email.pxl.noChannelData,データなし — ピクセル収集後に確認可能,crm,1,
03,113,crm.aiHub.catalogSync.dt.lineageDesc,データの収集から処理、最終出力物への変換までの全体フローを可視化します。,crm,1,
03,114,crm.email.dt.lineageDesc,データの収集元から加工を経て最終出力までのフローを可視化します,crm,1,
03,115,crm.aiHub.catalogSync.recon.tabUpload,データアップロード,crm,1,
03,116,crm.email.conn.dwTitle,データウェアハウス — 分析データ自動同期,crm,1,
03,117,crm.email.conn.dwConnectPrompt,データウェアハウス接続後マーケティングデータを自動同期します,crm,1,
03,118,crm.email.dt.sourceOverview,データソース別信頼度状況,crm,1,
03,119,crm.aiHub.catalogSync.dt.sourceOverview,データソース概要,crm,1,
03,120,crm.email.dt.metaStep2,データソース追加 → ウェブサイト → Pixel IDをコピー,crm,1,
03,121,crm.email.ds.tabPipelineDesc,データパイプライン,crm,1,
03,122,crm.email.conn.dwArchTitle,データパイプラインアーキテクチャ,crm,1,
03,123,crm.email.ds.dataFlowSummary,データフロー要約,crm,1,
03,124,crm.email.dt.tabLineage,データリネージ,crm,1,
03,125,crm.email.dt.lineageTitle,データリネージマップ,crm,1,
03,126,crm.email.dt.improveTitle,データ信頼度の向上方法,crm,1,
03,127,crm.email.dt.trustScore,データ信頼度スコア,crm,1,
03,128,crm.aiHub.catalogSync.ds.tabPipelineDesc,データ収集・処理フロー,crm,1,
03,129,crm.aiHub.catalogSync.dt.guideRoleQuality,データ品質は3段階（リアルタイム/推定/未接続）に分類され、API直接連携で最高等級を取得できます。,crm,1,
03,130,crm.aiHub.catalogSync.dt.heroDesc,データ品質・信頼性・系譜を統合管理し、Trust Scoreをリアルタイム監視します。,crm,1,
03,131,crm.aiHub.catalogSync.dt.qualityTitle,データ品質基準,crm,1,
03,132,crm.email.dt.qualityTitle,データ品質基準表,crm,1,
03,133,crm.email.ds.pipeDQ,データ品質検証,crm,1,
03,134,crm.email.dt.lineageValidation,データ検証,crm,1,
03,135,crm.email.dt.tabOverview,データ現況,crm,1,
03,136,crm.email.dt.auditTitle,データ監査ログ,crm,1,
03,137,crm.aiHub.catalogSync.dt.tabLineage,データ系譜,crm,1,
03,138,crm.aiHub.catalogSync.dt.lineageTitle,データ系譜マップ,crm,1,
03,139,crm.aiHub.catalogSync.dt.guideRoleLineage,データ系譜マップはソース→処理→出力の全体フローを可視化してデータの透明性を保証します。,crm,1,
03,140,crm.email.pxl.loading,データ読み込み中...,crm,1,
03,141,crm.aiHub.webPopup.aiTopicLabel,トピック/商品名,crm,1,
03,142,crm.aiHub.sms.tplCat_transaction,トランザクション,crm,1,
03,143,crm.aiHub.catalogSync.webPopup.guideSettingsDesc,トリガー·Cookie·GDPR·モバイル,crm,1,
03,144,crm.aiHub.webPopup.guideGuideDesc,トリガー、GDPR管理,crm,1,
03,145,crm.aiHub.catalogSync.webPopup.triggerType,トリガー種類,crm,1,
03,146,crm.aiHub.dashGuide.step3Desc,トレンドチャート、チャネル比較チャートなどでデータを視覚的に分析できます。,crm,1,
03,147,crm.aiHub.reviews.noTrendData,トレンドデータがありません,crm,1,
03,148,crm.aiHub.catalogSync.reviews.noTrendData,トレンドデータなし,crm,1,
03,149,crm.aiHub.catalogSync.ds.tabSchemaDesc,ドメイン別フィールド定義,crm,1,
03,150,crm.aiHub.catalogSync.reviews.negKeywordsTitle,ネガティブキーワードTOP,crm,1,
03,151,crm.aiHub.reviews.autoAlertDesc,ネガティブキーワード急増時Slackに自動通知,crm,1,
03,152,crm.aiHub.negKeywordAlert,ネガティブキーワード急増時Slack自動通知,crm,1,
03,153,crm.aiHub.catalogSync.reviews.autoAlertDesc,ネガティブキーワード急増時にSlack/メールで即時通知されます。,crm,1,
03,154,crm.aiHub.reviews.slackWebhookSub,ネガティブキーワード急増時に自動通知を受け取るSlack Webhook URLを入力してください。,crm,1,
03,155,crm.aiHub.catalogSync.reviews.escalationBody,ネガティブレビューがCSチームにエスカレーションされました。,crm,1,
03,156,crm.aiHub.reviews.bulkEscalate,ネガティブレビュー一括エスカレーション,crm,1,
03,157,crm.aiHub.catalogSync.reviews.slackWebhookSub,ネガティブレビュー通知を受けるSlackチャネルのWebhook URLを入力してください。,crm,1,
03,158,crm.aiHub.catalogSync.reviews.autoEscalateDesc,ネガティブレビュー（1〜2星）検出時にCSチームへ自動エスカレーションします。,crm,1,
03,159,crm.aiHub.catalogSync.reviews.bulkEscalate,ネガティブ一括エスカレーション,crm,1,
03,160,crm.aiHub.journey.clickToEdit,ノードをクリックして編集,crm,1,
03,161,crm.aiHub.journey.deleteNode,ノードを削除,crm,1,
03,162,crm.aiHub.journey.nodeName,ノード名,crm,1,
03,163,crm.aiHub.journey.nodeSettings,ノード設定,crm,1,
03,164,crm.aiHub.catalogSync.ihub.backToHub,ハブに戻る,crm,1,
03,165,crm.aiHub.webPopup.guideSettingsDesc,バリアント比較,crm,1,
03,166,crm.aiHub.catalogSync.webPopup.guideABDesc,バリアント比較·CTR分析·勝者判定,crm,1,
03,167,crm.aiHub.catalogSync.ds.tabPipeline,パイプライン,crm,1,
03,168,crm.aiHub.crm.email.lblPassword,パスワード,crm,1,
03,169,crm.aiHub.catalogSync.devHub.searchPlaceholder,パス・説明を検索...,crm,1,
03,170,crm.aiHub.catalogSync.reportBuilder.tplPerformance,パフォーマンスレポート,crm,1,
03,171,crm.aiHub.catalogSync.devHub.params,パラメータ,crm,1,
03,172,crm.aiHub.catalogSync.pnl.paramSettings,パラメータ設定,crm,1,
03,173,crm.aiHub.catalogSync.pnl.guideSecForecast,パラメータ調整で将来の損益をシミュレーションします。,crm,1,
03,174,crm.aiHub.catalogSync.boxPerPlLabel,パレットあたりの箱数,crm,1,
03,175,crm.aiHub.catalogSync.validationPl,パレットごとの箱の数を入力してください。,crm,1,
03,176,crm.aiHub.catalogSync.palletDetailsTitle,パレットの詳細,crm,1,
03,177,crm.email.conn.dwFeaturePartition,パーティショニング自動化,crm,1,
03,178,crm.aiHub.catalogSync.cat_beauty_skincare,ビューティー > スキンケア,crm,1,
03,179,crm.aiHub.catalogSync.cat_beauty_makeup,ビューティー > メイクアップ,crm,1,
03,180,crm.aiHub.catalogSync.dt.tabPixel,ピクセル,crm,1,
03,181,crm.aiHub.catalogSync.dt.improveStep2,ピクセル/コンバージョン追跡を設定してください,crm,1,
03,182,crm.email.pxl.createSuccess,ピクセルが作成されました,crm,1,
03,183,crm.email.pxl.noDataDesc,ピクセルをインストールすると分析データが収集されます。まずピクセル設定タブでピクセルを作成してください。,crm,1,
03,184,crm.email.pxl.pixelList,ピクセル一覧,crm,1,
03,185,crm.email.pxl.createPixelBtn,ピクセル作成,crm,1,
03,186,crm.email.dt.tiktokStep2,ピクセル作成 → Pixel ID + Access Tokenをコピー,crm,1,
03,187,crm.email.pxl.pixelName,ピクセル名,crm,1,
03,188,crm.email.pxl.nameRequired,ピクセル名を入力してください,crm,1,
03,189,crm.email.dt.qualityNoneEx1,ピクセル未連携のコンバージョンデータ,crm,1,
03,190,crm.email.dt.srcAdROASDesc,ピクセル未連携時は推定値を使用,crm,1,
03,191,crm.email.pxl.tabSettings,ピクセル設定,crm,1,
03,192,crm.email.dt.tabPixel,ピクセル連携,crm,1,
03,193,crm.email.dt.pixelDesc,ピクセル連携により、ROAS・コンバージョンデータが推定値から実測値に切り替わります,crm,1,
03,194,crm.aiHub.catalogSync.cat_fashion_accessories,ファッション > アクセサリー,crm,1,
03,195,crm.aiHub.catalogSync.cat_fashion_clothing,ファッション > 衣類,crm,1,
03,196,crm.aiHub.catalogSync.caseStudy.industry_fashion,ファッション・ビューティー,crm,1,
03,197,crm.aiHub.catalogSync.caseStudy.filterLabel,フィルター,crm,1,
03,198,crm.email.ds.pipeFieldMap,フィールドマッピング・通貨変換,crm,1,
03,199,crm.aiHub.catalogSync.ds.thField,フィールド名,crm,1,
03,200,crm.email.aiPolicy.cfgFreqCap,フリークエンシーキャップ,crm,1,
03,201,crm.aiHub.catalogSync.fullSync,フル同期,crm,1,
03,202,crm.aiHub.journey.kakaoFriendtalk,フレンドトーク,crm,1,
03,203,crm.aiHub.catalogSync.ihub.memberBrandName,ブランド名,crm,1,
03,204,crm.aiHub.journey.guideNodePush,プッシュ通知を送信します。,crm,1,
03,205,crm.aiHub.journey.pushTitle,プッシュ通知タイトル,crm,1,
03,206,crm.aiHub.journey.pushBody,プッシュ通知内容,crm,1,
03,207,crm.email.ds.flowPlatformApi,プラットフォームAPI,crm,1,
03,208,crm.email.ds.fContentId,プラットフォームコンテンツID,crm,1,
03,209,crm.email.ds.fPlatform,プラットフォームコード,crm,1,
03,210,crm.email.ds.fHandle,プラットフォームハンドル,crm,1,
03,211,crm.email.mr.tabPlatform,プラットフォームマッピング,crm,1,
03,212,crm.email.mr.pfSubtitle,プラットフォームマッピングレジストリ — 変更時に自動で承認キューに登録されます,crm,1,
03,213,crm.email.ds.pipeFieldMapDesc,プラットフォーム別→標準スキーママッピング,crm,1,
03,214,crm.email.settlements.pageDesc,プラットフォーム別精算額追跡・手数料分析・元帳照合,crm,1,
03,215,crm.aiHub.catalogSync.recon.platformFeeRate,プラットフォーム手数料率,crm,1,
03,216,crm.email.mr.dedPlatformBurden,プラットフォーム負担,crm,1,
03,217,crm.aiHub.catalogSync.ihub.licPlanInfo,プラン情報,crm,1,
03,218,crm.aiHub.crm.aiSegVipInsight,プレミアムアップグレードの提案に適しています。,crm,1,
03,219,crm.aiHub.crm.email.lblProvider,プロバイダー,crm,1,
03,220,crm.aiHub.catalogSync.sms.tplCat_promotion,プロモ,crm,1,
03,221,crm.aiHub.catalogSync.betaMode,ベータモード,crm,1,
03,222,crm.aiHub.crm.page,ページ,crm,1,
03,223,crm.aiHub.actionPresets.pageTitle,ページタイトル,crm,1,
03,224,crm.aiHub.journey.conditionPageVisited,ページ訪問,crm,1,
03,225,crm.email.ds.ruleWhitelistD0,ホワイトリスト D-0 期限切,crm,1,
03,226,crm.email.ds.ruleWhitelistD30,ホワイトリスト満了 D-30,crm,1,
03,227,crm.email.ds.ruleWhitelistD7,ホワイトリスト満了 D-7,crm,1,
03,228,crm.aiHub.kpiPosRate,ポジティブ率,crm,1,
03,229,crm.aiHub.catalogSync.webPopup.uploadApply,ポップアップとして登録,crm,1,
03,230,crm.aiHub.catalogSync.webPopup.aiApply,ポップアップとして適用,crm,1,
03,231,crm.aiHub.webPopup.uploadApply,ポップアップに適用,crm,1,
03,232,crm.aiHub.webPopup.previewNow,ポップアップをプレビュー,crm,1,
03,233,crm.aiHub.webPopup.noAbTestsDesc,ポップアップを作成してA/Bテストを有効にすると結果がリアルタイムで表示されます。,crm,1,
03,234,crm.aiHub.webPopup.linkUrlDesc,ポップアップクリック時のランディングページURL,crm,1,
03,235,crm.aiHub.journey.popupTemplate,ポップアップテンプレート,crm,1,
03,236,crm.aiHub.webPopup.popupPerf,ポップアップパフォーマンス,crm,1,
03,237,crm.aiHub.catalogSync.webPopup.createPopup,ポップアップ作成,crm,1,
03,238,crm.aiHub.catalogSync.webPopup.popupPerf,ポップアップ実績,crm,1,
03,239,crm.aiHub.webPopup.bodyPh,ポップアップ本文...,crm,1,
03,240,crm.email.aiPolicy.badgePolicies,ポリシー,crm,1,
03,241,crm.email.aiPolicy.noPoliciesDesc,ポリシーを作成してください,crm,1,
03,242,crm.email.aiPolicy.policyFired,ポリシーイベント,crm,1,
03,243,crm.email.aiPolicy.policyCreated,ポリシー作成済み,crm,1,
03,244,crm.email.aiPolicy.savePolicy,ポリシー保存,crm,1,
03,245,crm.email.aiPolicy.totalPolicies,ポリシー合計,crm,1,
03,246,crm.email.aiPolicy.addPolicy,ポリシー追加,crm,1,
03,247,crm.email.aiPolicy.noGovernanceDesc,ポリシー適用ログがここに表示されます,crm,1,
03,248,crm.aiHub.aiPortfolioInsights,ポートフォリオ戦略インサイト,crm,1,
03,249,crm.aiHub.aiPortfolioSummary,ポートフォリオ総合分析,crm,1,
