ko_value,count,path,ja_value,en_value,suggested_ko
Filter User,1,pages.marketingIntel.auditLog.filterUser,Filter User,Filter User,사용자 필터
No Logs,1,pages.marketingIntel.auditLog.noLogs,No Logs,No Logs,로그가 없습니다
Auto Order Mode,1,pages.marketingIntel.autoOrderMode,Auto Order Mode,Auto Order Mode,자동 주문 모드
⚙️ Automation Rules List,1,pages.marketingIntel.autoRules,⚙️ Automation Rules List,⚙️ Automation Rules List,⚙️ 자동화 규칙 목록
Avg Confidence,1,pages.marketingIntel.avgConfidence,Avg Confidence,Avg Confidence,평균 신뢰도
Avg Eng Rate,1,pages.marketingIntel.avgEngRate,Avg Eng Rate,Avg Eng Rate,평균 참여율
Badge Ai Rec,1,pages.marketingIntel.badgeAiRec,Badge Ai Rec,Badge Ai Rec,AI 추천 배지
All Segments,1,pages.marketingIntel.campaignMgr.allSegments,All Segments,All Segments,전체 세그먼트
Type Automation,1,pages.marketingIntel.campaignMgr.typeAutomation,Type Automation,Type Automation,자동화 유형
Campaign R O I,1,pages.marketingIntel.campaignROI,Campaign R O I,Campaign R O I,캠페인 ROI
Cart Rate,1,pages.marketingIntel.cartRate,Cart Rate,Cart Rate,장바구니 전환율
Cart To Buy,1,pages.marketingIntel.cartToBuy,Cart To Buy,Cart To Buy,장바구니 → 구매
Channel Demand,1,pages.marketingIntel.channelDemand,Channel Demand,Channel Demand,채널 수요
Channel Detail,1,pages.marketingIntel.channelDetail,Channel Detail,Channel Detail,채널 상세
Condition Line Clicked,1,pages.marketingIntel.conditionLineClicked,Condition Line Clicked,Condition Line Clicked,조건: LINE 클릭
Condition Purchased,1,pages.marketingIntel.conditionPurchased,Condition Purchased,Condition Purchased,조건: 구매 완료
Conf Label,1,pages.marketingIntel.confLabel,Conf Label,Conf Label,신뢰도
Backup History,1,pages.marketingIntel.dbAdmin.backupHistory,Backup History,Backup History,백업 이력
Backup Now,1,pages.marketingIntel.dbAdmin.backupNow,Backup Now,Backup Now,지금 백업
Db Connected,1,pages.marketingIntel.dbAdmin.dbConnected,Db Connected,Db Connected,DB 연결 완료
Last Backup,1,pages.marketingIntel.dbAdmin.lastBackup,Last Backup,Last Backup,최근 백업
Query Result,1,pages.marketingIntel.dbAdmin.queryResult,Query Result,Query Result,쿼리 결과
Run Query,1,pages.marketingIntel.dbAdmin.runQuery,Run Query,Run Query,쿼리 실행
Slow Queries,1,pages.marketingIntel.dbAdmin.slowQueries,Slow Queries,Slow Queries,슬로우 쿼리
Tab Backup,1,pages.marketingIntel.dbAdmin.tabBackup,Tab Backup,Tab Backup,백업
Tab Query,1,pages.marketingIntel.dbAdmin.tabQuery,Tab Query,Tab Query,쿼리
Tab Status,1,pages.marketingIntel.dbAdmin.tabStatus,Tab Status,Tab Status,상태
Total Size,1,pages.marketingIntel.dbAdmin.totalSize,Total Size,Total Size,전체 용량
Total Tables,1,pages.marketingIntel.dbAdmin.totalTables,Total Tables,Total Tables,전체 테이블 수
Dim Channel,1,pages.marketingIntel.dimChannel,Dim Channel,Dim Channel,채널 차원
Content type,1,pages.marketingIntel.dimContent,Content type,Content type,콘텐츠 유형
Dim Coupon,1,pages.marketingIntel.dimCoupon,Dim Coupon,Dim Coupon,쿠폰 차원
Dim Customer,1,pages.marketingIntel.dimCustomer,Dim Customer,Dim Customer,고객 차원
Dim Device,1,pages.marketingIntel.dimDevice,Dim Device,Dim Device,디바이스 차원
Dim Tier,1,pages.marketingIntel.dimTier,Dim Tier,Dim Tier,등급 차원
Dim Time,1,pages.marketingIntel.dimTime,Dim Time,Dim Time,시간 차원
Dim Touch,1,pages.marketingIntel.dimTouch,Dim Touch,Dim Touch,터치 차원
Email Sender Ph,1,pages.marketingIntel.emailSenderPh,Email Sender Ph,Email Sender Ph,발신자 이메일을 입력해주세요
Engagement Trend,1,pages.marketingIntel.engagementTrend,Engagement Trend,Engagement Trend,참여도 추이
Final Cvr,1,pages.marketingIntel.finalCvr,Final Cvr,Final Cvr,최종 전환율
Forecast30d,1,pages.marketingIntel.forecast30d,Forecast30d,Forecast30d,30일 예측
Forecast30d Total,1,pages.marketingIntel.forecast30dTotal,Forecast30d Total,Forecast30d Total,30일 예측 합계
Forecast7d Total,1,pages.marketingIntel.forecast7dTotal,Forecast7d Total,Forecast7d Total,7일 예측 합계
Impression count,1,pages.marketingIntel.funnelImp,Impression count,Impression count,노출 수
Funnel Total,1,pages.marketingIntel.funnelTotal,Funnel Total,Funnel Total,전체 퍼널
🎯 What you can do with this menu,1,pages.marketingIntel.helpPanel.canDo,🎯 What you can do with this menu,🎯 What you can do with this menu,🎯 이 메뉴에서 할 수 있는 작업
Current Page Help,1,pages.marketingIntel.helpPanel.currentPageHelp,Current Page Help,Current Page Help,현재 페이지 도움말
