ko_value,count,path,ja_value,en_value,suggested_ko
ROAS Analysis,1,pages.pricingDetail.growth_s2i2,ROAS Analysis,ROAS Analysis,ROAS 분석
Channel KPI (Impressions·CTR·CVR·CPA/CPC),1,pages.pricingDetail.growth_s2i4,Channel KPI (Impressions·CTR·CVR·CPA/CPC),Channel KPI (Impressions·CTR·CVR·CPA/CPC),채널 KPI(노출·CTR·CVR·CPA/CPC)
ROAS Calculator,1,pages.pricingDetail.growth_s2i5,ROAS Calculator,ROAS Calculator,ROAS 계산기
Customer CRM (Basic),1,pages.pricingDetail.growth_s3,Customer CRM (Basic),Customer CRM (Basic),고객 CRM(기본)
Customer DB·360° View·Tag Management,1,pages.pricingDetail.growth_s3i1,Customer DB·360° View·Tag Management,Customer DB·360° View·Tag Management,고객 DB·360° 뷰·태그 관리
RFM Analysis·Segment Builder·Message Send,1,pages.pricingDetail.growth_s3i2,RFM Analysis·Segment Builder·Message Send,RFM Analysis·Segment Builder·Message Send,RFM 분석·세그먼트 빌더·메시지 발송
Email Campaign (Send·A/B·Performance·Schedule),1,pages.pricingDetail.growth_s3i3,Email Campaign (Send·A/B·Performance·Schedule),Email Campaign (Send·A/B·Performance·Schedule),이메일 캠페인(발송·A/B 테스트·성과·예약)
Kakao Notification·FriendTalk·Stats,1,pages.pricingDetail.growth_s3i4,Kakao Notification·FriendTalk·Stats,Kakao Notification·FriendTalk·Stats,카카오 알림톡·친구톡·통계
SMS/LMS Campaign·Text Templates,1,pages.pricingDetail.growth_s3i5,SMS/LMS Campaign·Text Templates,SMS/LMS Campaign·Text Templates,SMS/LMS 캠페인·문자 템플릿
Exit Popup·Web Popup (Basic),1,pages.pricingDetail.growth_s3i6,Exit Popup·Web Popup (Basic),Exit Popup·Web Popup (Basic),이탈 팝업·웹 팝업(기본)
Commerce & Logistics (Domestic),1,pages.pricingDetail.growth_s4,Commerce & Logistics (Domestic),Commerce & Logistics (Domestic),커머스·물류(국내)
Coupang·Naver·Cafe24 Channel Integration,1,pages.pricingDetail.growth_s4i1,Coupang·Naver·Cafe24 Channel Integration,Coupang·Naver·Cafe24 Channel Integration,쿠팡·네이버·Cafe24 채널 연동
Order Hub (All Orders·Claims·Returns·Shipping),1,pages.pricingDetail.growth_s4i2,Order Hub (All Orders·Claims·Returns·Shipping),Order Hub (All Orders·Claims·Returns·Shipping),주문 허브(주문·클레임·반품·배송 통합 관리)
Bulk Product Register·Catalog Sync·Price Rules,1,pages.pricingDetail.growth_s4i3,Bulk Product Register·Catalog Sync·Price Rules,Bulk Product Register·Catalog Sync·Price Rules,대량 상품 등록·카탈로그 동기화·가격 규칙
Basic WMS (Stock·Alerts·Inbound·Outbound),1,pages.pricingDetail.growth_s4i4,Basic WMS (Stock·Alerts·Inbound·Outbound),Basic WMS (Stock·Alerts·Inbound·Outbound),기본 WMS(재고·알림·입고·출고)
Monthly Settlement·Shipping·Excel Export,1,pages.pricingDetail.growth_s4i5,Monthly Settlement·Shipping·Excel Export,Monthly Settlement·Shipping·Excel Export,월별 정산·배송·Excel 내보내기
3PL Carrier List View,1,pages.pricingDetail.growth_s4i6,3PL Carrier List View,3PL Carrier List View,3PL 운송사 목록 조회
Analytics & Performance,1,pages.pricingDetail.growth_s5,Analytics & Performance,Analytics & Performance,분석·성과
Performance Summary·Channel·Product·Campaign,1,pages.pricingDetail.growth_s5i1,Performance Summary·Channel·Product·Campaign,Performance Summary·Channel·Product·Campaign,성과 요약·채널·상품·캠페인
P&L Overview,1,pages.pricingDetail.growth_s5i2,P&L Overview,P&L Overview,P&L 개요
AI Insight Feed,1,pages.pricingDetail.growth_s5i3,AI Insight Feed,AI Insight Feed,AI 인사이트 피드
Custom Report·Excel Export,1,pages.pricingDetail.growth_s5i4,Custom Report·Excel Export,Custom Report·Excel Export,맞춤 리포트·Excel 내보내기
Settlement & Finance,1,pages.pricingDetail.growth_s6,Settlement & Finance,Settlement & Finance,정산·재무
Settlement History·Channel·Excel,1,pages.pricingDetail.growth_s6i1,Settlement History·Channel·Excel,Settlement History·Channel·Excel,정산 이력·채널·Excel
Payment List·Excel,1,pages.pricingDetail.growth_s6i2,Payment List·Excel,Payment List·Excel,결제 목록·Excel
Plan View·Billing History·Invoice,1,pages.pricingDetail.growth_s6i3,Plan View·Billing History·Invoice,Plan View·Billing History·Invoice,플랜 조회·결제 이력·인보이스
License Activation·Status,1,pages.pricingDetail.growth_s6i4,License Activation·Status,License Activation·Status,라이선스 활성화·상태
Channel & Data Integration (Domestic),1,pages.pricingDetail.growth_s7,Channel & Data Integration (Domestic),Channel & Data Integration (Domestic),채널·데이터 연동(국내)
Meta·Google·TikTok·Naver·Kakao Ad Integration,1,pages.pricingDetail.growth_s7i1,Meta·Google·TikTok·Naver·Kakao Ad Integration,Meta·Google·TikTok·Naver·Kakao Ad Integration,Meta·Google·TikTok·네이버·카카오 광고 연동
Coupang Connector,1,pages.pricingDetail.growth_s7i2,Coupang Connector,Coupang Connector,쿠팡 커넥터
Currency Selection (KRW/USD/JPY/EUR Global),1,pages.pricingDetail.growth_s7i3,Currency Selection (KRW/USD/JPY/EUR Global),Currency Selection (KRW/USD/JPY/EUR Global),통화 선택(KRW/USD/JPY/EUR 글로벌)
Team Management,1,pages.pricingDetail.growth_s8,Team Management,Team Management,팀 관리
Team Member List·Invite,1,pages.pricingDetail.growth_s8i1,Team Member List·Invite,Team Member List·Invite,팀원 목록·초대
My Activity History,1,pages.pricingDetail.growth_s8i2,My Activity History,My Activity History,내 활동 이력
Support Ticket,1,pages.pricingDetail.growth_s8i3,Support Ticket,Support Ticket,지원 티켓
Growth_tagline,1,pages.pricingDetail.growth_tagline,Growth_tagline,Growth_tagline,그로스 플랜 태그라인
Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,1,pages.pricingDetail.pro_desc,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,그로스 전체 기능 + AI 예측·여정 빌더·글로벌 채널·룰 엔진·SmartConnect·퍼스트파티 픽셀·고급 BI 제공
Pro_headline,1,pages.pricingDetail.pro_headline,Pro_headline,Pro_headline,프로 플랜
Writeback Instant Rollback — Enterprise,1,pages.pricingDetail.pro_l1,Writeback Instant Rollback — Enterprise,Writeback Instant Rollback — Enterprise,Writeback 즉시 롤백 — 엔터프라이즈
Amazon Policy·Review Mgmt — Enterprise,1,pages.pricingDetail.pro_l2,Amazon Policy·Review Mgmt — Enterprise,Amazon Policy·Review Mgmt — Enterprise,Amazon 정책·리뷰 관리 — 엔터프라이즈
Market Share·Trend AI — Enterprise,1,pages.pricingDetail.pro_l3,Market Share·Trend AI — Enterprise,Market Share·Trend AI — Enterprise,시장 점유율·트렌드 AI — 엔터프라이즈
Data Product SLA·Governance — Enterprise,1,pages.pricingDetail.pro_l4,Data Product SLA·Governance — Enterprise,Data Product SLA·Governance — Enterprise,데이터 프로덕트 SLA·거버넌스 — 엔터프라이즈
SmartConnect Partner API Bidirectional — Enterprise,1,pages.pricingDetail.pro_l5,SmartConnect Partner API Bidirectional — Enterprise,SmartConnect Partner API Bidirectional — Enterprise,SmartConnect 파트너 API 양방향 연동 — 엔터프라이즈
Influencer DB·Campaign Execution — Enterprise,1,pages.pricingDetail.pro_l6,Influencer DB·Campaign Execution — Enterprise,Influencer DB·Campaign Execution — Enterprise,인플루언서 DB·캠페인 운영 — 엔터프라이즈
Audit Log Full Export — Enterprise,1,pages.pricingDetail.pro_l7,Audit Log Full Export — Enterprise,Audit Log Full Export — Enterprise,감사 로그 전체 내보내기 — 엔터프라이즈
Auto Report·Scheduled Send — Enterprise,1,pages.pricingDetail.pro_l8,Auto Report·Scheduled Send — Enterprise,Auto Report·Scheduled Send — Enterprise,자동 리포트·예약 발송 — 엔터프라이즈
API Data Streaming Export — Enterprise,1,pages.pricingDetail.pro_l9,API Data Streaming Export — Enterprise,API Data Streaming Export — Enterprise,API 데이터 스트리밍 내보내기 — 엔터프라이즈
AI Forecast Engine (New),1,pages.pricingDetail.pro_s1,AI Forecast Engine (New),AI Forecast Engine (New),AI 예측 엔진(신규)
Real-time FX + Team Mgmt,1,pages.pricingDetail.pro_s10,Real-time FX + Team Mgmt,Real-time FX + Team Mgmt,실시간 환율·팀 관리
Real-time Exchange Rate (Global Currency),1,pages.pricingDetail.pro_s10i1,Real-time Exchange Rate (Global Currency),Real-time Exchange Rate (Global Currency),실시간 환율(글로벌 통화)
Team Activity Audit,1,pages.pricingDetail.pro_s10i2,Team Activity Audit,Team Activity Audit,팀 활동 감사
System Status·API Monitoring,1,pages.pricingDetail.pro_s10i3,System Status·API Monitoring,System Status·API Monitoring,시스템 상태·API 모니터링
Batch Job Run·Reprocess,1,pages.pricingDetail.pro_s10i4,Batch Job Run·Reprocess,Batch Job Run·Reprocess,배치 작업 실행·재처리
Churn·LTV·Purchase Probability Forecast,1,pages.pricingDetail.pro_s1i1,Churn·LTV·Purchase Probability Forecast,Churn·LTV·Purchase Probability Forecast,이탈·LTV·구매 확률 예측
Graph Scoring,1,pages.pricingDetail.pro_s1i2,Graph Scoring,Graph Scoring,그래프 스코어링
Next Best Action Recommendation,1,pages.pricingDetail.pro_s1i3,Next Best Action Recommendation,Next Best Action Recommendation,다음 최적 액션 추천
Product Recommendation AI,1,pages.pricingDetail.pro_s1i4,Product Recommendation AI,Product Recommendation AI,상품 추천 AI
AI Ad Insights,1,pages.pricingDetail.pro_s1i5,AI Ad Insights,AI Ad Insights,AI 광고 인사이트
AI Segment (VIP·Churn Risk·Potential VIP Auto-classify),1,pages.pricingDetail.pro_s1i6,AI Segment (VIP·Churn Risk·Potential VIP Auto-classify),AI Segment (VIP·Churn Risk·Potential VIP Auto-classify),AI 세그먼트(VIP·이탈 위험·잠재 VIP 자동 분류)
Customer Journey Builder (New),1,pages.pricingDetail.pro_s2,Customer Journey Builder (New),Customer Journey Builder (New),고객 여정 빌더(신규)
Journey Canvas (Drag&Drop),1,pages.pricingDetail.pro_s2i1,Journey Canvas (Drag&Drop),Journey Canvas (Drag&Drop),여정 캔버스(드래그 앤 드롭)
Trigger Setup·Action Node Management,1,pages.pricingDetail.pro_s2i2,Trigger Setup·Action Node Management,Trigger Setup·Action Node Management,트리거 설정·액션 노드 관리
Journey Performance Stats Analysis,1,pages.pricingDetail.pro_s2i3,Journey Performance Stats Analysis,Journey Performance Stats Analysis,여정 성과 통계 분석
A/B Test (Email·Popup),1,pages.pricingDetail.pro_s2i4,A/B Test (Email·Popup),A/B Test (Email·Popup),A/B 테스트(이메일·팝업)
Global Channel All (New),1,pages.pricingDetail.pro_s3,Global Channel All (New),Global Channel All (New),글로벌 채널 통합(신규)
Shopify·Amazon·LINE Ads Integration,1,pages.pricingDetail.pro_s3i1,Shopify·Amazon·LINE Ads Integration,Shopify·Amazon·LINE Ads Integration,Shopify·Amazon·LINE Ads 연동
WhatsApp Broadcast·Automation,1,pages.pricingDetail.pro_s3i2,WhatsApp Broadcast·Automation,WhatsApp Broadcast·Automation,WhatsApp 브로드캐스트·자동화
Instagram DM·Facebook DM·DM Campaign,1,pages.pricingDetail.pro_s3i3,Instagram DM·Facebook DM·DM Campaign,Instagram DM·Facebook DM·DM Campaign,Instagram DM·Facebook DM·DM 캠페인
LINE Message Campaign·Statistics,1,pages.pricingDetail.pro_s3i4,LINE Message Campaign·Statistics,LINE Message Campaign·Statistics,LINE 메시지 캠페인·통계
Popup A/B Test·Trigger Setup,1,pages.pricingDetail.pro_s3i5,Popup A/B Test·Trigger Setup,Popup A/B Test·Trigger Setup,팝업 A/B 테스트·트리거 설정
Advanced WMS + Commerce Expansion,1,pages.pricingDetail.pro_s4,Advanced WMS + Commerce Expansion,Advanced WMS + Commerce Expansion,고급 WMS·커머스 확장
Stock Adjustment·Location Mgmt·Barcode Integration,1,pages.pricingDetail.pro_s4i1,Stock Adjustment·Location Mgmt·Barcode Integration,Stock Adjustment·Location Mgmt·Barcode Integration,재고 조정·위치 관리·바코드 연동
Monthly Settlement Integration·Tax Invoice·Payment Approval,1,pages.pricingDetail.pro_s4i2,Monthly Settlement Integration·Tax Invoice·Payment Approval,Monthly Settlement Integration·Tax Invoice·Payment Approval,월별 정산 연동·세금계산서·결제 승인
3PL Add·Edit,1,pages.pricingDetail.pro_s4i3,3PL Add·Edit,3PL Add·Edit,3PL 추가·수정
Collection Log Basic View,1,pages.pricingDetail.pro_s4i4,Collection Log Basic View,Collection Log Basic View,수집 로그 기본 보기
AI Rule Engine & Automation (New),1,pages.pricingDetail.pro_s5,AI Rule Engine & Automation (New),AI Rule Engine & Automation (New),AI 룰 엔진·자동화(신규)
AI Policy Setup·Rule List·Test,1,pages.pricingDetail.pro_s5i1,AI Policy Setup·Rule List·Test,AI Policy Setup·Rule List·Test,AI 정책 설정·룰 목록·테스트
Alert Evaluation Model,1,pages.pricingDetail.pro_s5i2,Alert Evaluation Model,Alert Evaluation Model,알림 평가 모델
Action Preset Management,1,pages.pricingDetail.pro_s5i3,Action Preset Management,Action Preset Management,액션 프리셋 관리
Approval Decision Automation,1,pages.pricingDetail.pro_s5i5,Approval Decision Automation,Approval Decision Automation,승인 결정 자동화
Review & UGC Analytics (New),1,pages.pricingDetail.pro_s6,Review & UGC Analytics (New),Review & UGC Analytics (New),리뷰·UGC 분석(신규)
Channel Review Collection·Sentiment Analysis,1,pages.pricingDetail.pro_s6i1,Channel Review Collection·Sentiment Analysis,Channel Review Collection·Sentiment Analysis,채널 리뷰 수집·감성 분석
AI Auto-Reply Draft Generation,1,pages.pricingDetail.pro_s6i2,AI Auto-Reply Draft Generation,AI Auto-Reply Draft Generation,AI 자동 답변 초안 생성
UGC (Instagram·YouTube) Performance Analysis,1,pages.pricingDetail.pro_s6i3,UGC (Instagram·YouTube) Performance Analysis,UGC (Instagram·YouTube) Performance Analysis,UGC(Instagram·YouTube) 성과 분석
SmartConnect Hub (New),1,pages.pricingDetail.pro_s7,SmartConnect Hub (New),SmartConnect Hub (New),SmartConnect 허브(신규)
ERP·SCM·3PL Basic Integration Setup,1,pages.pricingDetail.pro_s7i1,ERP·SCM·3PL Basic Integration Setup,ERP·SCM·3PL Basic Integration Setup,ERP·SCM·3PL 기본 연동 설정
REST API / Webhook / SFTP Integration,1,pages.pricingDetail.pro_s7i2,REST API / Webhook / SFTP Integration,REST API / Webhook / SFTP Integration,REST API·Webhook·SFTP 연동
Field Mapping Setup,1,pages.pricingDetail.pro_s7i3,Field Mapping Setup,Field Mapping Setup,필드 매핑 설정
Basic Sync Log View,1,pages.pricingDetail.pro_s7i4,Basic Sync Log View,Basic Sync Log View,기본 동기화 로그 보기
1st-Party Pixel + Data,1,pages.pricingDetail.pro_s8,1st-Party Pixel + Data,1st-Party Pixel + Data,퍼스트파티 픽셀·데이터
Pixel Code Install·Verification,1,pages.pricingDetail.pro_s8i1,Pixel Code Install·Verification,Pixel Code Install·Verification,픽셀 코드 설치·검증
Real-time Event Stream View,1,pages.pricingDetail.pro_s8i2,Real-time Event Stream View,Real-time Event Stream View,실시간 이벤트 스트림 보기
Attribution Analysis (Touch Model·ROAS),1,pages.pricingDetail.pro_s8i3,Attribution Analysis (Touch Model·ROAS),Attribution Analysis (Touch Model·ROAS),어트리뷰션 분석(터치 모델·ROAS)
Event Collection·Data Schema·Mapping,1,pages.pricingDetail.pro_s8i4,Event Collection·Data Schema·Mapping,Event Collection·Data Schema·Mapping,이벤트 수집·데이터 스키마·매핑
API Key·Webhook·OAuth Integration,1,pages.pricingDetail.pro_s8i5,API Key·Webhook·OAuth Integration,API Key·Webhook·OAuth Integration,API 키·Webhook·OAuth 연동
