ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Automatic budget alert system.,1,crm.aiHub.guideTabBudgetDesc,Automatic budget alert system.,Automatic budget alert system.,
Budget Alerts,1,crm.aiHub.guideTabBudgetName,Budget Alerts,Budget Alerts,
AI-powered ad copy generator.,1,crm.aiHub.guideTabCopyDesc,AI-powered ad copy generator.,AI-powered ad copy generator.,
AI Copywriter,1,crm.aiHub.guideTabCopyName,AI Copywriter,AI Copywriter,
AI ad image generator with 16 scene types.,1,crm.aiHub.guideTabCreativeDesc,AI ad image generator with 16 scene types.,AI ad image generator with 16 scene types.,
Email and KakaoTalk status.,1,crm.aiHub.guideTabCrmDesc,Email and KakaoTalk status.,Email and KakaoTalk status.,
CRM Channels,1,crm.aiHub.guideTabCrmName,CRM Channels,CRM Channels,
KPI targets vs actuals.,1,crm.aiHub.guideTabDetailDesc,KPI targets vs actuals.,KPI targets vs actuals.,
Detail Analysis,1,crm.aiHub.guideTabDetailName,Detail Analysis,Detail Analysis,
Gantt chart visualization.,1,crm.aiHub.guideTabGanttDesc,Gantt chart visualization.,Gantt chart visualization.,
Live KPI monitoring.,1,crm.aiHub.guideTabMonitorDesc,Live KPI monitoring.,Live KPI monitoring.,
Real-time Monitor,1,crm.aiHub.guideTabMonitorName,Real-time Monitor,Real-time Monitor,
All campaigns displayed as filterable cards.,1,crm.aiHub.guideTabOverviewDesc,All campaigns displayed as filterable cards.,All campaigns displayed as filterable cards.,
Campaign Overview,1,crm.aiHub.guideTabOverviewName,Campaign Overview,Campaign Overview,
Comprehensive ROI analysis.,1,crm.aiHub.guideTabRoiDesc,Comprehensive ROI analysis.,Comprehensive ROI analysis.,
ROI Analysis,1,crm.aiHub.guideTabRoiName,ROI Analysis,ROI Analysis,
Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,1,crm.aiHub.heroSub,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,
No fee data,1,crm.aiHub.noFeeData,No fee data,No fee data,
Campaign name,1,crm.email.campaignMgr.colName,Campaign name,Campaign Name,
Add Product,1,crm.email.catalogSync.addProduct,Add Product,Add Product,
All Status,1,crm.email.catalogSync.allStatus,All Status,All Status,
Auto Sync,1,crm.email.catalogSync.autoSync,Auto Sync,Auto Sync,
Auto Sync Desc,1,crm.email.catalogSync.autoSyncDesc,Auto Sync Desc,Auto Sync Desc,
Col Margin,1,crm.email.catalogSync.colMargin,Col Margin,Col Margin,
Cost Breakdown,1,crm.email.catalogSync.costBreakdown,Cost Breakdown,Cost Breakdown,
Discount Rate,1,crm.email.catalogSync.discountRate,Discount Rate,Discount Rate,
Product Cost Auto,1,crm.email.catalogSync.productCostAuto,Product Cost Auto,Product Cost Auto,
Product Count,1,crm.email.catalogSync.productCount,Product Count,Product Count,
Spec Label,1,crm.email.catalogSync.specLabel,Spec Label,Spec Label,
Sync Now,1,crm.email.catalogSync.syncNow,Sync Now,Sync Now,
Upload Image,1,crm.email.catalogSync.uploadImage,Upload Image,Upload Image,
 C S V,1,CSV,, C S V,
Fixed Perf,1,fixedPerf,,Fixed+Performance,
Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,1,gAttr.subtitle,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,
🔗 Markov+Uplift,1,gAttr.tabMarkovLabel,🔗 Markov+Uplift,🔗 Markov+Uplift,
Ridge+Adstock+Hill,1,gAttr.tabMmmDesc,Ridge+Adstock+Hill,Ridge+Adstock+Hill,
🎯 Exact Shapley,1,gAttr.tabShapleyLabel,🎯 Exact Shapley,🎯 Exact Shapley,
🟡 MOCK Data,1,graph.mockData,🟡 MOCK Data,🟡 MOCK Data,
🟡 MOCK Results,1,graph.mockResult,🟡 MOCK Results,🟡 MOCK Results,
No Edge — Register Node/Edge in Tab above,1,graph.noEdge,No Edge — Register Node/Edge in Tab above,No Edge — Register Node/Edge in Tab above,
❓ Q&A,1,help.tabFaq,❓ Q&A,❓ Q&A,
💚 LINE,1,journeyBuilder.nodeTypes.line,💚 LINE,💚 LINE,
📱 SMS,1,journeyBuilder.nodeTypes.sms,📱 SMS,📱 SMS,
Ad Analytics,1,marketing.gNav.adAnalytics,Ad Analytics,Ad Analytics,
AI Insights,1,marketing.gNav.aiInsights,AI Insights,AI Insights,
AI Marketing,1,marketing.gNav.aiMarketing,AI Marketing,AI Marketing,
AI Comms,1,marketing.gNav.aiMarketingHub,AI Comms,AI Comms,
AI Recommend,1,marketing.gNav.aiRecommend,AI Recommend,AI Recommend,
AI Rule Engine,1,marketing.gNav.aiRuleEngine,AI Rule Engine,AI Rule Engine,
Alert Automation,1,marketing.gNav.alertAutomation,Alert Automation,Alert Automation,
Alert Policies,1,marketing.gNav.alertPolicies,Alert Policies,Alert Policies,
Insights & Reports,1,marketing.gNav.analytics,Insights & Reports,Insights & Reports,
API Keys,1,marketing.gNav.apiKeys,API Keys,API Keys,
Audit Logs,1,marketing.gNav.auditLog,Audit Logs,Audit Logs,
Auto Strategy,1,marketing.gNav.autoMarketing,Auto Strategy,Auto Strategy,
Automation Systems,1,marketing.gNav.automation,Automation Systems,Automation Systems,
Case Study,1,marketing.gNav.caseStudy,Case Study,Case Study,
Catalog Sync,1,marketing.gNav.catalog,Catalog Sync,Catalog Sync,
Commerce & Logistics,1,marketing.gNav.commerce,Commerce & Logistics,Commerce & Logistics,
CRM & Channels,1,marketing.gNav.crm,CRM & Channels,CRM & Channels,
CRM Dashboard,1,marketing.gNav.crmMain,CRM Dashboard,CRM Dashboard,
Data & Integration,1,marketing.gNav.data,Data & Integration,Data & Integration,
Data Products,1,marketing.gNav.dataProduct,Data Products,Data Products,
Data Trust Center,1,marketing.gNav.dataTrust,Data Trust Center,Data Trust Center,
Developer Hub,1,marketing.gNav.developerHub,Developer Hub,Developer Hub,
Finance & Settlement,1,marketing.gNav.finance,Finance & Settlement,Finance & Settlement,
Help Center,1,marketing.gNav.help,Help Center,Help Center,
Influencer Mgmt,1,marketing.gNav.influencer,Influencer Mgmt,Influencer Mgmt,
Integration Hub,1,marketing.gNav.integrationHub,Integration Hub,Integration Hub,
Kakao Business,1,marketing.gNav.kakaoChannel,Kakao Business,Kakao Business,
Mapping Registry,1,marketing.gNav.mappingRegistry,Mapping Registry,Mapping Registry,
System Admin,1,marketing.gNav.memberTools,System Admin,System Admin,
Omni Channel,1,marketing.gNav.omniChannel,Omni Channel,Omni Channel,
Onboarding Map,1,marketing.gNav.onboarding,Onboarding Map,Onboarding Map,
Operations Manual,1,marketing.gNav.operations,Operations Manual,Operations Manual,
Pixel Tracking,1,marketing.gNav.pixelTracking,Pixel Tracking,Pixel Tracking,
P&L Analytics,1,marketing.gNav.pnl,P&L Analytics,P&L Analytics,
Returns Portal,1,marketing.gNav.returnsPortal,Returns Portal,Returns Portal,
Reviews & UGC,1,marketing.gNav.reviewsUgc,Reviews & UGC,Reviews & UGC,
Settlements,1,marketing.gNav.settlements,Settlements,Settlements,
Supply Chain,1,marketing.gNav.supplyChain,Supply Chain,Supply Chain,
Workspace Setting,1,marketing.gNav.workspace,Workspace Setting,Workspace Setting,
Data Writeback,1,marketing.gNav.writeback,Data Writeback,Data Writeback,
🌱 ESG,1,nav.pages.performance.tabEsg,,,
Unified Ops Cockpit · v421,1,nav.sub,Unified Ops Cockpit · v421,Unified Ops Cockpit · v421,
Demo environment — data isolated from production,1,omniChannel.demoIsolation,,,
Action Presets,1,pages.actionPresets.title,Action Presets,Action Presets,
Review & UGC Analytics,1,pages.cmpRow.r10,Review & UGC Analytics,Review & UGC Analytics,
Commerce Channels,1,pages.cmpRow.r11,Commerce Channels,Commerce Channels,
WMS (Stock·In/Out),1,pages.cmpRow.r12,WMS (Stock·In/Out),WMS (Stock·In/Out),
3PL Management,1,pages.cmpRow.r13,3PL Management,3PL Management,
Amazon Advanced Operations,1,pages.cmpRow.r14,Amazon Advanced Operations,Amazon Advanced Operations,
Analytics & Performance (Cohort·P&L),1,pages.cmpRow.r15,Analytics & Performance (Cohort·P&L),Analytics & Performance (Cohort·P&L),
AI Rule Engine & Automation,1,pages.cmpRow.r16,AI Rule Engine & Automation,AI Rule Engine & Automation,
1st-Party Pixel,1,pages.cmpRow.r18,1st-Party Pixel,1st-Party Pixel,
Data Pipeline & API,1,pages.cmpRow.r19,Data Pipeline & API,Data Pipeline & API,
AI Ad Creative & Campaign Mgmt,1,pages.cmpRow.r2,AI Ad Creative & Campaign Mgmt,AI Ad Creative & Campaign Mgmt,
Data Product Governance,1,pages.cmpRow.r20,Data Product Governance,Data Product Governance,
BI Reports,1,pages.cmpRow.r21,BI Reports,BI Reports,
Currency Selection (Global),1,pages.cmpRow.r22,Currency Selection (Global),Currency Selection (Global),
Influencer Management,1,pages.cmpRow.r23,Influencer Management,Influencer Management,
Ops Hub (Batch·Reprocess),1,pages.cmpRow.r24,Ops Hub (Batch·Reprocess),Ops Hub (Batch·Reprocess),
Audit Log,1,pages.cmpRow.r25,Audit Log,Audit Log,
