ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
My Team & Help,1,pages.pricingDetail.free_s2,My Team & Help,My Team & Help,
Video Tutorials,1,pages.pricingDetail.free_s2i2,Video Tutorials,Video Tutorials,
Release Notes,1,pages.pricingDetail.free_s2i3,Release Notes,Release Notes,
Subscription & Billing,1,pages.pricingDetail.free_s3,Subscription & Billing,Subscription & Billing,
View Current Plan,1,pages.pricingDetail.free_s3i1,View Current Plan,View Current Plan,
Upgrade Plan,1,pages.pricingDetail.free_s3i2,Upgrade Plan,Upgrade Plan,
Free_tagline,1,pages.pricingDetail.free_tagline,Free_tagline,Free_tagline,
Grow your revenue with domestic commerce channels and basic CRM automation.,1,pages.pricingDetail.growth_desc,Grow your revenue with domestic commerce channels and basic CRM automation.,Grow your revenue with domestic commerce channels and basic CRM automation.,
Growth_headline,1,pages.pricingDetail.growth_headline,Growth_headline,Growth_headline,
AI Forecast (Churn·LTV) — Pro+,1,pages.pricingDetail.growth_l1,AI Forecast (Churn·LTV) — Pro+,AI Forecast (Churn·LTV) — Pro+,
Customer Journey Builder — Pro+,1,pages.pricingDetail.growth_l2,Customer Journey Builder — Pro+,Customer Journey Builder — Pro+,
Global Channels (WhatsApp·LINE·DM) — Pro+,1,pages.pricingDetail.growth_l3,Global Channels (WhatsApp·LINE·DM) — Pro+,Global Channels (WhatsApp·LINE·DM) — Pro+,
AI Rule Engine — Pro+,1,pages.pricingDetail.growth_l4,AI Rule Engine — Pro+,AI Rule Engine — Pro+,
1st-Party Pixel·API Keys — Pro+,1,pages.pricingDetail.growth_l5,1st-Party Pixel·API Keys — Pro+,1st-Party Pixel·API Keys — Pro+,
SmartConnect ERP Integration — Pro+,1,pages.pricingDetail.growth_l6,SmartConnect ERP Integration — Pro+,SmartConnect ERP Integration — Pro+,
AI Marketing Automation (Core),1,pages.pricingDetail.growth_s1,AI Marketing Automation (Core),AI Marketing Automation (Core),
AI Ad Creative Generation,1,pages.pricingDetail.growth_s1i1,AI Ad Creative Generation,AI Ad Creative Generation,
Campaign Setup·Manage·List·Report,1,pages.pricingDetail.growth_s1i2,Campaign Setup·Manage·List·Report,Campaign Setup·Manage·List·Report,
Alert Policy List & Logs,1,pages.pricingDetail.growth_s1i5,Alert Policy List & Logs,Alert Policy List & Logs,
Ad & Channel Analytics (Domestic),1,pages.pricingDetail.growth_s2,Ad & Channel Analytics (Domestic),Ad & Channel Analytics (Domestic),
Ad Summary·Channel·Product Analysis,1,pages.pricingDetail.growth_s2i1,Ad Summary·Channel·Product Analysis,Ad Summary·Channel·Product Analysis,
ROAS Analysis,1,pages.pricingDetail.growth_s2i2,ROAS Analysis,ROAS Analysis,
Channel KPI (Impressions·CTR·CVR·CPA/CPC),1,pages.pricingDetail.growth_s2i4,Channel KPI (Impressions·CTR·CVR·CPA/CPC),Channel KPI (Impressions·CTR·CVR·CPA/CPC),
ROAS Calculator,1,pages.pricingDetail.growth_s2i5,ROAS Calculator,ROAS Calculator,
Customer CRM (Basic),1,pages.pricingDetail.growth_s3,Customer CRM (Basic),Customer CRM (Basic),
Customer DB·360° View·Tag Management,1,pages.pricingDetail.growth_s3i1,Customer DB·360° View·Tag Management,Customer DB·360° View·Tag Management,
RFM Analysis·Segment Builder·Message Send,1,pages.pricingDetail.growth_s3i2,RFM Analysis·Segment Builder·Message Send,RFM Analysis·Segment Builder·Message Send,
Email Campaign (Send·A/B·Performance·Schedule),1,pages.pricingDetail.growth_s3i3,Email Campaign (Send·A/B·Performance·Schedule),Email Campaign (Send·A/B·Performance·Schedule),
Kakao Notification·FriendTalk·Stats,1,pages.pricingDetail.growth_s3i4,Kakao Notification·FriendTalk·Stats,Kakao Notification·FriendTalk·Stats,
SMS/LMS Campaign·Text Templates,1,pages.pricingDetail.growth_s3i5,SMS/LMS Campaign·Text Templates,SMS/LMS Campaign·Text Templates,
Exit Popup·Web Popup (Basic),1,pages.pricingDetail.growth_s3i6,Exit Popup·Web Popup (Basic),Exit Popup·Web Popup (Basic),
Commerce & Logistics (Domestic),1,pages.pricingDetail.growth_s4,Commerce & Logistics (Domestic),Commerce & Logistics (Domestic),
Coupang·Naver·Cafe24 Channel Integration,1,pages.pricingDetail.growth_s4i1,Coupang·Naver·Cafe24 Channel Integration,Coupang·Naver·Cafe24 Channel Integration,
Order Hub (All Orders·Claims·Returns·Shipping),1,pages.pricingDetail.growth_s4i2,Order Hub (All Orders·Claims·Returns·Shipping),Order Hub (All Orders·Claims·Returns·Shipping),
Bulk Product Register·Catalog Sync·Price Rules,1,pages.pricingDetail.growth_s4i3,Bulk Product Register·Catalog Sync·Price Rules,Bulk Product Register·Catalog Sync·Price Rules,
Basic WMS (Stock·Alerts·Inbound·Outbound),1,pages.pricingDetail.growth_s4i4,Basic WMS (Stock·Alerts·Inbound·Outbound),Basic WMS (Stock·Alerts·Inbound·Outbound),
Monthly Settlement·Shipping·Excel Export,1,pages.pricingDetail.growth_s4i5,Monthly Settlement·Shipping·Excel Export,Monthly Settlement·Shipping·Excel Export,
3PL Carrier List View,1,pages.pricingDetail.growth_s4i6,3PL Carrier List View,3PL Carrier List View,
Analytics & Performance,1,pages.pricingDetail.growth_s5,Analytics & Performance,Analytics & Performance,
Performance Summary·Channel·Product·Campaign,1,pages.pricingDetail.growth_s5i1,Performance Summary·Channel·Product·Campaign,Performance Summary·Channel·Product·Campaign,
P&L Overview,1,pages.pricingDetail.growth_s5i2,P&L Overview,P&L Overview,
AI Insight Feed,1,pages.pricingDetail.growth_s5i3,AI Insight Feed,AI Insight Feed,
Custom Report·Excel Export,1,pages.pricingDetail.growth_s5i4,Custom Report·Excel Export,Custom Report·Excel Export,
Settlement & Finance,1,pages.pricingDetail.growth_s6,Settlement & Finance,Settlement & Finance,
Settlement History·Channel·Excel,1,pages.pricingDetail.growth_s6i1,Settlement History·Channel·Excel,Settlement History·Channel·Excel,
Payment List·Excel,1,pages.pricingDetail.growth_s6i2,Payment List·Excel,Payment List·Excel,
Plan View·Billing History·Invoice,1,pages.pricingDetail.growth_s6i3,Plan View·Billing History·Invoice,Plan View·Billing History·Invoice,
License Activation·Status,1,pages.pricingDetail.growth_s6i4,License Activation·Status,License Activation·Status,
Channel & Data Integration (Domestic),1,pages.pricingDetail.growth_s7,Channel & Data Integration (Domestic),Channel & Data Integration (Domestic),
Meta·Google·TikTok·Naver·Kakao Ad Integration,1,pages.pricingDetail.growth_s7i1,Meta·Google·TikTok·Naver·Kakao Ad Integration,Meta·Google·TikTok·Naver·Kakao Ad Integration,
Coupang Connector,1,pages.pricingDetail.growth_s7i2,Coupang Connector,Coupang Connector,
Currency Selection (KRW/USD/JPY/EUR Global),1,pages.pricingDetail.growth_s7i3,Currency Selection (KRW/USD/JPY/EUR Global),Currency Selection (KRW/USD/JPY/EUR Global),
Team Management,1,pages.pricingDetail.growth_s8,Team Management,Team Management,
Team Member List·Invite,1,pages.pricingDetail.growth_s8i1,Team Member List·Invite,Team Member List·Invite,
My Activity History,1,pages.pricingDetail.growth_s8i2,My Activity History,My Activity History,
Support Ticket,1,pages.pricingDetail.growth_s8i3,Support Ticket,Support Ticket,
Growth_tagline,1,pages.pricingDetail.growth_tagline,Growth_tagline,Growth_tagline,
Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,1,pages.pricingDetail.pro_desc,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,
Pro_headline,1,pages.pricingDetail.pro_headline,Pro_headline,Pro_headline,
Writeback Instant Rollback — Enterprise,1,pages.pricingDetail.pro_l1,Writeback Instant Rollback — Enterprise,Writeback Instant Rollback — Enterprise,
Amazon Policy·Review Mgmt — Enterprise,1,pages.pricingDetail.pro_l2,Amazon Policy·Review Mgmt — Enterprise,Amazon Policy·Review Mgmt — Enterprise,
Market Share·Trend AI — Enterprise,1,pages.pricingDetail.pro_l3,Market Share·Trend AI — Enterprise,Market Share·Trend AI — Enterprise,
Data Product SLA·Governance — Enterprise,1,pages.pricingDetail.pro_l4,Data Product SLA·Governance — Enterprise,Data Product SLA·Governance — Enterprise,
SmartConnect Partner API Bidirectional — Enterprise,1,pages.pricingDetail.pro_l5,SmartConnect Partner API Bidirectional — Enterprise,SmartConnect Partner API Bidirectional — Enterprise,
Influencer DB·Campaign Execution — Enterprise,1,pages.pricingDetail.pro_l6,Influencer DB·Campaign Execution — Enterprise,Influencer DB·Campaign Execution — Enterprise,
Audit Log Full Export — Enterprise,1,pages.pricingDetail.pro_l7,Audit Log Full Export — Enterprise,Audit Log Full Export — Enterprise,
Auto Report·Scheduled Send — Enterprise,1,pages.pricingDetail.pro_l8,Auto Report·Scheduled Send — Enterprise,Auto Report·Scheduled Send — Enterprise,
API Data Streaming Export — Enterprise,1,pages.pricingDetail.pro_l9,API Data Streaming Export — Enterprise,API Data Streaming Export — Enterprise,
AI Forecast Engine (New),1,pages.pricingDetail.pro_s1,AI Forecast Engine (New),AI Forecast Engine (New),
Real-time FX + Team Mgmt,1,pages.pricingDetail.pro_s10,Real-time FX + Team Mgmt,Real-time FX + Team Mgmt,
Real-time Exchange Rate (Global Currency),1,pages.pricingDetail.pro_s10i1,Real-time Exchange Rate (Global Currency),Real-time Exchange Rate (Global Currency),
Team Activity Audit,1,pages.pricingDetail.pro_s10i2,Team Activity Audit,Team Activity Audit,
System Status·API Monitoring,1,pages.pricingDetail.pro_s10i3,System Status·API Monitoring,System Status·API Monitoring,
Batch Job Run·Reprocess,1,pages.pricingDetail.pro_s10i4,Batch Job Run·Reprocess,Batch Job Run·Reprocess,
Churn·LTV·Purchase Probability Forecast,1,pages.pricingDetail.pro_s1i1,Churn·LTV·Purchase Probability Forecast,Churn·LTV·Purchase Probability Forecast,
Graph Scoring,1,pages.pricingDetail.pro_s1i2,Graph Scoring,Graph Scoring,
Next Best Action Recommendation,1,pages.pricingDetail.pro_s1i3,Next Best Action Recommendation,Next Best Action Recommendation,
Product Recommendation AI,1,pages.pricingDetail.pro_s1i4,Product Recommendation AI,Product Recommendation AI,
AI Ad Insights,1,pages.pricingDetail.pro_s1i5,AI Ad Insights,AI Ad Insights,
AI Segment (VIP·Churn Risk·Potential VIP Auto-classify),1,pages.pricingDetail.pro_s1i6,AI Segment (VIP·Churn Risk·Potential VIP Auto-classify),AI Segment (VIP·Churn Risk·Potential VIP Auto-classify),
Customer Journey Builder (New),1,pages.pricingDetail.pro_s2,Customer Journey Builder (New),Customer Journey Builder (New),
Journey Canvas (Drag&Drop),1,pages.pricingDetail.pro_s2i1,Journey Canvas (Drag&Drop),Journey Canvas (Drag&Drop),
Trigger Setup·Action Node Management,1,pages.pricingDetail.pro_s2i2,Trigger Setup·Action Node Management,Trigger Setup·Action Node Management,
Journey Performance Stats Analysis,1,pages.pricingDetail.pro_s2i3,Journey Performance Stats Analysis,Journey Performance Stats Analysis,
A/B Test (Email·Popup),1,pages.pricingDetail.pro_s2i4,A/B Test (Email·Popup),A/B Test (Email·Popup),
Global Channel All (New),1,pages.pricingDetail.pro_s3,Global Channel All (New),Global Channel All (New),
Shopify·Amazon·LINE Ads Integration,1,pages.pricingDetail.pro_s3i1,Shopify·Amazon·LINE Ads Integration,Shopify·Amazon·LINE Ads Integration,
WhatsApp Broadcast·Automation,1,pages.pricingDetail.pro_s3i2,WhatsApp Broadcast·Automation,WhatsApp Broadcast·Automation,
Instagram DM·Facebook DM·DM Campaign,1,pages.pricingDetail.pro_s3i3,Instagram DM·Facebook DM·DM Campaign,Instagram DM·Facebook DM·DM Campaign,
LINE Message Campaign·Statistics,1,pages.pricingDetail.pro_s3i4,LINE Message Campaign·Statistics,LINE Message Campaign·Statistics,
Popup A/B Test·Trigger Setup,1,pages.pricingDetail.pro_s3i5,Popup A/B Test·Trigger Setup,Popup A/B Test·Trigger Setup,
Advanced WMS + Commerce Expansion,1,pages.pricingDetail.pro_s4,Advanced WMS + Commerce Expansion,Advanced WMS + Commerce Expansion,
Stock Adjustment·Location Mgmt·Barcode Integration,1,pages.pricingDetail.pro_s4i1,Stock Adjustment·Location Mgmt·Barcode Integration,Stock Adjustment·Location Mgmt·Barcode Integration,
Monthly Settlement Integration·Tax Invoice·Payment Approval,1,pages.pricingDetail.pro_s4i2,Monthly Settlement Integration·Tax Invoice·Payment Approval,Monthly Settlement Integration·Tax Invoice·Payment Approval,
3PL Add·Edit,1,pages.pricingDetail.pro_s4i3,3PL Add·Edit,3PL Add·Edit,
Collection Log Basic View,1,pages.pricingDetail.pro_s4i4,Collection Log Basic View,Collection Log Basic View,
AI Rule Engine & Automation (New),1,pages.pricingDetail.pro_s5,AI Rule Engine & Automation (New),AI Rule Engine & Automation (New),
AI Policy Setup·Rule List·Test,1,pages.pricingDetail.pro_s5i1,AI Policy Setup·Rule List·Test,AI Policy Setup·Rule List·Test,
Alert Evaluation Model,1,pages.pricingDetail.pro_s5i2,Alert Evaluation Model,Alert Evaluation Model,
Action Preset Management,1,pages.pricingDetail.pro_s5i3,Action Preset Management,Action Preset Management,
Approval Decision Automation,1,pages.pricingDetail.pro_s5i5,Approval Decision Automation,Approval Decision Automation,
Review & UGC Analytics (New),1,pages.pricingDetail.pro_s6,Review & UGC Analytics (New),Review & UGC Analytics (New),
Channel Review Collection·Sentiment Analysis,1,pages.pricingDetail.pro_s6i1,Channel Review Collection·Sentiment Analysis,Channel Review Collection·Sentiment Analysis,
AI Auto-Reply Draft Generation,1,pages.pricingDetail.pro_s6i2,AI Auto-Reply Draft Generation,AI Auto-Reply Draft Generation,
UGC (Instagram·YouTube) Performance Analysis,1,pages.pricingDetail.pro_s6i3,UGC (Instagram·YouTube) Performance Analysis,UGC (Instagram·YouTube) Performance Analysis,
SmartConnect Hub (New),1,pages.pricingDetail.pro_s7,SmartConnect Hub (New),SmartConnect Hub (New),
ERP·SCM·3PL Basic Integration Setup,1,pages.pricingDetail.pro_s7i1,ERP·SCM·3PL Basic Integration Setup,ERP·SCM·3PL Basic Integration Setup,
REST API / Webhook / SFTP Integration,1,pages.pricingDetail.pro_s7i2,REST API / Webhook / SFTP Integration,REST API / Webhook / SFTP Integration,
Field Mapping Setup,1,pages.pricingDetail.pro_s7i3,Field Mapping Setup,Field Mapping Setup,
Basic Sync Log View,1,pages.pricingDetail.pro_s7i4,Basic Sync Log View,Basic Sync Log View,
1st-Party Pixel + Data,1,pages.pricingDetail.pro_s8,1st-Party Pixel + Data,1st-Party Pixel + Data,
Pixel Code Install·Verification,1,pages.pricingDetail.pro_s8i1,Pixel Code Install·Verification,Pixel Code Install·Verification,
Real-time Event Stream View,1,pages.pricingDetail.pro_s8i2,Real-time Event Stream View,Real-time Event Stream View,
Attribution Analysis (Touch Model·ROAS),1,pages.pricingDetail.pro_s8i3,Attribution Analysis (Touch Model·ROAS),Attribution Analysis (Touch Model·ROAS),
Event Collection·Data Schema·Mapping,1,pages.pricingDetail.pro_s8i4,Event Collection·Data Schema·Mapping,Event Collection·Data Schema·Mapping,
API Key·Webhook·OAuth Integration,1,pages.pricingDetail.pro_s8i5,API Key·Webhook·OAuth Integration,API Key·Webhook·OAuth Integration,
