ko_value,count,path,ja_value,en_value,suggested_ko
All campaigns displayed as filterable cards.,1,crm.aiHub.guideTabOverviewDesc,All campaigns displayed as filterable cards.,All campaigns displayed as filterable cards.,모든 캠페인을 필터 가능한 카드 형태로 제공합니다.
Campaign Overview,1,crm.aiHub.guideTabOverviewName,Campaign Overview,Campaign Overview,캠페인 개요
Comprehensive ROI analysis.,1,crm.aiHub.guideTabRoiDesc,Comprehensive ROI analysis.,Comprehensive ROI analysis.,종합 ROI 분석 기능입니다.
ROI Analysis,1,crm.aiHub.guideTabRoiName,ROI Analysis,ROI Analysis,ROI 분석
Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,1,crm.aiHub.heroSub,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,전체 플랫폼 실시간 분석 → ROI 기반 AI 추천 → 예산 등록 → 승인 → 카드 자동 집행
No fee data,1,crm.aiHub.noFeeData,No fee data,No fee data,수수료 데이터가 없습니다
Campaign name,1,crm.email.campaignMgr.colName,Campaign name,Campaign name,캠페인명
Add Product,1,crm.email.catalogSync.addProduct,Add Product,Add Product,상품 추가
All Status,1,crm.email.catalogSync.allStatus,All Status,All Status,전체 상태
Auto Sync,1,crm.email.catalogSync.autoSync,Auto Sync,Auto Sync,자동 동기화
Auto Sync Desc,1,crm.email.catalogSync.autoSyncDesc,Auto Sync Desc,Auto Sync Desc,자동으로 최신 데이터를 동기화합니다
Col Margin,1,crm.email.catalogSync.colMargin,Col Margin,Col Margin,마진
Cost Breakdown,1,crm.email.catalogSync.costBreakdown,Cost Breakdown,Cost Breakdown,비용 상세 내역
Discount Rate,1,crm.email.catalogSync.discountRate,Discount Rate,Discount Rate,할인율
Product Cost Auto,1,crm.email.catalogSync.productCostAuto,Product Cost Auto,Product Cost Auto,상품 원가 자동 계산
Product Count,1,crm.email.catalogSync.productCount,Product Count,Product Count,상품 수
Spec Label,1,crm.email.catalogSync.specLabel,Spec Label,Spec Label,사양
Sync Now,1,crm.email.catalogSync.syncNow,Sync Now,Sync Now,지금 동기화
Upload Image,1,crm.email.catalogSync.uploadImage,Upload Image,Upload Image,이미지 업로드
C S V,1,CSV,C S V,C S V,CSV
Fixed Perf,1,fixedPerf,Fixed Perf,Fixed Perf,고정+성과형
Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,1,gAttr.subtitle,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,정밀 Shapley (2^n) · 베이지안 MMM · 마르코프 체인 · 인크리멘털 업리프트 (Double ML) · 톰슨 샘플링 A/B
🔗 Markov+Uplift,1,gAttr.tabMarkovLabel,🔗 Markov+Uplift,🔗 Markov+Uplift,🔗 마르코프+업리프트
Ridge+Adstock+Hill,1,gAttr.tabMmmDesc,Ridge+Adstock+Hill,Ridge+Adstock+Hill,Ridge+Adstock+Hill
🎯 Exact Shapley,1,gAttr.tabShapleyLabel,🎯 Exact Shapley,🎯 Exact Shapley,🎯 정밀 Shapley
🟡 MOCK Data,1,graph.mockData,🟡 MOCK Data,🟡 MOCK Data,🟡 MOCK 데이터
🟡 MOCK Results,1,graph.mockResult,🟡 MOCK Results,🟡 MOCK Results,🟡 MOCK 결과
No Edge — Register Node/Edge in Tab above,1,graph.noEdge,No Edge — Register Node/Edge in Tab above,No Edge — Register Node/Edge in Tab above,연결된 엣지가 없습니다. 상단 탭에서 노드/엣지를 등록해주세요.
❓ Q&A,1,help.tabFaq,❓ Q&A,❓ Q&A,❓ Q&A
💚 LINE,1,journeyBuilder.nodeTypes.line,💚 LINE,💚 LINE,💚 LINE
📱 SMS,1,journeyBuilder.nodeTypes.sms,📱 SMS,📱 SMS,📱 SMS
Ad Analytics,1,marketing.gNav.adAnalytics,Ad Analytics,Ad Analytics,광고 분석
AI Insights,1,marketing.gNav.aiInsights,AI Insights,AI Insights,AI 인사이트
AI Marketing,1,marketing.gNav.aiMarketing,AI Marketing,AI Marketing,AI 마케팅
AI Comms,1,marketing.gNav.aiMarketingHub,AI Comms,AI Comms,AI 커뮤니케이션
AI Recommend,1,marketing.gNav.aiRecommend,AI Recommend,AI Recommend,AI 추천
AI Rule Engine,1,marketing.gNav.aiRuleEngine,AI Rule Engine,AI Rule Engine,AI 룰 엔진
Alert Automation,1,marketing.gNav.alertAutomation,Alert Automation,Alert Automation,알림 자동화
Alert Policies,1,marketing.gNav.alertPolicies,Alert Policies,Alert Policies,알림 정책
Insights & Reports,1,marketing.gNav.analytics,Insights & Reports,Insights & Reports,인사이트 & 리포트
API Keys,1,marketing.gNav.apiKeys,API Keys,API Keys,API 키
Audit Logs,1,marketing.gNav.auditLog,Audit Logs,Audit Logs,감사 로그
Auto Strategy,1,marketing.gNav.autoMarketing,Auto Strategy,Auto Strategy,자동 전략
Automation Systems,1,marketing.gNav.automation,Automation Systems,Automation Systems,자동화 시스템
Case Study,1,marketing.gNav.caseStudy,Case Study,Case Study,성공 사례
Catalog Sync,1,marketing.gNav.catalog,Catalog Sync,Catalog Sync,카탈로그 동기화
Commerce & Logistics,1,marketing.gNav.commerce,Commerce & Logistics,Commerce & Logistics,커머스 & 물류
CRM & Channels,1,marketing.gNav.crm,CRM & Channels,CRM & Channels,CRM & 채널
CRM Dashboard,1,marketing.gNav.crmMain,CRM Dashboard,CRM Dashboard,CRM 대시보드
Data & Integration,1,marketing.gNav.data,Data & Integration,Data & Integration,데이터 & 연동
Data Products,1,marketing.gNav.dataProduct,Data Products,Data Products,데이터 프로덕트
Data Trust Center,1,marketing.gNav.dataTrust,Data Trust Center,Data Trust Center,데이터 신뢰 센터
Developer Hub,1,marketing.gNav.developerHub,Developer Hub,Developer Hub,개발자 허브
Finance & Settlement,1,marketing.gNav.finance,Finance & Settlement,Finance & Settlement,재무 & 정산
Help Center,1,marketing.gNav.help,Help Center,Help Center,도움말 센터
Influencer Mgmt,1,marketing.gNav.influencer,Influencer Mgmt,Influencer Mgmt,인플루언서 관리
Integration Hub,1,marketing.gNav.integrationHub,Integration Hub,Integration Hub,연동 허브
Kakao Business,1,marketing.gNav.kakaoChannel,Kakao Business,Kakao Business,카카오 비즈니스
Mapping Registry,1,marketing.gNav.mappingRegistry,Mapping Registry,Mapping Registry,매핑 레지스트리
System Admin,1,marketing.gNav.memberTools,System Admin,System Admin,시스템 관리
Omni Channel,1,marketing.gNav.omniChannel,Omni Channel,Omni Channel,옴니채널
Onboarding Map,1,marketing.gNav.onboarding,Onboarding Map,Onboarding Map,온보딩 맵
Operations Manual,1,marketing.gNav.operations,Operations Manual,Operations Manual,운영 매뉴얼
Pixel Tracking,1,marketing.gNav.pixelTracking,Pixel Tracking,Pixel Tracking,픽셀 트래킹
P&L Analytics,1,marketing.gNav.pnl,P&L Analytics,P&L Analytics,P&L 분석
Returns Portal,1,marketing.gNav.returnsPortal,Returns Portal,Returns Portal,반품 포털
Reviews & UGC,1,marketing.gNav.reviewsUgc,Reviews & UGC,Reviews & UGC,리뷰 & UGC
Settlements,1,marketing.gNav.settlements,Settlements,Settlements,정산
Supply Chain,1,marketing.gNav.supplyChain,Supply Chain,Supply Chain,공급망
Workspace Setting,1,marketing.gNav.workspace,Workspace Setting,Workspace Setting,워크스페이스 설정
Data Writeback,1,marketing.gNav.writeback,Data Writeback,Data Writeback,데이터 Writeback
🌱 ESG,1,nav.pages.performance.tabEsg,🌱 ESG,🌱 ESG,🌱 ESG
Unified Ops Cockpit · v421,1,nav.sub,Unified Ops Cockpit · v421,Unified Ops Cockpit · v421,통합 운영 콕핏 · v421
Demo environment — data isolated from production,1,omniChannel.demoIsolation,Demo environment — data isolated from production,Demo environment — data isolated from production,데모 환경 — 운영 데이터와 분리되어 있습니다
Action Presets,1,pages.actionPresets.title,Action Presets,Action Presets,액션 프리셋
Review & UGC Analytics,1,pages.cmpRow.r10,Review & UGC Analytics,Review & UGC Analytics,리뷰 & UGC 분석
Commerce Channels,1,pages.cmpRow.r11,Commerce Channels,Commerce Channels,커머스 채널
WMS (Stock·In/Out),1,pages.cmpRow.r12,WMS (Stock·In/Out),WMS (Stock·In/Out),WMS(재고·입출고)
3PL Management,1,pages.cmpRow.r13,3PL Management,3PL Management,3PL 관리
Amazon Advanced Operations,1,pages.cmpRow.r14,Amazon Advanced Operations,Amazon Advanced Operations,Amazon 고급 운영
Analytics & Performance (Cohort·P&L),1,pages.cmpRow.r15,Analytics & Performance (Cohort·P&L),Analytics & Performance (Cohort·P&L),분석 & 성과(코호트·P&L)
AI Rule Engine & Automation,1,pages.cmpRow.r16,AI Rule Engine & Automation,AI Rule Engine & Automation,AI 룰 엔진 & 자동화
1st-Party Pixel,1,pages.cmpRow.r18,1st-Party Pixel,1st-Party Pixel,퍼스트파티 픽셀
Data Pipeline & API,1,pages.cmpRow.r19,Data Pipeline & API,Data Pipeline & API,데이터 파이프라인 & API
AI Ad Creative & Campaign Mgmt,1,pages.cmpRow.r2,AI Ad Creative & Campaign Mgmt,AI Ad Creative & Campaign Mgmt,AI 광고 크리에이티브 & 캠페인 관리
Data Product Governance,1,pages.cmpRow.r20,Data Product Governance,Data Product Governance,데이터 프로덕트 거버넌스
BI Reports,1,pages.cmpRow.r21,BI Reports,BI Reports,BI 리포트
Currency Selection (Global),1,pages.cmpRow.r22,Currency Selection (Global),Currency Selection (Global),통화 선택(글로벌)
Influencer Management,1,pages.cmpRow.r23,Influencer Management,Influencer Management,인플루언서 관리
Ops Hub (Batch·Reprocess),1,pages.cmpRow.r24,Ops Hub (Batch·Reprocess),Ops Hub (Batch·Reprocess),운영 허브(배치·재처리)
Audit Log,1,pages.cmpRow.r25,Audit Log,Audit Log,감사 로그
