ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
crm,crm.aiHub.guideTabAbDesc,LATIN_LONG,Integrated A/B test results.,Integrated A/B test results.,Integrated A/B test results.,28,
crm,crm.aiHub.guideTabAbName,LATIN_LONG,A/B Testing,A/B Testing,A/B Testing,11,
crm,crm.aiHub.guideTabBudgetDesc,LATIN_LONG,Automatic budget alert system.,Automatic budget alert system.,Automatic budget alert system.,30,
crm,crm.aiHub.guideTabBudgetName,LATIN_LONG,Budget Alerts,Budget Alerts,Budget Alerts,13,
crm,crm.aiHub.guideTabCopyDesc,LATIN_LONG,AI-powered ad copy generator.,AI-powered ad copy generator.,AI-powered ad copy generator.,29,
crm,crm.aiHub.guideTabCopyName,LATIN_LONG,AI Copywriter,AI Copywriter,AI Copywriter,13,
crm,crm.aiHub.guideTabCreativeDesc,LATIN_LONG,AI ad image generator with 16 scene types.,AI ad image generator with 16 scene types.,AI ad image generator with 16 scene types.,42,
crm,crm.aiHub.guideTabCrmDesc,LATIN_LONG,Email and KakaoTalk status.,Email and KakaoTalk status.,Email and KakaoTalk status.,27,
crm,crm.aiHub.guideTabCrmName,LATIN_LONG,CRM Channels,CRM Channels,CRM Channels,12,
crm,crm.aiHub.guideTabDetailDesc,LATIN_LONG,KPI targets vs actuals.,KPI targets vs actuals.,KPI targets vs actuals.,23,
crm,crm.aiHub.guideTabDetailName,LATIN_LONG,Detail Analysis,Detail Analysis,Detail Analysis,15,
crm,crm.aiHub.guideTabGanttDesc,LATIN_LONG,Gantt chart visualization.,Gantt chart visualization.,Gantt chart visualization.,26,
crm,crm.aiHub.guideTabMonitorDesc,LATIN_LONG,Live KPI monitoring.,Live KPI monitoring.,Live KPI monitoring.,20,
crm,crm.aiHub.guideTabMonitorName,LATIN_LONG,Real-time Monitor,Real-time Monitor,Real-time Monitor,17,
crm,crm.aiHub.guideTabOverviewDesc,LATIN_LONG,All campaigns displayed as filterable cards.,All campaigns displayed as filterable cards.,All campaigns displayed as filterable cards.,44,
crm,crm.aiHub.guideTabOverviewName,LATIN_LONG,Campaign Overview,Campaign Overview,Campaign Overview,17,
crm,crm.aiHub.guideTabRoiDesc,LATIN_LONG,Comprehensive ROI analysis.,Comprehensive ROI analysis.,Comprehensive ROI analysis.,27,
crm,crm.aiHub.guideTabRoiName,LATIN_LONG,ROI Analysis,ROI Analysis,ROI Analysis,12,
crm,crm.aiHub.heroSub,LATIN_LONG,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,118,
crm,crm.aiHub.noFeeData,LATIN_LONG,No fee data,No fee data,No fee data,11,
crm,crm.aiHub.reviews.days,LATIN_LONG, days, days, days,5,
crm,crm.email.campaignMgr.colName,LATIN_LONG,Campaign name,Campaign name,Campaign Name,13,
crm,crm.email.catalogSync.addProduct,LATIN_LONG,Add Product,Add Product,Add Product,11,
crm,crm.email.catalogSync.allStatus,LATIN_LONG,All Status,All Status,All Status,10,
crm,crm.email.catalogSync.autoSync,LATIN_LONG,Auto Sync,Auto Sync,Auto Sync,9,
crm,crm.email.catalogSync.autoSyncDesc,LATIN_LONG,Auto Sync Desc,Auto Sync Desc,Auto Sync Desc,14,
crm,crm.email.catalogSync.colMargin,LATIN_LONG,Col Margin,Col Margin,Col Margin,10,
crm,crm.email.catalogSync.costBreakdown,LATIN_LONG,Cost Breakdown,Cost Breakdown,Cost Breakdown,14,
crm,crm.email.catalogSync.discountRate,LATIN_LONG,Discount Rate,Discount Rate,Discount Rate,13,
crm,crm.email.catalogSync.productCostAuto,LATIN_LONG,Product Cost Auto,Product Cost Auto,Product Cost Auto,17,
crm,crm.email.catalogSync.productCount,LATIN_LONG,Product Count,Product Count,Product Count,13,
crm,crm.email.catalogSync.specLabel,LATIN_LONG,Spec Label,Spec Label,Spec Label,10,
crm,crm.email.catalogSync.syncNow,LATIN_LONG,Sync Now,Sync Now,Sync Now,8,
crm,crm.email.catalogSync.uploadImage,LATIN_LONG,Upload Image,Upload Image,Upload Image,12,
CSV,CSV,LATIN_LONG, C S V,, C S V,6,
fixedPerf,fixedPerf,LATIN_LONG,Fixed Perf,,Fixed+Performance,10,
gAttr,gAttr.subtitle,LATIN_LONG,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,106,
gAttr,gAttr.tabMarkovLabel,LATIN_LONG,🔗 Markov+Uplift,🔗 Markov+Uplift,🔗 Markov+Uplift,16,
gAttr,gAttr.tabMmmDesc,LATIN_LONG,Ridge+Adstock+Hill,Ridge+Adstock+Hill,Ridge+Adstock+Hill,18,
gAttr,gAttr.tabShapleyLabel,LATIN_LONG,🎯 Exact Shapley,🎯 Exact Shapley,🎯 Exact Shapley,16,
graph,graph.mockData,LATIN_LONG,🟡 MOCK Data,🟡 MOCK Data,🟡 MOCK Data,12,
graph,graph.mockResult,LATIN_LONG,🟡 MOCK Results,🟡 MOCK Results,🟡 MOCK Results,15,
graph,graph.noEdge,LATIN_LONG,No Edge — Register Node/Edge in Tab above,No Edge — Register Node/Edge in Tab above,No Edge — Register Node/Edge in Tab above,41,
help,help.tabFaq,LATIN_LONG,❓ Q&A,❓ Q&A,❓ Q&A,5,
journeyBuilder,journeyBuilder.nodeTypes.line,LATIN_LONG,💚 LINE,💚 LINE,💚 LINE,7,
journeyBuilder,journeyBuilder.nodeTypes.sms,LATIN_LONG,📱 SMS,📱 SMS,📱 SMS,6,
marketing,marketing.gNav.adAnalytics,LATIN_LONG,Ad Analytics,Ad Analytics,Ad Analytics,12,
marketing,marketing.gNav.aiInsights,LATIN_LONG,AI Insights,AI Insights,AI Insights,11,
marketing,marketing.gNav.aiMarketing,LATIN_LONG,AI Marketing,AI Marketing,AI Marketing,12,
marketing,marketing.gNav.aiMarketingHub,LATIN_LONG,AI Comms,AI Comms,AI Comms,8,
marketing,marketing.gNav.aiRecommend,LATIN_LONG,AI Recommend,AI Recommend,AI Recommend,12,
marketing,marketing.gNav.aiRuleEngine,LATIN_LONG,AI Rule Engine,AI Rule Engine,AI Rule Engine,14,
marketing,marketing.gNav.alertAutomation,LATIN_LONG,Alert Automation,Alert Automation,Alert Automation,16,
marketing,marketing.gNav.alertPolicies,LATIN_LONG,Alert Policies,Alert Policies,Alert Policies,14,
marketing,marketing.gNav.analytics,LATIN_LONG,Insights & Reports,Insights & Reports,Insights & Reports,18,
marketing,marketing.gNav.apiKeys,LATIN_LONG,API Keys,API Keys,API Keys,8,
marketing,marketing.gNav.auditLog,LATIN_LONG,Audit Logs,Audit Logs,Audit Logs,10,
marketing,marketing.gNav.autoMarketing,LATIN_LONG,Auto Strategy,Auto Strategy,Auto Strategy,13,
marketing,marketing.gNav.automation,LATIN_LONG,Automation Systems,Automation Systems,Automation Systems,18,
marketing,marketing.gNav.caseStudy,LATIN_LONG,Case Study,Case Study,Case Study,10,
marketing,marketing.gNav.catalog,LATIN_LONG,Catalog Sync,Catalog Sync,Catalog Sync,12,
marketing,marketing.gNav.commerce,LATIN_LONG,Commerce & Logistics,Commerce & Logistics,Commerce & Logistics,20,
marketing,marketing.gNav.crm,LATIN_LONG,CRM & Channels,CRM & Channels,CRM & Channels,14,
marketing,marketing.gNav.crmMain,LATIN_LONG,CRM Dashboard,CRM Dashboard,CRM Dashboard,13,
marketing,marketing.gNav.data,LATIN_LONG,Data & Integration,Data & Integration,Data & Integration,18,
marketing,marketing.gNav.dataProduct,LATIN_LONG,Data Products,Data Products,Data Products,13,
marketing,marketing.gNav.dataTrust,LATIN_LONG,Data Trust Center,Data Trust Center,Data Trust Center,17,
marketing,marketing.gNav.developerHub,LATIN_LONG,Developer Hub,Developer Hub,Developer Hub,13,
marketing,marketing.gNav.finance,LATIN_LONG,Finance & Settlement,Finance & Settlement,Finance & Settlement,20,
marketing,marketing.gNav.help,LATIN_LONG,Help Center,Help Center,Help Center,11,
marketing,marketing.gNav.influencer,LATIN_LONG,Influencer Mgmt,Influencer Mgmt,Influencer Mgmt,15,
marketing,marketing.gNav.integrationHub,LATIN_LONG,Integration Hub,Integration Hub,Integration Hub,15,
marketing,marketing.gNav.kakaoChannel,LATIN_LONG,Kakao Business,Kakao Business,Kakao Business,14,
marketing,marketing.gNav.mappingRegistry,LATIN_LONG,Mapping Registry,Mapping Registry,Mapping Registry,16,
marketing,marketing.gNav.memberTools,LATIN_LONG,System Admin,System Admin,System Admin,12,
marketing,marketing.gNav.omniChannel,LATIN_LONG,Omni Channel,Omni Channel,Omni Channel,12,
marketing,marketing.gNav.onboarding,LATIN_LONG,Onboarding Map,Onboarding Map,Onboarding Map,14,
marketing,marketing.gNav.operations,LATIN_LONG,Operations Manual,Operations Manual,Operations Manual,17,
marketing,marketing.gNav.pixelTracking,LATIN_LONG,Pixel Tracking,Pixel Tracking,Pixel Tracking,14,
marketing,marketing.gNav.pnl,LATIN_LONG,P&L Analytics,P&L Analytics,P&L Analytics,13,
marketing,marketing.gNav.returnsPortal,LATIN_LONG,Returns Portal,Returns Portal,Returns Portal,14,
marketing,marketing.gNav.reviewsUgc,LATIN_LONG,Reviews & UGC,Reviews & UGC,Reviews & UGC,13,
marketing,marketing.gNav.settlements,LATIN_LONG,Settlements,Settlements,Settlements,11,
marketing,marketing.gNav.supplyChain,LATIN_LONG,Supply Chain,Supply Chain,Supply Chain,12,
marketing,marketing.gNav.workspace,LATIN_LONG,Workspace Setting,Workspace Setting,Workspace Setting,17,
marketing,marketing.gNav.writeback,LATIN_LONG,Data Writeback,Data Writeback,Data Writeback,14,
nav,nav.pages.performance.tabEsg,LATIN_LONG,🌱 ESG,,,6,
nav,nav.sub,LATIN_LONG,Unified Ops Cockpit · v421,Unified Ops Cockpit · v421,Unified Ops Cockpit · v421,26,
omniChannel,omniChannel.demoIsolation,LATIN_LONG,Demo environment — data isolated from production,,,48,
pages,pages.actionPresets.title,LATIN_LONG,Action Presets,Action Presets,Action Presets,14,
pages,pages.cmpRow.r10,LATIN_LONG,Review & UGC Analytics,Review & UGC Analytics,Review & UGC Analytics,22,
pages,pages.cmpRow.r11,LATIN_LONG,Commerce Channels,Commerce Channels,Commerce Channels,17,
pages,pages.cmpRow.r12,LATIN_LONG,WMS (Stock·In/Out),WMS (Stock·In/Out),WMS (Stock·In/Out),18,
pages,pages.cmpRow.r13,LATIN_LONG,3PL Management,3PL Management,3PL Management,14,
pages,pages.cmpRow.r14,LATIN_LONG,Amazon Advanced Operations,Amazon Advanced Operations,Amazon Advanced Operations,26,
pages,pages.cmpRow.r15,LATIN_LONG,Analytics & Performance (Cohort·P&L),Analytics & Performance (Cohort·P&L),Analytics & Performance (Cohort·P&L),36,
pages,pages.cmpRow.r16,LATIN_LONG,AI Rule Engine & Automation,AI Rule Engine & Automation,AI Rule Engine & Automation,27,
pages,pages.cmpRow.r18,LATIN_LONG,1st-Party Pixel,1st-Party Pixel,1st-Party Pixel,15,
pages,pages.cmpRow.r19,LATIN_LONG,Data Pipeline & API,Data Pipeline & API,Data Pipeline & API,19,
pages,pages.cmpRow.r2,LATIN_LONG,AI Ad Creative & Campaign Mgmt,AI Ad Creative & Campaign Mgmt,AI Ad Creative & Campaign Mgmt,30,
pages,pages.cmpRow.r20,LATIN_LONG,Data Product Governance,Data Product Governance,Data Product Governance,23,
pages,pages.cmpRow.r21,LATIN_LONG,BI Reports,BI Reports,BI Reports,10,
pages,pages.cmpRow.r22,LATIN_LONG,Currency Selection (Global),Currency Selection (Global),Currency Selection (Global),27,
pages,pages.cmpRow.r23,LATIN_LONG,Influencer Management,Influencer Management,Influencer Management,21,
pages,pages.cmpRow.r24,LATIN_LONG,Ops Hub (Batch·Reprocess),Ops Hub (Batch·Reprocess),Ops Hub (Batch·Reprocess),25,
pages,pages.cmpRow.r25,LATIN_LONG,Audit Log,Audit Log,Audit Log,9,
pages,pages.cmpRow.r26,LATIN_LONG,Team Management (RBAC),Team Management (RBAC),Team Management (RBAC),22,
pages,pages.cmpRow.r27,LATIN_LONG,Account Count,Account Count,Account Count,13,
pages,pages.cmpRow.r28,LATIN_LONG,Support Type,Support Type,Support Type,12,
pages,pages.cmpRow.r3,LATIN_LONG,AI Forecast (Churn·LTV·Purchase Prob.),AI Forecast (Churn·LTV·Purchase Prob.),AI Forecast (Churn·LTV·Purchase Prob.),38,
pages,pages.cmpRow.r4,LATIN_LONG,Customer Journey Builder,Customer Journey Builder,Customer Journey Builder,24,
pages,pages.cmpRow.r5,LATIN_LONG,AI Segment,AI Segment,AI Segment,10,
pages,pages.cmpRow.r6,LATIN_LONG,Ad & Channel Analytics (ROAS·KPI),Ad & Channel Analytics (ROAS·KPI),Ad & Channel Analytics (ROAS·KPI),33,
pages,pages.cmpRow.r7,LATIN_LONG,Attribution Analysis (Touch Model),Attribution Analysis (Touch Model),Attribution Analysis (Touch Model),34,
pages,pages.cmpRow.r8,LATIN_LONG,Competitor AI Analysis,Competitor AI Analysis,Competitor AI Analysis,22,
pages,pages.cmpRow.r9,LATIN_LONG,Customer CRM (Email/Kakao/SMS),Customer CRM (Email/Kakao/SMS),Customer CRM (Email/Kakao/SMS),30,
pages,pages.cmpVal.activity_history,LATIN_LONG,Activity History,Activity History,Activity History,16,
pages,pages.cmpVal.advanced_custom,LATIN_LONG,Advanced Custom,Advanced Custom,Advanced Custom,15,
pages,pages.cmpVal.anomaly_detect,LATIN_LONG,Anomaly Detection,Anomaly Detection,Anomaly Detection,17,
pages,pages.cmpVal.auto_scheduled_share,LATIN_LONG,Auto·Scheduled·Share,Auto·Scheduled·Share,Auto·Scheduled·Share,20,
pages,pages.cmpVal.basic_auto,LATIN_LONG,Basic Auto-classify,Basic Auto-classify,Basic Auto-classify,19,
pages,pages.cmpVal.campaign_settle,LATIN_LONG,Campaign·Settlement,Campaign·Settlement,Campaign·Settlement,19,
pages,pages.cmpVal.chat_support,LATIN_LONG,Chat Support,Chat Support,Chat Support,12,
pages,pages.cmpVal.cohort_pl,LATIN_LONG,Cohort·P&L All,Cohort·P&L All,Cohort·P&L All,14,
pages,pages.cmpVal.competitor_compare,LATIN_LONG,Competitor Compare,Competitor Compare,Competitor Compare,18,
pages,pages.cmpVal.conv_path_all,LATIN_LONG,Conv. Path All,Conv. Path All,Conv. Path All,14,
pages,pages.cmpVal.custom_excel,LATIN_LONG,Custom·Excel,Custom·Excel,Custom·Excel,12,
pages,pages.cmpVal.dedicated_manager,LATIN_LONG,Dedicated Manager,Dedicated Manager,Dedicated Manager,17,
pages,pages.cmpVal.dedicated_sla,LATIN_LONG,Dedicated + SLA,Dedicated + SLA,Dedicated + SLA,15,
pages,pages.cmpVal.dom_global,LATIN_LONG,Domestic+Global,Domestic+Global,Domestic+Global,15,
pages,pages.cmpVal.domestic_ads,LATIN_LONG,Domestic Ad Integration,Domestic Ad Integration,Domestic Ad Integration,23,
pages,pages.cmpVal.domestic_core,LATIN_LONG,Domestic Core,Domestic Core,Domestic Core,13,
pages,pages.cmpVal.install_analysis,LATIN_LONG,Install & Analysis,Install & Analysis,Install & Analysis,18,
pages,pages.cmpVal.instant_rollback,LATIN_LONG,Instant Rollback,Instant Rollback,Instant Rollback,16,
pages,pages.cmpVal.list_invite,LATIN_LONG,List·Invite,List·Invite,List·Invite,11,
pages,pages.cmpVal.location_barcode,LATIN_LONG,Location & Barcode,Location & Barcode,Location & Barcode,18,
pages,pages.cmpVal.market_share,LATIN_LONG,Market Share,Market Share,Market Share,12,
