ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
ruleEnginePage.wms.guideTabInvcDesc	"INCOTERMS、HSコード、為替レートで税関用コマーシャルインボイスを生成します。"
ruleEnginePage.wms.guideTabBdlDesc	"BOMで商品キットを作成し、構成品在庫を追跡し、バンドル組立/出荷を管理します。"
ruleEnginePage.wms.guideTabSupDesc	"サプライヤー情報、支払条件、リードタイム、発注履歴を管理します。"
ruleEnginePage.wms.guideTabAuditDesc	"帳簿対実物比較と差異報告による実地棚卸。"
ruleEnginePage.wms.ioBulkTitle	"入出庫一括アップロード"
ruleEnginePage.wms.ioBulkInfo	"Excel(.xlsx)またはCSVファイルをアップロードして入出庫記録を一括登録します。サンプルファイルをダウンロードして書式を確認してください。"
ruleEnginePage.wms.ioBulkSampleBtn	"サンプルDL"
ruleEnginePage.wms.ioBulkSelectBtn	"ファイル選択"
ruleEnginePage.wms.ioBulkPreview	"プレビュー"
ruleEnginePage.wms.ioBulkDone	"{n}件が正常に登録されました！"
ruleEnginePage.wms.bulkXlsxError	"Excelファイルの解析に失敗しました。書式を確認してください。"
ruleEnginePage.root_sidebarLogout	"ログアウト"
ruleEnginePage.root_pageTitle_mappingRegistry	"マッピングレジストリ"
ruleEnginePage.root_pageTitle_settlements	"チャネル精算管理"
ruleEnginePage.root_pageTitle_audit	"監査ログ"
ruleEnginePage.root_pageTitle_autoMarketing	"AIオートマーケティング"
ruleEnginePage.root_pageTitle_campaignManager	"キャンペーンマネージャー"
ruleEnginePage.root_pageTitle_journeyBuilder	"カスタマージャーニービルダー"
ruleEnginePage.root_pageTitle_contentCalendar	"コンテンツカレンダー"
ruleEnginePage.root_pageTitle_emailMarketing	"メールマーケティング"
ruleEnginePage.root_pageTitle_smsMarketing	"SMSマーケティング"
ruleEnginePage.root_pageTitle_kakaoChannel	"カカオチャネル"
ruleEnginePage.root_pageTitle_budgetTracker	"予算プランナー"
ruleEnginePage.root_pageTitle_accountPerformance	"アカウント別成果"
ruleEnginePage.root_pageTitle_omniChannel	"オムニチャネル"
ruleEnginePage.root_pageTitle_catalog	"カタログ同期"
ruleEnginePage.root_pageTitle_orderHub	"注文ハブ"
ruleEnginePage.root_pageTitle_wms	"WMSマネージャー"
ruleEnginePage.root_pageTitle_performanceHub	"パフォーマンスハブ"
ruleEnginePage.root_pageTitle_reportBuilder	"レポートビルダー"
ruleEnginePage.root_pageTitle_dashboard	"ダッシュボード"
ruleEnginePage.dash.chTrendKpi	"チャネル成果推移"
ruleEnginePage.dash.Attribution	"アトリビューション"
ruleEnginePage.dash.GraphScore	"グラフスコア"
ruleEnginePage.dash.KRChannel	"KRチャネル"
ruleEnginePage.dash.Marketing	"マーケティング"
ruleEnginePage.dash.Influencer	"インフルエンサー"
ruleEnginePage.dash.Alerts	"アラート"
ruleEnginePage.dash.AIPolicy	"AIポリシー"
ruleEnginePage.dash.chTrend	"チャネルトレンド"
ruleEnginePage.dash.allChSummary	"全チャネルサマリー"
ruleEnginePage.dash.chRoas	"チャネル別ROAS"
ruleEnginePage.dash.unitCount	","
ruleEnginePage.dash.genderDist	"性別・年齢分布"
ruleEnginePage.dash.convFunnel	"コンバージョンファネル"
ruleEnginePage.dash.channelMix	"チャネル売上ミックス"
ruleEnginePage.dash.liveActivity	"リアルタイム活動"
ruleEnginePage.dash.sysStatus	"システム現況"
ruleEnginePage.dash.moduleShortcuts	"モジュールショートカット"
ruleEnginePage.dash.analyticsModules	"分析モジュール"
ruleEnginePage.operations.pageTitle	"🔌 連携ハブ"
ruleEnginePage.operations.pageSub	"コネクタ＆統合管理"
ruleEnginePage.operations.todayChecklist	"今日のチェックリスト"
ruleEnginePage.operations.priorityActions	"優先アクション"
ruleEnginePage.operations.executionFeed	"実行フィード"
ruleEnginePage.operations.viewAll	"すべて表示"
ruleEnginePage.operations.noActions	"アクション不要"
ruleEnginePage.operations.hubTitle	"⚡ オペレーションハブ"
ruleEnginePage.operations.tabCampaigns	"📣 広告キャンペーン"
ruleEnginePage.operations.thProductSku	"商品・SKU"
ruleEnginePage.operations.thCategory	"カテゴリ"
ruleEnginePage.operations.thSupplier	"サプライヤー"
ruleEnginePage.operations.thStatus	"ステータス"
ruleEnginePage.operations.allCategory	"全カテゴリ"
ruleEnginePage.operations.allStatus	"全ステータス"
ruleEnginePage.operations.allChannel	"全チャネル"
ruleEnginePage.operations.createCampaign	"キャンペーン作成"
ruleEnginePage.operations.createCampaignBtn	"キャンペーン作成"
ruleEnginePage.operations.campName	"キャンペーン名"
ruleEnginePage.operations.platform	"プラットフォーム"
ruleEnginePage.operations.goalType	"目標タイプ"
ruleEnginePage.operations.applyChange	"変更を適用"
ruleEnginePage.operations.searchProduct	"商品名・SKU検索..."
ruleEnginePage.operations.couponCode	"クーポンコード"
ruleEnginePage.operations.type	"タイプ"
ruleEnginePage.operations.priceApply	"💹 価格変更を適用"
ruleEnginePage.operations.statusSoldout	"売り切れ"
ruleEnginePage.operations.viewProductList	"商品リストを表示"
ruleEnginePage.operations.costPriceMargin	"原価マージン"
ruleEnginePage.operations.tabInfluencer	"🤝 インフルエンサー"
ruleEnginePage.operations.heroDesc	"クーポン/プロモーション運営とAI広告マーケティングデザイン生成を一画面で管理します。"
ruleEnginePage.operations.tabProductsDesc	"登録・編集・停止・価格・在庫・プロモ"
ruleEnginePage.operations.tabCampaignsDesc	"作成・クリエイティブ・予算・入札"
ruleEnginePage.operations.tabPromo	"🎁 クーポン/ディール/プロモ"
ruleEnginePage.operations.tabPromoDesc	"クーポン作成・ディール管理"
ruleEnginePage.operations.tabInfluencerDesc	"オファー・契約・e-Sign・決済"
ruleEnginePage.operations.avgMargin	"平均マージン率"
ruleEnginePage.operations.costMargin	"原価/マージン"
ruleEnginePage.operations.downloadExcel	"📥 Excelダウンロード"
ruleEnginePage.operations.noProducts	"登録された商品はありません。商品を登録してください。"
ruleEnginePage.operations.colProductSku	"商品・SKU"
ruleEnginePage.operations.colCategory	"カテゴリ"
ruleEnginePage.operations.colSupplier	"サプライヤー"
ruleEnginePage.operations.colChannelReg	"チャネル登録状況"
ruleEnginePage.operations.colPromotion	"プロモーション"
ruleEnginePage.operations.colStatus	"ステータス"
ruleEnginePage.operations.colMarginAmt	"マージン(円)"
ruleEnginePage.operations.colMarginRate	"マージン率"
ruleEnginePage.operations.colMargin	"マージン(%)"
ruleEnginePage.operations.colChannels	"チャネル数"
ruleEnginePage.operations.btnPromo	"🎁 プロモ"
ruleEnginePage.operations.modalPromo	"🎁 プロモーション設定"
ruleEnginePage.operations.fieldChannels	"販売チャネル"
ruleEnginePage.operations.cancel	"キャンセル"
ruleEnginePage.operations.btnApplyPromo	"🎁 プロモ適用"
ruleEnginePage.operations.fbUpdated	"商品情報が更新されました。"
ruleEnginePage.operations.campaigns	"件のキャンペーン"
ruleEnginePage.operations.noCampaigns	"登録されたキャンペーンはありません。"
ruleEnginePage.operations.budgetBid	"予算・入札"
ruleEnginePage.operations.clicks	"クリック"
ruleEnginePage.operations.newCampaign	"新規キャンペーン作成"
ruleEnginePage.operations.promotions	"件のプロモーション"
ruleEnginePage.operations.createPromo	"プロモーション作成"
ruleEnginePage.operations.noPromos	"登録されたプロモーションはありません。"
ruleEnginePage.operations.draft	"下書き"
ruleEnginePage.operations.newPromo	"新規プロモーション作成"
ruleEnginePage.operations.promoName	"プロモーション名"
ruleEnginePage.operations.influencers	"名のインフルエンサー"
ruleEnginePage.operations.noInfluencers	"登録されたインフルエンサーはいません。"
ruleEnginePage.operations.guideTipTitle	"活用ティップ"
ruleEnginePage.operations.guideTipDesc	"プロモーションとAIデザインを組み合わせて活用しましょう。"
ruleEnginePage.operations.tabCreativeDesc	"AI広告デザイン・画像生成・アップロード"
ruleEnginePage.operations.ai_creatives	"件のクリエイティブ"
ruleEnginePage.operations.ai_createDesign	"AI広告デザイン作成"
ruleEnginePage.operations.ai_selectPlatform	"プラットフォーム選択"
ruleEnginePage.operations.ai_plat_popup	"ポップアップ"
ruleEnginePage.operations.ai_plat_instagram	"インスタグラム"
ruleEnginePage.operations.ai_plat_kakao	"カカオ"
ruleEnginePage.operations.ai_plat_custom	"カスタム"
ruleEnginePage.operations.ai_adTitle	"広告タイトル"
ruleEnginePage.operations.ai_adTitlePh	"プロモーションタイトルを入力"
ruleEnginePage.operations.ai_eventType	"イベントタイプ"
ruleEnginePage.operations.ai_sale	"セール/割引"
ruleEnginePage.operations.ai_seasonal	"シーズンプロモ"
ruleEnginePage.operations.ai_flash	"フラッシュセール"
ruleEnginePage.operations.ai_brand	"ブランドキャンペーン"
ruleEnginePage.operations.ai_descPh	"広告内容を簡単に入力"
ruleEnginePage.operations.ai_customPrompt	"カスタムイメージプロンプト"
ruleEnginePage.operations.ai_customPromptPh	"希望のイメージスタイルを入力"
ruleEnginePage.operations.ai_customPromptHelp	"空白の場合、タイトル/イベント/季節から自動生成"
ruleEnginePage.operations.ai_addLinkUrl	"ショートカットURLリンク追加"
ruleEnginePage.operations.ai_uploadCustom	"カスタム画像アップロード"
ruleEnginePage.operations.ai_generateAI	"AIデザイン生成"
ruleEnginePage.operations.ai_saveCreative	"クリエイティブ保存"
ruleEnginePage.operations.ai_goNow	"今すぐ行く"
ruleEnginePage.operations.ai_emptyTitle	"AI広告デザインを作成しましょう"
ruleEnginePage.operations.ai_emptyDesc	"プラットフォーム別広告画像をAIで自動生成またはアップロード"
ruleEnginePage.operations.ai_forPlatform	"プラットフォーム用"
ruleEnginePage.operations.ai_category	"カテゴリ"
ruleEnginePage.operations.ai_cat_fashion	"ファッション"
ruleEnginePage.operations.ai_cat_beauty	"ビューティー"
ruleEnginePage.operations.ai_cat_tech	"テクノロジー"
ruleEnginePage.operations.ai_cat_home	"ホーム"
ruleEnginePage.operations.ai_cat_fitness	"フィットネス"
ruleEnginePage.operations.ai_editDesign	"デザイン編集"
ruleEnginePage.operations.ai_changeImageTitle	"画像変更リクエスト"
ruleEnginePage.operations.ai_changeImagePh	"例: 「冬のテーマにして」「食べ物の写真を追加」"
ruleEnginePage.operations.ai_changeImageHelp	"希望のイメージスタイルを入力すると、それに合わせて再生成されます。"
ruleEnginePage.operations.ai_applyCampaign	"🚀 キャンペーンに適用"
ruleEnginePage.operations.ai_confirmDelete	"このクリエイティブを削除しますか？"
ruleEnginePage.operations.ai_dupWarningTitle	"同一のクリエイティブが既に存在します"
ruleEnginePage.operations.ai_dupWarningDesc	"同じクリエイティブがサーバーに保存されています。"
ruleEnginePage.operations.ai_dupDismiss	"閉じる"
ruleEnginePage.operations.ai_serverSynced	"サーバー同期完了"
ruleEnginePage.marketing.sidebarCampaignActive	"🟢 {{n}}キャンペーン実行中"
ruleEnginePage.marketing.sidebarUpgrade	"アップグレード"
ruleEnginePage.marketing.convRateLbl	"コンバージョン率"
ruleEnginePage.marketing.channel	"チャネル"
ruleEnginePage.marketing.guideFullTitle	"📋 最初から最後まで — 完全ガイド"
ruleEnginePage.marketing.guideFullSub	"AIマーケティング自動化プラットフォームの完全ワークフローをステップバイステップでご案内します。"
ruleEnginePage.marketing.guidePhaseA	"フェーズA — 開始準備"
ruleEnginePage.marketing.guidePhaseB	"フェーズB — キャンペーン設計"
ruleEnginePage.marketing.guidePhaseC	"フェーズC — AI戦略＆クリエイティブ制作"
ruleEnginePage.marketing.guidePhaseD	"フェーズD — 実行＆モニタリング"
ruleEnginePage.marketing.guidePhaseE	"フェーズE — 最適化＆完了"
ruleEnginePage.marketing.gf1Title	"ログイン＆環境確認"
ruleEnginePage.marketing.gf1Desc	"ログインし、サイドバーから「AIマーケティング→自動戦略」に移動します。本番/デモ環境を確認してください。"
ruleEnginePage.marketing.gf2Title	"APIチャネル接続"
ruleEnginePage.marketing.gf2Desc	"統合ハブでMeta、Google、Naverなどの APIキーを登録します。接続されたチャネルのみキャンペーンで使用できます。"
ruleEnginePage.marketing.gf3Title	"ダッシュボードKPI確認"
ruleEnginePage.marketing.gf3Desc	"ホームダッシュボードで現在のKPI、アクティブキャンペーン、チャネル別ROASを確認します。このデータがAI推奨の基盤です。"
ruleEnginePage.marketing.gf4Desc	"「②キャンペーン設定」タブで月間広告予算を選択または入力します。AIが予算レベルに基づいてチャネル推奨を最適化します。"
ruleEnginePage.marketing.gf5Title	"商品カテゴリ選択"
ruleEnginePage.marketing.gf5Desc	"11カテゴリ（美容、ファッション、食品など）から選択します。複数選択でクロス分析が可能になり精度が向上します。"
ruleEnginePage.marketing.gf6Title	"広告チャネル選択"
ruleEnginePage.marketing.gf6Desc	"AIがカテゴリ＋予算分析に基づいて最適なチャネルの組み合わせを推奨します。手動でチャネルを追加・削除できます。"
ruleEnginePage.marketing.gf7Title	"ターゲット＆期間設定"
ruleEnginePage.marketing.gf7Desc	"キャンペーン名、実行期間（月次/四半期/半期）、ターゲットオーディエンスを設定します。AIがチャネル別最適ターゲティングを提案します。"
ruleEnginePage.marketing.gf8Title	"AI戦略シミュレーション"
ruleEnginePage.marketing.gf8Desc	"「AI戦略生成」をクリックして、チャネル別予算配分、推定インプレッション、クリック、コンバージョン、ROASを自動計算します。"
ruleEnginePage.marketing.gf9Title	"広告クリエイティブ制作"
ruleEnginePage.marketing.gf9Desc	"「①クリエイティブスタジオ」タブで、AIがチャネル別に最適化された広告クリエイティブを自動生成します。テキスト、画像、動画に対応。"
ruleEnginePage.marketing.gf10Title	"戦略プレビュー＆調整"
ruleEnginePage.marketing.gf10Desc	"「③AIプレビュー」タブでチャネル別配分と予想KPIを確認します。スライダーで配分比率を手動調整できます。"
ruleEnginePage.marketing.gf11Desc	"戦略を確定し「承認リクエスト」をクリックします。送信前に承認モーダルで予算、ROAS、チャネルを最終確認します。"
ruleEnginePage.marketing.gf12Title	"キャンペーンマネージャーで監視"
ruleEnginePage.marketing.gf12Desc	"提出されたキャンペーンはキャンペーンマネージャーページでリアルタイム追跡されます。ステータス（保留/承認/アクティブ/一時停止）を監視します。"
ruleEnginePage.marketing.gf13Desc	"AIがリアルタイムデータを分析し、パフォーマンスの低いチャネルから高いチャネルへ予算を自動的に再配分します。"
ruleEnginePage.marketing.gf14Title	"パフォーマンスレポート分析"
ruleEnginePage.marketing.gf14Desc	"キャンペーン終了後、チャネル別ROAS、CPA、CTRなどの主要指標を分析します。AIが次回キャンペーンの改善点を提案します。"
ruleEnginePage.marketing.gf15Title	"次のキャンペーンを繰り返し"
ruleEnginePage.marketing.gf15Desc	"分析結果に基づいて予算/カテゴリ/チャネルを調整し、新しいキャンペーンを作成します。繰り返すごとにAI学習が強化されます。"
ruleEnginePage.marketing.guideTabGuideName	"📖 利用ガイド"
ruleEnginePage.marketing.guideTabGuideDesc	"プラットフォーム機能と完全ワークフローのステップバイステップガイド。"
ruleEnginePage.marketing.guideTip6	"最適な組み合わせを見つけるため、AI推奨チャネルと手動選択を比較してください。"
ruleEnginePage.marketing.guideTip7	"予算超過を防ぐため、実行前に必ずマネージャー承認に提出してください。"
ruleEnginePage.marketing.csTitle	"クリエイティブスタジオ"
ruleEnginePage.marketing.csSubtitle	"各プラットフォームの広告クリエイティブをデザイン・管理"
ruleEnginePage.marketing.csTabGallery	"ギャラリー"
ruleEnginePage.marketing.csTabPerformance	"パフォーマンス"
ruleEnginePage.marketing.csTabBrandAssets	"ブランドアセット"
ruleEnginePage.marketing.csKpiCreatives	"クリエイティブ"
ruleEnginePage.marketing.csKpiFormats	"フォーマット"
ruleEnginePage.marketing.csKpiApproved	"承認済み"
ruleEnginePage.marketing.csFeatMultiFormat	"マルチフォーマット出力"
ruleEnginePage.marketing.csFeatAiCopy	"AIコピー生成"
ruleEnginePage.marketing.csFeatPerfAnalytics	"パフォーマンス分析"
ruleEnginePage.marketing.csFeatBrandCheck	"ブランド一貫性チェック"
ruleEnginePage.marketing.csSystemOk	"システム正常稼働中"
ruleEnginePage.marketing.csUseCampaign	"キャンペーンに活用"
ruleEnginePage.marketing.csAiGenTitle	"AIクリエイティブ生成"
ruleEnginePage.marketing.csAiGenDesc	"カテゴリとチャネルを選択すると、AIが最適な広告素材を自動生成します。"
ruleEnginePage.marketing.csStartFromSetup	"キャンペーン設定から開始"
ruleEnginePage.marketing.csTypeCarousel	"カルーセル広告"
ruleEnginePage.marketing.csTypeCarouselDesc	"複数画像のスライド構成"
ruleEnginePage.marketing.csTypeVideoDesc	"15～60秒ショート動画の自動制作"
ruleEnginePage.marketing.csTypeBanner	"バナー広告"
ruleEnginePage.marketing.csTypeBannerDesc	"レスポンシブディスプレイバナー"
ruleEnginePage.marketing.csTypeStory	"ストーリー広告"
ruleEnginePage.marketing.csTypeStoryDesc	"9:16縦型フルスクリーン"
ruleEnginePage.marketing.csTypeShopping	"ショッピング広告"
ruleEnginePage.marketing.csTypeShoppingDesc	"商品フィードDPA素材"
ruleEnginePage.marketing.csTypeMessage	"メッセージ広告"
ruleEnginePage.marketing.csTypeMessageDesc	"KakaoTalk·LINEテンプレート"
ruleEnginePage.marketing.csPerfEffScore	"素材効率スコア"
ruleEnginePage.marketing.csPerfTable	"素材別パフォーマンス"
ruleEnginePage.marketing.csColFormat	"フォーマット"
ruleEnginePage.marketing.csColPlatform	"プラットフォーム"
ruleEnginePage.marketing.csAiOpt1	"動画のCTRがカルーセルの1.5倍です。動画比率を拡大してください。"
ruleEnginePage.marketing.csAiOpt2	"TikTokショート素材の転換率が最高です。15秒以内の素材を追加制作してください。"
ruleEnginePage.marketing.csAiOpt3	"2週間以上の素材は広告疲労が上昇します。新しいクリエイティブに交換してください。"
ruleEnginePage.marketing.csBrandTitle	"ブランドアセット管理"
ruleEnginePage.marketing.csBrandDesc	"ブランドガイドラインに沿った一貫した素材管理"
ruleEnginePage.marketing.csUploadAsset	"アセットアップロード"
ruleEnginePage.marketing.csPreview	"プレビュー"
ruleEnginePage.marketing.csDownload	"ダウンロード"
ruleEnginePage.marketing.csBrandCheck	"ブランド一貫性検査"
ruleEnginePage.marketing.csColorComp	"カラー準拠率"
ruleEnginePage.marketing.csFontComp	"フォント一貫性"
ruleEnginePage.marketing.csLogoComp	"ロゴ使用準拠"
ruleEnginePage.marketing.csGuideViolation	"ガイドライン違反"
ruleEnginePage.marketing.csLastSync	"最終同期: たった今"
ruleEnginePage.marketing.csFmtCarousel	"カルーセル"
ruleEnginePage.marketing.csFmtBanner	"バナー"
ruleEnginePage.marketing.csFmtShort	"ショート"
ruleEnginePage.marketing.autoTab1	"① クリエイティブスタジオ"
ruleEnginePage.marketing.metImpressions	"インプレッション"
