ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
crm,crm.aiHub.aiHub.attribution,LATIN_LONG,Attribution,Attribution,Attribution,11,어트리뷰션
crm,crm.aiHub.aiHub.attributionDesc,LATIN_LONG,Attribution,Attribution,Attribution,11,어트리뷰션
crm,crm.aiHub.aiHub.attributionLink,LATIN_LONG,Attribution Link,Attribution Link,Attribution Link,16,어트리뷰션 링크
crm,crm.aiHub.aiHub.autoRegistered,LATIN_LONG,Auto Registered,Auto Registered,Auto Registered,15,자동 등록됨
crm,crm.aiHub.aiHub.boostReason,LATIN_LONG,Boost Reason,Boost Reason,Boost Reason,12,부스트 사유
crm,crm.aiHub.aiHub.budgetShift,LATIN_LONG,Budget Shift,Budget Shift,Budget Shift,12,예산 재배분
crm,crm.aiHub.aiHub.bulkApproved,LATIN_LONG,Bulk Approved,Bulk Approved,Bulk Approved,13,일괄 승인됨
crm,crm.aiHub.aiHub.bulkExec,LATIN_LONG,Bulk Exec,Bulk Exec,Bulk Exec,9,일괄 실행
crm,crm.aiHub.aiHub.campaignStatus,LATIN_LONG,Campaign Status,Campaign Status,Campaign Status,15,캠페인 상태
crm,crm.aiHub.aiHub.cardLimitAlert,LATIN_LONG,Card Limit Alert,Card Limit Alert,Card Limit Alert,16,카드 한도 알림
crm,crm.aiHub.aiHub.cardsUnit,LATIN_LONG,Cards Unit,Cards Unit,Cards Unit,10,장
crm,crm.aiHub.aiHub.catBudgetOpt,LATIN_LONG,Cat Budget Opt,Cat Budget Opt,Cat Budget Opt,14,카테고리 예산 최적화
crm,crm.aiHub.aiHub.catCrmRetarget,LATIN_LONG,Cat Crm Retarget,Cat Crm Retarget,Cat Crm Retarget,16,CRM 리타게팅
crm,crm.aiHub.aiHub.catInventoryRisk,LATIN_LONG,Cat Inventory Risk,Cat Inventory Risk,Cat Inventory Risk,18,재고 리스크
crm,crm.aiHub.aiHub.catSettlement,LATIN_LONG,Cat Settlement,Cat Settlement,Cat Settlement,14,정산
crm,crm.aiHub.aiHub.checkInCampaignMgr,LATIN_LONG,Check In Campaign Mgr,Check In Campaign Mgr,Check In Campaign Mgr,21,캠페인 매니저에서 확인
crm,crm.aiHub.aiHub.currentCharged,LATIN_LONG,Current Charged,Current Charged,Current Charged,15,현재 청구액
crm,crm.aiHub.aiHub.dailySales,LATIN_LONG,Daily Sales,Daily Sales,Daily Sales,11,일 매출
crm,crm.aiHub.aiHub.dataSource,LATIN_LONG,Data Source,Data Source,Data Source,11,데이터 소스
crm,crm.aiHub.aiHub.dpAddBudget,LATIN_LONG,Dp Add Budget,Dp Add Budget,Dp Add Budget,13,예산 추가
crm,crm.aiHub.aiHub.dpAdRoi,LATIN_LONG,Dp Ad Roi,Dp Ad Roi,Dp Ad Roi,9,광고 ROI
crm,crm.aiHub.aiHub.dpAdSaving,LATIN_LONG,Dp Ad Saving,Dp Ad Saving,Dp Ad Saving,12,광고비 절감
crm,crm.aiHub.aiHub.dpEstRoas,LATIN_LONG,Dp Est Roas,Dp Est Roas,Dp Est Roas,11,예상 ROAS
crm,crm.aiHub.aiHub.dpExpectedProfit,LATIN_LONG,Dp Expected Profit,Dp Expected Profit,Dp Expected Profit,18,예상 이익
crm,crm.aiHub.aiHub.dpExpireIn,LATIN_LONG,Dp Expire In,Dp Expire In,Dp Expire In,12,만료 예정
crm,crm.aiHub.aiHub.dpSettlementMargin,LATIN_LONG,Dp Settlement Margin,Dp Settlement Margin,Dp Settlement Margin,20,정산 마진
crm,crm.aiHub.aiHub.dpShiftBudget,LATIN_LONG,Dp Shift Budget,Dp Shift Budget,Dp Shift Budget,15,예산 재배분
crm,crm.aiHub.aiHub.dpVipCount,LATIN_LONG,Dp Vip Count,Dp Vip Count,Dp Vip Count,12,VIP 수
crm,crm.aiHub.aiHub.dsActiveRules,LATIN_LONG,Ds Active Rules,Ds Active Rules,Ds Active Rules,15,활성 규칙
crm,crm.aiHub.aiHub.dsRulesFired,LATIN_LONG,Ds Rules Fired,Ds Rules Fired,Ds Rules Fired,14,실행된 규칙
crm,crm.aiHub.aiHub.estRoas,LATIN_LONG,Est Roas,Est Roas,Est Roas,8,예상 ROAS
crm,crm.aiHub.aiHub.execBudget,LATIN_LONG,Exec Budget,Exec Budget,Exec Budget,11,집행 예산
crm,crm.aiHub.aiHub.execLog,LATIN_LONG,Exec Log,Exec Log,Exec Log,8,실행 로그
crm,crm.aiHub.aiHub.filterAll,LATIN_LONG,Filter All,Filter All,Filter All,10,전체
crm,crm.aiHub.aiHub.filterExecuted,LATIN_LONG,Filter Executed,Filter Executed,Filter Executed,15,실행됨
crm,crm.aiHub.aiHub.inDays5,LATIN_LONG,In Days5,In Days5,In Days5,8,5일 이내
crm,crm.aiHub.aiHub.journeyAutomation,LATIN_LONG,Journey Automation,Journey Automation,Journey Automation,18,여정 자동화
crm,crm.aiHub.aiHub.journeyLink,LATIN_LONG,Journey Link,Journey Link,Journey Link,12,여정 링크
crm,crm.aiHub.aiHub.needCard,LATIN_LONG,Need Card,Need Card,Need Card,9,카드 필요
crm,crm.aiHub.aiHub.netPayout,LATIN_LONG,Net Payout,Net Payout,Net Payout,10,Net Payout
crm,crm.aiHub.aiHub.netProfit,LATIN_LONG,Net Profit,Net Profit,Net Profit,10,순이익
crm,crm.aiHub.aiHub.noCardAlert,LATIN_LONG,No Card Alert,No Card Alert,No Card Alert,13,카드 없음 알림
crm,crm.aiHub.aiHub.pendingCampaigns,LATIN_LONG,Pending Campaigns,Pending Campaigns,Pending Campaigns,17,대기 중 캠페인
crm,crm.aiHub.aiHub.readyToExec,LATIN_LONG,Ready To Exec,Ready To Exec,Ready To Exec,13,실행 준비 완료
crm,crm.aiHub.aiHub.recBoostTitle,LATIN_LONG,Rec Boost Title,Rec Boost Title,Rec Boost Title,15,부스트 추천
crm,crm.aiHub.aiHub.recLowStockTitle,LATIN_LONG,Rec Low Stock Title,Rec Low Stock Title,Rec Low Stock Title,19,재고 부족 추천
crm,crm.aiHub.aiHub.recRebalanceTitle,LATIN_LONG,Rec Rebalance Title,Rec Rebalance Title,Rec Rebalance Title,19,재배분 추천
crm,crm.aiHub.aiHub.recVipTitle,LATIN_LONG,Rec Vip Title,Rec Vip Title,Rec Vip Title,13,VIP 추천
crm,crm.aiHub.aiHub.settlementMargin,LATIN_LONG,Settlement Margin,Settlement Margin,Settlement Margin,17,정산 마진
crm,crm.aiHub.aiHub.timesUnit,LATIN_LONG,Times Unit,Times Unit,Times Unit,10,회
crm,crm.aiHub.aiHub.totalExecBudget,LATIN_LONG,Total Exec Budget,Total Exec Budget,Total Exec Budget,17,총 실행 예산
crm,crm.aiHub.aiHub.unitPrice,LATIN_LONG,Unit Price,Unit Price,Unit Price,10,단가
crm,crm.aiHub.aiHub.viewCampaigns,LATIN_LONG,View Campaigns,View Campaigns,View Campaigns,14,캠페인 보기
crm,crm.aiHub.aiHub.vipInsight,LATIN_LONG,Vip Insight,Vip Insight,Vip Insight,11,VIP 인사이트
crm,crm.aiHub.aiHub.vipReason,LATIN_LONG,Vip Reason,Vip Reason,Vip Reason,10,VIP 사유
crm,crm.aiHub.aiHub.wastedBudget,LATIN_LONG,Wasted Budget,Wasted Budget,Wasted Budget,13,낭비 예산
crm,crm.aiHub.aiPolicy.demoBanner,LATIN_LONG,Demo Banner,Demo Banner,Demo Banner,11,데모 배너
crm,crm.aiHub.aiPolicy.demoBannerDesc,LATIN_LONG,Demo Banner,Demo Banner,Demo Banner,11,데모 배너
crm,crm.aiHub.aiPolicy.liveSyncStatus,LATIN_LONG,Live Sync Status,Live Sync Status,Live Sync Status,16,라이브 동기화 상태
crm,crm.aiHub.analyzing,LATIN_LONG,Analyzing...,Analyzing...,Analyzing...,12,분석 중...
crm,crm.aiHub.approveAll,LATIN_LONG,Approve All,Approve All,Approve All,11,전체 승인
crm,crm.aiHub.attribution,LATIN_LONG,Attribution,Attribution,Attribution,11,어트리뷰션
crm,crm.aiHub.attributionLink,LATIN_LONG,Attribution Link,Attribution Link,Attribution Link,16,어트리뷰션 링크
crm,crm.aiHub.autoRegistered,LATIN_LONG,Auto Registered,Auto Registered,Auto Registered,15,자동 등록됨
crm,crm.aiHub.boostReason,LATIN_LONG,Boost Reason,Boost Reason,Boost Reason,12,부스트 사유
crm,crm.aiHub.budgetShift,LATIN_LONG,Budget Shift,Budget Shift,Budget Shift,12,예산 재배분
crm,crm.aiHub.bulkApproved,LATIN_LONG,Bulk Approved,Bulk Approved,Bulk Approved,13,일괄 승인됨
crm,crm.aiHub.bulkExec,LATIN_LONG,Bulk Exec,Bulk Exec,Bulk Exec,9,일괄 실행
crm,crm.aiHub.campaignStatus,LATIN_LONG,Campaign Status,Campaign Status,Campaign Status,15,캠페인 상태
crm,crm.aiHub.cardLimitAlert,LATIN_LONG,Card Limit Alert,Card Limit Alert,Card Limit Alert,16,카드 한도 알림
crm,crm.aiHub.cardsUnit,LATIN_LONG,Cards Unit,Cards Unit,Cards Unit,10,장
crm,crm.aiHub.catalogSync.alertAuto.liveSyncStatus,LATIN_LONG,Live Sync Status,Live Sync Status,Live Sync Status,16,라이브 동기화 상태
crm,crm.aiHub.catalogSync.conn.filterAll,LATIN_LONG,Filter All,Filter All,Filter All,10,전체
crm,crm.aiHub.catalogSync.contentCal.guideTabsTitle,LATIN_LONG,Guide Tabs Title,Guide Tabs Title,Guide Tabs Title,16,가이드 탭 제목
crm,crm.aiHub.catalogSync.ihub.dwFeatureUnity,LATIN_LONG,Unity Catalog,Unity Catalog,Unity Catalog,13,Unity Catalog
crm,crm.aiHub.catalogSync.ihub.scTitle,LATIN_LONG,SmartConnect AI,SmartConnect AI,SmartConnect AI,15,SmartConnect AI
crm,crm.aiHub.catalogSync.ihub.tabSmartConnect,LATIN_LONG,Smart Connect,Smart Connect,Smart Connect,13,Smart Connect
crm,crm.aiHub.catalogSync.mr.secLockDesc,LATIN_LONG,Sec Lock,Sec Lock,Sec Lock,8,보안 잠금
crm,crm.aiHub.catalogSync.mr.secLockTitle,LATIN_LONG,Sec Lock Title,Sec Lock Title,Sec Lock Title,14,보안 잠금 제목
crm,crm.aiHub.catalogSync.pxl.conversions,LATIN_LONG,Conversions,Conversions,Conversions,11,전환
crm,crm.aiHub.catalogSync.pxl.createPixel,LATIN_LONG,Create Pixel,Create Pixel,Create Pixel,12,픽셀 생성
crm,crm.aiHub.catalogSync.pxl.createPixelBtn,LATIN_LONG,Create Pixel,Create Pixel,Create Pixel,12,픽셀 생성
crm,crm.aiHub.catalogSync.pxl.nameRequired,LATIN_LONG,Name Required,Name Required,Name Required,13,이름을 입력해주세요
crm,crm.aiHub.catalogSync.pxl.secLockDesc,LATIN_LONG,Sec Lock,Sec Lock,Sec Lock,8,보안 잠금
crm,crm.aiHub.catalogSync.pxl.secLockTitle,LATIN_LONG,Sec Lock Title,Sec Lock Title,Sec Lock Title,14,보안 잠금 제목
crm,crm.aiHub.catalogSync.pxl.totalRevenue,LATIN_LONG,Total Revenue,Total Revenue,Total Revenue,13,총 매출
crm,crm.aiHub.catalogSync.webPopup.linkUrlPh,LATIN_LONG,https://example.com/promo,https://example.com/promo,https://example.com/promo,25,https://example.com/promo
crm,crm.aiHub.catBudgetOpt,LATIN_LONG,Cat Budget Opt,Cat Budget Opt,Cat Budget Opt,14,카테고리 예산 최적화
crm,crm.aiHub.catCrmRetarget,LATIN_LONG,Cat Crm Retarget,Cat Crm Retarget,Cat Crm Retarget,16,CRM 리타게팅
crm,crm.aiHub.catInventoryRisk,LATIN_LONG,Cat Inventory Risk,Cat Inventory Risk,Cat Inventory Risk,18,재고 리스크
crm,crm.aiHub.catSettlement,LATIN_LONG,Cat Settlement,Cat Settlement,Cat Settlement,14,정산
crm,crm.aiHub.checkInCampaignMgr,LATIN_LONG,Check In Campaign Mgr,Check In Campaign Mgr,Check In Campaign Mgr,21,캠페인 매니저에서 확인
crm,crm.aiHub.crm.guideTabsTitle,LATIN_LONG,Guide Tabs Title,Guide Tabs Title,Guide Tabs Title,16,가이드 탭 제목
crm,crm.aiHub.currentCharged,LATIN_LONG,Current Charged,Current Charged,Current Charged,15,현재 청구액
crm,crm.aiHub.dailySales,LATIN_LONG,Daily Sales,Daily Sales,Daily Sales,11,일 매출
crm,crm.aiHub.dpAddBudget,LATIN_LONG,Dp Add Budget,Dp Add Budget,Dp Add Budget,13,예산 추가
crm,crm.aiHub.dpAdRoi,LATIN_LONG,Dp Ad Roi,Dp Ad Roi,Dp Ad Roi,9,광고 ROI
crm,crm.aiHub.dpAdSaving,LATIN_LONG,Dp Ad Saving,Dp Ad Saving,Dp Ad Saving,12,광고비 절감
crm,crm.aiHub.dpEstRoas,LATIN_LONG,Dp Est Roas,Dp Est Roas,Dp Est Roas,11,예상 ROAS
crm,crm.aiHub.dpExpectedProfit,LATIN_LONG,Dp Expected Profit,Dp Expected Profit,Dp Expected Profit,18,예상 이익
crm,crm.aiHub.dpExpireIn,LATIN_LONG,Dp Expire In,Dp Expire In,Dp Expire In,12,만료 예정
crm,crm.aiHub.dpSettlementMargin,LATIN_LONG,Dp Settlement Margin,Dp Settlement Margin,Dp Settlement Margin,20,정산 마진
crm,crm.aiHub.dpShiftBudget,LATIN_LONG,Dp Shift Budget,Dp Shift Budget,Dp Shift Budget,15,예산 재배분
crm,crm.aiHub.dpVipCount,LATIN_LONG,Dp Vip Count,Dp Vip Count,Dp Vip Count,12,VIP 수
crm,crm.aiHub.dsActiveRules,LATIN_LONG,Ds Active Rules,Ds Active Rules,Ds Active Rules,15,활성 규칙
crm,crm.aiHub.dsRulesFired,LATIN_LONG,Ds Rules Fired,Ds Rules Fired,Ds Rules Fired,14,실행된 규칙
crm,crm.aiHub.estRoas,LATIN_LONG,Estimated Blended ROAS,Estimated Blended ROAS,Estimated Blended ROAS,22,예상 Blended ROAS
crm,crm.aiHub.execBudget,LATIN_LONG,Exec Budget,Exec Budget,Exec Budget,11,집행 예산
crm,crm.aiHub.execLog,LATIN_LONG,Auto Execution Log,Auto Execution Log,Auto Execution Log,18,자동 실행 로그
crm,crm.aiHub.filterExecuted,LATIN_LONG,Filter Executed,Filter Executed,Filter Executed,15,실행됨
crm,crm.aiHub.guideTabCreativeName,LATIN_LONG,AI Creative,AI Creative,AI Creative,11,AI 크리에이티브
crm,crm.aiHub.inDays5,LATIN_LONG,In Days5,In Days5,In Days5,8,5일 이내
crm,crm.aiHub.journey.nodeTypes.instagram,LATIN_LONG,Instagram DM,Instagram DM,Instagram DM,12,Instagram DM
crm,crm.aiHub.journey.webhookUrl,LATIN_LONG,Webhook URL,Webhook URL,Webhook URL,11,Webhook URL
crm,crm.aiHub.journeyAutomation,LATIN_LONG,Journey Automation,Journey Automation,Journey Automation,18,여정 자동화
crm,crm.aiHub.journeyLink,LATIN_LONG,Journey Link,Journey Link,Journey Link,12,여정 링크
crm,crm.aiHub.mobileNav.ariaLabel,LATIN_LONG,Aria Label,Aria Label,Aria Label,10,ARIA 라벨
crm,crm.aiHub.needCard,LATIN_LONG,Need Card,Need Card,Need Card,9,카드 필요
crm,crm.aiHub.netPayout,LATIN_LONG,Net Payout,Net Payout,Net Payout,10,Net Payout
crm,crm.aiHub.netProfit,LATIN_LONG,Net Profit,Net Profit,Net Profit,10,순이익
crm,crm.aiHub.noCardAlert,LATIN_LONG,No Card Alert,No Card Alert,No Card Alert,13,카드 없음 알림
crm,crm.aiHub.omniChannel.groupOwnMall,LATIN_LONG,🏪 Own Mall / Others,🏪 Own Mall / Others,🏪 Own Mall / Others,20,🏪 자사몰 / 기타
crm,crm.aiHub.omniChannel.invLastUpdate,LATIN_LONG,Last Update,Last Update,Last Update,11,최종 업데이트
crm,crm.aiHub.omniChannel.invLowStock,LATIN_LONG,Low Stock,Low Stock,Low Stock,9,재고 부족
crm,crm.aiHub.omniChannel.invOutOfStock,LATIN_LONG,Out of Stock,Out of Stock,Out of Stock,12,품절
crm,crm.aiHub.omniChannel.invTitle,LATIN_LONG,Real-time Inventory,Real-time Inventory,Real-time Inventory,19,실시간 재고
crm,crm.aiHub.omniChannel.invTotalProducts,LATIN_LONG,Total Products,Total Products,Total Products,14,총 상품 수
crm,crm.aiHub.omniChannel.ordBtnExport,LATIN_LONG,📥 Export,📥 Export,📥 Export,9,📥 내보내기
crm,crm.aiHub.omniChannel.ordColOrderNo,LATIN_LONG,Order No,Order No,Order No,8,주문 번호
crm,crm.aiHub.omniChannel.ordTitle,LATIN_LONG,Unified Order Management,Unified Order Management,Unified Order Management,24,통합 주문 관리
crm,crm.aiHub.omniChannel.ordTotalOrders,LATIN_LONG,Total Orders,Total Orders,Total Orders,12,총 주문
crm,crm.aiHub.omniChannel.ovAvgOrderValue,LATIN_LONG,Avg Order Value,Avg Order Value,Avg Order Value,15,평균 주문 금액
crm,crm.aiHub.omniChannel.ovChannelShare,LATIN_LONG,Revenue Share by Channel,Revenue Share by Channel,Revenue Share by Channel,24,채널별 매출 비중
crm,crm.aiHub.omniChannel.ovRevenueByChannel,LATIN_LONG,Revenue Trend by Channel,Revenue Trend by Channel,Revenue Trend by Channel,24,채널별 매출 트렌드
crm,crm.aiHub.omniChannel.ovTitle,LATIN_LONG,Unified Dashboard,Unified Dashboard,Unified Dashboard,17,통합 대시보드
crm,crm.aiHub.omniChannel.ovTotalOrders,LATIN_LONG,Total Orders,Total Orders,Total Orders,12,총 주문
crm,crm.aiHub.omniChannel.ovTotalRevenue,LATIN_LONG,Total Revenue,Total Revenue,Total Revenue,13,총 매출
crm,crm.aiHub.omniChannel.prodAvgPrice,LATIN_LONG,Avg Price,Avg Price,Avg Price,9,평균 가격
crm,crm.aiHub.omniChannel.prodBtnSync,LATIN_LONG,🔄 Sync All,🔄 Sync All,🔄 Sync All,11,🔄 전체 동기화
crm,crm.aiHub.omniChannel.prodChannelCoverage,LATIN_LONG,Channel Coverage,Channel Coverage,Channel Coverage,16,채널 커버리지
crm,crm.aiHub.omniChannel.prodColLastSync,LATIN_LONG,Last Sync,Last Sync,Last Sync,9,최근 동기화
crm,crm.aiHub.omniChannel.prodColName,LATIN_LONG,Product Name,Product Name,Product Name,12,상품명
crm,crm.aiHub.omniChannel.prodSyncStatus,LATIN_LONG,Sync Status,Sync Status,Sync Status,11,동기화 상태
crm,crm.aiHub.omniChannel.prodTitle,LATIN_LONG,Unified Product Management,Unified Product Management,Unified Product Management,26,통합 상품 관리
crm,crm.aiHub.omniChannel.prodTotalSKU,LATIN_LONG,Total SKUs,Total SKUs,Total SKUs,10,총 SKU 수
crm,crm.aiHub.pendingCampaigns,LATIN_LONG,Pending Campaigns,Pending Campaigns,Pending Campaigns,17,대기 중 캠페인
crm,crm.aiHub.readyToExec,LATIN_LONG,Ready To Exec,Ready To Exec,Ready To Exec,13,실행 준비 완료
crm,crm.aiHub.recBoostTitle,LATIN_LONG,Rec Boost Title,Rec Boost Title,Rec Boost Title,15,부스트 추천
crm,crm.aiHub.recLowStockTitle,LATIN_LONG,Rec Low Stock Title,Rec Low Stock Title,Rec Low Stock Title,19,재고 부족 추천
crm,crm.aiHub.recRebalanceTitle,LATIN_LONG,Rec Rebalance Title,Rec Rebalance Title,Rec Rebalance Title,19,재배분 추천
crm,crm.aiHub.recVipTitle,LATIN_LONG,Rec Vip Title,Rec Vip Title,Rec Vip Title,13,VIP 추천
crm,crm.aiHub.revenue,LATIN_LONG,Estimated Revenue,Estimated Revenue,Estimated Revenue,17,예상 매출
crm,crm.aiHub.reviews.abGroupA,LATIN_LONG,Ab Group A,Ab Group A,Ab Group A,10,A 그룹
crm,crm.aiHub.reviews.abGroupB,LATIN_LONG,Ab Group B,Ab Group B,Ab Group B,10,B 그룹
crm,crm.aiHub.reviews.achieved,LATIN_LONG,Achieved ✓,Achieved ✓,Achieved ✓,10,달성 ✓
crm,crm.aiHub.reviews.achievedOk,LATIN_LONG,Achieved ✓,Achieved ✓,Achieved ✓,10,달성 ✓
crm,crm.aiHub.reviews.aiAnalyzing,LATIN_LONG,AI Analyzing...,AI Analyzing...,AI Analyzing...,15,AI 분석 중...
crm,crm.aiHub.reviews.aiHistoryList,LATIN_LONG,AI Analysis History,AI Analysis History,AI Analysis History,19,AI 분석 이력
crm,crm.aiHub.reviews.aiSummary,LATIN_LONG,AI Analysis Summary,AI Analysis Summary,AI Analysis Summary,19,AI 분석 요약
crm,crm.aiHub.reviews.alertSuccess,LATIN_LONG,Alert Success,Alert Success,Alert Success,13,알림 발송 성공
crm,crm.aiHub.reviews.allChannel,LATIN_LONG,Total Channels,Total Channels,Total Channels,14,전체 채널
crm,crm.aiHub.reviews.allChannels,LATIN_LONG,Total Channels,Total Channels,Total Channels,14,전체 채널
crm,crm.aiHub.reviews.avgTime,LATIN_LONG,Avg Time,Avg Time,Avg Time,8,평균 시간
crm,crm.aiHub.reviews.backToList,LATIN_LONG,Back To List,Back To List,Back To List,12,목록으로 돌아가기
crm,crm.aiHub.reviews.badgeAdSpend,LATIN_LONG,Total Ad Spend,Total Ad Spend,Total Ad Spend,14,총 광고 비용
crm,crm.aiHub.reviews.badgeBlendedRoas,LATIN_LONG,Blended ROAS,Blended ROAS,Blended ROAS,12,Blended ROAS
crm,crm.aiHub.reviews.badgeOpProfit,LATIN_LONG,Badge Op Profit,Badge Op Profit,Badge Op Profit,15,영업이익 배지
crm,crm.aiHub.reviews.badgeOrders,LATIN_LONG,Badge Orders,Badge Orders,Badge Orders,12,주문 배지
crm,crm.aiHub.reviews.bannerDesc,LATIN_LONG,Banner Desc,Banner Desc,Banner Desc,11,배너 설명
crm,crm.aiHub.reviews.bannerTitle,LATIN_LONG,Banner Title,Banner Title,Banner Title,12,배너 제목
crm,crm.aiHub.reviews.belowTarget,LATIN_LONG,Below Target,Below Target,Below Target,12,목표 미달
crm,crm.aiHub.reviews.birthday,LATIN_LONG,🎂 Birthday,🎂 Birthday,🎂 Birthday,11,🎂 생일
crm,crm.aiHub.reviews.bizGoalSetting,LATIN_LONG,Biz Goal Setting,Biz Goal Setting,Biz Goal Setting,16,비즈니스 목표 설정
crm,crm.aiHub.reviews.brandAwareness,LATIN_LONG,Brand Awareness,Brand Awareness,Brand Awareness,15,브랜드 인지도
crm,crm.aiHub.reviews.brandAwarenessDesc,LATIN_LONG,Brand Awareness Desc,Brand Awareness Desc,Brand Awareness Desc,20,브랜드 인지도 안내
crm,crm.aiHub.reviews.btnLaunch,LATIN_LONG,Btn Launch,Btn Launch,Btn Launch,10,런칭
crm,crm.aiHub.reviews.btnLaunching,LATIN_LONG,Btn Launching,Btn Launching,Btn Launching,13,런칭 중
crm,crm.aiHub.reviews.btnRetry,LATIN_LONG,Btn Retry,Btn Retry,Btn Retry,9,재시도
crm,crm.aiHub.reviews.btnReview,LATIN_LONG,Btn Review,Btn Review,Btn Review,10,검토
crm,crm.aiHub.reviews.btnSimulate,LATIN_LONG,Btn Simulate,Btn Simulate,Btn Simulate,12,시뮬레이션 실행
crm,crm.aiHub.reviews.budgetErr,LATIN_LONG,Budget Err,Budget Err,Budget Err,10,예산 오류
crm,crm.aiHub.reviews.budgetLabel,LATIN_LONG,Budget Label,Budget Label,Budget Label,12,예산
crm,crm.aiHub.reviews.budgetSub,LATIN_LONG,Budget Sub,Budget Sub,Budget Sub,10,예산 안내
crm,crm.aiHub.reviews.campName,LATIN_LONG,Campaign Name,Campaign Name,Campaign Name,13,캠페인명
crm,crm.aiHub.reviews.cart_abandoned,LATIN_LONG,🛒 Cart Abandoned,🛒 Cart Abandoned,🛒 Cart Abandoned,17,🛒 장바구니 이탈
crm,crm.aiHub.reviews.cases,LATIN_LONG, orders, orders, orders,7,주문
crm,crm.aiHub.reviews.catBeauty,LATIN_LONG,Cat Beauty,Cat Beauty,Cat Beauty,10,뷰티
crm,crm.aiHub.reviews.catFashion,LATIN_LONG,Cat Fashion,Cat Fashion,Cat Fashion,11,패션
crm,crm.aiHub.reviews.catFood,LATIN_LONG,Cat Food,Cat Food,Cat Food,8,식품
crm,crm.aiHub.reviews.catGeneral,LATIN_LONG,Cat General,Cat General,Cat General,11,일반
crm,crm.aiHub.reviews.catSoftware,LATIN_LONG,Cat Software,Cat Software,Cat Software,12,소프트웨어
crm,crm.aiHub.reviews.catTech,LATIN_LONG,Cat Tech,Cat Tech,Cat Tech,8,테크
crm,crm.aiHub.reviews.catTravel,LATIN_LONG,Cat Travel,Cat Travel,Cat Travel,10,여행
crm,crm.aiHub.reviews.channelRoleDef,LATIN_LONG,Channel Role Definition,Channel Role Definition,Channel Role Definition,23,채널 역할 정의
crm,crm.aiHub.reviews.chBlog,LATIN_LONG,Ch Blog,Ch Blog,Ch Blog,7,블로그 채널
crm,crm.aiHub.reviews.chCommunity,LATIN_LONG,Ch Community,Ch Community,Ch Community,12,커뮤니티 채널
crm,crm.aiHub.reviews.checklist,LATIN_LONG,Key Action Items,Key Action Items,Key Action Items,16,핵심 액션 아이템
crm,crm.aiHub.reviews.chkCostPerf,LATIN_LONG,Cost vs Performance Check,Cost vs Performance Check,Cost vs Performance Check,25,비용 대비 성과 점검
crm,crm.aiHub.reviews.chkEff,LATIN_LONG,Campaign Efficiency Check,Campaign Efficiency Check,Campaign Efficiency Check,25,캠페인 효율 점검
crm,crm.aiHub.reviews.chkImprove,LATIN_LONG,Identify Items for Improvement,Identify Items for Improvement,Identify Items for Improvement,30,개선 항목 파악
crm,crm.aiHub.reviews.chSearchAds,LATIN_LONG,Ch Search Ads,Ch Search Ads,Ch Search Ads,13,검색 광고 채널
