ko_value,count,path,ja_value,en_value,suggested_ko
Hint Ctr,7,crm.aiHub.reviews.hintCtr,Hint Ctr,Hint Ctr,CTR 도움말
Hint Roas,7,crm.aiHub.reviews.hintRoas,Hint Roas,Hint Roas,ROAS 도움말
Improvement Recommendations,7,crm.aiHub.reviews.improveRecs,Improvement Recommendations,Improvement Recommendations,개선 추천 사항
Inquiries Purchases,7,crm.aiHub.reviews.inquiriesPurchases,Inquiries Purchases,Inquiries Purchases,문의·구매
Inquiries Purchases Desc,7,crm.aiHub.reviews.inquiriesPurchasesDesc,Inquiries Purchases Desc,Inquiries Purchases Desc,문의·구매 안내
Interest Conv,7,crm.aiHub.reviews.interestConv,Interest Conv,Interest Conv,관심·전환
AI Channel Performance Monitoring,7,crm.aiHub.reviews.monitorAi,AI Channel Performance Monitoring,AI Channel Performance Monitoring,AI 채널 성과 모니터링
Monthly Report,7,crm.aiHub.reviews.monthlyAi,Monthly Report,Monthly Report,월간 리포트
Monthly Trend,7,crm.aiHub.reviews.monthlyTrend,Monthly Trend,Monthly Trend,월간 트렌드
New Signups,7,crm.aiHub.reviews.newMembers,New Signups,New Signups,신규 가입
Overall Achievement Status,7,crm.aiHub.reviews.overallAchieve,Overall Achievement Status,Overall Achievement Status,전체 달성 현황
Page Views,7,crm.aiHub.reviews.pageViews,Page Views,Page Views,페이지뷰
Please Select Goal,7,crm.aiHub.reviews.pleaseSelectGoal,Please Select Goal,Please Select Goal,목표를 선택해주세요
Post Views,7,crm.aiHub.reviews.postViews,Post Views,Post Views,게시물 조회 수
Privacy Policy,7,crm.aiHub.reviews.privacyPolicy,Privacy Policy,Privacy Policy,개인정보 처리방침
✅ Purchase Complete,7,crm.aiHub.reviews.purchase,✅ Purchase Complete,✅ Purchase Complete,✅ 구매 완료
Brand Reach,7,crm.aiHub.reviews.roleBrandReach,Brand Reach,Brand Reach,브랜드 도달
Capture Purchase Intent,7,crm.aiHub.reviews.roleCaptureIntent,Capture Purchase Intent,Capture Purchase Intent,구매 의도 포착
Strengthen Customer Relationships,7,crm.aiHub.reviews.roleCustRel,Strengthen Customer Relationships,Strengthen Customer Relationships,고객 관계 강화
Info · Trust Building,7,crm.aiHub.reviews.roleInfoTrust,Info · Trust Building,Info · Trust Building,정보·신뢰 구축
Search Traffic,7,crm.aiHub.reviews.searchTraffic,Search Traffic,Search Traffic,검색 트래픽
Selected Goals,7,crm.aiHub.reviews.selectedGoals,Selected Goals,Selected Goals,선택된 목표
Seo Impact,7,crm.aiHub.reviews.seoImpact,Seo Impact,Seo Impact,SEO 영향도
Site Traffic,7,crm.aiHub.reviews.siteTraffic,Site Traffic,Site Traffic,사이트 트래픽
Sns Kpi By Channel,7,crm.aiHub.reviews.snsKpiByChannel,Sns Kpi By Channel,Sns Kpi By Channel,채널별 SNS KPI
Sns Kpi Overview,7,crm.aiHub.reviews.snsKpiOverview,Sns Kpi Overview,Sns Kpi Overview,SNS KPI 개요
Tab Community,7,crm.aiHub.reviews.tabCommunity,Tab Community,Tab Community,커뮤니티
Tab Content,7,crm.aiHub.reviews.tabContent,Tab Content,Tab Content,콘텐츠
Tab Goals,7,crm.aiHub.reviews.tabGoals,Tab Goals,Tab Goals,목표
Tab Monitor,7,crm.aiHub.reviews.tabMonitor,Tab Monitor,Tab Monitor,모니터링
Tab Setup,7,crm.aiHub.reviews.tabSetup,Tab Setup,Tab Setup,설정
Tab Sns,7,crm.aiHub.reviews.tabSns,Tab Sns,Tab Sns,SNS
Tab Targets,7,crm.aiHub.reviews.tabTargets,Tab Targets,Tab Targets,타겟 탭
KPI Target Setting by Channel,7,crm.aiHub.reviews.targetSetup,KPI Target Setting by Channel,KPI Target Setting by Channel,채널별 KPI 목표 설정
Target Vs Actuals,7,crm.aiHub.reviews.targetVsActuals,Target Vs Actuals,Target Vs Actuals,목표 대비 실적
Web Traffic,7,crm.aiHub.reviews.webTraffic,Web Traffic,Web Traffic,웹 트래픽
Web Traffic Desc,7,crm.aiHub.reviews.webTrafficDesc,Web Traffic Desc,Web Traffic Desc,웹 트래픽 안내
Weekly Ad Efficiency Trend,7,crm.aiHub.reviews.weeklyAdTrend,Weekly Ad Efficiency Trend,Weekly Ad Efficiency Trend,주간 광고 효율 트렌드
Weekly Report,7,crm.aiHub.reviews.weeklyAi,Weekly Report,Weekly Report,주간 리포트
TikTok Shop,6,_marketing_1.sc_tiktok_shop,,TikTok Shop,TikTok Shop
LTV vs CAC,6,attrData.tabLtvLabel,LTV,LTV,LTV vs CAC
Auto Execution Log,6,crm.aiHub.execLog,Auto Execution Log,Auto Execution Log,자동 실행 로그
Unified Dashboard,6,crm.aiHub.omniChannel.ovTitle,Unified Dashboard,Unified Dashboard,통합 대시보드
Ab Group A,6,crm.aiHub.reviews.abGroupA,Ab Group A,Ab Group A,A 그룹
Ab Group B,6,crm.aiHub.reviews.abGroupB,Ab Group B,Ab Group B,B 그룹
Back To List,6,crm.aiHub.reviews.backToList,Back To List,Back To List,목록으로 돌아가기
🎂 Birthday,6,crm.aiHub.reviews.birthday,🎂 Birthday,🎂 Birthday,🎂 생일
🛒 Cart Abandoned,6,crm.aiHub.reviews.cart_abandoned,🛒 Cart Abandoned,🛒 Cart Abandoned,🛒 장바구니 이탈
Click To Edit,6,crm.aiHub.reviews.clickToEdit,Click To Edit,Click To Edit,클릭하여 편집
Condition Email Clicked,6,crm.aiHub.reviews.conditionEmailClicked,Condition Email Clicked,Condition Email Clicked,이메일 클릭 조건
Condition Email Opened,6,crm.aiHub.reviews.conditionEmailOpened,Condition Email Opened,Condition Email Opened,이메일 열람 조건
Condition Field,6,crm.aiHub.reviews.conditionField,Condition Field,Condition Field,조건 필드
Condition Kakao Clicked,6,crm.aiHub.reviews.conditionKakaoClicked,Condition Kakao Clicked,Condition Kakao Clicked,카카오 클릭 조건
Condition Ltv Gt,6,crm.aiHub.reviews.conditionLtvGt,Condition Ltv Gt,Condition Ltv Gt,LTV 초과 조건
Click-through Rate (CTR),6,crm.aiHub.reviews.ctr,Click-through Rate (CTR),Click-through Rate (CTR),클릭률 (CTR)
Delay Time,6,crm.aiHub.reviews.delayTime,Delay Time,Delay Time,지연 시간
Delete Node,6,crm.aiHub.reviews.deleteNode,Delete Node,Delete Node,노드 삭제
Email From,6,crm.aiHub.reviews.emailFrom,Email From,Email From,발신자
Email Send Sim,6,crm.aiHub.reviews.emailSendSim,Email Send Sim,Email Send Sim,이메일 발송 시뮬레이션
Email Simulate,6,crm.aiHub.reviews.emailSimulate,Email Simulate,Email Simulate,이메일 시뮬레이션
Email Subject,6,crm.aiHub.reviews.emailSubject,Email Subject,Email Subject,이메일 제목
Email Subject Ph,6,crm.aiHub.reviews.emailSubjectPh,Email Subject Ph,Email Subject Ph,이메일 제목 입력
Email Test Send,6,crm.aiHub.reviews.emailTestSend,Email Test Send,Email Test Send,이메일 테스트 발송
Kakao Alimtalk,6,crm.aiHub.reviews.kakaoAlimtalk,Kakao Alimtalk,Kakao Alimtalk,카카오 알림톡
Kakao Friendtalk,6,crm.aiHub.reviews.kakaoFriendtalk,Kakao Friendtalk,Kakao Friendtalk,카카오 친구톡
Kakao Msg Type,6,crm.aiHub.reviews.kakaoMsgType,Kakao Msg Type,Kakao Msg Type,카카오 메시지 유형
Kakao Send Sim,6,crm.aiHub.reviews.kakaoSendSim,Kakao Send Sim,Kakao Send Sim,카카오 발송 시뮬레이션
Kakao Template,6,crm.aiHub.reviews.kakaoTemplate,Kakao Template,Kakao Template,카카오 템플릿
Kakao Test,6,crm.aiHub.reviews.kakaoTest,Kakao Test,Kakao Test,카카오 테스트
Line Msg Type,6,crm.aiHub.reviews.lineMsgType,Line Msg Type,Line Msg Type,LINE 메시지 유형
Line Send Sim,6,crm.aiHub.reviews.lineSendSim,Line Send Sim,Line Send Sim,LINE 발송 시뮬레이션
Line Simulate,6,crm.aiHub.reviews.lineSimulate,Line Simulate,Line Simulate,LINE 시뮬레이션
Line Template,6,crm.aiHub.reviews.lineTemplate,Line Template,Line Template,LINE 템플릿
Line Test Send,6,crm.aiHub.reviews.lineTestSend,Line Test Send,Line Test Send,LINE 테스트 발송
Node Config,6,crm.aiHub.reviews.nodeConfig,Node Config,Node Config,노드 설정
Node Name,6,crm.aiHub.reviews.nodeName,Node Name,Node Name,노드명
Recent Triggers,6,crm.aiHub.reviews.recentTriggers,Recent Triggers,Recent Triggers,최근 트리거
📌 Segment Entry,6,crm.aiHub.reviews.segment_entered,📌 Segment Entry,📌 Segment Entry,📌 세그먼트 진입
🌱 New Signup,6,crm.aiHub.reviews.signup,🌱 New Signup,🌱 New Signup,🌱 신규 가입
View by Team,6,crm.aiHub.reviews.team,View by Team,View by Team,팀별 보기
Trigger Type,6,crm.aiHub.reviews.triggerType,Trigger Type,Trigger Type,트리거 유형
UGC Revenue,6,crm.aiHub.reviews.u_86,UGC Revenue,UGC Revenue,UGC 매출
Video Views,6,crm.aiHub.reviews.videoViews,Video Views,Video Views,동영상 조회 수
Mapping Rule,6,pages.marketingIntel.eventNorm.mappingRule,Mapping Rule,Mapping Rule,매핑 규칙
Send domestic SMS/LMS messages and manage send history and statistics.,6,pages.marketingIntel.helpPanel.staticHelp.connectors.summary,Send domestic SMS/LMS messages and manage send history and statistics.,Send domestic SMS/LMS messages and manage send history and statistics.,국내 SMS/LMS 메시지를 발송하고 발송 이력과 통계를 관리합니다.
Net Profit,5,crm.aiHub.aiHub.netProfit,Net Profit,Net Profit,순이익
Last Sync,5,crm.aiHub.omniChannel.prodColLastSync,Last Sync,Last Sync,최근 동기화
Badge Op Profit,5,crm.aiHub.reviews.badgeOpProfit,Badge Op Profit,Badge Op Profit,영업이익 배지
Badge Orders,5,crm.aiHub.reviews.badgeOrders,Badge Orders,Badge Orders,주문 배지
Banner Desc,5,crm.aiHub.reviews.bannerDesc,Banner Desc,Banner Desc,배너 설명
Banner Title,5,crm.aiHub.reviews.bannerTitle,Banner Title,Banner Title,배너 제목
Ch Blog,5,crm.aiHub.reviews.chBlog,Ch Blog,Ch Blog,블로그 채널
Ch Community,5,crm.aiHub.reviews.chCommunity,Ch Community,Ch Community,커뮤니티 채널
Ch Search Ads,5,crm.aiHub.reviews.chSearchAds,Ch Search Ads,Ch Search Ads,검색 광고 채널
Ch Sns Ads,5,crm.aiHub.reviews.chSnsAds,Ch Sns Ads,Ch Sns Ads,SNS 광고 채널
Final Churn Status,5,crm.aiHub.reviews.churn,Final Churn Status,Final Churn Status,최종 이탈 상태
😴 Churn Risk Customer,5,crm.aiHub.reviews.churned,😴 Churn Risk Customer,😴 Churn Risk Customer,😴 이탈 위험 고객
LINE Clicks,5,crm.aiHub.reviews.conditionLineClicked,LINE Clicks,LINE Clicks,LINE 클릭
Consent Date,5,crm.aiHub.reviews.consentDate,Consent Date,Consent Date,동의일
Consent Now,5,crm.aiHub.reviews.consentNow,Consent Now,Consent Now,지금 동의
Consent Rate,5,crm.aiHub.reviews.consentRate,Consent Rate,Consent Rate,동의율
Cookie Policy,5,crm.aiHub.reviews.cookiePolicy,Cookie Policy,Cookie Policy,쿠키 정책
Crm Churn,5,crm.aiHub.reviews.crmChurn,Crm Churn,Crm Churn,CRM 이탈
Crm Journey,5,crm.aiHub.reviews.crmJourney,Crm Journey,Crm Journey,CRM 여정
Crm Journey Action,5,crm.aiHub.reviews.crmJourneyAction,Crm Journey Action,Crm Journey Action,CRM 여정 액션
Crm Vip,5,crm.aiHub.reviews.crmVip,Crm Vip,Crm Vip,CRM VIP
Current Consent Status,5,crm.aiHub.reviews.currentConsentStatus,Current Consent Status,Current Consent Status,현재 동의 상태
Current Month,5,crm.aiHub.reviews.currentMonth,Current Month,Current Month,이번 달
Date (Period),5,crm.aiHub.reviews.date,Date (Period),Date (Period),날짜 (기간)
Edit Settings,5,crm.aiHub.reviews.editSettings,Edit Settings,Edit Settings,설정 편집
Exp Roas,5,crm.aiHub.reviews.expRoas,Exp Roas,Exp Roas,예상 ROAS
Filter High,5,crm.aiHub.reviews.filterHigh,Filter High,Filter High,높음
Filter Low,5,crm.aiHub.reviews.filterLow,Filter Low,Filter Low,낮음
Filter Med,5,crm.aiHub.reviews.filterMed,Filter Med,Filter Med,중간
Kakao Guild,5,crm.aiHub.reviews.kakaoGuild,Kakao Guild,Kakao Guild,카카오 가이드
Lbl Cpa Full,5,crm.aiHub.reviews.lblCpaFull,Lbl Cpa Full,Lbl Cpa Full,고객 획득 비용(CPA)
Lbl Cpc Full,5,crm.aiHub.reviews.lblCpcFull,Lbl Cpc Full,Lbl Cpc Full,클릭당 비용(CPC)
Lbl Ctr Full,5,crm.aiHub.reviews.lblCtrFull,Lbl Ctr Full,Lbl Ctr Full,클릭률(CTR)
Lbl Roas Full,5,crm.aiHub.reviews.lblRoasFull,Lbl Roas Full,Lbl Roas Full,광고 수익률(ROAS)
Live D B,5,crm.aiHub.reviews.liveDB,Live D B,Live D B,라이브 DB
Mkt Budget Action,5,crm.aiHub.reviews.mktBudgetAction,Mkt Budget Action,Mkt Budget Action,마케팅 예산 액션
Mkt High Roas,5,crm.aiHub.reviews.mktHighRoas,Mkt High Roas,Mkt High Roas,고 ROAS 마케팅
Mkt High Roas Sub,5,crm.aiHub.reviews.mktHighRoasSub,Mkt High Roas Sub,Mkt High Roas Sub,고 ROAS 마케팅 안내
Mkt Hub Action,5,crm.aiHub.reviews.mktHubAction,Mkt Hub Action,Mkt Hub Action,마케팅 허브 액션
Mkt Low Roas,5,crm.aiHub.reviews.mktLowRoas,Mkt Low Roas,Mkt Low Roas,저 ROAS 마케팅
Mkt Optimize Now,5,crm.aiHub.reviews.mktOptimizeNow,Mkt Optimize Now,Mkt Optimize Now,지금 마케팅 최적화
Mkt Rules Active,5,crm.aiHub.reviews.mktRulesActive,Mkt Rules Active,Mkt Rules Active,활성 마케팅 규칙
Naver Cafe,5,crm.aiHub.reviews.naverCafe,Naver Cafe,Naver Cafe,네이버 카페
No Consent Info,5,crm.aiHub.reviews.noConsentInfo,No Consent Info,No Consent Info,동의 정보 없음
Not Consented,5,crm.aiHub.reviews.notConsented,Not Consented,Not Consented,미동의
Orders Ai Run,5,crm.aiHub.reviews.ordersAiRun,Orders Ai Run,Orders Ai Run,주문 AI 실행
Orders Ai Sub,5,crm.aiHub.reviews.ordersAiSub,Orders Ai Sub,Orders Ai Sub,주문 AI 안내
Orders Campaign Action,5,crm.aiHub.reviews.ordersCampaignAction,Orders Campaign Action,Orders Campaign Action,주문 캠페인 액션
Panel Sub,5,crm.aiHub.reviews.panelSub,Panel Sub,Panel Sub,패널 설명
Panel Title,5,crm.aiHub.reviews.panelTitle,Panel Title,Panel Title,패널 제목
Analysis Period,5,crm.aiHub.reviews.period,Analysis Period,Analysis Period,분석 기간
Platform Stats,5,crm.aiHub.reviews.platformStats,Platform Stats,Platform Stats,플랫폼 통계
Policy Note1,5,crm.aiHub.reviews.policyNote1,Policy Note1,Policy Note1,정책 안내 1
Policy Note2,5,crm.aiHub.reviews.policyNote2,Policy Note2,Policy Note2,정책 안내 2
Policy Note3,5,crm.aiHub.reviews.policyNote3,Policy Note3,Policy Note3,정책 안내 3
30-day Churn Probability,5,crm.aiHub.reviews.prob30,30-day Churn Probability,30-day Churn Probability,30일 이탈 확률
Save Pref,5,crm.aiHub.reviews.savePref,Save Pref,Save Pref,환경설정 저장
Txt_ Actual Paid_9,5,crm.aiHub.reviews.txt_ActualPaid_9,Txt_ Actual Paid_9,Txt_ Actual Paid_9,실제 지급액
Txt_ Ad Creative_13,5,crm.aiHub.reviews.txt_AdCreative_13,Txt_ Ad Creative_13,Txt_ Ad Creative_13,광고 크리에이티브
Txt_ Channelper_15,5,crm.aiHub.reviews.txt_Channelper_15,Txt_ Channelper_15,Txt_ Channelper_15,채널별
Txt_ Creator R O I_11,5,crm.aiHub.reviews.txt_CreatorROI_11,Txt_ Creator R O I_11,Txt_ Creator R O I_11,크리에이터 ROI
Txt_ Difference_10,5,crm.aiHub.reviews.txt_Difference_10,Txt_ Difference_10,Txt_ Difference_10,차액
Txt_ Engagement_12,5,crm.aiHub.reviews.txt_Engagement_12,Txt_ Engagement_12,Txt_ Engagement_12,참여도
Txt_ Percontrac_8,5,crm.aiHub.reviews.txt_Percontrac_8,Txt_ Percontrac_8,Txt_ Percontrac_8,계약당
Txt_ Product Pag_14,5,crm.aiHub.reviews.txt_ProductPag_14,Txt_ Product Pag_14,Txt_ Product Pag_14,상품 페이지
Txt_ Whitelist A_4,5,crm.aiHub.reviews.txt_WhitelistA_4,Txt_ Whitelist A_4,Txt_ Whitelist A_4,화이트리스트 A
Sum Total,5,crm.aiHub.reviews.u_114,Sum Total,Sum Total,합계
Action Recommendations,5,crm.aiHub.reviews.u_81,Action Recommendations,Action Recommendations,액션 추천
Campaign Manager,5,marketing.gNav.campaignManager,Campaign Manager,Campaign Manager,캠페인 매니저
Instagram/Facebook DM,5,menu.instagramDm,Instagram/Facebook DM,Instagram / Facebook DM,Instagram/Facebook DM
Commerce & Settlement,5,pages.marketing.commerce,Commerce & Settlement,Commerce & Settlement,커머스 & 정산
Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,5,pages.marketingIntel.influencer.attrData.subtitle,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,정밀 Shapley (2^n) · 베이지안 MMM · 마르코프 체인 · 인크리멘털 업리프트 (Dual ML) · 톰슨 샘플링 A/B
❌ Reject,5,pages.marketingIntel.reject,❌ Reject,❌ Reject,❌ 거부
Campaign Status,4,crm.aiHub.aiHub.campaignStatus,Campaign Status,Campaign Status,캠페인 상태
Estimated Blended ROAS,4,crm.aiHub.estRoas,Estimated Blended ROAS,Estimated Blended ROAS,예상 Blended ROAS
Order No,4,crm.aiHub.omniChannel.ordColOrderNo,Order No,Order No,주문 번호
Estimated Revenue,4,crm.aiHub.revenue,Estimated Revenue,Estimated Revenue,예상 매출
Alert Success,4,crm.aiHub.reviews.alertSuccess,Alert Success,Alert Success,알림 발송 성공
Budget Err,4,crm.aiHub.reviews.budgetErr,Budget Err,Budget Err,예산 오류
Budget Label,4,crm.aiHub.reviews.budgetLabel,Budget Label,Budget Label,예산
Cat Beauty,4,crm.aiHub.reviews.catBeauty,Cat Beauty,Cat Beauty,뷰티
Cat Fashion,4,crm.aiHub.reviews.catFashion,Cat Fashion,Cat Fashion,패션
Cat Food,4,crm.aiHub.reviews.catFood,Cat Food,Cat Food,식품
Cat General,4,crm.aiHub.reviews.catGeneral,Cat General,Cat General,일반
Cat Software,4,crm.aiHub.reviews.catSoftware,Cat Software,Cat Software,소프트웨어
Cat Tech,4,crm.aiHub.reviews.catTech,Cat Tech,Cat Tech,테크
Cat Travel,4,crm.aiHub.reviews.catTravel,Cat Travel,Cat Travel,여행
Corporate Card,4,crm.aiHub.reviews.corporateCard,Corporate Card,Corporate Card,법인 카드
Est Conv,4,crm.aiHub.reviews.estConv,Est Conv,Est Conv,예상 전환 수
Launch Title,4,crm.aiHub.reviews.launchTitle,Launch Title,Launch Title,런칭 제목
Main Title,4,crm.aiHub.reviews.mainTitle,Main Title,Main Title,메인 제목
Pay Method,4,crm.aiHub.reviews.payMethod,Pay Method,Pay Method,결제 수단
Q Budget,4,crm.aiHub.reviews.qBudget,Q Budget,Q Budget,분기 예산
Which Category,4,crm.aiHub.reviews.whichCategory,Which Category,Which Category,카테고리 선택
Ad Performance,4,marketing.gNav.adPerformance,Ad Performance,Ad Performance,광고 성과
Journey Builder,4,marketing.gNav.journeyBuilder,Journey Builder,Journey Builder,여정 빌더
Rollup View,4,marketing.gNav.rollup,Rollup View,Rollup View,롤업 뷰
Web Popup,4,marketing.gNav.webPopup,Web Popup,Web Popup,웹 팝업
Bulk Action,4,pages.cmpVal.aiPredict.bulkAction,Bulk Action,Bulk Action,일괄 작업
Platform Fee,4,pages.cmpVal.aiPredict.kpi.p_3,Platform Fee,Platform Fee,플랫폼 수수료
No Results,4,pages.cmpVal.aiPredict.noResults,No Results,No Results,결과 없음
vs Sessions,4,pages.dashboard.convRateSub,vs Sessions,vs Sessions,세션 대비
Net Profit / Ad Spend,4,pages.dashboard.netROASSub,Net Profit / Ad Spend,Net Profit / Ad Spend,순이익 / 광고비
As of Today,4,pages.dashboard.totalOrderSub,As of Today,As of Today,오늘 기준
Gross Sales,4,pages.kpiRevenue,Gross Sales,Total Revenue,총 매출
Fee Difference,4,pages.krChannel.feeDiff,Fee Difference,Fee Difference,수수료 차액
Select Placeholder,4,pages.krChannel.selectPlaceholder,Select Placeholder,Select Placeholder,선택해주세요
Tab Channels,4,pages.krChannel.tabChannels,Tab Channels,Tab Channels,채널
Customer · CRM,4,pages.marketing.crm,Customer · CRM,Customer · CRM,고객 · CRM
Recent Visits,4,pages.marketing.quickRecents,Recent Visits,Recent Visits,최근 방문
Select Role,4,pages.marketing.selectRoleBtn,Select Role,Select Role,역할 선택
System Status,4,pages.marketing.sysStatus,System Status,System Status,시스템 상태
✓ Save Complete,4,pages.marketingIntel.admin.saved,✓ Save Complete,✓ Save Complete,✓ 저장 완료
Impressions,4,pages.marketingIntel.influencer.colViews,Impressions,Impressions,노출 수
Last Run,4,pages.menu.writeback.lastRun,Last Run,Last Run,마지막 실행
💰 LTV vs CAC,3,attrData.guideLtvName,,,💰 LTV vs CAC
Deselect All,3,audit.deselectAll,Deselect All,Deselect All,전체 선택 해제
{page} / {total},3,audit.pageOf,{page} / {total},{page} / {total},{page} / {total}
TOP SKU,3,commerce.topSku,TOP SKU,TOP SKU,TOP SKU
👆 CTA,3,creativeStudio.ctaHint,👆 CTA:,👆 CTA:,👆 CTA
Filter All,3,crm.aiHub.aiHub.filterAll,Filter All,Filter All,전체
Name Required,3,crm.aiHub.catalogSync.pxl.nameRequired,Name Required,Name Required,이름을 입력해주세요
Low Stock,3,crm.aiHub.omniChannel.invLowStock,Low Stock,Low Stock,재고 부족
Btn Launch,3,crm.aiHub.reviews.btnLaunch,Btn Launch,Btn Launch,런칭
Btn Launching,3,crm.aiHub.reviews.btnLaunching,Btn Launching,Btn Launching,런칭 중
Btn Retry,3,crm.aiHub.reviews.btnRetry,Btn Retry,Btn Retry,재시도
Btn Review,3,crm.aiHub.reviews.btnReview,Btn Review,Btn Review,검토
Btn Simulate,3,crm.aiHub.reviews.btnSimulate,Btn Simulate,Btn Simulate,시뮬레이션 실행
Budget Sub,3,crm.aiHub.reviews.budgetSub,Budget Sub,Budget Sub,예산 안내
Campaign Name,3,crm.aiHub.reviews.campName,Campaign Name,Campaign Name,캠페인명
Detail View,3,crm.aiHub.reviews.detail,Detail View,Detail View,상세 보기
Launch Sub,3,crm.aiHub.reviews.launchSub,Launch Sub,Launch Sub,런칭 안내
Mix Sub,3,crm.aiHub.reviews.mixSub,Mix Sub,Mix Sub,믹스 안내
AI Media Mix Recommendation,3,crm.aiHub.reviews.mixTitle,AI Media Mix Recommendation,AI Media Mix Recommendation,AI 미디어 믹스 추천
Next Purchase,3,crm.aiHub.reviews.nextPurchase,Next Purchase,Next Purchase,다음 구매
Search product/SKU...,3,crm.aiHub.reviews.searchPlaceholder,Search product/SKU...,Search product/SKU...,상품/SKU 검색...
Total Gross,3,crm.aiHub.reviews.totalAmt,Total Gross,Total Gross,총 금액
