ns,path,ko_value,suggested_ko
crm,crm.aiHub.aiHub.bulkApproved,Bulk Approved,일괄 승인됨
crm,crm.aiHub.aiHub.bulkExec,Bulk Exec,일괄 실행
crm,crm.aiHub.aiHub.campaignStatus,Campaign Status,캠페인 상태
crm,crm.aiHub.aiHub.cardLimitAlert,Card Limit Alert,카드 한도 알림
crm,crm.aiHub.aiHub.cardsUnit,Cards Unit,장
crm,crm.aiHub.aiHub.catBudgetOpt,Cat Budget Opt,카테고리 예산 최적화
crm,crm.aiHub.aiHub.catCrmRetarget,Cat Crm Retarget,CRM 리타게팅
crm,crm.aiHub.aiHub.catInventoryRisk,Cat Inventory Risk,재고 리스크
crm,crm.aiHub.aiHub.catSettlement,Cat Settlement,정산
crm,crm.aiHub.aiHub.checkInCampaignMgr,Check In Campaign Mgr,캠페인 매니저에서 확인
crm,crm.aiHub.aiHub.countUnit,Count Unit,건
crm,crm.aiHub.aiHub.currentCharged,Current Charged,현재 청구액
crm,crm.aiHub.aiHub.dailySales,Daily Sales,일 매출
crm,crm.aiHub.aiHub.dataSource,Data Source,데이터 소스
crm,crm.aiHub.aiHub.dpAddBudget,Dp Add Budget,예산 추가
crm,crm.aiHub.aiHub.dpAdRoi,Dp Ad Roi,광고 ROI
crm,crm.aiHub.aiHub.dpAdSaving,Dp Ad Saving,광고비 절감
crm,crm.aiHub.aiHub.dpEstRoas,Dp Est Roas,예상 ROAS
crm,crm.aiHub.aiHub.dpExpectedProfit,Dp Expected Profit,예상 이익
crm,crm.aiHub.aiHub.dpExpireIn,Dp Expire In,만료 예정
crm,crm.aiHub.aiHub.dpSettlementMargin,Dp Settlement Margin,정산 마진
crm,crm.aiHub.aiHub.dpShiftBudget,Dp Shift Budget,예산 재배분
crm,crm.aiHub.aiHub.dpVipCount,Dp Vip Count,VIP 수
crm,crm.aiHub.aiHub.dsActiveRules,Ds Active Rules,활성 규칙
crm,crm.aiHub.aiHub.dsRulesFired,Ds Rules Fired,실행된 규칙
crm,crm.aiHub.aiHub.estRoas,Est Roas,예상 ROAS
crm,crm.aiHub.aiHub.execBudget,Exec Budget,집행 예산
crm,crm.aiHub.aiHub.execLog,Exec Log,실행 로그
crm,crm.aiHub.aiHub.expectedProfit,Expected Profit,예상 수익
crm,crm.aiHub.aiHub.filterAll,Filter All,전체
crm,crm.aiHub.aiHub.filterExecuted,Filter Executed,실행됨
crm,crm.aiHub.aiHub.inDays5,In Days5,5일 이내
crm,crm.aiHub.aiHub.journeyAutomation,Journey Automation,여정 자동화
crm,crm.aiHub.aiHub.journeyLink,Journey Link,여정 링크
crm,crm.aiHub.aiHub.needCard,Need Card,카드 필요
crm,crm.aiHub.aiHub.netPayout,Net Payout,Net Payout
crm,crm.aiHub.aiHub.netProfit,Net Profit,순이익
crm,crm.aiHub.aiHub.noCardAlert,No Card Alert,카드 없음 알림
crm,crm.aiHub.aiHub.pendingCampaigns,Pending Campaigns,대기 중 캠페인
crm,crm.aiHub.aiHub.readyToExec,Ready To Exec,실행 준비 완료
crm,crm.aiHub.aiHub.recBoostTitle,Rec Boost Title,부스트 추천
crm,crm.aiHub.aiHub.recLowStockTitle,Rec Low Stock Title,재고 부족 추천
crm,crm.aiHub.aiHub.recRebalanceTitle,Rec Rebalance Title,재배분 추천
crm,crm.aiHub.aiHub.recVipTitle,Rec Vip Title,VIP 추천
crm,crm.aiHub.aiHub.settlementMargin,Settlement Margin,정산 마진
crm,crm.aiHub.aiHub.timesUnit,Times Unit,회
crm,crm.aiHub.aiHub.totalExecBudget,Total Exec Budget,총 실행 예산
crm,crm.aiHub.aiHub.unitPrice,Unit Price,단가
crm,crm.aiHub.aiHub.viewCampaigns,View Campaigns,캠페인 보기
crm,crm.aiHub.aiHub.vipInsight,Vip Insight,VIP 인사이트
crm,crm.aiHub.aiHub.vipReason,Vip Reason,VIP 사유
crm,crm.aiHub.aiHub.wastedBudget,Wasted Budget,낭비 예산
crm,crm.aiHub.aiPolicy.badgeRealtime,Badge Realtime,실시간 배지
crm,crm.aiHub.aiPolicy.badgeRules,Badge Rules,규칙 배지
crm,crm.aiHub.aiPolicy.badgeSecurity,Badge Security,보안 배지
crm,crm.aiHub.aiPolicy.cfgApprovalGate,Cfg Approval Gate,승인 게이트 설정
crm,crm.aiHub.aiPolicy.crossTabSync,Cross Sync,교차 동기화
crm,crm.aiHub.aiPolicy.demoBanner,Demo Banner,데모 배너
crm,crm.aiHub.aiPolicy.demoBannerDesc,Demo Banner,데모 배너
crm,crm.aiHub.aiPolicy.firedTotal,Fired Total,총 실행 건수
crm,crm.aiHub.aiPolicy.liveSyncStatus,Live Sync Status,라이브 동기화 상태
crm,crm.aiHub.aiPolicy.noPolicies,No Policies,등록된 정책이 없습니다
crm,crm.aiHub.aiPolicy.policyName,Policy Name,정책명
crm,crm.aiHub.aiPolicy.secCode,Sec Code,보안 코드
crm,crm.aiHub.aiPolicy.secTitle,Sec Title,보안 제목
crm,crm.aiHub.aiPolicy.secUnlock,Sec Unlock,보안 해제
crm,crm.aiHub.aiPolicy.syncActiveRules,Sync Active Rules,활성 규칙 동기화
crm,crm.aiHub.aiPolicy.syncBudgets,Sync Budgets,예산 동기화
crm,crm.aiHub.aiPolicy.syncInventory,Sync Inventory,재고 동기화
crm,crm.aiHub.aiPolicy.syncOrders,Sync Orders,주문 동기화
crm,crm.aiHub.aiPolicy.totalAudit,Total Audit,전체 감사 로그
crm,crm.aiHub.analyzing,Analyzing...,분석 중...
crm,crm.aiHub.approveAll,Approve All,전체 승인
crm,crm.aiHub.attribution,Attribution,어트리뷰션
crm,crm.aiHub.attributionDesc,Attribution Desc,어트리뷰션 안내
crm,crm.aiHub.attributionLink,Attribution Link,어트리뷰션 링크
crm,crm.aiHub.autoRegistered,Auto Registered,자동 등록됨
crm,crm.aiHub.boostReason,Boost Reason,부스트 사유
crm,crm.aiHub.budgetShift,Budget Shift,예산 재배분
crm,crm.aiHub.bulkApproved,Bulk Approved,일괄 승인됨
crm,crm.aiHub.bulkExec,Bulk Exec,일괄 실행
crm,crm.aiHub.campaignStatus,Campaign Status,캠페인 상태
crm,crm.aiHub.cardLimitAlert,Card Limit Alert,카드 한도 알림
crm,crm.aiHub.cardsUnit,Cards Unit,장
crm,crm.aiHub.catalogSync.alertAuto.liveSyncStatus,Live Sync Status,라이브 동기화 상태
crm,crm.aiHub.catalogSync.conn.filterAll,Filter All,전체
crm,crm.aiHub.catalogSync.contentCal.guideTabsTitle,Guide Tabs Title,가이드 탭 제목
crm,crm.aiHub.catalogSync.devHub.rateLimits,Rate Limits,요청 제한
crm,crm.aiHub.catalogSync.devHub.tab_webhook,⚡ Webhook,⚡ Webhook
crm,crm.aiHub.catalogSync.ds.pipeCollect,Data Collection,데이터 수집
crm,crm.aiHub.catalogSync.ds.pipeNormalize,Normalization/Mapping,데이터 정규화/매핑
crm,crm.aiHub.catalogSync.ihub.dwFeatureUnity,Unity Catalog,Unity Catalog
crm,crm.aiHub.catalogSync.ihub.scTitle,SmartConnect AI,SmartConnect AI
crm,crm.aiHub.catalogSync.ihub.secLockDesc,Module locked due to abnormal access.,비정상 접근으로 인해 모듈이 잠금되었습니다.
crm,crm.aiHub.catalogSync.ihub.tabSmartConnect,Smart Connect,Smart Connect
crm,crm.aiHub.catalogSync.journey.connectedChannels,Connected Channels,연결된 채널
crm,crm.aiHub.catalogSync.journey.guideNodeAbTest,Guide Node Ab Test,A/B 테스트 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeCondition,Guide Node Condition,조건 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeDelay,Guide Node Delay,지연 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeEmail,Guide Node Email,이메일 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeEnd,Guide Node End,종료 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeKakao,Guide Node Kakao,카카오 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeLine,Guide Node Line,LINE 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodePush,Guide Node Push,푸시 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeSms,Guide Node Sms,SMS 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeTrigger,Guide Node Trigger,트리거 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeWebhook,Guide Node Webhook,Webhook 노드 안내
crm,crm.aiHub.catalogSync.journey.guideNodeWhatsapp,Guide Node Whatsapp,WhatsApp 노드 안내
crm,crm.aiHub.catalogSync.journey.nodeTypes.ab_test,Ab test,A/B 테스트
crm,crm.aiHub.catalogSync.journey.triggerTypes.cart_abandoned,Cart abandoned,장바구니 이탈
crm,crm.aiHub.catalogSync.journey.triggerTypes.segment_entered,Segment entered,세그먼트 진입
crm,crm.aiHub.catalogSync.journey.triggerTypes.webhook_trigger,Webhook trigger,Webhook 트리거
crm,crm.aiHub.catalogSync.mr.secLockDesc,Sec Lock,보안 잠금
crm,crm.aiHub.catalogSync.mr.secLockTitle,Sec Lock Title,보안 잠금 제목
crm,crm.aiHub.catalogSync.pxl.channelAttr,Channel Attr,채널 어트리뷰션
crm,crm.aiHub.catalogSync.pxl.conversions,Conversions,전환
crm,crm.aiHub.catalogSync.pxl.convRate,Conv Rate,전환율
crm,crm.aiHub.catalogSync.pxl.createError,Create Error,생성 실패
crm,crm.aiHub.catalogSync.pxl.createPixel,Create Pixel,픽셀 생성
crm,crm.aiHub.catalogSync.pxl.createPixelBtn,Create Pixel,픽셀 생성
crm,crm.aiHub.catalogSync.pxl.createSuccess,Create Success,생성 완료
crm,crm.aiHub.catalogSync.pxl.deleteConfirm,Delete Confirm,삭제 확인
crm,crm.aiHub.catalogSync.pxl.eventType,Event Type,이벤트 유형
crm,crm.aiHub.catalogSync.pxl.funnelCart,Funnel Cart,장바구니 퍼널
crm,crm.aiHub.catalogSync.pxl.funnelCheckout,Funnel Checkout,결제 퍼널
crm,crm.aiHub.catalogSync.pxl.funnelProduct,Funnel Product,상품 조회 퍼널
crm,crm.aiHub.catalogSync.pxl.funnelPurchase,Funnel Purchase,구매 퍼널
crm,crm.aiHub.catalogSync.pxl.funnelTitle,Funnel Title,퍼널명
crm,crm.aiHub.catalogSync.pxl.funnelVisit,Funnel Visit,방문 퍼널
crm,crm.aiHub.catalogSync.pxl.metaCAPIToken,Meta C A P I Token,Meta CAPI 토큰
crm,crm.aiHub.catalogSync.pxl.metaForward,Meta Forward,Meta 전달 설정
crm,crm.aiHub.catalogSync.pxl.nameRequired,Name Required,이름을 입력해주세요
crm,crm.aiHub.catalogSync.pxl.noChannelData,No Channel Data,채널 데이터가 없습니다
crm,crm.aiHub.catalogSync.pxl.noDataDesc,No Data,데이터가 없습니다
crm,crm.aiHub.catalogSync.pxl.noDataTitle,No Data Title,데이터 없음
crm,crm.aiHub.catalogSync.pxl.noEvents,No Events,이벤트가 없습니다
crm,crm.aiHub.catalogSync.pxl.noPixels,No Pixels,등록된 픽셀이 없습니다
crm,crm.aiHub.catalogSync.pxl.pixelList,Pixel List,픽셀 목록
crm,crm.aiHub.catalogSync.pxl.pixelName,Pixel Name,픽셀명
crm,crm.aiHub.catalogSync.pxl.pixelNamePh,Pixel Name Ph,픽셀명을 입력해주세요
crm,crm.aiHub.catalogSync.pxl.realtimeStream,Realtime Stream,실시간 스트림
crm,crm.aiHub.catalogSync.pxl.secAlert,Sec Alert,보안 알림
crm,crm.aiHub.catalogSync.pxl.secBlocked,Sec Blocked,보안 차단
crm,crm.aiHub.catalogSync.pxl.secInputBlocked,Sec Input Blocked,입력 차단
crm,crm.aiHub.catalogSync.pxl.secLockDesc,Sec Lock,보안 잠금
crm,crm.aiHub.catalogSync.pxl.secLockTitle,Sec Lock Title,보안 잠금 제목
crm,crm.aiHub.catalogSync.pxl.secLockWait,Sec Lock Wait,잠금 대기
crm,crm.aiHub.catalogSync.pxl.secTotal,Sec Total,전체 보안 건수
crm,crm.aiHub.catalogSync.pxl.sendEvent,Send Event,이벤트 전송
crm,crm.aiHub.catalogSync.pxl.serverSideCAPI,Server Side C A P I,서버사이드 CAPI
crm,crm.aiHub.catalogSync.pxl.serverSideEvent,Server Side Event,서버사이드 이벤트
crm,crm.aiHub.catalogSync.pxl.snippetGuide1,Snippet Guide1,스니펫 가이드 1
crm,crm.aiHub.catalogSync.pxl.snippetGuide2,Snippet Guide2,스니펫 가이드 2
crm,crm.aiHub.catalogSync.pxl.snippetGuide3,Snippet Guide3,스니펫 가이드 3
crm,crm.aiHub.catalogSync.pxl.snippetTitle,Snippet Title,스니펫 제목
crm,crm.aiHub.catalogSync.pxl.testEventSend,Test Event Send,테스트 이벤트 전송
crm,crm.aiHub.catalogSync.pxl.tiktokForward,Tiktok Forward,TikTok 전달 설정
crm,crm.aiHub.catalogSync.pxl.totalEvents,Total Events,총 이벤트 수
crm,crm.aiHub.catalogSync.pxl.totalRevenue,Total Revenue,총 매출
crm,crm.aiHub.catalogSync.security.hackDetected,Hack Detected,해킹 시도가 감지되었습니다
crm,crm.aiHub.catalogSync.webPopup.linkUrlPh,https://example.com/promo,https://example.com/promo
crm,crm.aiHub.catBudgetOpt,Cat Budget Opt,카테고리 예산 최적화
crm,crm.aiHub.catCrmRetarget,Cat Crm Retarget,CRM 리타게팅
crm,crm.aiHub.catInventoryRisk,Cat Inventory Risk,재고 리스크
crm,crm.aiHub.catSettlement,Cat Settlement,정산
crm,crm.aiHub.channelFeeRate,Fee Rate,수수료율
crm,crm.aiHub.checkInCampaignMgr,Check In Campaign Mgr,캠페인 매니저에서 확인
crm,crm.aiHub.creativeSub,Enter a prompt and AI generates campaign ad designs.,프롬프트를 입력하면 AI가 캠페인 광고 디자인을 자동 생성합니다.
crm,crm.aiHub.creativeTitle,AI Ad Creative Generator,AI 광고 크리에이티브 생성기
crm,crm.aiHub.crm.guideTabsTitle,Guide Tabs Title,가이드 탭 제목
crm,crm.aiHub.currentCharged,Current Charged,현재 청구액
crm,crm.aiHub.dailySales,Daily Sales,일 매출
crm,crm.aiHub.dataSource,Data Basis,데이터 기준
crm,crm.aiHub.dpAddBudget,Dp Add Budget,예산 추가
crm,crm.aiHub.dpAdRoi,Dp Ad Roi,광고 ROI
crm,crm.aiHub.dpAdSaving,Dp Ad Saving,광고비 절감
crm,crm.aiHub.dpEstRoas,Dp Est Roas,예상 ROAS
crm,crm.aiHub.dpExpectedProfit,Dp Expected Profit,예상 이익
crm,crm.aiHub.dpExpireIn,Dp Expire In,만료 예정
crm,crm.aiHub.dpSettlementMargin,Dp Settlement Margin,정산 마진
crm,crm.aiHub.dpShiftBudget,Dp Shift Budget,예산 재배분
crm,crm.aiHub.dpVipCount,Dp Vip Count,VIP 수
crm,crm.aiHub.dsActiveRules,Ds Active Rules,활성 규칙
crm,crm.aiHub.dsRulesFired,Ds Rules Fired,실행된 규칙
crm,crm.aiHub.estRoas,Estimated Blended ROAS,예상 Blended ROAS
crm,crm.aiHub.execBudget,Exec Budget,집행 예산
crm,crm.aiHub.execLog,Auto Execution Log,자동 실행 로그
crm,crm.aiHub.filterExecuted,Filter Executed,실행됨
crm,crm.aiHub.guideTabAbDesc,Integrated A/B test results.,통합 A/B 테스트 결과를 제공합니다.
crm,crm.aiHub.guideTabAbName,A/B Testing,A/B 테스트
crm,crm.aiHub.guideTabBudgetDesc,Automatic budget alert system.,자동 예산 알림 시스템입니다.
crm,crm.aiHub.guideTabBudgetName,Budget Alerts,예산 알림
crm,crm.aiHub.guideTabCopyDesc,AI-powered ad copy generator.,AI 기반 광고 카피 생성 기능입니다.
crm,crm.aiHub.guideTabCopyName,AI Copywriter,AI 카피라이터
crm,crm.aiHub.guideTabCreativeDesc,AI ad image generator with 16 scene types.,16개 장면 유형을 지원하는 AI 광고 이미지 생성 기능입니다.
crm,crm.aiHub.guideTabCreativeName,AI Creative,AI 크리에이티브
crm,crm.aiHub.guideTabCrmDesc,Email and KakaoTalk status.,이메일 및 카카오톡 발송 상태입니다.
crm,crm.aiHub.guideTabCrmName,CRM Channels,CRM 채널
crm,crm.aiHub.guideTabDetailDesc,KPI targets vs actuals.,KPI 목표 대비 실적입니다.
crm,crm.aiHub.guideTabDetailName,Detail Analysis,상세 분석
crm,crm.aiHub.guideTabGanttDesc,Gantt chart visualization.,간트 차트 시각화 기능입니다.
crm,crm.aiHub.guideTabMonitorDesc,Live KPI monitoring.,실시간 KPI 모니터링 기능입니다.
crm,crm.aiHub.guideTabMonitorName,Real-time Monitor,실시간 모니터링
crm,crm.aiHub.guideTabOverviewDesc,All campaigns displayed as filterable cards.,모든 캠페인을 필터 가능한 카드 형태로 제공합니다.
crm,crm.aiHub.guideTabOverviewName,Campaign Overview,캠페인 개요
crm,crm.aiHub.guideTabRoiDesc,Comprehensive ROI analysis.,종합 ROI 분석 기능입니다.
crm,crm.aiHub.guideTabRoiName,ROI Analysis,ROI 분석
crm,crm.aiHub.heroSub,Full platform real-time analysis → ROI-based AI recommendations → Budget registration → Approval → Card auto-execution,전체 플랫폼 실시간 분석 → ROI 기반 AI 추천 → 예산 등록 → 승인 → 카드 자동 집행
crm,crm.aiHub.inDays5,In Days5,5일 이내
crm,crm.aiHub.journey.nodeTypes.instagram,Instagram DM,Instagram DM
crm,crm.aiHub.journey.webhookUrl,Webhook URL,Webhook URL
crm,crm.aiHub.journeyAutomation,Journey Automation,여정 자동화
crm,crm.aiHub.journeyLink,Journey Link,여정 링크
crm,crm.aiHub.mobileNav.ariaLabel,Aria Label,ARIA 라벨
crm,crm.aiHub.needCard,Need Card,카드 필요
crm,crm.aiHub.netPayout,Net Payout,Net Payout
crm,crm.aiHub.netProfit,Net Profit,순이익
crm,crm.aiHub.noCardAlert,No Card Alert,카드 없음 알림
crm,crm.aiHub.noFeeData,No fee data,수수료 데이터가 없습니다
crm,crm.aiHub.omniChannel.groupOwnMall,🏪 Own Mall / Others,🏪 자사몰 / 기타
crm,crm.aiHub.omniChannel.invLastUpdate,Last Update,최종 업데이트
crm,crm.aiHub.omniChannel.invLowStock,Low Stock,재고 부족
crm,crm.aiHub.omniChannel.invOutOfStock,Out of Stock,품절
crm,crm.aiHub.omniChannel.invTitle,Real-time Inventory,실시간 재고
crm,crm.aiHub.omniChannel.invTotalProducts,Total Products,총 상품 수
crm,crm.aiHub.omniChannel.ordBtnExport,📥 Export,📥 내보내기
crm,crm.aiHub.omniChannel.ordColOrderNo,Order No,주문 번호
crm,crm.aiHub.omniChannel.ordTitle,Unified Order Management,통합 주문 관리
crm,crm.aiHub.omniChannel.ordTotalOrders,Total Orders,총 주문
crm,crm.aiHub.omniChannel.ovAvgOrderValue,Avg Order Value,평균 주문 금액
crm,crm.aiHub.omniChannel.ovChannelShare,Revenue Share by Channel,채널별 매출 비중
crm,crm.aiHub.omniChannel.ovRevenueByChannel,Revenue Trend by Channel,채널별 매출 트렌드
crm,crm.aiHub.omniChannel.ovTitle,Unified Dashboard,통합 대시보드
crm,crm.aiHub.omniChannel.ovTotalOrders,Total Orders,총 주문
crm,crm.aiHub.omniChannel.ovTotalRevenue,Total Revenue,총 매출
crm,crm.aiHub.omniChannel.prodAvgPrice,Avg Price,평균 가격
crm,crm.aiHub.omniChannel.prodBtnSync,🔄 Sync All,🔄 전체 동기화
crm,crm.aiHub.omniChannel.prodChannelCoverage,Channel Coverage,채널 커버리지
crm,crm.aiHub.omniChannel.prodColLastSync,Last Sync,최근 동기화
crm,crm.aiHub.omniChannel.prodColName,Product Name,상품명
crm,crm.aiHub.omniChannel.prodSyncStatus,Sync Status,동기화 상태
crm,crm.aiHub.omniChannel.prodTitle,Unified Product Management,통합 상품 관리
crm,crm.aiHub.omniChannel.prodTotalSKU,Total SKUs,총 SKU 수
crm,crm.aiHub.pendingCampaigns,Pending Campaigns,대기 중 캠페인
crm,crm.aiHub.readyToExec,Ready To Exec,실행 준비 완료
crm,crm.aiHub.recBoostTitle,Rec Boost Title,부스트 추천
crm,crm.aiHub.recLowStockTitle,Rec Low Stock Title,재고 부족 추천
crm,crm.aiHub.recRebalanceTitle,Rec Rebalance Title,재배분 추천
crm,crm.aiHub.recVipTitle,Rec Vip Title,VIP 추천
crm,crm.aiHub.revenue,Estimated Revenue,예상 매출
crm,crm.aiHub.reviews.abGroupA,Ab Group A,A 그룹
crm,crm.aiHub.reviews.abGroupB,Ab Group B,B 그룹
crm,crm.aiHub.reviews.achieved,Achieved ✓,달성 ✓
crm,crm.aiHub.reviews.achievedOk,Achieved ✓,달성 ✓
crm,crm.aiHub.reviews.aiAnalyzing,AI Analyzing...,AI 분석 중...
crm,crm.aiHub.reviews.aiHistoryList,AI Analysis History,AI 분석 이력
crm,crm.aiHub.reviews.aiSummary,AI Analysis Summary,AI 분석 요약
crm,crm.aiHub.reviews.alertSuccess,Alert Success,알림 발송 성공
crm,crm.aiHub.reviews.allChannel,Total Channels,전체 채널
crm,crm.aiHub.reviews.allChannels,Total Channels,전체 채널
crm,crm.aiHub.reviews.avgTime,Avg Time,평균 시간
crm,crm.aiHub.reviews.backToList,Back To List,목록으로 돌아가기
crm,crm.aiHub.reviews.badgeAdSpend,Total Ad Spend,총 광고 비용
crm,crm.aiHub.reviews.badgeBlendedRoas,Blended ROAS,Blended ROAS
crm,crm.aiHub.reviews.badgeOpProfit,Badge Op Profit,영업이익 배지
crm,crm.aiHub.reviews.badgeOrders,Badge Orders,주문 배지
crm,crm.aiHub.reviews.bannerDesc,Banner Desc,배너 설명
crm,crm.aiHub.reviews.bannerTitle,Banner Title,배너 제목
crm,crm.aiHub.reviews.belowTarget,Below Target,목표 미달
crm,crm.aiHub.reviews.birthday,🎂 Birthday,🎂 생일
crm,crm.aiHub.reviews.bizGoalSetting,Biz Goal Setting,비즈니스 목표 설정
crm,crm.aiHub.reviews.brandAwareness,Brand Awareness,브랜드 인지도
crm,crm.aiHub.reviews.brandAwarenessDesc,Brand Awareness Desc,브랜드 인지도 안내
crm,crm.aiHub.reviews.btnLaunch,Btn Launch,런칭
crm,crm.aiHub.reviews.btnLaunching,Btn Launching,런칭 중
crm,crm.aiHub.reviews.btnRetry,Btn Retry,재시도
crm,crm.aiHub.reviews.btnReview,Btn Review,검토
crm,crm.aiHub.reviews.btnSimulate,Btn Simulate,시뮬레이션 실행
crm,crm.aiHub.reviews.budgetErr,Budget Err,예산 오류
crm,crm.aiHub.reviews.budgetLabel,Budget Label,예산
crm,crm.aiHub.reviews.budgetSub,Budget Sub,예산 안내
crm,crm.aiHub.reviews.campName,Campaign Name,캠페인명
crm,crm.aiHub.reviews.cart_abandoned,🛒 Cart Abandoned,🛒 장바구니 이탈
crm,crm.aiHub.reviews.cases, orders,주문
crm,crm.aiHub.reviews.catBeauty,Cat Beauty,뷰티
crm,crm.aiHub.reviews.catFashion,Cat Fashion,패션
crm,crm.aiHub.reviews.catFood,Cat Food,식품
crm,crm.aiHub.reviews.catGeneral,Cat General,일반
crm,crm.aiHub.reviews.catSoftware,Cat Software,소프트웨어
crm,crm.aiHub.reviews.catTech,Cat Tech,테크
crm,crm.aiHub.reviews.catTravel,Cat Travel,여행
crm,crm.aiHub.reviews.channelRoleDef,Channel Role Definition,채널 역할 정의
crm,crm.aiHub.reviews.chBlog,Ch Blog,블로그 채널
crm,crm.aiHub.reviews.chCommunity,Ch Community,커뮤니티 채널
crm,crm.aiHub.reviews.checklist,Key Action Items,핵심 액션 아이템
crm,crm.aiHub.reviews.chkCostPerf,Cost vs Performance Check,비용 대비 성과 점검
crm,crm.aiHub.reviews.chkEff,Campaign Efficiency Check,캠페인 효율 점검
crm,crm.aiHub.reviews.chkImprove,Identify Items for Improvement,개선 항목 파악
crm,crm.aiHub.reviews.chSearchAds,Ch Search Ads,검색 광고 채널
crm,crm.aiHub.reviews.chSnsAds,Ch Sns Ads,SNS 광고 채널
crm,crm.aiHub.reviews.churn,Final Churn Status,최종 이탈 상태
crm,crm.aiHub.reviews.churned,😴 Churn Risk Customer,😴 이탈 위험 고객
crm,crm.aiHub.reviews.claudeAiDesc,Claude Ai Desc,Claude AI 안내
crm,crm.aiHub.reviews.claudeAiTitle,Claude Ai Title,Claude AI 제목
crm,crm.aiHub.reviews.clickSelect,Click Select,클릭하여 선택
crm,crm.aiHub.reviews.clickToEdit,Click To Edit,클릭하여 편집
crm,crm.aiHub.reviews.communityAct,Community Act,커뮤니티 활동
crm,crm.aiHub.reviews.communityGrowth,Community Growth,커뮤니티 성장
crm,crm.aiHub.reviews.communityKpi,Community Kpi,커뮤니티 KPI
crm,crm.aiHub.reviews.conditionEmailClicked,Condition Email Clicked,이메일 클릭 조건
crm,crm.aiHub.reviews.conditionEmailOpened,Condition Email Opened,이메일 열람 조건
crm,crm.aiHub.reviews.conditionField,Condition Field,조건 필드
crm,crm.aiHub.reviews.conditionKakaoClicked,Condition Kakao Clicked,카카오 클릭 조건
crm,crm.aiHub.reviews.conditionLineClicked,LINE Clicks,LINE 클릭
