ko_value,suggested_ko,count,path_sample,source
Conversion Rate vs Target,목표 대비 전환율,7,crm.aiHub.reviews.descConvRate,top500
Desc Cpa,CPA 안내,7,crm.aiHub.reviews.descCpa,top500
Desc Cpc,CPC 안내,7,crm.aiHub.reviews.descCpc,top500
Desc Ctr,CTR 안내,7,crm.aiHub.reviews.descCtr,top500
Secure customer loyalty through community activities,커뮤니티 활동을 통한 고객 충성도 확보,7,crm.aiHub.reviews.descCustRel,top500
Build expertise and trust through problem-solving content,문제 해결 콘텐츠를 통한 전문성과 신뢰 구축,7,crm.aiHub.reviews.descInfoTrust,top500
Desc Roas,ROAS 안내,7,crm.aiHub.reviews.descRoas,top500
Hint Conv Rate,전환율 도움말,7,crm.aiHub.reviews.hintConvRate,top500
Hint Cpa,CPA 도움말,7,crm.aiHub.reviews.hintCpa,top500
Hint Cpc,CPC 도움말,7,crm.aiHub.reviews.hintCpc,top500
Hint Ctr,CTR 도움말,7,crm.aiHub.reviews.hintCtr,top500
Hint Roas,ROAS 도움말,7,crm.aiHub.reviews.hintRoas,top500
Improvement Recommendations,개선 추천 사항,7,crm.aiHub.reviews.improveRecs,top500
Inquiries Purchases,문의·구매,7,crm.aiHub.reviews.inquiriesPurchases,top500
Inquiries Purchases Desc,문의·구매 안내,7,crm.aiHub.reviews.inquiriesPurchasesDesc,top500
Interest Conv,관심·전환,7,crm.aiHub.reviews.interestConv,top500
AI Channel Performance Monitoring,AI 채널 성과 모니터링,7,crm.aiHub.reviews.monitorAi,top500
Monthly Report,월간 리포트,7,crm.aiHub.reviews.monthlyAi,top500
Monthly Trend,월간 트렌드,7,crm.aiHub.reviews.monthlyTrend,top500
New Signups,신규 가입,7,crm.aiHub.reviews.newMembers,top500
Overall Achievement Status,전체 달성 현황,7,crm.aiHub.reviews.overallAchieve,top500
Page Views,페이지뷰,7,crm.aiHub.reviews.pageViews,top500
Please Select Goal,목표를 선택해주세요,7,crm.aiHub.reviews.pleaseSelectGoal,top500
Post Views,게시물 조회 수,7,crm.aiHub.reviews.postViews,top500
Privacy Policy,개인정보 처리방침,7,crm.aiHub.reviews.privacyPolicy,top500
✅ Purchase Complete,✅ 구매 완료,7,crm.aiHub.reviews.purchase,top500
Brand Reach,브랜드 도달,7,crm.aiHub.reviews.roleBrandReach,top500
Capture Purchase Intent,구매 의도 포착,7,crm.aiHub.reviews.roleCaptureIntent,top500
Strengthen Customer Relationships,고객 관계 강화,7,crm.aiHub.reviews.roleCustRel,top500
Info · Trust Building,정보·신뢰 구축,7,crm.aiHub.reviews.roleInfoTrust,top500
Search Traffic,검색 트래픽,7,crm.aiHub.reviews.searchTraffic,top500
Selected Goals,선택된 목표,7,crm.aiHub.reviews.selectedGoals,top500
Seo Impact,SEO 영향도,7,crm.aiHub.reviews.seoImpact,top500
Site Traffic,사이트 트래픽,7,crm.aiHub.reviews.siteTraffic,top500
Sns Kpi By Channel,채널별 SNS KPI,7,crm.aiHub.reviews.snsKpiByChannel,top500
Sns Kpi Overview,SNS KPI 개요,7,crm.aiHub.reviews.snsKpiOverview,top500
Tab Community,커뮤니티,7,crm.aiHub.reviews.tabCommunity,top500
Tab Content,콘텐츠,7,crm.aiHub.reviews.tabContent,top500
Tab Goals,목표,7,crm.aiHub.reviews.tabGoals,top500
Tab Monitor,모니터링,7,crm.aiHub.reviews.tabMonitor,top500
Tab Setup,설정,7,crm.aiHub.reviews.tabSetup,top500
Tab Sns,SNS,7,crm.aiHub.reviews.tabSns,top500
Tab Targets,타겟 탭,7,crm.aiHub.reviews.tabTargets,top500
KPI Target Setting by Channel,채널별 KPI 목표 설정,7,crm.aiHub.reviews.targetSetup,top500
Target Vs Actuals,목표 대비 실적,7,crm.aiHub.reviews.targetVsActuals,top500
Web Traffic,웹 트래픽,7,crm.aiHub.reviews.webTraffic,top500
Web Traffic Desc,웹 트래픽 안내,7,crm.aiHub.reviews.webTrafficDesc,top500
Weekly Ad Efficiency Trend,주간 광고 효율 트렌드,7,crm.aiHub.reviews.weeklyAdTrend,top500
Weekly Report,주간 리포트,7,crm.aiHub.reviews.weeklyAi,top500
TikTok Shop,TikTok Shop,6,_marketing_1.sc_tiktok_shop,top500
LTV vs CAC,LTV vs CAC,6,attrData.tabLtvLabel,top500
Auto Execution Log,자동 실행 로그,6,crm.aiHub.execLog,top500
Unified Dashboard,통합 대시보드,6,crm.aiHub.omniChannel.ovTitle,top500
Ab Group A,A 그룹,6,crm.aiHub.reviews.abGroupA,top500
Ab Group B,B 그룹,6,crm.aiHub.reviews.abGroupB,top500
Back To List,목록으로 돌아가기,6,crm.aiHub.reviews.backToList,top500
🎂 Birthday,🎂 생일,6,crm.aiHub.reviews.birthday,top500
🛒 Cart Abandoned,🛒 장바구니 이탈,6,crm.aiHub.reviews.cart_abandoned,top500
Click To Edit,클릭하여 편집,6,crm.aiHub.reviews.clickToEdit,top500
Condition Email Clicked,이메일 클릭 조건,6,crm.aiHub.reviews.conditionEmailClicked,top500
Condition Email Opened,이메일 열람 조건,6,crm.aiHub.reviews.conditionEmailOpened,top500
Condition Field,조건 필드,6,crm.aiHub.reviews.conditionField,top500
Condition Kakao Clicked,카카오 클릭 조건,6,crm.aiHub.reviews.conditionKakaoClicked,top500
Condition Ltv Gt,LTV 초과 조건,6,crm.aiHub.reviews.conditionLtvGt,top500
Click-through Rate (CTR),클릭률 (CTR),6,crm.aiHub.reviews.ctr,top500
Delay Time,지연 시간,6,crm.aiHub.reviews.delayTime,top500
Delete Node,노드 삭제,6,crm.aiHub.reviews.deleteNode,top500
Email From,발신자,6,crm.aiHub.reviews.emailFrom,top500
Email Send Sim,이메일 발송 시뮬레이션,6,crm.aiHub.reviews.emailSendSim,top500
Email Simulate,이메일 시뮬레이션,6,crm.aiHub.reviews.emailSimulate,top500
Email Subject,이메일 제목,6,crm.aiHub.reviews.emailSubject,top500
Email Subject Ph,이메일 제목 입력,6,crm.aiHub.reviews.emailSubjectPh,top500
Email Test Send,이메일 테스트 발송,6,crm.aiHub.reviews.emailTestSend,top500
Kakao Alimtalk,카카오 알림톡,6,crm.aiHub.reviews.kakaoAlimtalk,top500
Kakao Friendtalk,카카오 친구톡,6,crm.aiHub.reviews.kakaoFriendtalk,top500
Kakao Msg Type,카카오 메시지 유형,6,crm.aiHub.reviews.kakaoMsgType,top500
Kakao Send Sim,카카오 발송 시뮬레이션,6,crm.aiHub.reviews.kakaoSendSim,top500
Kakao Template,카카오 템플릿,6,crm.aiHub.reviews.kakaoTemplate,top500
Kakao Test,카카오 테스트,6,crm.aiHub.reviews.kakaoTest,top500
Line Msg Type,LINE 메시지 유형,6,crm.aiHub.reviews.lineMsgType,top500
Line Send Sim,LINE 발송 시뮬레이션,6,crm.aiHub.reviews.lineSendSim,top500
Line Simulate,LINE 시뮬레이션,6,crm.aiHub.reviews.lineSimulate,top500
Line Template,LINE 템플릿,6,crm.aiHub.reviews.lineTemplate,top500
Line Test Send,LINE 테스트 발송,6,crm.aiHub.reviews.lineTestSend,top500
Node Config,노드 설정,6,crm.aiHub.reviews.nodeConfig,top500
Node Name,노드명,6,crm.aiHub.reviews.nodeName,top500
Recent Triggers,최근 트리거,6,crm.aiHub.reviews.recentTriggers,top500
📌 Segment Entry,📌 세그먼트 진입,6,crm.aiHub.reviews.segment_entered,top500
🌱 New Signup,🌱 신규 가입,6,crm.aiHub.reviews.signup,top500
View by Team,팀별 보기,6,crm.aiHub.reviews.team,top500
Trigger Type,트리거 유형,6,crm.aiHub.reviews.triggerType,top500
UGC Revenue,UGC 매출,6,crm.aiHub.reviews.u_86,top500
Video Views,동영상 조회 수,6,crm.aiHub.reviews.videoViews,top500
Mapping Rule,매핑 규칙,6,pages.marketingIntel.eventNorm.mappingRule,top500
Send domestic SMS/LMS messages and manage send history and statistics.,국내 SMS/LMS 메시지를 발송하고 발송 이력과 통계를 관리합니다.,6,pages.marketingIntel.helpPanel.staticHelp.connectors.summary,top500
Net Profit,순이익,5,crm.aiHub.aiHub.netProfit,top500
Last Sync,최근 동기화,5,crm.aiHub.omniChannel.prodColLastSync,top500
Badge Op Profit,영업이익 배지,5,crm.aiHub.reviews.badgeOpProfit,top500
Badge Orders,주문 배지,5,crm.aiHub.reviews.badgeOrders,top500
Banner Desc,배너 설명,5,crm.aiHub.reviews.bannerDesc,top500
Banner Title,배너 제목,5,crm.aiHub.reviews.bannerTitle,top500
Ch Blog,블로그 채널,5,crm.aiHub.reviews.chBlog,top500
Ch Community,커뮤니티 채널,5,crm.aiHub.reviews.chCommunity,top500
Ch Search Ads,검색 광고 채널,5,crm.aiHub.reviews.chSearchAds,top500
Ch Sns Ads,SNS 광고 채널,5,crm.aiHub.reviews.chSnsAds,top500
Final Churn Status,최종 이탈 상태,5,crm.aiHub.reviews.churn,top500
😴 Churn Risk Customer,😴 이탈 위험 고객,5,crm.aiHub.reviews.churned,top500
LINE Clicks,LINE 클릭,5,crm.aiHub.reviews.conditionLineClicked,top500
Consent Date,동의일,5,crm.aiHub.reviews.consentDate,top500
Consent Now,지금 동의,5,crm.aiHub.reviews.consentNow,top500
Consent Rate,동의율,5,crm.aiHub.reviews.consentRate,top500
Cookie Policy,쿠키 정책,5,crm.aiHub.reviews.cookiePolicy,top500
Crm Churn,CRM 이탈,5,crm.aiHub.reviews.crmChurn,top500
Crm Journey,CRM 여정,5,crm.aiHub.reviews.crmJourney,top500
Crm Journey Action,CRM 여정 액션,5,crm.aiHub.reviews.crmJourneyAction,top500
Crm Vip,CRM VIP,5,crm.aiHub.reviews.crmVip,top500
Current Consent Status,현재 동의 상태,5,crm.aiHub.reviews.currentConsentStatus,top500
Current Month,이번 달,5,crm.aiHub.reviews.currentMonth,top500
Date (Period),날짜 (기간),5,crm.aiHub.reviews.date,top500
Edit Settings,설정 편집,5,crm.aiHub.reviews.editSettings,top500
Exp Roas,예상 ROAS,5,crm.aiHub.reviews.expRoas,top500
Filter High,높음,5,crm.aiHub.reviews.filterHigh,top500
Filter Low,낮음,5,crm.aiHub.reviews.filterLow,top500
Filter Med,중간,5,crm.aiHub.reviews.filterMed,top500
Kakao Guild,카카오 가이드,5,crm.aiHub.reviews.kakaoGuild,top500
Lbl Cpa Full,고객 획득 비용(CPA),5,crm.aiHub.reviews.lblCpaFull,top500
Lbl Cpc Full,클릭당 비용(CPC),5,crm.aiHub.reviews.lblCpcFull,top500
Lbl Ctr Full,클릭률(CTR),5,crm.aiHub.reviews.lblCtrFull,top500
Lbl Roas Full,광고 수익률(ROAS),5,crm.aiHub.reviews.lblRoasFull,top500
Live D B,라이브 DB,5,crm.aiHub.reviews.liveDB,top500
Mkt Budget Action,마케팅 예산 액션,5,crm.aiHub.reviews.mktBudgetAction,top500
Mkt High Roas,고 ROAS 마케팅,5,crm.aiHub.reviews.mktHighRoas,top500
Mkt High Roas Sub,고 ROAS 마케팅 안내,5,crm.aiHub.reviews.mktHighRoasSub,top500
Mkt Hub Action,마케팅 허브 액션,5,crm.aiHub.reviews.mktHubAction,top500
Mkt Low Roas,저 ROAS 마케팅,5,crm.aiHub.reviews.mktLowRoas,top500
Mkt Optimize Now,지금 마케팅 최적화,5,crm.aiHub.reviews.mktOptimizeNow,top500
Mkt Rules Active,활성 마케팅 규칙,5,crm.aiHub.reviews.mktRulesActive,top500
Naver Cafe,네이버 카페,5,crm.aiHub.reviews.naverCafe,top500
No Consent Info,동의 정보 없음,5,crm.aiHub.reviews.noConsentInfo,top500
Not Consented,미동의,5,crm.aiHub.reviews.notConsented,top500
Orders Ai Run,주문 AI 실행,5,crm.aiHub.reviews.ordersAiRun,top500
Orders Ai Sub,주문 AI 안내,5,crm.aiHub.reviews.ordersAiSub,top500
Orders Campaign Action,주문 캠페인 액션,5,crm.aiHub.reviews.ordersCampaignAction,top500
Panel Sub,패널 설명,5,crm.aiHub.reviews.panelSub,top500
Panel Title,패널 제목,5,crm.aiHub.reviews.panelTitle,top500
Analysis Period,분석 기간,5,crm.aiHub.reviews.period,top500
Platform Stats,플랫폼 통계,5,crm.aiHub.reviews.platformStats,top500
Policy Note1,정책 안내 1,5,crm.aiHub.reviews.policyNote1,top500
Policy Note2,정책 안내 2,5,crm.aiHub.reviews.policyNote2,top500
Policy Note3,정책 안내 3,5,crm.aiHub.reviews.policyNote3,top500
30-day Churn Probability,30일 이탈 확률,5,crm.aiHub.reviews.prob30,top500
Save Pref,환경설정 저장,5,crm.aiHub.reviews.savePref,top500
Txt_ Actual Paid_9,실제 지급액,5,crm.aiHub.reviews.txt_ActualPaid_9,top500
Txt_ Ad Creative_13,광고 크리에이티브,5,crm.aiHub.reviews.txt_AdCreative_13,top500
Txt_ Channelper_15,채널별,5,crm.aiHub.reviews.txt_Channelper_15,top500
Txt_ Creator R O I_11,크리에이터 ROI,5,crm.aiHub.reviews.txt_CreatorROI_11,top500
Txt_ Difference_10,차액,5,crm.aiHub.reviews.txt_Difference_10,top500
Txt_ Engagement_12,참여도,5,crm.aiHub.reviews.txt_Engagement_12,top500
Txt_ Percontrac_8,계약당,5,crm.aiHub.reviews.txt_Percontrac_8,top500
Txt_ Product Pag_14,상품 페이지,5,crm.aiHub.reviews.txt_ProductPag_14,top500
Txt_ Whitelist A_4,화이트리스트 A,5,crm.aiHub.reviews.txt_WhitelistA_4,top500
Sum Total,합계,5,crm.aiHub.reviews.u_114,top500
Action Recommendations,액션 추천,5,crm.aiHub.reviews.u_81,top500
Campaign Manager,캠페인 매니저,5,marketing.gNav.campaignManager,top500
Instagram/Facebook DM,Instagram/Facebook DM,5,menu.instagramDm,top500
Commerce & Settlement,커머스 & 정산,5,pages.marketing.commerce,top500
Precision Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Dual ML) · Thompson Sampling A/B,정밀 Shapley (2^n) · 베이지안 MMM · 마르코프 체인 · 인크리멘털 업리프트 (Dual ML) · 톰슨 샘플링 A/B,5,pages.marketingIntel.influencer.attrData.subtitle,top500
❌ Reject,❌ 거부,5,pages.marketingIntel.reject,top500
Campaign Status,캠페인 상태,4,crm.aiHub.aiHub.campaignStatus,top500
Estimated Blended ROAS,예상 Blended ROAS,4,crm.aiHub.estRoas,top500
Order No,주문 번호,4,crm.aiHub.omniChannel.ordColOrderNo,top500
Estimated Revenue,예상 매출,4,crm.aiHub.revenue,top500
Alert Success,알림 발송 성공,4,crm.aiHub.reviews.alertSuccess,top500
Budget Err,예산 오류,4,crm.aiHub.reviews.budgetErr,top500
Budget Label,예산,4,crm.aiHub.reviews.budgetLabel,top500
Cat Beauty,뷰티,4,crm.aiHub.reviews.catBeauty,top500
Cat Fashion,패션,4,crm.aiHub.reviews.catFashion,top500
Cat Food,식품,4,crm.aiHub.reviews.catFood,top500
Cat General,일반,4,crm.aiHub.reviews.catGeneral,top500
Cat Software,소프트웨어,4,crm.aiHub.reviews.catSoftware,top500
Cat Tech,테크,4,crm.aiHub.reviews.catTech,top500
Cat Travel,여행,4,crm.aiHub.reviews.catTravel,top500
Corporate Card,법인 카드,4,crm.aiHub.reviews.corporateCard,top500
Est Conv,예상 전환 수,4,crm.aiHub.reviews.estConv,top500
Launch Title,런칭 제목,4,crm.aiHub.reviews.launchTitle,top500
Main Title,메인 제목,4,crm.aiHub.reviews.mainTitle,top500
Pay Method,결제 수단,4,crm.aiHub.reviews.payMethod,top500
Q Budget,분기 예산,4,crm.aiHub.reviews.qBudget,top500
Which Category,카테고리 선택,4,crm.aiHub.reviews.whichCategory,top500
Ad Performance,광고 성과,4,marketing.gNav.adPerformance,top500
Journey Builder,여정 빌더,4,marketing.gNav.journeyBuilder,top500
Rollup View,롤업 뷰,4,marketing.gNav.rollup,top500
Web Popup,웹 팝업,4,marketing.gNav.webPopup,top500
Bulk Action,일괄 작업,4,pages.cmpVal.aiPredict.bulkAction,top500
Platform Fee,플랫폼 수수료,4,pages.cmpVal.aiPredict.kpi.p_3,top500
No Results,결과 없음,4,pages.cmpVal.aiPredict.noResults,top500
vs Sessions,세션 대비,4,pages.dashboard.convRateSub,top500
Net Profit / Ad Spend,순이익 / 광고비,4,pages.dashboard.netROASSub,top500
As of Today,오늘 기준,4,pages.dashboard.totalOrderSub,top500
Gross Sales,총 매출,4,pages.kpiRevenue,top500
Fee Difference,수수료 차액,4,pages.krChannel.feeDiff,top500
Select Placeholder,선택해주세요,4,pages.krChannel.selectPlaceholder,top500
Tab Channels,채널,4,pages.krChannel.tabChannels,top500
Customer · CRM,고객 · CRM,4,pages.marketing.crm,top500
Recent Visits,최근 방문,4,pages.marketing.quickRecents,top500
Select Role,역할 선택,4,pages.marketing.selectRoleBtn,top500
System Status,시스템 상태,4,pages.marketing.sysStatus,top500
✓ Save Complete,✓ 저장 완료,4,pages.marketingIntel.admin.saved,top500
Impressions,노출 수,4,pages.marketingIntel.influencer.colViews,top500
Last Run,마지막 실행,4,pages.menu.writeback.lastRun,top500
💰 LTV vs CAC,💰 LTV vs CAC,3,attrData.guideLtvName,top500
Deselect All,전체 선택 해제,3,audit.deselectAll,top500
{page} / {total},{page} / {total},3,audit.pageOf,top500
TOP SKU,TOP SKU,3,commerce.topSku,top500
👆 CTA,👆 CTA,3,creativeStudio.ctaHint,top500
Filter All,전체,3,crm.aiHub.aiHub.filterAll,top500
Name Required,이름을 입력해주세요,3,crm.aiHub.catalogSync.pxl.nameRequired,top500
Low Stock,재고 부족,3,crm.aiHub.omniChannel.invLowStock,top500
Btn Launch,런칭,3,crm.aiHub.reviews.btnLaunch,top500
Btn Launching,런칭 중,3,crm.aiHub.reviews.btnLaunching,top500
Btn Retry,재시도,3,crm.aiHub.reviews.btnRetry,top500
Btn Review,검토,3,crm.aiHub.reviews.btnReview,top500
Btn Simulate,시뮬레이션 실행,3,crm.aiHub.reviews.btnSimulate,top500
Budget Sub,예산 안내,3,crm.aiHub.reviews.budgetSub,top500
Campaign Name,캠페인명,3,crm.aiHub.reviews.campName,top500
Detail View,상세 보기,3,crm.aiHub.reviews.detail,top500
Launch Sub,런칭 안내,3,crm.aiHub.reviews.launchSub,top500
Mix Sub,믹스 안내,3,crm.aiHub.reviews.mixSub,top500
AI Media Mix Recommendation,AI 미디어 믹스 추천,3,crm.aiHub.reviews.mixTitle,top500
Next Purchase,다음 구매,3,crm.aiHub.reviews.nextPurchase,top500
Search product/SKU...,상품/SKU 검색...,3,crm.aiHub.reviews.searchPlaceholder,top500
Total Gross,총 금액,3,crm.aiHub.reviews.totalAmt,top500
Margin Rate (based on sale price),마진율 (판매가 기준),3,crm.email.catalogSync.marginRate,top500
Registering...,등록 중...,3,crm.email.catalogSync.registering,top500
SELECT * FROM ...,SELECT * FROM ...,3,dbAdmin.queryPlaceholder,top500
AI Policy,AI 정책,3,marketing.gNav.aiPolicy,top500
Budget Tracker,예산 트래커,3,marketing.gNav.budgetTracker,top500
Channel KPI,채널 KPI,3,marketing.gNav.channelKpi,top500
Reconciliation,정산 대조,3,marketing.gNav.reconciliation,top500
Report Builder,리포트 빌더,3,marketing.gNav.reportBuilder,top500
":{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",":{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",3,nav.pages.writeback.payloadPlaceholder,top500
Real-time · Blended ROAS,실시간 · Blended ROAS,3,pages.cmpVal.aiPredict.kpi.k_0,top500
Gross Profit,매출총이익,3,pages.cmpVal.aiPredict.kpi.k_1,top500
Channel Performance,채널 성과,3,pages.commerce.channelPerf,top500
End Date,종료일,3,pages.krChannel.endDate,top500
No reconciliation reports,정산 대조 보고서 없음,3,pages.krChannel.noReports,top500
✅ No Tickets (Below threshold),✅ 티켓 없음 (임계값 미만),3,pages.krChannel.noTickets,top500
Platform Fee Rate,플랫폼 수수료율,3,pages.krChannel.platformFeeRate,top500
Start Date,시작일,3,pages.krChannel.startDate,top500
🔍 Settlement Reconciliation,🔍 정산 대조,3,pages.krChannel.tabRecon,top500
Ad & Channel Analytics,광고 & 채널 분석,3,pages.marketing.adAnalytics,top500
🚀 AI Marketing Automation,🚀 AI 마케팅 자동화,3,pages.marketing.aiMarketing,top500
AI Strategy Generator,AI 전략 생성기,3,pages.marketing.autoMarketing,top500
Channel Intelligence,채널 인텔리전스,3,pages.marketing.chIntelTitle,top500
Customer CRM + AI Segment,고객 CRM + AI 세그먼트,3,pages.marketing.crmMain,top500
Email + A/B Test,이메일 + A/B 테스트,3,pages.marketing.emailMarketing,top500
Kakao Channel,카카오 채널,3,pages.marketing.kakaoChannel,top500
Reviews & UGC Analysis,리뷰 & UGC 분석,3,pages.marketing.reviewsUgc,top500
Compare to,비교 대상,3,pages.marketingIntel.compareTo,top500
Api Key,API 키,3,pages.marketingIntel.connectors.apiKey,top500
Configuration,설정,3,pages.marketingIntel.connectors.configure,top500
No Connectors,커넥터 없음,3,pages.marketingIntel.connectors.noConnectors,top500
Oauth Login,OAuth 로그인,3,pages.marketingIntel.connectors.oauthLogin,top500
Sync Frequency,동기화 주기,3,pages.marketingIntel.connectors.syncFrequency,top500
Ad Channels,광고 채널,3,pages.marketingIntel.connectors.tabAds,top500
Tab All,전체,3,pages.marketingIntel.connectors.tabAll,top500
Sales channel,판매 채널,3,pages.marketingIntel.connectors.tabSales,top500
Connection Test,연결 테스트,3,pages.marketingIntel.connectors.testConnection,top500
Add Schema,스키마 추가,3,pages.marketingIntel.eventNorm.addSchema,top500
Event Name,이벤트명,3,pages.marketingIntel.eventNorm.eventName,top500
No Schemas,스키마 없음,3,pages.marketingIntel.eventNorm.noSchemas,top500
Source Channel,소스 채널,3,pages.marketingIntel.eventNorm.sourceChannel,top500
Standard Event,표준 이벤트,3,pages.marketingIntel.eventNorm.standardEvent,top500
Tab Mapping,매핑,3,pages.marketingIntel.eventNorm.tabMapping,top500
📋 Schemas,📋 스키마,3,pages.marketingIntel.eventNorm.tabSchemas,top500
Tab Test,테스트,3,pages.marketingIntel.eventNorm.tabTest,top500
Test Event,테스트 이벤트,3,pages.marketingIntel.eventNorm.testEvent,top500
Add Mapping,매핑 추가,3,pages.marketingIntel.mappingRegistry.addMapping,top500
No Mappings,매핑 없음,3,pages.marketingIntel.mappingRegistry.noMappings,top500
Tab Category Map,카테고리 매핑,3,pages.marketingIntel.mappingRegistry.tabCategoryMap,top500
Tab Channel Map,채널 매핑,3,pages.marketingIntel.mappingRegistry.tabChannelMap,top500
Tab Product Map,상품 매핑,3,pages.marketingIntel.mappingRegistry.tabProductMap,top500
20 KPI,20 KPI,3,pages.marketingIntel.marketingIntel.badge20kpi,top500
🎯 Trigger,🎯 트리거,3,pages.marketingIntel.trigger,top500
Deactivated,비활성,3,pages.marketingIntel.userMgmt.status_inactive,top500
Approved At,승인 시각,3,pages.menu.approvals.approvedAt,top500
Budget Planner,예산 플래너,3,pages.menu.budgetPlanner,top500
Content Calendar,콘텐츠 캘린더,3,pages.menu.contentCalendar,top500
💾 Save,💾 저장,3,ruleEnginePage.wms.carrSaveBtn,top500
Lead Time,리드타임,3,ruleEnginePage.wms.supDrawerLeadTime,top500
Payment Terms,결제 조건,3,ruleEnginePage.wms.supDrawerPayTerms,top500
Expected Revenue,예상 매출,2,attr.expectedRev,top500
items,건,2,attrData.cases,top500
Copy Link,링크 복사,2,audit.copyLink,top500
Select All,전체 선택,2,audit.selectAll,top500
Unity Catalog,Unity Catalog,2,catalogSync.ihub.dwFeatureUnity,top500
SmartConnect AI,SmartConnect AI,2,catalogSync.ihub.scTitle,top500
Smart Connect,Smart Connect,2,catalogSync.ihub.tabSmartConnect,top500
https://example.com/promo,https://example.com/promo,2,catalogSync.webPopup.linkUrlPh,top500
Add Budget,예산 추가,2,crm.aiHub.addBudget,top500
Ad Saving,광고비 절감,2,crm.aiHub.adSaving,top500
Approve All,전체 승인,2,crm.aiHub.aiHub.approveAll,top500
Attribution Link,어트리뷰션 링크,2,crm.aiHub.aiHub.attributionLink,top500
Auto Registered,자동 등록됨,2,crm.aiHub.aiHub.autoRegistered,top500
Boost Reason,부스트 사유,2,crm.aiHub.aiHub.boostReason,top500
Budget Shift,예산 재배분,2,crm.aiHub.aiHub.budgetShift,top500
Bulk Approved,일괄 승인됨,2,crm.aiHub.aiHub.bulkApproved,top500
Bulk Exec,일괄 실행,2,crm.aiHub.aiHub.bulkExec,top500
Card Limit Alert,카드 한도 알림,2,crm.aiHub.aiHub.cardLimitAlert,top500
Cards Unit,장,2,crm.aiHub.aiHub.cardsUnit,top500
Cat Budget Opt,카테고리 예산 최적화,2,crm.aiHub.aiHub.catBudgetOpt,top500
Cat Crm Retarget,CRM 리타게팅,2,crm.aiHub.aiHub.catCrmRetarget,top500
Cat Inventory Risk,재고 리스크,2,crm.aiHub.aiHub.catInventoryRisk,top500
Cat Settlement,정산,2,crm.aiHub.aiHub.catSettlement,top500
Check In Campaign Mgr,캠페인 매니저에서 확인,2,crm.aiHub.aiHub.checkInCampaignMgr,top500
Current Charged,현재 청구액,2,crm.aiHub.aiHub.currentCharged,top500
Daily Sales,일 매출,2,crm.aiHub.aiHub.dailySales,top500
Dp Add Budget,예산 추가,2,crm.aiHub.aiHub.dpAddBudget,top500
Dp Ad Roi,광고 ROI,2,crm.aiHub.aiHub.dpAdRoi,top500
Dp Ad Saving,광고비 절감,2,crm.aiHub.aiHub.dpAdSaving,top500
Dp Est Roas,예상 ROAS,2,crm.aiHub.aiHub.dpEstRoas,top500
Dp Expected Profit,예상 이익,2,crm.aiHub.aiHub.dpExpectedProfit,top500
