path,ko_value,length,latin_ratio,category
ruleEnginePage.suggestion3,반품률이 15% 초과 SKU를 알려줘,20,0.150,B_MIXED_LOW_RATIO
ruleEnginePage.savedAIRules,저장된 AI 규칙,9,0.222,B_MIXED_LOW_RATIO
ruleEnginePage.originMLDetect,ML 자동탐지,7,0.286,B_MIXED_LOW_RATIO
ruleEnginePage.demoBanner,AI 규칙 엔진 프리미엄 미리보기,18,0.111,B_MIXED_LOW_RATIO
ruleEnginePage.demoBannerDesc,지금 보고 계신 것은 AI 규칙 엔진의 데모 버전입니다.,31,0.065,B_MIXED_LOW_RATIO
ruleEnginePage.llmLocked,LLM 규칙 생성 잠금,12,0.250,B_MIXED_LOW_RATIO
ruleEnginePage.llmLockedDesc,LLM 기반 자연어 규칙 생성기는 유료 기능입니다.,28,0.107,B_MIXED_LOW_RATIO
ruleEnginePage.startPro,Pro 시작하기,8,0.375,B_MIXED_LOW_RATIO
ruleEnginePage.patLowStock,재고 부족 알림: {{sku}},17,0.176,B_MIXED_LOW_RATIO
ruleEnginePage.patLowStockDesc,재고 {{stock}} ≤ 안전재고 {{safe}},28,0.321,B_MIXED_LOW_RATIO
ruleEnginePage.patBudgetOver,예산 90%+ 소진: {{ch}},18,0.111,B_MIXED_LOW_RATIO
ruleEnginePage.patBudgetOverDesc,지출 {{spent}} / 예산 {{budget}} ({{pct}}%),39,0.359,B_MIXED_LOW_RATIO
ruleEnginePage.guideSecDiscover,AI가 실시간 데이터를 분석하여 비즈니스 패턴을 자동으로 탐지하고 규칙을 추천합니다.,47,0.043,B_MIXED_LOW_RATIO
ruleEnginePage.guideSecModel,AI 모델의 성능 지표를 모니터링하고 재학습을 실행합니다.,32,0.063,B_MIXED_LOW_RATIO
ruleEnginePage.guideSecLLM,Claude AI 기반 대화형 규칙 생성기입니다.,27,0.296,B_MIXED_LOW_RATIO
ruleEnginePage.guideTip2,SLA 모니터링을 활성화하면 출고 지연 페널티를 방지할 수 있습니다.,38,0.079,B_MIXED_LOW_RATIO
ruleEnginePage.guideTip1,연동 허브에서 채널 API 키를 등록하면 주문이 자동으로 수집됩니다.,38,0.079,B_MIXED_LOW_RATIO
ruleEnginePage.guideStep1Desc,연동 허브에서 판매 채널의 API 키를 등록하면 주문이 자동으로 수집됩니다.,42,0.071,B_MIXED_LOW_RATIO
ruleEnginePage.guideTip5,국제 주문의 DDP/DDU 설정을 정확히 지정하면 관세 관련 문제를 방지할 수 있습니다.,49,0.122,B_MIXED_LOW_RATIO
ruleEnginePage.supplyChain.guideStep9Desc,"모든 입력 필드에서 XSS, SQL 인젝션, 경로 탐색 등 해킹 시도를 실시간으로 감지하고 차단합니다.",57,0.105,B_MIXED_LOW_RATIO
ruleEnginePage.supplyChain.guideStep10Desc,"공급망 데이터는 가격 최적화, WMS 관리자 등 다른 모듈과 실시간으로 연동됩니다.",46,0.065,B_MIXED_LOW_RATIO
ruleEnginePage.wms.exportCsvBtn,CSV 내보내기,8,0.375,B_MIXED_LOW_RATIO
ruleEnginePage.wms.auditConfirmMsg,{n}개 SKU가 미실사 상태입니다. 완료하시겠습니까?,30,0.133,B_MIXED_LOW_RATIO
ruleEnginePage.wms.auditSearchPh,SKU 또는 상품 검색...,15,0.200,B_MIXED_LOW_RATIO
ruleEnginePage.wms.bdlBomTitle,구성품 (BOM),9,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrApiDone,API 연결됨,7,0.429,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrApiKeyPh,API 키를 입력해주세요,13,0.231,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrApiKeyRequired,API 키를 먼저 입력해주세요.,17,0.176,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrFailMsg,❌ {name} 인증 실패,14,0.286,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrLoadingMsg,🔄 {name} API 테스트 중...,22,0.318,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrOkMsg,✅ {name} API 연결 완료,18,0.389,B_MIXED_LOW_RATIO
ruleEnginePage.wms.carrTrackUrlLabel,배송 추적 URL,9,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.wms.csvImportBtn,CSV 일괄 업로드,10,0.300,B_MIXED_LOW_RATIO
ruleEnginePage.wms.csvImportDesc,CSV 파일로 SKU·재고를 일괄 등록합니다. 필수 컬럼:,32,0.188,B_MIXED_LOW_RATIO
ruleEnginePage.wms.csvImportTitle,CSV 업로드,7,0.429,B_MIXED_LOW_RATIO
ruleEnginePage.wms.csvMoreRows,CSV 더 보기,8,0.375,B_MIXED_LOW_RATIO
ruleEnginePage.wms.invSearchPh,SKU 또는 상품 검색...,15,0.200,B_MIXED_LOW_RATIO
ruleEnginePage.wms.invTableTitle,📦 SKU별 창고 재고,13,0.231,B_MIXED_LOW_RATIO
ruleEnginePage.wms.invcColHs,HS 코드,5,0.400,B_MIXED_LOW_RATIO
ruleEnginePage.wms.invcExRateLabel,환율 (KRW/{c}),12,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.wms.ioSearchPh,SKU·상품·참조 번호 검색...,18,0.167,B_MIXED_LOW_RATIO
ruleEnginePage.wms.lotColId,로트 ID,5,0.400,B_MIXED_LOW_RATIO
ruleEnginePage.wms.pickColId,피킹 ID,5,0.400,B_MIXED_LOW_RATIO
ruleEnginePage.wms.scanApply,이 SKU 적용,8,0.375,B_MIXED_LOW_RATIO
ruleEnginePage.wms.trackCJ,CJ대한통운,6,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.wms.ioSkuRequired,SKU와 수량은 필수입니다.,15,0.200,B_MIXED_LOW_RATIO
ruleEnginePage.wms.bdlTitle,📦 번들·키트 BOM 관리,15,0.200,B_MIXED_LOW_RATIO
ruleEnginePage.wms.trackDesc,택배사 API로 배송 상태 실시간 조회,21,0.143,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideStep11Desc,"국제 배송용 세관 송장을 INCOTERMS, HS 코드, 다중 통화 기준으로 자동 생성합니다.",52,0.212,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideStep12Title,번들/키트 BOM,9,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideStep12Desc,BOM(부품표)으로 상품 번들을 생성합니다. 구성품 재고를 추적하고 번들 세트 조립/출고를 관리합니다.,57,0.053,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideTabInvDesc,"재고 부족 알림, CSV 가져오기/내보내기, 바코드 스캔으로 전체 창고의 통합 재고를 확인합니다.",54,0.056,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideTabCarrDesc,배송업체를 등록하고 API 연결을 테스트하며 국내외 배송 파트너를 관리합니다.,43,0.070,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideTabTrackDesc,배송업체 API를 통한 실시간 배송 추적 및 타임라인 시각화,33,0.091,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideTabInvcDesc,"INCOTERMS, HS 코드, 환율을 기준으로 세관용 상업 송장을 생성합니다.",44,0.250,B_MIXED_LOW_RATIO
ruleEnginePage.wms.guideTabBdlDesc,BOM으로 상품 키트를 생성하고 구성품 재고를 추적하며 번들 조립/출고를 관리합니다.,47,0.064,B_MIXED_LOW_RATIO
ruleEnginePage.wms.bulkXlsxError,Excel 파일 분석에 실패했습니다. 파일 양식을 확인해주세요.,35,0.143,B_MIXED_LOW_RATIO
ruleEnginePage.dash.revRoi2,5. 매출 및 ROI,11,0.273,B_MIXED_LOW_RATIO
ruleEnginePage.dash.aiAdAnal,🤖 AI 광고 분석,11,0.182,B_MIXED_LOW_RATIO
ruleEnginePage.dash.roleDev2,API 키 관리,8,0.375,B_MIXED_LOW_RATIO
ruleEnginePage.dash.roleFinance1,P&L 현황,6,0.333,B_MIXED_LOW_RATIO
ruleEnginePage.dash.roleFinance1Desc,오늘의 P&L 확인,10,0.200,B_MIXED_LOW_RATIO
ruleEnginePage.dash.roleMarketer1Desc,ROAS 하락 채널 확인,13,0.308,B_MIXED_LOW_RATIO
ruleEnginePage.dash.roleMarketer2Desc,AI 기반 자동 최적화,12,0.167,B_MIXED_LOW_RATIO
ruleEnginePage.dash.roleMarketer3Desc,CRM 인사이트 검토,11,0.273,B_MIXED_LOW_RATIO
ruleEnginePage.dash.unitSecs,s,1,1.000,A_LEN1_ASCII
ruleEnginePage.dash.KRChannel,KR 채널,5,0.400,B_MIXED_LOW_RATIO
ruleEnginePage.dash.AIPolicy,AI 정책,5,0.400,B_MIXED_LOW_RATIO
ruleEnginePage.operations.ai_plat_tiktok,틱톡,2,0.000,D_AUTO_ID
ruleEnginePage.operations.0dv8o1,0dv8o1,6,0.500,D_AUTO_ID
ruleEnginePage.operations.0qznpy,0qznpy,6,0.833,D_AUTO_ID
ruleEnginePage.operations.0tibn3,0tibn3,6,0.667,D_AUTO_ID
ruleEnginePage.operations.0zf65j,0zf65j,6,0.500,D_AUTO_ID
ruleEnginePage.operations.2yw4oa,2yw4oa,6,0.667,D_AUTO_ID
ruleEnginePage.operations.36vv4x,36vv4x,6,0.500,D_AUTO_ID
ruleEnginePage.operations.3xorse,3xorse,6,0.833,D_AUTO_ID
ruleEnginePage.operations.48hbi8,48hbi8,6,0.500,D_AUTO_ID
ruleEnginePage.operations.51mnf7,51mnf7,6,0.500,D_AUTO_ID
ruleEnginePage.operations.52p2cm,52p2cm,6,0.500,D_AUTO_ID
ruleEnginePage.operations.53nfcg,53nfcg,6,0.667,D_AUTO_ID
ruleEnginePage.operations.57ox7c,57ox7c,6,0.500,D_AUTO_ID
ruleEnginePage.operations.5df7ph,5df7ph,6,0.667,D_AUTO_ID
ruleEnginePage.operations.6iaz69,6iaz69,6,0.500,D_AUTO_ID
ruleEnginePage.operations.6n5rm3,6n5rm3,6,0.500,D_AUTO_ID
ruleEnginePage.operations.6sin3d,6sin3d,6,0.667,D_AUTO_ID
ruleEnginePage.operations.7omsg9,7omsg9,6,0.667,D_AUTO_ID
ruleEnginePage.operations.7zvzna,7zvzna,6,0.833,D_AUTO_ID
ruleEnginePage.operations.84qmo9,84qmo9,6,0.500,D_AUTO_ID
ruleEnginePage.operations.8w1sc8,8w1sc8,6,0.500,D_AUTO_ID
ruleEnginePage.operations.99j8yb,99j8yb,6,0.500,D_AUTO_ID
ruleEnginePage.operations.9o517z,9o517z,6,0.333,D_AUTO_ID
ruleEnginePage.operations.9w750d,9w750d,6,0.333,D_AUTO_ID
ruleEnginePage.operations.afrcw8,Afrcw8,6,0.833,D_AUTO_ID
ruleEnginePage.operations.aig0mc,Aig0mc,6,0.833,D_AUTO_ID
ruleEnginePage.operations.bey1v6,Bey1v6,6,0.667,D_AUTO_ID
ruleEnginePage.operations.bpqhei,Bpqhei,6,1.000,D_AUTO_ID
ruleEnginePage.operations.byaks6,Byaks6,6,0.833,D_AUTO_ID
ruleEnginePage.operations.byw06k,Byw06k,6,0.667,D_AUTO_ID
ruleEnginePage.operations.c3b73w,C3b73w,6,0.500,D_AUTO_ID
ruleEnginePage.operations.colId,ID,2,1.000,D_AUTO_ID
ruleEnginePage.operations.colSku,SKU,3,1.000,D_AUTO_ID
ruleEnginePage.operations.djm5a1,Djm5a1,6,0.667,D_AUTO_ID
ruleEnginePage.operations.dri5as,Dri5as,6,0.833,D_AUTO_ID
ruleEnginePage.operations.e2rwrq,E2rwrq,6,0.833,D_AUTO_ID
ruleEnginePage.operations.e9xreo,E9xreo,6,0.833,D_AUTO_ID
ruleEnginePage.operations.eq33r1,Eq33r1,6,0.500,D_AUTO_ID
ruleEnginePage.operations.f54xt0,F54xt0,6,0.500,D_AUTO_ID
ruleEnginePage.operations.fd2k9b,Fd2k9b,6,0.667,D_AUTO_ID
ruleEnginePage.operations.fieldSku,SKU,3,1.000,D_AUTO_ID
ruleEnginePage.operations.gewezq,Gewezq,6,1.000,D_AUTO_ID
ruleEnginePage.operations.gmmzsp,Gmmzsp,6,1.000,D_AUTO_ID
ruleEnginePage.operations.gn14f4,Gn14f4,6,0.500,D_AUTO_ID
ruleEnginePage.operations.gu0d4b,Gu0d4b,6,0.667,D_AUTO_ID
ruleEnginePage.operations.h7b04x,H7b04x,6,0.500,D_AUTO_ID
ruleEnginePage.operations.i8hx56,I8hx56,6,0.500,D_AUTO_ID
ruleEnginePage.operations.ieaobd,Ieaobd,6,1.000,D_AUTO_ID
ruleEnginePage.operations.if8y8c,If8y8c,6,0.667,D_AUTO_ID
ruleEnginePage.operations.ip7udp,Ip7udp,6,0.833,D_AUTO_ID
ruleEnginePage.operations.j0ciji,J0ciji,6,0.833,D_AUTO_ID
ruleEnginePage.operations.jrgoxc,Jrgoxc,6,1.000,D_AUTO_ID
ruleEnginePage.operations.ju3pdg,Ju3pdg,6,0.833,D_AUTO_ID
ruleEnginePage.operations.kedt13,Kedt13,6,0.667,D_AUTO_ID
ruleEnginePage.operations.l35aa7,L35aa7,6,0.500,D_AUTO_ID
ruleEnginePage.operations.m22o88,M22o88,6,0.333,D_AUTO_ID
ruleEnginePage.operations.m7h2zt,M7h2zt,6,0.667,D_AUTO_ID
ruleEnginePage.operations.mfgt70,Mfgt70,6,0.667,D_AUTO_ID
ruleEnginePage.operations.my5y5b,My5y5b,6,0.667,D_AUTO_ID
ruleEnginePage.operations.mzfuvr,Mzfuvr,6,1.000,D_AUTO_ID
ruleEnginePage.operations.o3ijo7,O3ijo7,6,0.667,D_AUTO_ID
ruleEnginePage.operations.oa3o69,Oa3o69,6,0.500,D_AUTO_ID
ruleEnginePage.operations.ocf8lv,Ocf8lv,6,0.833,D_AUTO_ID
ruleEnginePage.operations.okq827,Okq827,6,0.500,D_AUTO_ID
ruleEnginePage.operations.ov6k9r,Ov6k9r,6,0.667,D_AUTO_ID
ruleEnginePage.operations.pks3gd,Pks3gd,6,0.833,D_AUTO_ID
ruleEnginePage.operations.pph4s5,Pph4s5,6,0.667,D_AUTO_ID
ruleEnginePage.operations.pq41lt,Pq41lt,6,0.667,D_AUTO_ID
ruleEnginePage.operations.pqutmx,Pqutmx,6,1.000,D_AUTO_ID
ruleEnginePage.operations.qhy2cu,Qhy2cu,6,0.833,D_AUTO_ID
ruleEnginePage.operations.qlu4cd,Qlu4cd,6,0.833,D_AUTO_ID
ruleEnginePage.operations.rzrqb2,Rzrqb2,6,0.833,D_AUTO_ID
ruleEnginePage.operations.s40v25,S40v25,6,0.333,D_AUTO_ID
ruleEnginePage.operations.sfp3ge,Sfp3ge,6,0.833,D_AUTO_ID
ruleEnginePage.operations.sku,SKU,3,1.000,D_AUTO_ID
ruleEnginePage.operations.sskd6g,Sskd6g,6,0.833,D_AUTO_ID
ruleEnginePage.operations.t9984q,T9984q,6,0.333,D_AUTO_ID
ruleEnginePage.operations.ti6jzc,Ti6jzc,6,0.833,D_AUTO_ID
ruleEnginePage.operations.v3oq8x,V3oq8x,6,0.667,D_AUTO_ID
ruleEnginePage.operations.v7v0fo,V7v0fo,6,0.667,D_AUTO_ID
ruleEnginePage.operations.w04x7c,W04x7c,6,0.500,D_AUTO_ID
ruleEnginePage.operations.w29eyh,W29eyh,6,0.667,D_AUTO_ID
ruleEnginePage.operations.wix73i,Wix73i,6,0.667,D_AUTO_ID
ruleEnginePage.operations.wlcfu5,Wlcfu5,6,0.833,D_AUTO_ID
ruleEnginePage.operations.ws4j5c,Ws4j5c,6,0.667,D_AUTO_ID
ruleEnginePage.operations.x7nb5k,X7nb5k,6,0.667,D_AUTO_ID
ruleEnginePage.operations.x87ynu,X87ynu,6,0.667,D_AUTO_ID
ruleEnginePage.operations.xcjer3,Xcjer3,6,0.833,D_AUTO_ID
ruleEnginePage.operations.xwumtf,Xwumtf,6,1.000,D_AUTO_ID
ruleEnginePage.operations.y4brfn,Y4brfn,6,0.833,D_AUTO_ID
ruleEnginePage.operations.yhnpu2,Yhnpu2,6,0.833,D_AUTO_ID
ruleEnginePage.operations.yn2mmg,Yn2mmg,6,0.833,D_AUTO_ID
ruleEnginePage.operations.zasss2,Zasss2,6,0.833,D_AUTO_ID
ruleEnginePage.operations.zgybil,Zgybil,6,1.000,D_AUTO_ID
ruleEnginePage.operations.zwtpkr,Zwtpkr,6,1.000,D_AUTO_ID
ruleEnginePage.operations.pageTitle,🔌 연동 허브,8,0.000,D_AUTO_ID
ruleEnginePage.operations.pageSub,커넥터 & 통합 관리,11,0.000,D_AUTO_ID
ruleEnginePage.operations.todayChecklist,오늘의 체크리스트,9,0.000,D_AUTO_ID
ruleEnginePage.operations.priorityActions,우선 조치,5,0.000,D_AUTO_ID
ruleEnginePage.operations.executionFeed,실행 피드,5,0.000,D_AUTO_ID
ruleEnginePage.operations.viewAll,전체 보기,5,0.000,D_AUTO_ID
ruleEnginePage.operations.noActions,조치 불필요,6,0.000,D_AUTO_ID
ruleEnginePage.operations.hubTitle,⚡ 운영 허브,7,0.000,D_AUTO_ID
ruleEnginePage.operations.tabCampaigns,📣 광고 캠페인,9,0.000,D_AUTO_ID
ruleEnginePage.operations.thProductSku,상품·SKU,6,0.500,D_AUTO_ID
ruleEnginePage.operations.thCategory,카테고리,4,0.000,D_AUTO_ID
ruleEnginePage.operations.thSupplier,공급업체,4,0.000,D_AUTO_ID
ruleEnginePage.operations.thStatus,상태,2,0.000,D_AUTO_ID
ruleEnginePage.operations.allCategory,전체 카테고리,7,0.000,D_AUTO_ID
ruleEnginePage.operations.allStatus,전체 상태,5,0.000,D_AUTO_ID
ruleEnginePage.operations.allChannel,전체 채널,5,0.000,D_AUTO_ID
ruleEnginePage.operations.createCampaign,캠페인 생성,6,0.000,D_AUTO_ID
ruleEnginePage.operations.createCampaignBtn,캠페인 생성,6,0.000,D_AUTO_ID
ruleEnginePage.operations.campName,캠페인명,4,0.000,D_AUTO_ID
ruleEnginePage.operations.platform,플랫폼,3,0.000,D_AUTO_ID
ruleEnginePage.operations.goalType,목표 유형,5,0.000,D_AUTO_ID
ruleEnginePage.operations.applyChange,변경 사항 적용,8,0.000,D_AUTO_ID
ruleEnginePage.operations.searchProduct,상품명·SKU 검색...,13,0.231,D_AUTO_ID
ruleEnginePage.operations.couponCode,쿠폰 코드,5,0.000,D_AUTO_ID
ruleEnginePage.operations.type,타입,2,0.000,D_AUTO_ID
ruleEnginePage.operations.priceApply,💹 가격 변경 적용,11,0.000,D_AUTO_ID
ruleEnginePage.operations.statusSoldout,품절,2,0.000,D_AUTO_ID
ruleEnginePage.operations.viewProductList,상품 목록 표시,8,0.000,D_AUTO_ID
ruleEnginePage.operations.costPriceMargin,원가 마진,5,0.000,D_AUTO_ID
ruleEnginePage.operations.tabInfluencer,🤝 인플루언서,8,0.000,D_AUTO_ID
ruleEnginePage.operations.heroDesc,쿠폰/프로모션 운영과 AI 광고 마케팅 디자인 생성을 한 화면에서 관리합니다.,43,0.047,D_AUTO_ID
ruleEnginePage.operations.tabProductsDesc,등록·편집·중지·가격·재고·프로모션,19,0.000,D_AUTO_ID
ruleEnginePage.operations.tabCampaignsDesc,생성·크리에이티브·예산·입찰,15,0.000,D_AUTO_ID
ruleEnginePage.operations.tabPromo,🎁 쿠폰/딜/프로모션,12,0.000,D_AUTO_ID
ruleEnginePage.operations.tabPromoDesc,쿠폰 생성·딜 관리,10,0.000,D_AUTO_ID
ruleEnginePage.operations.tabInfluencerDesc,오퍼·계약·e-Sign·결제,15,0.333,D_AUTO_ID
ruleEnginePage.operations.avgMargin,평균 마진율,6,0.000,D_AUTO_ID
ruleEnginePage.operations.costMargin,원가/마진,5,0.000,D_AUTO_ID
ruleEnginePage.operations.downloadExcel,📥 Excel 다운로드,13,0.385,D_AUTO_ID
ruleEnginePage.operations.noProducts,등록된 상품이 없습니다. 상품을 등록해주세요.,25,0.000,D_AUTO_ID
ruleEnginePage.operations.colProductSku,상품·SKU,6,0.500,D_AUTO_ID
ruleEnginePage.operations.colCategory,카테고리,4,0.000,D_AUTO_ID
ruleEnginePage.operations.colSupplier,공급업체,4,0.000,D_AUTO_ID
ruleEnginePage.operations.colChannelReg,채널 등록 현황,8,0.000,D_AUTO_ID
ruleEnginePage.operations.colPromotion,프로모션,4,0.000,D_AUTO_ID
ruleEnginePage.operations.colStatus,상태,2,0.000,D_AUTO_ID
ruleEnginePage.operations.colMarginAmt,마진(엔),5,0.000,D_AUTO_ID
ruleEnginePage.operations.colMarginRate,마진율,3,0.000,D_AUTO_ID
ruleEnginePage.operations.colMargin,마진율(%),6,0.000,D_AUTO_ID
ruleEnginePage.operations.colChannels,채널 수,4,0.000,D_AUTO_ID
ruleEnginePage.operations.btnPromo,🎁 프로모션,7,0.000,D_AUTO_ID
ruleEnginePage.operations.modalPromo,🎁 프로모션 설정,10,0.000,D_AUTO_ID
ruleEnginePage.operations.fieldChannels,판매 채널,5,0.000,D_AUTO_ID
ruleEnginePage.operations.cancel,취소,2,0.000,D_AUTO_ID
ruleEnginePage.operations.btnApplyPromo,🎁 프로모션 적용,10,0.000,D_AUTO_ID
ruleEnginePage.operations.fbUpdated,상품 정보가 업데이트되었습니다.,17,0.000,D_AUTO_ID
ruleEnginePage.operations.campaigns,건의 캠페인,6,0.000,D_AUTO_ID
ruleEnginePage.operations.noCampaigns,등록된 캠페인이 없습니다.,14,0.000,D_AUTO_ID
ruleEnginePage.operations.budgetBid,예산·입찰,5,0.000,D_AUTO_ID
ruleEnginePage.operations.clicks,클릭,2,0.000,D_AUTO_ID
ruleEnginePage.operations.newCampaign,새 캠페인 생성,8,0.000,D_AUTO_ID
ruleEnginePage.operations.promotions,건의 프로모션,7,0.000,D_AUTO_ID
ruleEnginePage.operations.createPromo,프로모션 생성,7,0.000,D_AUTO_ID
ruleEnginePage.operations.noPromos,등록된 프로모션이 없습니다.,15,0.000,D_AUTO_ID
ruleEnginePage.operations.draft,임시 저장,5,0.000,D_AUTO_ID
ruleEnginePage.operations.newPromo,새 프로모션 생성,9,0.000,D_AUTO_ID
ruleEnginePage.operations.promoName,프로모션명,5,0.000,D_AUTO_ID
ruleEnginePage.operations.influencers,명의 인플루언서,8,0.000,D_AUTO_ID
ruleEnginePage.operations.noInfluencers,등록된 인플루언서가 없습니다.,16,0.000,D_AUTO_ID
ruleEnginePage.operations.guideTipTitle,활용 팁,4,0.000,D_AUTO_ID
ruleEnginePage.operations.guideTipDesc,프로모션과 AI 디자인을 함께 활용해보세요.,24,0.083,D_AUTO_ID
ruleEnginePage.operations.tabCreativeDesc,AI 광고 디자인·이미지 생성·업로드,20,0.100,D_AUTO_ID
ruleEnginePage.operations.ai_creatives,건의 크리에이티브,9,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_createDesign,AI 광고 디자인 생성,12,0.167,D_AUTO_ID
ruleEnginePage.operations.ai_selectPlatform,플랫폼 선택,6,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_plat_popup,팝업,2,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_plat_instagram,인스타그램,5,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_plat_kakao,카카오,3,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_plat_custom,사용자 설정,6,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_adTitle,광고 제목,5,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_adTitlePh,프로모션 제목 입력,10,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_eventType,이벤트 유형,6,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_sale,세일/할인,5,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_seasonal,시즌 프로모션,7,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_flash,플래시 세일,6,0.000,D_AUTO_ID
ruleEnginePage.operations.ai_brand,브랜드 캠페인,7,0.000,D_AUTO_ID
