path,ja_value,ko_value,ja_type,ja_hangul
Data.ORDER_CONFIRM_JP,주문_확인_JP,주문_확인_JP,string,1
Data.Onboarding,온보딩,온보딩,string,1
Data.Order,주문,주문,string,1
Data.Order Confirmation Alimtalk,주문 완료 알림톡,주문 완료 알림톡,string,1
Data.Pause Campaign,캠페인 일시정지,캠페인 일시정지,string,1
Data.Pause Underperforming Ads,저성과 광고 일시정지,저성과 광고 일시정지,string,1
Data.Promotion,프로모션,프로모션,string,1
Data.Purchase Complete (LTV > 1M),구매 완료 (LTV > 100만),구매 완료 (LTV > 100만),string,1
Data.ROAS Decline,ROAS 하락,ROAS 하락,string,1
Data.Re-engage churned customers via Email + Kakao,이메일+카카오톡을 통한 이탈 고객 재관여,이메일+카카오톡을 통한 이탈 고객 재관여,string,1
Data.Reallocate Budget,예산 재분배,예산 재분배,string,1
Data.Recovery Email,복구 유도 이메일,복구 유도 이메일,string,1
Data.Refresh Creative Assets,크리에이티브 교체,크리에이티브 교체,string,1
Data.Relationship,관계 형성,관계 형성,string,1
Data.Repurchase Candidate,재구매 후보군,재구매 후보군,string,1
Data.Repurchase Coupon,재구매 유도 쿠폰,재구매 유도 쿠폰,string,1
Data.Retention,리텐션,리텐션,string,1
Data.SHIP_CONFIRM_01,배송_출발_01,배송_출발_01,string,1
Data.SHIP_CONFIRM_JP,배송_출발_JP,배송_출발_JP,string,1
Data.SPRING_PROMO_01,봄_프로모션_01,봄_프로모션_01,string,1
Data.SPRING_SALE_JP,봄_세일_JP,봄_세일_JP,string,1
Data.Send Discount Coupon,할인 쿠폰 발송,할인 쿠폰 발송,string,1
Data.Sends a critical alert to the designated Slack channel for manual review.,,지정된 슬랙 채널로 수동 검토를 위한 중요 알림을 전송합니다.,string,0
Data.Shipping Departure Notice,배송 출발 알림,배송 출발 알림,string,1
Data.Spring Season Add Friend Event,봄 시즌 친구 추가 이벤트,봄 시즌 친구 추가 이벤트,string,1
Data.Spring Season Sale,봄 시즌 세일,봄 시즌 세일,string,1
Data.Spring Season Sale Banner,봄 시즌 세일 배너,봄 시즌 세일 배너,string,1
Data.VIP,VIP,VIP,string,0
Data.VIP Appreciation Message,VIP 감사 메시지,VIP 감사 메시지,string,1
Data.VIP Buyer,VIP 구매자,VIP 구매자,string,1
Data.VIP Care,VIP 전용 케어,VIP 전용 케어,string,1
Data.VIP Customer Appreciation Email,VIP 고객 감사 이메일,VIP 고객 감사 이메일,string,1
Data.VIP Customer Care,VIP 고객 케어,VIP 고객 케어,string,1
Data.VIP Customer Retention,VIP 고객 리텐션,VIP 고객 리텐션,string,1
Data.VIP Thank You Email,VIP 감사 이메일,VIP 감사 이메일,string,1
Data.VIP_MEMBER_JP,VIP_회원_JP,VIP_회원_JP,string,1
Data.VIP会員限定キャンペーン,V I P会員限定キャンペーン,VIP 회원 한정 캠페인,string,0
Data.Wait 1 Hour,1시간 대기,1시간 대기,string,1
Data.Wait 3 Days,3일 대기,3일 대기,string,1
Data.Welcome Email,환영 이메일,환영 이메일,string,1
Data.ab_test,a/b_테스트,a/b_테스트,string,1
Data.birthday,생일,생일,string,1
Data.button,버튼,버튼,string,1
Data.cart_abandoned,장바구니_이탈,장바구니_이탈,string,1
Data.churned,이탈됨,이탈됨,string,1
Data.condition,条件,조건,string,0
Data.coupon,쿠폰,쿠폰,string,1
Data.delay,지연,지연,string,1
Data.divider,구분선,구분선,string,1
Data.email,이메일,이메일,string,1
Data.end,종료,종료,string,1
Data.flex,플렉스,플렉스,string,1
Data.footer,푸터,푸터,string,1
Data.header,헤더,헤더,string,1
Data.image,이미지,이미지,string,1
Data.kakao,카카오,카카오,string,1
Data.line,라인,라인,string,1
Data.marketing,마케팅,마케팅,string,1
Data.no,No,아니오,string,0
Data.purchase,구매,구매,string,1
Data.segment_entered,세그먼트_진입,세그먼트_진입,string,1
Data.signup,가입,가입,string,1
Data.text,텍스트,텍스트,string,1
Data.transactional,트랜잭셔널,트랜잭셔널,string,1
Data.trigger,🎯 Trigger,트리거,string,0
Data.yes,Yes,예,string,0
Data.マーケティング,마케팅,마케팅,string,1
Data.春セール特別クーポン,春セール特別クーポン,봄 세일 특별 쿠폰,string,0
Data.注文,주문,주문,string,1
Data.注文完了通知,注文完了通知,주문 완료 통지,string,0
Data.発送完了のお知らせ,発送完了のお知らせ,발송 완료 통지,string,0
Data.配送,배송,배송,string,1
ModeStr,Demo,데모,string,0
account,Account,계정,string,0
accountPerf.pageSub,複数チームの予算効率と成果を統合分析。,팀 및 계정별 퍼포먼스와 예산 요약,string,0
accountPerf.pageTitle,アカウント＆チームアナリティクス,계정별 성과 분석,string,0
accountPerf.teamDashboard,チーム別予算配分ダッシュボード,팀/어카운트 예산 대시보드,string,0
acctPerf.aiInsightDesc,各チーム別目標に合わせた高度化戦略分析,각 팀별 목표에 맞춘 고도화 전략 분석,string,0
acctPerf.aiInsightHigh,成果優秀。予算増額を推奨,성과 우수. 예산 증액 권고,string,0
acctPerf.aiInsightLow,効率低下。クリエイティブ交換を検討,효율 저하. 크리에이티브 교체 검토,string,0
acctPerf.aiInsightTitle,💡 AI戦略インサイト,💡 AI 전략 인사이트,string,0
acctPerf.avgRoas,平均ROAS,평균 ROAS,string,0
acctPerf.awareRev,認知度収益,인지도 수익,string,0
acctPerf.colClicks,クリック,클릭,string,0
acctPerf.colConv,寄与コンバージョン,기여 전환,string,0
acctPerf.colCtr,CTR(%),CTR(%),string,0
acctPerf.colImpr,インプレッション,노출,string,0
acctPerf.colRoas,ROAS,ROAS,string,0
acctPerf.colSpend,支出推移,지출 추이,string,0
acctPerf.colStatus,ステータス,상태,string,0
acctPerf.colStruct,組織構造,조직 구조,string,0
acctPerf.colTeam,チーム,팀,string,0
acctPerf.consRev,検討度収益,고려도 수익,string,0
acctPerf.convRev,コンバージョン収益,전환 수익,string,0
acctPerf.defaultTeam,運営チーム,운영팀,string,0
acctPerf.guideFaq1A,Meta Ads 계정 연동 상태를 확인해주세요.,Meta Ads 계정 연동 상태를 확인해주세요.,string,1
acctPerf.guideFaq1Q,데이터가 표시되지 않아요.,데이터가 표시되지 않아요.,string,1
acctPerf.guideFaq2A,시작일이 종료일보다 앞인지 확인해주세요.,시작일이 종료일보다 앞인지 확인해주세요.,string,1
acctPerf.guideFaq2Q,기간 설정이 안 돼요.,기간 설정이 안 돼요.,string,1
acctPerf.guideFaqTitle,자주 묻는 질문,자주 묻는 질문,string,1
acctPerf.guideReadyDesc,좌측 메뉴에서 어카운트 성과를 선택하세요.,좌측 메뉴에서 어카운트 성과를 선택하세요.,string,1
acctPerf.guideReadyTitle,시작할 준비가 되셨나요?,시작할 준비가 되셨나요?,string,1
acctPerf.guideStep1Desc,어카운트 성과 메뉴로 이동합니다.,어카운트 성과 메뉴로 이동합니다.,string,1
acctPerf.guideStep1Title,대시보드 접속,대시보드 접속,string,1
acctPerf.guideStep2Desc,분석할 날짜 범위를 설정합니다.,분석할 날짜 범위를 설정합니다.,string,1
acctPerf.guideStep2Title,기간 설정,기간 설정,string,1
acctPerf.guideStep3Desc,팀/계정별 예산 현황을 확인합니다.,팀/계정별 예산 현황을 확인합니다.,string,1
acctPerf.guideStep3Title,예산 확인,예산 확인,string,1
acctPerf.guideStep4Desc,트리구조로 광고 계층을 분석합니다.,트리구조로 광고 계층을 분석합니다.,string,1
acctPerf.guideStep4Title,계층 분석,계층 분석,string,1
acctPerf.guideStep5Desc,기간별 성과를 비교합니다.,기간별 성과를 비교합니다.,string,1
acctPerf.guideStep5Title,성과 비교,성과 비교,string,1
acctPerf.guideStep6Desc,엑셀로 데이터를 내보냅니다.,엑셀로 데이터를 내보냅니다.,string,1
acctPerf.guideStep6Title,데이터 내보내기,데이터 내보내기,string,1
acctPerf.guideStepsTitle,Getting Started — 6 Steps,시작 6단계,string,0
acctPerf.guideSub,Team/Account Budget Dashboard · Meta Ads Hierarchy 분석 가이드입니다.,Team/Account Budget Dashboard · Meta Ads Hierarchy 분석 가이드입니다.,string,1
acctPerf.guideTabDashboardDesc,전체 예산과 성과를 시각화합니다.,전체 예산과 성과를 시각화합니다.,string,1
acctPerf.guideTabDashboardName,시각화 대시보드,시각화 대시보드,string,1
acctPerf.guideTabDrilldownDesc,광고 계층별 상세 분석을 제공합니다.,광고 계층별 상세 분석을 제공합니다.,string,1
acctPerf.guideTabDrilldownName,트리구조 계층 분석,트리구조 계층 분석,string,1
acctPerf.guideTabsTitle,탭별 기능 안내,탭별 기능 안내,string,1
acctPerf.guideTip1,주간 단위로 예산 소진율을 확인하세요.,주간 단위로 예산 소진율을 확인하세요.,string,1
acctPerf.guideTip2,성과가 낮은 캠페인은 즉시 조정하세요.,성과가 낮은 캠페인은 즉시 조정하세요.,string,1
acctPerf.guideTip3,계층 분석으로 문제 광고를 빠르게 찾으세요.,계층 분석으로 문제 광고를 빠르게 찾으세요.,string,1
acctPerf.guideTipsTitle,활용 팁,활용 팁,string,1
acctPerf.guideTitle,어카운트 성과 이용 가이드,어카운트 성과 이용 가이드,string,1
acctPerf.guideWhereToStart,어디서 시작하나요?,어디서 시작하나요?,string,1
acctPerf.guideWhereToStartDesc,좌측 메뉴에서 '어카운트 성과'를 선택하세요.,좌측 메뉴에서 '어카운트 성과'를 선택하세요.,string,1
acctPerf.hierarchyDesc,行をクリックしてミクロ指標まで即座にドリルダウンしてください。,행을 클릭하여 마이크로 지표까지 즉시 드릴다운하세요.,string,0
acctPerf.hierarchyTitle,キャンペーン ➔ 広告セット ➔ 広告（階層分析）,캠페인 ➔ 광고 세트 ➔ 광고 (계층 분석),string,0
acctPerf.kpiSpend,消費予算,누적 지출,string,0
acctPerf.objectiveAwareness,認知度レイヤー,인지 (Awareness),string,0
acctPerf.objectiveConsideration,比較検討レイヤー,고려 (Consideration),string,0
acctPerf.objectiveConversion,コンバージョンレイヤー,전환 (Conversion),string,0
acctPerf.pageSub,チームおよびアカウント別パフォーマンスと予算サマリー,팀 및 계정별 퍼포먼스와 예산 요약,string,0
acctPerf.pageTitle,アカウント別成果分析,계정별 성과 분석,string,0
acctPerf.revenueTracking,目標ベース収益トラッキング,목표 기반 수익 트래킹,string,0
acctPerf.tabDashboard,ダッシュボード,시각화 대시보드,string,0
acctPerf.tabDrilldown,ドリルダウン,트리구조 계층 분석,string,0
acctPerf.tabGuide,ガイド,이용 가이드,string,0
acctPerf.teamDashboard,チーム/アカウント予算ダッシュボード,팀/어카운트 예산 대시보드,string,0
actionPresets.actions,アクション数,액션 수,string,0
actionPresets.category,カテゴリ,카테고리,string,0
actionPresets.createPreset,+ プリセット作成,+ 프리셋 생성,string,0
actionPresets.delete,削除,삭제,string,0
actionPresets.edit,編集,수정,string,0
actionPresets.lastUsed,最終使用,최근 사용,string,0
actionPresets.noPresets,プリセットなし,생성된 프리셋이 없습니다.,string,0
actionPresets.pageSub,繰り返しアクションをプリセットとして保存し自動化に連携,페이지,string,0
actionPresets.pageTitle,🧰 アクションプリセット管理,페이지 제목,string,0
actionPresets.presetName,プリセット名,프리셋명,string,0
actionPresets.run,▶ 実行,▶ 실행,string,0
actionPresets.tabCreate,➕ プリセット作成,➕ 프리셋 생성,string,0
actionPresets.tabPresets,📋 プリセット一覧,📋 프리셋 목록,string,0
actionPresets.usageCount,使用回数,사용 횟수,string,0
actions,Actions,액션,string,0
adPerf.channel,チャネル,채널별 보기,string,0
adPerf.clicks,クリック数,총 클릭수,string,0
adPerf.conversions,コンバージョン,총 전환수,string,0
adPerf.cpa,CPA (전환단가),CPA (전환단가),string,1
adPerf.date,日付,날짜 (기간),string,0
adPerf.guideStep1Desc,분석할 날짜 범위를 설정합니다.,분석할 날짜 범위를 설정합니다.,string,1
adPerf.guideStep1Title,기간 설정,기간 설정,string,1
adPerf.guideStep2Desc,"지출, 노출, 클릭, CTR, ROAS를 확인합니다.","지출, 노출, 클릭, CTR, ROAS를 확인합니다.",string,1
adPerf.guideStep2Title,KPI 확인,KPI 확인,string,1
adPerf.guideStep3Desc,채널별 성과를 비교 분석합니다.,채널별 성과를 비교 분석합니다.,string,1
adPerf.guideStep3Title,채널 비교,채널 비교,string,1
adPerf.guideStep4Desc,소재별 성과를 분석합니다.,소재별 성과를 분석합니다.,string,1
adPerf.guideStep4Title,크리에이티브 분석,크리에이티브 분석,string,1
adPerf.guideStep5Desc,AI 기반 최적화 추천을 확인합니다.,AI 기반 최적화 추천을 확인합니다.,string,1
adPerf.guideStep5Title,AI 추천,AI 추천,string,1
adPerf.guideStep6Desc,분석 결과를 리포트로 내보냅니다.,분석 결과를 리포트로 내보냅니다.,string,1
adPerf.guideStep6Title,리포트 생성,리포트 생성,string,1
adPerf.guideStepsTitle,Getting Started — 6 Steps,시작 6단계,string,0
adPerf.guideSub,AI 매체 통합 분석 - 종합 광고 성과 분석 지표 관리 가이드입니다.,AI 매체 통합 분석 - 종합 광고 성과 분석 지표 관리 가이드입니다.,string,1
adPerf.guideTabsTitle,탭별 기능 안내,탭별 기능 안내,string,1
adPerf.guideTipsTitle,활용 팁,활용 팁,string,1
adPerf.guideTitle,광고 성과 분석 이용 가이드,광고 성과 분석 이용 가이드,string,1
adPerf.impressions,インプレッション,총 노출수,string,0
adPerf.loading,読み込み中,실시간 데이터 로딩 중...,string,0
adPerf.roas,ROAS,블렌디드 ROAS,string,0
adPerf.spend,費用,광고비 지출,string,0
adPerf.tabAdStatus,広告状況,광고 현황,string,0
adPerf.tabAiDesign,AIデザイン,AI 디자인,string,0
adPerf.tabCompare,比較分析,비교 분석,string,0
adPerf.tabCreative,クリエイティブ,크리에이티브,string,0
adPerf.tabGuide,ガイド,이용 가이드,string,0
adPerf.team,チーム,팀별 보기,string,0
adPerf.title,タイトル,광고 실적 통합 레포트,string,0
add,Add,추가,string,0
admin.currency,通貨,통화,string,0
admin.ipRestriction,IP制限,IP 제한,string,0
admin.pageSub,システム設定・ガバナンス・ワークスペース管理,시스템 설정·거버넌스·워크스페이스 관리,string,0
admin.pageTitle,⚙️ 管理者設定,⚙️ 관리자 설정,string,0
admin.save,設定保存,설정 저장,string,0
admin.saved,✅ 保存されました,✅ 저장되었습니다,string,0
admin.sessionTimeout,セッションタイムアウト,세션 타임아웃,string,0
admin.tabBilling,💳 請求,💳 결제,string,0
admin.tabGeneral,⚙️ 一般設定,⚙️ 일반 설정,string,0
admin.tabIntegrations,🔌 連携,🔌 연동,string,0
admin.tabSecurity,🔐 セキュリティ,🔐 보안,string,0
admin.tabWorkspace,🏢 ワークスペース,🏢 워크스페이스,string,0
admin.timezone,タイムゾーン,시간대,string,0
admin.twoFactor,二段階認証,2단계 인증,string,0
admin.workspaceName,ワークスペース名,워크스페이스명,string,0
admin.workspacePlan,プラン,플랜,string,0
adminCoupon.available,Available,사용 가능,string,0
adminCoupon.cancelBtn,Cancel,취소,string,0
adminCoupon.cancelled,Cancelled,취 소됨,string,0
adminCoupon.codeLabel,Coupon Code,쿠폰코드,string,0
adminCoupon.codePlaceholder,Code Placeholder,비워두면 자동 생성,string,0
adminCoupon.colAction,アクション,역션,string,0
adminCoupon.colCode,Code / Recipient,코드 / 수신자,string,0
adminCoupon.colExpires,Spent,소진,string,0
adminCoupon.colIssueDate,Issue Date,발급일,string,0
adminCoupon.colPeriod,Period,기간,string,0
adminCoupon.colPlan,Plan,플랜,string,0
adminCoupon.colStatus,ステータス,상태,string,0
adminCoupon.colUsage,Usage,사용,string,0
adminCoupon.emailLabel,Email,대상 이메일,string,0
adminCoupon.emailPlaceholder,Email Placeholder,user@email.com (비워두면 범용 쿠폰),string,0
adminCoupon.issueBtn,Issue Coupon,쿠폰 발급,string,0
adminCoupon.notifyEmail,Email Notifications,이메일 알림,string,0
adminCoupon.period1m,1 month,1개월,string,0
adminCoupon.period1y,1 year,1년,string,0
adminCoupon.period2m,2 months,2개월,string,0
adminCoupon.period3m,3 months,3개월,string,0
adminCoupon.period6m,6 months,6개월,string,0
adminCoupon.periodLabel,Period,기간,string,0
adminCoupon.planLabel,Plan,플랜,string,0
adminCoupon.statusExpired,Expired,만료됨,string,0
adminCoupon.statusUsed,Used,사용됨,string,0
adminCoupon.statusValid,Valid,유효,string,0
adminCoupon.tabAutoRules,Tab Auto Rules,⚙️ 자동 발급 규칙,string,0
adminCoupon.tabHistory,📋 アラート履歴,📋 발급 내역,string,0
adminCoupon.tabIssue,🎟 Issue Coupon,🎟 쿠폰 발급,string,0
adminCoupon.tabTitle,Free Coupon Management,무료 쿠폰 관리,string,0
adminCoupon.totalIssued,Total Issued,전체 발급,string,0
adminCoupon.used,Used,사용 완료,string,0
aiHub.Banner,体験モード — AIマーケティングハブ,배너,string,0
aiHub.Desc,すべてのUIを事前に体験できます。実際の予算執行には,설명,string,0
aiHub.Mode,体験モード,모드,string,0
aiHub.NeedPaid,有料サブスクリプションまたは無料クーポンが必要です。,유료 기능,string,0
aiHub.acqInsight,"TikTok CVR 3.8%、インフルエンサーCPA ₩15,000。予算","TikTok 전환율 3.8%, 인플루언서 CPA ₩15,000. 예산",string,0
aiHub.acqReason,ソーシャルチャンネルの新規流入拡大で成長加速。,소셜 채널 신규 유입 확대로 성장 가속.,string,0
aiHub.adSaving,広告費節約ROI,광고비 절감,string,0
aiHub.addBudget,予算追加時,추가 예산,string,0
aiHub.analysisTags,"在庫状況,注文パターン,チャンネルROAS,P&L利益率,CRMセグメント,決済マージン",분석 태그,array,0
aiHub.analyzing,AIプラットフォームデータ分析中…,분석 중,string,0
aiHub.applyAlloc,この配分でAI推薦予算に適用,배분 적용,string,0
aiHub.approve,承認,승인,string,0
aiHub.approveAll,一括承認,전체 승인,string,0
aiHub.attribution,Attribution,기여 분석,string,0
aiHub.attributionDesc,Attributionでチャンネル貢献度を確認,기여 분석 설명,string,0
aiHub.attributionLink,執行結果自動反映,기여 분석 링크,string,0
aiHub.autoExec,カード自動執行,자동 실행,string,0
aiHub.autoExecDetail,自動執行,자동 실행 상세,string,0
aiHub.autoRegistered,自動登録 {{n}}件,자동 등록됨,string,0
aiHub.boostReason,全チャンネル最高。ROAS対比実利益が最も高いチャンネル。,부스트 이유,string,0
aiHub.budgetShift,予算移動時,예산 이동,string,0
aiHub.bulkApproved,{{n}}件承認完了,일괄 승인됨,string,0
aiHub.bulkExec,一括カード自動執行,일괄 실행,string,0
aiHub.calcAlloc,配分計算,배분 계산,string,0
aiHub.campaignStatus,キャンペーン現況,캠페인 상태,string,0
aiHub.cardLimitAlert,カード月次上限,카드 한도 알림,string,0
aiHub.cardsUnit,枚,장,string,0
aiHub.casesUnit,件,건,string,0
aiHub.catAcquisition,新規獲得,신규 획득,string,0
aiHub.catBudgetOpt,予算最適化,예산 최적화,string,0
aiHub.catCrmRetarget,CRMリターゲティング,CRM 리타겟,string,0
aiHub.catInventoryRisk,在庫リスク,재고 리스크,string,0
aiHub.catSettlement,決済基盤,정산,string,0
aiHub.channelsUnit,個,개,string,0
aiHub.checkInCampaignMgr,キャンペーンマネージャーで確認,캠페인 관리자에서 확인,string,0
aiHub.countUnit,個,개,string,0
aiHub.currentCharged,現在執行額,현재 청구액,string,0
aiHub.currentOrders,現在注文,현재 주문,string,0
aiHub.dailySales,日販売数,일 판매량,string,0
aiHub.dataSource,データ根拠,데이터 소스,string,0
aiHub.dpAdRoi,広告ROI,광고 ROI,string,0
aiHub.dpAdSaving,広告費節約,광고비 절감,string,0
aiHub.dpAddBudget,追加予算,추가 예산,string,0
aiHub.dpConvRate,転換率,전환율,string,0
aiHub.dpCurrentStock,現在在庫,현재 재고,string,0
aiHub.dpEstConvRate,予測CVR,예상 전환율,string,0
aiHub.dpEstCpa,予測CPA,예상 CPA,string,0
aiHub.dpEstRoas,予測ROAS,예상 ROAS,string,0
aiHub.dpExpectedProfit,予測純利益,예상 수익,string,0
aiHub.dpExpireIn,品切れ予測,만료까지,string,0
aiHub.dpSafeStock,安全在庫,안전 재고,string,0
aiHub.dpSettlementMargin,決済マージン率,정산 마진,string,0
aiHub.dpShiftBudget,移動予算,이동 예산,string,0
aiHub.dpVipCount,VIP数,VIP 고객 수,string,0
aiHub.dsActiveRules,有効ルール,활성 규칙,string,0
aiHub.dsCard,カード,카드,string,0
aiHub.dsChannels,チャンネル,채널,string,0
aiHub.dsInventory,在庫,재고,string,0
aiHub.dsOrders,注文,주문,string,0
aiHub.dsRulesFired,ルール発動,규칙 실행,string,0
aiHub.dsSettlement,決済,정산,string,0
aiHub.edit,修正,편집,string,0
aiHub.enterBudget,総予算を入力,예산 입력,string,0
aiHub.estRoas,予測ROAS,예상 ROAS,string,0
aiHub.estRoi,予測ROI,예상 ROI,string,0
aiHub.execBudget,執行予算,실행 예산,string,0
aiHub.execDone,執行完了,실행 완료,string,0
aiHub.execLog,自動執行ログ,실행 로그,string,0
aiHub.executed,実行完了,실행됨,string,0
aiHub.executing,自動執行中...,실행 중,string,0
aiHub.expectedProfit,利益,예상 수익,string,0
aiHub.filterAll,すべて,전체,string,0
aiHub.filterApproved,承認済み,승인됨,string,0
aiHub.filterExecuted,執行済み,실행됨,string,0
aiHub.heroSub,全プラットフォームデータをリアルタイム分析 → ROI基盤のAI推薦 → 予算 → 承認 → カード自動執行,AI 마케팅 자동화,string,0
aiHub.heroTitle,AI マーケティング自動化ハブ,AI 마케팅 자동화 허브,string,0
aiHub.hideReason,分析根拠を非表示,이유 숨기기,string,0
aiHub.inDays5,5日後,5일 이내,string,0
aiHub.influencer,インフルエンサー,인플루언서,string,0
aiHub.journeyAutomation,カスタマージャーニー自動化,여정 자동화,string,0
aiHub.journeyDesc,CRMセグメント基盤のジャーニー生成,여정 자동화 설명,string,0
aiHub.journeyLink,ジャーニービルダー連携,여정 링크,string,0
aiHub.kpiApproved,承認済,승인됨,string,0
aiHub.kpiEstProfit,予測純利益,예상 수익,string,0
aiHub.kpiEstRevenue,予測売上,예상 매출,string,0
aiHub.kpiExecuted,執行済,실행됨,string,0
aiHub.kpiRecommend,AI推薦,추천,string,0
aiHub.kpiTotalBudget,総推薦予算,총 예산,string,0
aiHub.logComplete,体験完了,체험완료,string,0
aiHub.logDone,完了,완료,string,0
aiHub.logInProgress,進行中,실행 중,string,0
aiHub.needCard,カード登録必須,카드 필요,string,0
aiHub.netPayout,純支払,순 지급액,string,0
aiHub.netProfit,純利益,순수익,string,0
aiHub.noCard,未登録,카드 없음,string,0
aiHub.noCardAlert,決済カードがありません。予算プランナー→決済カードタブで先に登録してください。,카드 미등록 알림,string,0
aiHub.noCardDesc,承認後の自動執行のためにカードを先に登録してください。,카드가 등록되지 않았습니다.,string,0
aiHub.noCardWarning,決済カードが登録されていません,카드 미등록 경고,string,0
aiHub.pcs,個,개,string,0
aiHub.pendingCampaigns,AI戦略生成の承認待機キャンペーン {{n}}件,대기 중 캠페인,string,0
aiHub.pendingDesc,AI戦略で要求されたキャンペーンをキャンペーン一覧で確認・承認できます。,대기 중,string,0
aiHub.peopleUnit,名,명,string,0
aiHub.priority,優先度,우선순위,string,0
aiHub.readyToExec,{{card}}カードで自動執行準備完了,실행 준비 완료,string,0
aiHub.recAcqTitle,新規顧客獲得 — TikTok + インフルエンサーUGC,신규 고객 획득 — TikTok + 인플루언서 UGC,string,0
aiHub.recBoostTitle,予算5%増額,부스트 추천,string,0
aiHub.recLowStockTitle,品切れ前広告自動停止推薦,재고 부족 추천,string,0
aiHub.recRebalanceTitle,予算再配分,예산 재분배 추천,string,0
aiHub.recVipTitle,専用リターゲティングキャンペーン,VIP 고객 추천,string,0
aiHub.registerCard,カードを登録する,카드 등록,string,0
aiHub.revenue,売上,매출,string,0
aiHub.safeStock,安全在庫,안전 재고,string,0
aiHub.segmentsUnit,セグメント,세그먼트,string,0
aiHub.settlementMargin,決済マージン率,정산 마진,string,0
aiHub.showReason,AI分析根拠を表示,이유 보기,string,0
aiHub.simulation,シミュレーション,시뮬레이션,string,0
aiHub.stock,在庫,재고,string,0
aiHub.targetMissed,目標,목표 미달,string,0
aiHub.timesUnit,回,회,string,0
aiHub.totalBudgetSub,総予算入力 → チャンネルROAS基盤自動配分 → AI推薦に反映,총 예산,string,0
