ko_value,count,path,ja_value,en_value,suggested_ko
🔗 Markov Chain — Removal Effect,1,pages.marketingIntel.influencer.attrData.markovRemoval,🔗 Markov Chain — Removal Effect,🔗 Markov Chain — Removal Effect,🔗 마르코프 체인 — 제거 효과
Markov Title,1,pages.marketingIntel.influencer.attrData.markovTitle,Markov Title,Markov Title,마르코프 분석
Mmm Sim,1,pages.marketingIntel.influencer.attrData.mmmSim,Mmm Sim,Mmm Sim,MMM 시뮬레이션
Mmm Title,1,pages.marketingIntel.influencer.attrData.mmmTitle,Mmm Title,Mmm Title,MMM 분석
Model Compare Table,1,pages.marketingIntel.influencer.attrData.modelCompareTable,Model Compare Table,Model Compare Table,모델 비교표
No Ab Data,1,pages.marketingIntel.influencer.attrData.noAbData,No Ab Data,No Ab Data,A/B 테스트 데이터가 없습니다
No Journey Data,1,pages.marketingIntel.influencer.attrData.noJourneyData,No Journey Data,No Journey Data,고객 여정 데이터가 없습니다
No Time Series Data,1,pages.marketingIntel.influencer.attrData.noTimeSeriesData,No Time Series Data,No Time Series Data,시계열 데이터가 없습니다
Radar Compare,1,pages.marketingIntel.influencer.attrData.radarCompare,Radar Compare,Radar Compare,레이더 비교
Real-time Sync ✓,1,pages.marketingIntel.influencer.attrData.realtimeSync,Real-time Sync ✓,Real-time Sync ✓,실시간 동기화 ✓
Roas Surge,1,pages.marketingIntel.influencer.attrData.roasSurge,Roas Surge,Roas Surge,ROAS 급등
Saturation Warning,1,pages.marketingIntel.influencer.attrData.saturationWarning,Saturation Warning,Saturation Warning,포화 경고
Shapley Budget Rec,1,pages.marketingIntel.influencer.attrData.shapleyBudgetRec,Shapley Budget Rec,Shapley Budget Rec,Shapley 기반 예산 추천
Shapley In Progress,1,pages.marketingIntel.influencer.attrData.shapleyInProgress,Shapley In Progress,Shapley In Progress,Shapley 분석 진행 중...
Shapley Title,1,pages.marketingIntel.influencer.attrData.shapleyTitle,Shapley Title,Shapley Title,Shapley 분석
Status Alert,1,pages.marketingIntel.influencer.attrData.statusAlert,Status Alert,Status Alert,알림
Status Crit,1,pages.marketingIntel.influencer.attrData.statusCrit,Status Crit,Status Crit,심각
Status Info,1,pages.marketingIntel.influencer.attrData.statusInfo,Status Info,Status Info,정보
Status Ok,1,pages.marketingIntel.influencer.attrData.statusOk,Status Ok,Status Ok,정상
Status Warn,1,pages.marketingIntel.influencer.attrData.statusWarn,Status Warn,Status Warn,주의
Tab Ab Desc,1,pages.marketingIntel.influencer.attrData.tabAbDesc,Tab Ab Desc,Tab Ab Desc,A/B 테스트 안내
Tab Ab Label,1,pages.marketingIntel.influencer.attrData.tabAbLabel,Tab Ab Label,Tab Ab Label,A/B 테스트
Tab Anomaly Desc,1,pages.marketingIntel.influencer.attrData.tabAnomalyDesc,Tab Anomaly Desc,Tab Anomaly Desc,이상 징후 안내
Tab Anomaly Label,1,pages.marketingIntel.influencer.attrData.tabAnomalyLabel,Tab Anomaly Label,Tab Anomaly Label,이상 징후
Tab Cohort Desc,1,pages.marketingIntel.influencer.attrData.tabCohortDesc,Tab Cohort Desc,Tab Cohort Desc,코호트 분석 안내
Tab Cohort Label,1,pages.marketingIntel.influencer.attrData.tabCohortLabel,Tab Cohort Label,Tab Cohort Label,코호트
Tab Compare Desc,1,pages.marketingIntel.influencer.attrData.tabCompareDesc,Tab Compare Desc,Tab Compare Desc,비교 분석 안내
Tab Compare Label,1,pages.marketingIntel.influencer.attrData.tabCompareLabel,Tab Compare Label,Tab Compare Label,비교
Tab Ltv Desc,1,pages.marketingIntel.influencer.attrData.tabLtvDesc,Tab Ltv Desc,Tab Ltv Desc,LTV 분석 안내
Tab Markov Desc,1,pages.marketingIntel.influencer.attrData.tabMarkovDesc,Tab Markov Desc,Tab Markov Desc,마르코프 분석 안내
Tab Markov Label,1,pages.marketingIntel.influencer.attrData.tabMarkovLabel,Tab Markov Label,Tab Markov Label,마르코프
Tab Mmm Desc,1,pages.marketingIntel.influencer.attrData.tabMmmDesc,Tab Mmm Desc,Tab Mmm Desc,MMM 분석 안내
Tab Mmm Label,1,pages.marketingIntel.influencer.attrData.tabMmmLabel,Tab Mmm Label,Tab Mmm Label,MMM
Tab Mta Desc,1,pages.marketingIntel.influencer.attrData.tabMtaDesc,Tab Mta Desc,Tab Mta Desc,MTA 분석 안내
Tab Mta Label,1,pages.marketingIntel.influencer.attrData.tabMtaLabel,Tab Mta Label,Tab Mta Label,MTA
Tab Shapley Desc,1,pages.marketingIntel.influencer.attrData.tabShapleyDesc,Tab Shapley Desc,Tab Shapley Desc,Shapley 분석 안내
Tab Shapley Label,1,pages.marketingIntel.influencer.attrData.tabShapleyLabel,Tab Shapley Label,Tab Shapley Label,Shapley
Time Series,1,pages.marketingIntel.influencer.attrData.timeSeries,Time Series,Time Series,시계열 데이터
Top Paths,1,pages.marketingIntel.influencer.attrData.topPaths,Top Paths,Top Paths,주요 전환 경로
Total Cac,1,pages.marketingIntel.influencer.attrData.totalCac,Total Cac,Total Cac,총 CAC
Total Ltv,1,pages.marketingIntel.influencer.attrData.totalLtv,Total Ltv,Total Ltv,총 LTV
Total Str,1,pages.marketingIntel.influencer.attrData.totalStr,Total Str,Total Str,전체 합계
Uplift Sub,1,pages.marketingIntel.influencer.attrData.upliftSub,Uplift Sub,Uplift Sub,업리프트 분석 안내
Uplift Title,1,pages.marketingIntel.influencer.attrData.upliftTitle,Uplift Title,Uplift Title,업리프트 분석
🏆 Winner,1,pages.marketingIntel.influencer.attrData.winner,🏆 Winner,🏆 Winner,🏆 우승안
Average ROI,1,pages.marketingIntel.influencer.avgRoi,Average ROI,Average ROI,평균 ROI
Col Content,1,pages.marketingIntel.influencer.colContent,Col Content,Col Content,콘텐츠
Col Likes,1,pages.marketingIntel.influencer.colLikes,Col Likes,Col Likes,좋아요
+ Create Marketing Campaign,1,pages.marketingIntel.influencer.createCampaign,+ Create Marketing Campaign,+ Create Marketing Campaign,+ 마케팅 캠페인 생성
Est Total,1,pages.marketingIntel.influencer.estTotal,Est Total,Est Total,예상 합계
Contrib Creative,1,pages.marketingIntel.influencer.graph.contribCreative,Contrib Creative,Contrib Creative,크리에이티브 기여도
Contrib Influencer,1,pages.marketingIntel.influencer.graph.contribInfluencer,Contrib Influencer,Contrib Influencer,인플루언서 기여도
Contrib Path,1,pages.marketingIntel.influencer.graph.contribPath,Contrib Path,Contrib Path,전환 경로 기여도
No Edge,1,pages.marketingIntel.influencer.graph.noEdge,No Edge,No Edge,연결된 엣지가 없습니다
No Path,1,pages.marketingIntel.influencer.graph.noPath,No Path,No Path,경로 데이터가 없습니다
Path W,1,pages.marketingIntel.influencer.graph.pathW,Path W,Path W,경로 가중치
Source Node,1,pages.marketingIntel.influencer.graph.sourceNode,Source Node,Source Node,시작 노드
Target Node,1,pages.marketingIntel.influencer.graph.targetNode,Target Node,Target Node,대상 노드
Top Influencer,1,pages.marketingIntel.influencer.graph.topInfluencer,Top Influencer,Top Influencer,상위 인플루언서
Perf Rate,1,pages.marketingIntel.influencer.perfRate,Perf Rate,Perf Rate,성과율
Recom Flat,1,pages.marketingIntel.influencer.recomFlat,Recom Flat,Recom Flat,정액 추천
Active Users,1,pages.marketingIntel.influencer.system.activeUsers,Active Users,Active Users,활성 사용자 수
Api Latency,1,pages.marketingIntel.influencer.system.apiLatency,Api Latency,Api Latency,API 응답 지연시간
Error Rate,1,pages.marketingIntel.influencer.system.errorRate,Error Rate,Error Rate,오류율
Server Status,1,pages.marketingIntel.influencer.system.serverStatus,Server Status,Server Status,서버 상태
Analysis Dashboard,1,pages.marketingIntel.influencer.tabAnalytics,Analysis Dashboard,Analysis Dashboard,분석 대시보드
📣 Campaign Management,1,pages.marketingIntel.influencer.tabCampaigns,📣 Campaign Management,📣 Campaign Management,📣 캠페인 관리
Tab Ugc,1,pages.marketingIntel.influencer.tabUgc,Tab Ugc,Tab Ugc,UGC
Total Influencers,1,pages.marketingIntel.influencer.totalInfluencers,Total Influencers,Total Influencers,전체 인플루언서 수
Kpi Contrib,1,pages.marketingIntel.kpiContrib,Kpi Contrib,Kpi Contrib,KPI 기여도
Kpi Contrib Sub,1,pages.marketingIntel.kpiContribSub,Kpi Contrib Sub,Kpi Contrib Sub,KPI 기여도 안내
Kpi Metric,1,pages.marketingIntel.kpiMetric,Kpi Metric,Kpi Metric,KPI 지표
Kpi Table,1,pages.marketingIntel.kpiTable,Kpi Table,Kpi Table,KPI 테이블
✅ [Approve],1,pages.marketingIntel.logApproved,✅ [Approve],✅ [Approve],✅ [승인]
Log Executed,1,pages.marketingIntel.logExecuted,Log Executed,Log Executed,실행 완료
Log Rejected,1,pages.marketingIntel.logRejected,Log Rejected,Log Rejected,반려됨
Integration,1,pages.marketingIntel.marketingIntel.aiPredict.tab.integration,Integration,Integration,연동
Attr Ai Run,1,pages.marketingIntel.marketingIntel.banner.attrAiRun,Attr Ai Run,Attr Ai Run,어트리뷰션 AI 실행
