ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
A Score Sub,1,pages.marketingIntel.influencer.attrData.aScoreSub,A Score Sub,A Score Sub,
Ascore Title,1,pages.marketingIntel.influencer.attrData.ascoreTitle,Ascore Title,Ascore Title,
Auto Refl,1,pages.marketingIntel.influencer.attrData.autoRefl,Auto Refl,Auto Refl,
Badge Mmm,1,pages.marketingIntel.influencer.attrData.badgeMmm,Badge Mmm,Badge Mmm,
Badge Shapley,1,pages.marketingIntel.influencer.attrData.badgeShapley,Badge Shapley,Badge Shapley,
Badge Uplift,1,pages.marketingIntel.influencer.attrData.badgeUplift,Badge Uplift,Badge Uplift,
Beta Binomial,1,pages.marketingIntel.influencer.attrData.betaBinomial,Beta Binomial,Beta Binomial,
Budget Adjust,1,pages.marketingIntel.influencer.attrData.budgetAdjust,Budget Adjust,Budget Adjust,
Channel Contrib,1,pages.marketingIntel.influencer.attrData.channelContrib,Channel Contrib,Channel Contrib,
Channel Synergy,1,pages.marketingIntel.influencer.attrData.channelSynergy,Channel Synergy,Channel Synergy,
Cohort Title,1,pages.marketingIntel.influencer.attrData.cohortTitle,Cohort Title,Cohort Title,
Compare Desc Text,1,pages.marketingIntel.influencer.attrData.compareDescText,Compare Desc Text,Compare Desc Text,
Curr Val,1,pages.marketingIntel.influencer.attrData.currVal,Curr Val,Curr Val,
Data Included,1,pages.marketingIntel.influencer.attrData.dataIncluded,Data Included,Data Included,
Expected Blend Roas,1,pages.marketingIntel.influencer.attrData.expectedBlendRoas,Expected Blend Roas,Expected Blend Roas,
Explain Ab,1,pages.marketingIntel.influencer.attrData.explainAb,Explain Ab,Explain Ab,
Explain Markov,1,pages.marketingIntel.influencer.attrData.explainMarkov,Explain Markov,Explain Markov,
Explain Mmm,1,pages.marketingIntel.influencer.attrData.explainMmm,Explain Mmm,Explain Mmm,
Explain Shapley,1,pages.marketingIntel.influencer.attrData.explainShapley,Explain Shapley,Explain Shapley,
Filter Issue,1,pages.marketingIntel.influencer.attrData.filterIssue,Filter Issue,Filter Issue,
Filter Ok,1,pages.marketingIntel.influencer.attrData.filterOk,Filter Ok,Filter Ok,
First Touch,1,pages.marketingIntel.influencer.attrData.firstTouch,First Touch,First Touch,
Bayesian A/B,1,pages.marketingIntel.influencer.attrData.guideAbName,Bayesian A/B,Bayesian A/B,
Markov+Uplift,1,pages.marketingIntel.influencer.attrData.guideMarkovName,Markov+Uplift,Markov+Uplift,
Bayesian MMM,1,pages.marketingIntel.influencer.attrData.guideMmmName,Bayesian MMM,Bayesian MMM,
Health Score,1,pages.marketingIntel.influencer.attrData.health,Health Score,Health Score,
Hub Run,1,pages.marketingIntel.influencer.attrData.hubRun,Hub Run,Hub Run,
Last Touch,1,pages.marketingIntel.influencer.attrData.lastTouch,Last Touch,Last Touch,
Ltvcac Title,1,pages.marketingIntel.influencer.attrData.ltvcacTitle,Ltvcac Title,Ltvcac Title,
Markov In Progress,1,pages.marketingIntel.influencer.attrData.markovInProgress,Markov In Progress,Markov In Progress,
🔗 Markov Chain — Removal Effect,1,pages.marketingIntel.influencer.attrData.markovRemoval,🔗 Markov Chain — Removal Effect,🔗 Markov Chain — Removal Effect,
Markov Title,1,pages.marketingIntel.influencer.attrData.markovTitle,Markov Title,Markov Title,
Mmm Sim,1,pages.marketingIntel.influencer.attrData.mmmSim,Mmm Sim,Mmm Sim,
Mmm Title,1,pages.marketingIntel.influencer.attrData.mmmTitle,Mmm Title,Mmm Title,
Model Compare Table,1,pages.marketingIntel.influencer.attrData.modelCompareTable,Model Compare Table,Model Compare Table,
No Ab Data,1,pages.marketingIntel.influencer.attrData.noAbData,No Ab Data,No Ab Data,
No Journey Data,1,pages.marketingIntel.influencer.attrData.noJourneyData,No Journey Data,No Journey Data,
No Time Series Data,1,pages.marketingIntel.influencer.attrData.noTimeSeriesData,No Time Series Data,No Time Series Data,
Radar Compare,1,pages.marketingIntel.influencer.attrData.radarCompare,Radar Compare,Radar Compare,
Real-time Sync ✓,1,pages.marketingIntel.influencer.attrData.realtimeSync,Real-time Sync ✓,Real-time Sync ✓,
Roas Surge,1,pages.marketingIntel.influencer.attrData.roasSurge,Roas Surge,Roas Surge,
Saturation Warning,1,pages.marketingIntel.influencer.attrData.saturationWarning,Saturation Warning,Saturation Warning,
Shapley Budget Rec,1,pages.marketingIntel.influencer.attrData.shapleyBudgetRec,Shapley Budget Rec,Shapley Budget Rec,
Shapley In Progress,1,pages.marketingIntel.influencer.attrData.shapleyInProgress,Shapley In Progress,Shapley In Progress,
Shapley Title,1,pages.marketingIntel.influencer.attrData.shapleyTitle,Shapley Title,Shapley Title,
Status Alert,1,pages.marketingIntel.influencer.attrData.statusAlert,Status Alert,Status Alert,
Status Crit,1,pages.marketingIntel.influencer.attrData.statusCrit,Status Crit,Status Crit,
Status Info,1,pages.marketingIntel.influencer.attrData.statusInfo,Status Info,Status Info,
Status Ok,1,pages.marketingIntel.influencer.attrData.statusOk,Status Ok,Status Ok,
Status Warn,1,pages.marketingIntel.influencer.attrData.statusWarn,Status Warn,Status Warn,
Tab Ab Desc,1,pages.marketingIntel.influencer.attrData.tabAbDesc,Tab Ab Desc,Tab Ab Desc,
Tab Ab Label,1,pages.marketingIntel.influencer.attrData.tabAbLabel,Tab Ab Label,Tab Ab Label,
Tab Anomaly Desc,1,pages.marketingIntel.influencer.attrData.tabAnomalyDesc,Tab Anomaly Desc,Tab Anomaly Desc,
Tab Anomaly Label,1,pages.marketingIntel.influencer.attrData.tabAnomalyLabel,Tab Anomaly Label,Tab Anomaly Label,
Tab Cohort Desc,1,pages.marketingIntel.influencer.attrData.tabCohortDesc,Tab Cohort Desc,Tab Cohort Desc,
Tab Cohort Label,1,pages.marketingIntel.influencer.attrData.tabCohortLabel,Tab Cohort Label,Tab Cohort Label,
Tab Compare Desc,1,pages.marketingIntel.influencer.attrData.tabCompareDesc,Tab Compare Desc,Tab Compare Desc,
Tab Compare Label,1,pages.marketingIntel.influencer.attrData.tabCompareLabel,Tab Compare Label,Tab Compare Label,
Tab Ltv Desc,1,pages.marketingIntel.influencer.attrData.tabLtvDesc,Tab Ltv Desc,Tab Ltv Desc,
Tab Markov Desc,1,pages.marketingIntel.influencer.attrData.tabMarkovDesc,Tab Markov Desc,Tab Markov Desc,
Tab Markov Label,1,pages.marketingIntel.influencer.attrData.tabMarkovLabel,Tab Markov Label,Tab Markov Label,
Tab Mmm Desc,1,pages.marketingIntel.influencer.attrData.tabMmmDesc,Tab Mmm Desc,Tab Mmm Desc,
Tab Mmm Label,1,pages.marketingIntel.influencer.attrData.tabMmmLabel,Tab Mmm Label,Tab Mmm Label,
Tab Mta Desc,1,pages.marketingIntel.influencer.attrData.tabMtaDesc,Tab Mta Desc,Tab Mta Desc,
Tab Mta Label,1,pages.marketingIntel.influencer.attrData.tabMtaLabel,Tab Mta Label,Tab Mta Label,
Tab Shapley Desc,1,pages.marketingIntel.influencer.attrData.tabShapleyDesc,Tab Shapley Desc,Tab Shapley Desc,
Tab Shapley Label,1,pages.marketingIntel.influencer.attrData.tabShapleyLabel,Tab Shapley Label,Tab Shapley Label,
Time Series,1,pages.marketingIntel.influencer.attrData.timeSeries,Time Series,Time Series,
Top Paths,1,pages.marketingIntel.influencer.attrData.topPaths,Top Paths,Top Paths,
Total Cac,1,pages.marketingIntel.influencer.attrData.totalCac,Total Cac,Total Cac,
Total Ltv,1,pages.marketingIntel.influencer.attrData.totalLtv,Total Ltv,Total Ltv,
Total Str,1,pages.marketingIntel.influencer.attrData.totalStr,Total Str,Total Str,
Uplift Sub,1,pages.marketingIntel.influencer.attrData.upliftSub,Uplift Sub,Uplift Sub,
Uplift Title,1,pages.marketingIntel.influencer.attrData.upliftTitle,Uplift Title,Uplift Title,
🏆 Winner,1,pages.marketingIntel.influencer.attrData.winner,🏆 Winner,🏆 Winner,
Average ROI,1,pages.marketingIntel.influencer.avgRoi,Average ROI,Average ROI,
Col Content,1,pages.marketingIntel.influencer.colContent,Col Content,Col Content,
Col Likes,1,pages.marketingIntel.influencer.colLikes,Col Likes,Col Likes,
+ Create Marketing Campaign,1,pages.marketingIntel.influencer.createCampaign,+ Create Marketing Campaign,+ Create Marketing Campaign,
Est Total,1,pages.marketingIntel.influencer.estTotal,Est Total,Est Total,
Contrib Creative,1,pages.marketingIntel.influencer.graph.contribCreative,Contrib Creative,Contrib Creative,
Contrib Influencer,1,pages.marketingIntel.influencer.graph.contribInfluencer,Contrib Influencer,Contrib Influencer,
Contrib Path,1,pages.marketingIntel.influencer.graph.contribPath,Contrib Path,Contrib Path,
No Edge,1,pages.marketingIntel.influencer.graph.noEdge,No Edge,No Edge,
No Path,1,pages.marketingIntel.influencer.graph.noPath,No Path,No Path,
Path W,1,pages.marketingIntel.influencer.graph.pathW,Path W,Path W,
Source Node,1,pages.marketingIntel.influencer.graph.sourceNode,Source Node,Source Node,
Target Node,1,pages.marketingIntel.influencer.graph.targetNode,Target Node,Target Node,
Top Influencer,1,pages.marketingIntel.influencer.graph.topInfluencer,Top Influencer,Top Influencer,
Perf Rate,1,pages.marketingIntel.influencer.perfRate,Perf Rate,Perf Rate,
Recom Flat,1,pages.marketingIntel.influencer.recomFlat,Recom Flat,Recom Flat,
Active Users,1,pages.marketingIntel.influencer.system.activeUsers,Active Users,Active Users,
Api Latency,1,pages.marketingIntel.influencer.system.apiLatency,Api Latency,Api Latency,
Error Rate,1,pages.marketingIntel.influencer.system.errorRate,Error Rate,Error Rate,
Server Status,1,pages.marketingIntel.influencer.system.serverStatus,Server Status,Server Status,
Analysis Dashboard,1,pages.marketingIntel.influencer.tabAnalytics,Analysis Dashboard,Tab Analytics,
📣 Campaign Management,1,pages.marketingIntel.influencer.tabCampaigns,📣 Campaign Management,📣 Campaign Management,
Tab Ugc,1,pages.marketingIntel.influencer.tabUgc,Tab Ugc,Tab Ugc,
Total Influencers,1,pages.marketingIntel.influencer.totalInfluencers,Total Influencers,Total Influencers,
Kpi Contrib,1,pages.marketingIntel.kpiContrib,Kpi Contrib,Kpi Contrib,
Kpi Contrib Sub,1,pages.marketingIntel.kpiContribSub,Kpi Contrib Sub,Kpi Contrib Sub,
Kpi Metric,1,pages.marketingIntel.kpiMetric,Kpi Metric,Kpi Metric,
Kpi Table,1,pages.marketingIntel.kpiTable,Kpi Table,Kpi Table,
✅ [Approve],1,pages.marketingIntel.logApproved,✅ [Approve],✅ [Approve],
Log Executed,1,pages.marketingIntel.logExecuted,Log Executed,Log Executed,
Log Rejected,1,pages.marketingIntel.logRejected,Log Rejected,Log Rejected,
Integration,1,pages.marketingIntel.marketingIntel.aiPredict.tab.integration,Integration,Integration,
Attr Ai Run,1,pages.marketingIntel.marketingIntel.banner.attrAiRun,Attr Ai Run,Attr Ai Run,
