keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.action,,MISSING,Action,P4,実行動作,PASS,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,Action,P4,実行動作,PASS,Action,P4,Action,P4,12,translate
pages.marketingIntel.actionLabel,액션,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,Action Label,PASS,0,skip
pages.marketingIntel.active,,MISSING,Active,P4,有効,PASS,有效,PASS,有效,PASS,Active,P4,Active,P4,Active,P4,Active,P4,Active,P4,Active,P4,Active,P4,有効,PASS,● ใช้งาน,PASS,Active,P4,9,translate
pages.marketingIntel.actualPaid,,MISSING,Actual Paid,PASS,実支払額,PASS,实际支付,PASS,实际支付,PASS,Actual Paid,PASS,Actual Paid,PASS,จ่ายจริง,PASS,Actual Paid,PASS,Actual Paid,PASS,Actual Paid,PASS,Actual Paid,PASS,實際支付,PASS,Actual Paid,PASS,Dibayar,PASS,0,skip
pages.marketingIntel.adAttributedRevenue,,MISSING,Ad-attributed Revenue,PASS,広告帰属売上,PASS,广告归因营收,PASS,广告归因营收,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,Ad-attributed Revenue,PASS,0,skip
pages.marketingIntel.adBody,광고 본문,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,Ad Body,PASS,0,skip
pages.marketingIntel.adCopy,광고 카피,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,Ad Copy,PASS,0,skip
pages.marketingIntel.adCreative,,MISSING,Ad Creative,PASS,広告素材,PASS,广告素材,PASS,广告素材,PASS,Ad Creative,PASS,Ad Creative,PASS,ชิ้นงานโฆษณา,PASS,Ad Creative,PASS,Ad Creative,PASS,Ad Creative,PASS,Ad Creative,PASS,廣告素材,PASS,Ad Creative,PASS,Materi iklan,PASS,0,skip
pages.marketingIntel.adCreativeSub,광고 크리에이티브 안내,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,Ad Creative Sub,PASS,0,skip
pages.marketingIntel.adCreativeTitle,광고 크리에이티브,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,Ad Creative Title,PASS,0,skip
pages.marketingIntel.adCta,광고 CTA,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,Ad Cta,PASS,0,skip
pages.marketingIntel.adCtaLabel,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,CTA,PASS,0,skip
pages.marketingIntel.adDownload,⬇ 다운로드,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,⬇ Download,PASS,0,skip
pages.marketingIntel.adGenerate,광고 생성,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,Ad Generate,PASS,0,skip
pages.marketingIntel.adGenerating,광고 생성 중...,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,Ad Generating,PASS,0,skip
pages.marketingIntel.adHashtags,광고 해시태그,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,Ad Hashtags,PASS,0,skip
pages.marketingIntel.adHeadline,광고 헤드라인,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,Ad Headline,PASS,0,skip
pages.marketingIntel.adKeyword,광고 키워드,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,Ad Keyword,PASS,0,skip
pages.marketingIntel.adKeywordPh,광고 키워드를 입력해주세요,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,Ad Keyword Ph,PASS,0,skip
pages.marketingIntel.adKeywords,광고 키워드,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,Ad Keywords,PASS,0,skip
pages.marketingIntel.adPerf.channel,채널,PASS,Channel,P4,チャネル,PASS,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,13,translate
pages.marketingIntel.adPerf.clicks,클릭 수,PASS,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,14,translate
pages.marketingIntel.adPerf.conversions,전환,PASS,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,คอนเวอร์ชัน,PASS,Conversions,P4,13,translate
pages.marketingIntel.adPerf.cpa,고객 획득 비용 (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,0,skip
pages.marketingIntel.adPerf.date,날짜 (기간),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,0,skip
pages.marketingIntel.adPerf.impressions,총 노출,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,0,skip
pages.marketingIntel.adPerf.loading,불러오는 중...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,0,skip
pages.marketingIntel.adPerf.pageSub,커넥터 & 통합 관리,PASS,Connector & integration management,PASS,コネクタ＆統合管理,PASS,连接器与集成管理,PASS,连接器与集成管理,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,การวิเคราะห์ AI แบบบูรณาการ - การจัดการตัวชี้วัดผลการดำเนินงานโฆษณาแบบครบวงจร,PASS,Connector & integration management,PASS,0,skip
pages.marketingIntel.adPerf.pageTitle,🔌 연동 허브,PASS,🔌 Integration Hub,PASS,🔌 連携ハブ,PASS,🔌 集成中心,PASS,🔌 集成中心,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,การตลาดและผลการดำเนินงานโฆษณา (Overview),PASS,🔌 Integration Hub,PASS,0,skip
pages.marketingIntel.adPerf.roas,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,15,translate
pages.marketingIntel.adPerf.spend,광고비,PASS,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,14,translate
pages.marketingIntel.adPerf.team,팀별 보기,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,0,skip
pages.marketingIntel.adPerf.title,이메일 마케팅,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,0,skip
pages.marketingIntel.adPlatform,광고 플랫폼,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,Ad Platform,PASS,0,skip
pages.marketingIntel.adProduct,광고 상품,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,Ad Product,PASS,0,skip
pages.marketingIntel.adProductPh,광고 상품을 입력해주세요,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,0,skip
pages.marketingIntel.adReady,,MISSING,Ad Ready,PASS,広告可能,PASS,可投广告,PASS,可投广告,PASS,Ad Ready,PASS,Ad Ready,PASS,พร้อมลงโฆษณา,PASS,Ad Ready,PASS,Ad Ready,PASS,Ad Ready,PASS,Ad Ready,PASS,可投廣告,PASS,Ad Ready,PASS,Siap iklan,PASS,0,skip
pages.marketingIntel.adRegenerate,광고 다시 생성,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,0,skip
pages.marketingIntel.adResult,광고 결과,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,0,skip
pages.marketingIntel.adSize,광고 사이즈,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,0,skip
pages.marketingIntel.adSpend,,MISSING,Ad Spend,PASS,広告費,PASS,广告费,PASS,广告费,PASS,Gasto Publicitario,PASS,Dépense Pub.,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,0,skip
pages.marketingIntel.adStyle,광고 스타일,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,0,skip
pages.marketingIntel.adTarget,광고 타겟,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,0,skip
pages.marketingIntel.adTargetPh,광고 타겟을 입력해주세요,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,0,skip
pages.marketingIntel.adTone,광고 톤앤매너,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,0,skip
pages.marketingIntel.admin.callVolume,호출량,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,0,skip
pages.marketingIntel.admin.connected,연결됨,PASS,Connected,P4,接続済み,PASS,已连接,PASS,已连接,PASS,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,เชื่อมต่อแล้ว,PASS,Connected,P4,10,translate
pages.marketingIntel.admin.currency,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,15,translate
pages.marketingIntel.admin.ipRestriction,IP 제한,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,0,skip
pages.marketingIntel.admin.pageSub,커넥터 & 통합 관리,PASS,Connector & integration management,PASS,コネクタ＆統合管理,PASS,连接器与集成管理,PASS,连接器与集成管理,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,การวิเคราะห์ AI แบบบูรณาการ - การจัดการตัวชี้วัดผลการดำเนินงานโฆษณาแบบครบวงจร,PASS,Connector & integration management,PASS,0,skip
pages.marketingIntel.admin.pageTitle,🔌 연동 허브,PASS,🔌 Integration Hub,PASS,🔌 連携ハブ,PASS,🔌 集成中心,PASS,🔌 集成中心,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,การตลาดและผลการดำเนินงานโฆษณา (Overview),PASS,🔌 Integration Hub,PASS,0,skip
pages.marketingIntel.admin.save,저장,PASS,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,???,PASS,13,translate
pages.marketingIntel.admin.saved,✓ 저장 완료,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,0,skip
pages.marketingIntel.admin.sessionTimeout,세션 타임아웃,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,0,skip
pages.marketingIntel.admin.since,가입일시,PASS,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,14,translate
pages.marketingIntel.admin.sub,,MISSING,,MISSING,,MISSING,,MISSING,ガバナンス · 管理者,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,0,skip
pages.marketingIntel.admin.tabBilling,결제,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,0,skip
pages.marketingIntel.admin.tabGeneral,일반,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,0,skip
pages.marketingIntel.admin.tabIntegrations,연동,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,0,skip
pages.marketingIntel.admin.tabSecurity,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,0,skip
pages.marketingIntel.admin.tabWorkspace,워크스페이스,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,0,skip
pages.marketingIntel.admin.timezone,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,15,translate
pages.marketingIntel.admin.title,,MISSING,,MISSING,,MISSING,,MISSING,ガバナンス,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,0,skip
pages.marketingIntel.admin.twoFactor,2단계 인증,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,0,skip
pages.marketingIntel.admin.warning,경고,PASS,Warning,P4,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warning,P4,Warning,P4,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warning,P4,4,translate
pages.marketingIntel.admin.workspaceName,워크스페이스명,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,0,skip
pages.marketingIntel.admin.workspacePlan,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,0,skip
