namespace_l2,locale,clone_cluster,key,value_sample
crm.contentCal,id,,crm.contentCal.title,Content Calendar
crm.contentCal,id,,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,id,,crm.contentCal.tabCalendar,Calendar
crm.contentCal,id,,crm.contentCal.tabList,List
crm.contentCal,id,,crm.contentCal.tabAi,AI Analysis
crm.contentCal,th,,crm.contentCal.title,Content Calendar
crm.contentCal,th,,crm.contentCal.subtitle,Content scheduling · Team collaboration · Multi-channel publishing · AI analytics
crm.contentCal,th,,crm.contentCal.tabCalendar,Calendar
crm.contentCal,th,,crm.contentCal.tabList,List
crm.contentCal,th,,crm.contentCal.tabAi,AI Analysis
crm.contentCal,vi,,crm.contentCal.title,Lịch Nội dung
crm.contentCal,vi,,crm.contentCal.subtitle,Quản lý lịch nội dung · Cộng tác nhóm · Xuất bản đa kênh · Phân tích AI
crm.contentCal,vi,,crm.contentCal.tabCalendar,Lịch
crm.contentCal,vi,,crm.contentCal.tabList,Danh sách
crm.contentCal,vi,,crm.contentCal.tabAi,Phân tích AI
pages.marketingIntel,en,en-cluster,pages.marketingIntel.funnelOrders,Orders
pages.marketingIntel,en,en-cluster,pages.marketingIntel.adSpend,Ad Spend
pages.marketingIntel,en,en-cluster,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,en,en-cluster,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,en,en-cluster,pages.marketingIntel.statusPending,Pending
pages.marketingIntel,ja,,pages.marketingIntel.funnelOrders,注文
pages.marketingIntel,ja,,pages.marketingIntel.adSpend,広告費
pages.marketingIntel,ja,,pages.marketingIntel.runAI,🚀 AI分析実行
pages.marketingIntel,ja,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,ja,,pages.marketingIntel.statusPending,保留
pages.marketingIntel,zh,,pages.marketingIntel.funnelOrders,订单
pages.marketingIntel,zh,,pages.marketingIntel.adSpend,广告费
pages.marketingIntel,zh,,pages.marketingIntel.runAI,🚀 运行AI分析
pages.marketingIntel,zh,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,zh,,pages.marketingIntel.statusPending,待审批
pages.marketingIntel,zh-TW,,pages.marketingIntel.funnelOrders,订单
pages.marketingIntel,zh-TW,,pages.marketingIntel.adSpend,广告费
pages.marketingIntel,zh-TW,,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,zh-TW,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,zh-TW,,pages.marketingIntel.statusPending,待审批
pages.marketingIntel,es,en-cluster,pages.marketingIntel.funnelOrders,Orders
pages.marketingIntel,es,en-cluster,pages.marketingIntel.adSpend,Gasto Publicitario
pages.marketingIntel,es,en-cluster,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,es,en-cluster,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,es,en-cluster,pages.marketingIntel.statusPending,Pending
pages.marketingIntel,fr,en-cluster,pages.marketingIntel.funnelOrders,Orders
pages.marketingIntel,fr,en-cluster,pages.marketingIntel.adSpend,Dépense Pub.
pages.marketingIntel,fr,en-cluster,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,fr,en-cluster,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,fr,en-cluster,pages.marketingIntel.statusPending,Pending
pages.marketingIntel,de,,pages.marketingIntel.funnelOrders,Purchase
pages.marketingIntel,de,,pages.marketingIntel.adSpend,Ad Spend
pages.marketingIntel,de,,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,de,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,de,,pages.marketingIntel.statusPending,Pending
pages.marketingIntel,pt,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드Top5_16,Txt_부정키워드 op5_16
pages.marketingIntel,pt,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드급증10건_17,Txt_부정키워드급증10건_17
pages.marketingIntel,pt,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_리뷰피드_18,Txt_리뷰피드_18
pages.marketingIntel,pt,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_All감성_19,Txt_ ll감성_19
pages.marketingIntel,pt,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_CS대응_23,Txt_  대응_23
pages.marketingIntel,ru,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드Top5_16,Txt_부정키워드 op5_16
pages.marketingIntel,ru,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드급증10건_17,Txt_부정키워드급증10건_17
pages.marketingIntel,ru,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_리뷰피드_18,Txt_리뷰피드_18
pages.marketingIntel,ru,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_All감성_19,Txt_ ll감성_19
pages.marketingIntel,ru,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_CS대응_23,Txt_  대응_23
pages.marketingIntel,ar,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드Top5_16,Txt_부정키워드 op5_16
pages.marketingIntel,ar,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드급증10건_17,Txt_부정키워드급증10건_17
pages.marketingIntel,ar,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_리뷰피드_18,Txt_리뷰피드_18
pages.marketingIntel,ar,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_All감성_19,Txt_ ll감성_19
pages.marketingIntel,ar,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_CS대응_23,Txt_  대응_23
pages.marketingIntel,hi,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드Top5_16,Txt_부정키워드 op5_16
pages.marketingIntel,hi,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드급증10건_17,Txt_부정키워드급증10건_17
pages.marketingIntel,hi,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_리뷰피드_18,Txt_리뷰피드_18
pages.marketingIntel,hi,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_All감성_19,Txt_ ll감성_19
pages.marketingIntel,hi,pt-cluster,pages.marketingIntel.aiPredict.influencerUGC.txt_CS대응_23,Txt_  대응_23
pages.marketingIntel,id,,pages.marketingIntel.funnelOrders,Purchase
pages.marketingIntel,id,,pages.marketingIntel.adSpend,Ad Spend
pages.marketingIntel,id,,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,id,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,id,,pages.marketingIntel.statusPending,保留
pages.marketingIntel,th,,pages.marketingIntel.funnelOrders,Purchase
pages.marketingIntel,th,,pages.marketingIntel.adSpend,Ad Spend
pages.marketingIntel,th,,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,th,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,th,,pages.marketingIntel.statusPending,⏳ รอดำเนินการ
pages.marketingIntel,vi,,pages.marketingIntel.funnelOrders,援щℓ
pages.marketingIntel,vi,,pages.marketingIntel.adSpend,Ad Spend
pages.marketingIntel,vi,,pages.marketingIntel.runAI,Run A I
pages.marketingIntel,vi,,pages.marketingIntel.reasonLabel,📌
pages.marketingIntel,vi,,pages.marketingIntel.statusPending,Pending
dash.operations,en,en-cluster,dash.operations.marketing.csFilterAll,All
dash.operations,en,en-cluster,dash.operations.marketing.csStatusApproved,Approved
dash.operations,en,en-cluster,dash.operations.marketing.csStatusReview,In Review
dash.operations,en,en-cluster,dash.operations.marketing.csStatusActive,Active
dash.operations,en,en-cluster,dash.operations.marketing.csConv,Conv.
dash.operations,zh-TW,,dash.operations.marketing.csFilterAll,All
dash.operations,zh-TW,,dash.operations.marketing.csStatusApproved,Approved
dash.operations,zh-TW,,dash.operations.marketing.csStatusReview,In Review
dash.operations,zh-TW,,dash.operations.marketing.csStatusActive,Active
dash.operations,zh-TW,,dash.operations.marketing.csConv,Conv.
dash.operations,es,en-cluster,dash.operations.marketing.guideTabGuideDesc,Guía paso a paso de las funcionalidades de la plataforma y flujo completo.
dash.operations,es,en-cluster,dash.operations.marketing.csFilterAll,Todo
dash.operations,es,en-cluster,dash.operations.marketing.csStatusApproved,Aprobado
dash.operations,es,en-cluster,dash.operations.marketing.csStatusReview,En revisión
dash.operations,es,en-cluster,dash.operations.marketing.csStatusActive,Activo
dash.operations,fr,en-cluster,dash.operations.marketing.guideTabGuideDesc,Guide étape par étape des fonctionnalités et du flux complet.
dash.operations,fr,en-cluster,dash.operations.marketing.csFilterAll,Tout
dash.operations,fr,en-cluster,dash.operations.marketing.csStatusApproved,Approuvé
dash.operations,fr,en-cluster,dash.operations.marketing.csStatusReview,En révision
dash.operations,fr,en-cluster,dash.operations.marketing.csStatusActive,Actif
dash.operations,de,,dash.operations.marketing.guideTabGuideDesc,Schritt-für-Schritt-Anleitung zu Plattformfunktionen und komplettem Workflow.
dash.operations,de,,dash.operations.marketing.csFilterAll,Alle
dash.operations,de,,dash.operations.marketing.csStatusApproved,Genehmigt
dash.operations,de,,dash.operations.marketing.csStatusReview,In Prüfung
dash.operations,de,,dash.operations.marketing.csStatusActive,Aktiv
dash.operations,pt,pt-cluster,dash.operations.marketing.csFilterAll,All
dash.operations,pt,pt-cluster,dash.operations.marketing.csStatusApproved,Approved
dash.operations,pt,pt-cluster,dash.operations.marketing.csStatusReview,In Review
dash.operations,pt,pt-cluster,dash.operations.marketing.csStatusActive,Active
dash.operations,pt,pt-cluster,dash.operations.marketing.csConv,Conv.
dash.operations,ru,pt-cluster,dash.operations.marketing.csFilterAll,All
dash.operations,ru,pt-cluster,dash.operations.marketing.csStatusApproved,Approved
dash.operations,ru,pt-cluster,dash.operations.marketing.csStatusReview,In Review
dash.operations,ru,pt-cluster,dash.operations.marketing.csStatusActive,Active
dash.operations,ru,pt-cluster,dash.operations.marketing.csConv,Conv.
dash.operations,ar,pt-cluster,dash.operations.marketing.csFilterAll,All
dash.operations,ar,pt-cluster,dash.operations.marketing.csStatusApproved,Approved
dash.operations,ar,pt-cluster,dash.operations.marketing.csStatusReview,In Review
dash.operations,ar,pt-cluster,dash.operations.marketing.csStatusActive,Active
dash.operations,ar,pt-cluster,dash.operations.marketing.csConv,Conv.
dash.operations,hi,pt-cluster,dash.operations.marketing.csFilterAll,All
dash.operations,hi,pt-cluster,dash.operations.marketing.csStatusApproved,Approved
dash.operations,hi,pt-cluster,dash.operations.marketing.csStatusReview,In Review
dash.operations,hi,pt-cluster,dash.operations.marketing.csStatusActive,Active
dash.operations,hi,pt-cluster,dash.operations.marketing.csConv,Conv.
dash.operations,id,,dash.operations.marketing.csFilterAll,All
dash.operations,id,,dash.operations.marketing.csStatusApproved,Approved
dash.operations,id,,dash.operations.marketing.csStatusReview,In Review
dash.operations,id,,dash.operations.marketing.csStatusActive,Active
dash.operations,id,,dash.operations.marketing.csConv,Conv.
dash.operations,th,,dash.operations.marketing.csFilterAll,All
dash.operations,th,,dash.operations.marketing.csStatusApproved,Approved
dash.operations,th,,dash.operations.marketing.csStatusReview,In Review
dash.operations,th,,dash.operations.marketing.csStatusActive,Active
dash.operations,th,,dash.operations.marketing.csConv,Conv.
dash.operations,vi,,dash.operations.marketing.csFilterAll,All
dash.operations,vi,,dash.operations.marketing.csStatusApproved,Approved
dash.operations,vi,,dash.operations.marketing.csStatusReview,In Review
dash.operations,vi,,dash.operations.marketing.csStatusActive,Active
dash.operations,vi,,dash.operations.marketing.csConv,Conv.
crm.email,en,en-cluster,crm.email.aiBtnKakao,💬 Kakao Alert
crm.email,en,en-cluster,crm.email.msgEmailDone,📧 Email connected!
crm.email,en,en-cluster,crm.email.msgKakaoDone,💬 Kakao connected!
crm.email,en,en-cluster,crm.email.msgJourneyDone,🗺️ Journey connected!
crm.email,en,en-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,ja,,crm.email.catalogSync.colCommission,手数料(%)
crm.email,ja,,crm.email.catalogSync.enabled,有効
crm.email,ja,,crm.email.catalogSync.stockQtyUnit,在庫数量 ({{unit}} 基準)
crm.email,ja,,crm.email.catalogSync.setPriceStep,価格設定
crm.email,ja,,crm.email.catalogSync.approveRegisterStep,承認 & 登録
crm.email,zh-TW,,crm.email.catalogSync.colCommission,Commission (%)
crm.email,zh-TW,,crm.email.catalogSync.enabled,Enabled
crm.email,zh-TW,,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,zh-TW,,crm.email.catalogSync.setPriceStep,Set Price
crm.email,zh-TW,,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,es,en-cluster,crm.email.aiBtnKakao,💬 Kakao Alert
crm.email,es,en-cluster,crm.email.msgEmailDone,📧 Email connected!
crm.email,es,en-cluster,crm.email.msgKakaoDone,💬 Kakao connected!
crm.email,es,en-cluster,crm.email.msgJourneyDone,🗺️ Journey connected!
crm.email,es,en-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,fr,en-cluster,crm.email.aiBtnKakao,💬 Kakao Alert
crm.email,fr,en-cluster,crm.email.msgEmailDone,📧 Email connected!
crm.email,fr,en-cluster,crm.email.msgKakaoDone,💬 Kakao connected!
crm.email,fr,en-cluster,crm.email.msgJourneyDone,🗺️ Journey connected!
crm.email,fr,en-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,de,,crm.email.catalogSync.colCommission,Commission (%)
crm.email,de,,crm.email.catalogSync.enabled,Enabled
crm.email,de,,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,de,,crm.email.catalogSync.setPriceStep,Set Price
crm.email,de,,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,pt,pt-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,pt,pt-cluster,crm.email.catalogSync.enabled,Enabled
crm.email,pt,pt-cluster,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,pt,pt-cluster,crm.email.catalogSync.setPriceStep,Set Price
crm.email,pt,pt-cluster,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,ru,pt-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,ru,pt-cluster,crm.email.catalogSync.enabled,Enabled
crm.email,ru,pt-cluster,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,ru,pt-cluster,crm.email.catalogSync.setPriceStep,Set Price
crm.email,ru,pt-cluster,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,ar,pt-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,ar,pt-cluster,crm.email.catalogSync.enabled,Enabled
crm.email,ar,pt-cluster,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,ar,pt-cluster,crm.email.catalogSync.setPriceStep,Set Price
crm.email,ar,pt-cluster,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,hi,pt-cluster,crm.email.catalogSync.colCommission,Commission (%)
crm.email,hi,pt-cluster,crm.email.catalogSync.enabled,Enabled
crm.email,hi,pt-cluster,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,hi,pt-cluster,crm.email.catalogSync.setPriceStep,Set Price
crm.email,hi,pt-cluster,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,id,,crm.email.catalogSync.colCommission,Commission (%)
crm.email,id,,crm.email.catalogSync.enabled,Enabled
crm.email,id,,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,id,,crm.email.catalogSync.setPriceStep,Set Price
crm.email,id,,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,th,,crm.email.catalogSync.colCommission,Commission (%)
crm.email,th,,crm.email.catalogSync.enabled,Enabled
crm.email,th,,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,th,,crm.email.catalogSync.setPriceStep,Set Price
crm.email,th,,crm.email.catalogSync.approveRegisterStep,Approve & Register
crm.email,vi,,crm.email.catalogSync.colCommission,Hoa hồng (%)
crm.email,vi,,crm.email.catalogSync.enabled,Enabled
crm.email,vi,,crm.email.catalogSync.stockQtyUnit,Stock Qty ({{unit}} basis)
crm.email,vi,,crm.email.catalogSync.setPriceStep,Set Price
crm.email,vi,,crm.email.catalogSync.approveRegisterStep,Approve & Register
ruleEnginePage.operations,ja,,ruleEnginePage.operations.pending,待機
ruleEnginePage.operations,ja,,ruleEnginePage.operations.completed,完了
ruleEnginePage.operations,ja,,ruleEnginePage.operations.critical,緊急
ruleEnginePage.operations,ja,,ruleEnginePage.operations.high,高
ruleEnginePage.operations,ja,,ruleEnginePage.operations.medium,中
ruleEnginePage.operations,id,,ruleEnginePage.operations.pending,Pending
ruleEnginePage.operations,id,,ruleEnginePage.operations.completed,Complete
ruleEnginePage.operations,id,,ruleEnginePage.operations.critical,Critical
ruleEnginePage.operations,id,,ruleEnginePage.operations.high,High
ruleEnginePage.operations,id,,ruleEnginePage.operations.medium,Normal
ruleEnginePage.operations,th,,ruleEnginePage.operations.pending,รอดำเนินการ
ruleEnginePage.operations,th,,ruleEnginePage.operations.completed,Complete
ruleEnginePage.operations,th,,ruleEnginePage.operations.critical,Critical
ruleEnginePage.operations,th,,ruleEnginePage.operations.high,High
ruleEnginePage.operations,th,,ruleEnginePage.operations.medium,Medium
crm.aiHub,en,en-cluster,crm.aiHub.priority,Priority
crm.aiHub,en,en-cluster,crm.aiHub.autoExec,Auto-execute
crm.aiHub,en,en-cluster,crm.aiHub.journey.create,Create
crm.aiHub,en,en-cluster,crm.aiHub.journey.statusPaused,Paused
crm.aiHub,en,en-cluster,crm.aiHub.journey.entered,Entered
crm.aiHub,ja,,crm.aiHub.priority,優先度
crm.aiHub,ja,,crm.aiHub.autoExec,自動実行
crm.aiHub,ja,,crm.aiHub.journey.create,作成
crm.aiHub,ja,,crm.aiHub.journey.statusPaused,一時停止
crm.aiHub,ja,,crm.aiHub.journey.entered,進入
crm.aiHub,zh-TW,,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,zh-TW,,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,zh-TW,,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,zh-TW,,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,zh-TW,,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,es,en-cluster,crm.aiHub.priority,Priority
crm.aiHub,es,en-cluster,crm.aiHub.autoExec,Auto-execute
crm.aiHub,es,en-cluster,crm.aiHub.journey.create,Create
crm.aiHub,es,en-cluster,crm.aiHub.journey.statusPaused,Paused
crm.aiHub,es,en-cluster,crm.aiHub.journey.entered,Entered
crm.aiHub,fr,en-cluster,crm.aiHub.priority,Priority
crm.aiHub,fr,en-cluster,crm.aiHub.autoExec,Auto-execute
crm.aiHub,fr,en-cluster,crm.aiHub.journey.create,Create
crm.aiHub,fr,en-cluster,crm.aiHub.journey.statusPaused,Paused
crm.aiHub,fr,en-cluster,crm.aiHub.journey.entered,Entered
crm.aiHub,de,,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,de,,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,de,,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,de,,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,de,,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,pt,pt-cluster,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,pt,pt-cluster,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,pt,pt-cluster,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,pt,pt-cluster,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,pt,pt-cluster,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,ru,pt-cluster,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,ru,pt-cluster,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,ru,pt-cluster,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,ru,pt-cluster,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,ru,pt-cluster,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,ar,pt-cluster,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,ar,pt-cluster,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,ar,pt-cluster,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,ar,pt-cluster,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,ar,pt-cluster,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,hi,pt-cluster,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,hi,pt-cluster,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,hi,pt-cluster,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,hi,pt-cluster,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,hi,pt-cluster,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,id,,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,id,,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,id,,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,id,,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,id,,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,th,,crm.aiHub.journey.nodeTypes.delay,Delay
crm.aiHub,th,,crm.aiHub.journey.nodeTypes.condition,Condition
crm.aiHub,th,,crm.aiHub.journey.nodeTypes.end,End
crm.aiHub,th,,crm.aiHub.journey.triggerTypes.signup,Sign Up
crm.aiHub,th,,crm.aiHub.journey.triggerTypes.purchase,Purchase
crm.aiHub,vi,,crm.aiHub.priority,Priority
crm.aiHub,vi,,crm.aiHub.autoExec,Auto-execute
crm.aiHub,vi,,crm.aiHub.journey.create,Buat
crm.aiHub,vi,,crm.aiHub.journey.statusPaused,Dijeda
crm.aiHub,vi,,crm.aiHub.journey.entered,Entered
pages.perms,en,en-cluster,pages.perms.menu.channelKpi.runAi,Run AI Analysis
pages.perms,en,en-cluster,pages.perms.menu.marketingIntel.badgeAiRec,Badge Ai Rec
pages.perms,en,en-cluster,pages.perms.menu.marketingIntel.todayAdSpend,Today Ad Spend
pages.perms,en,en-cluster,pages.perms.menu.marketingIntel.summaryOrders,Summary Orders
pages.perms,en,en-cluster,pages.perms.menu.marketingIntel.tabKpi,Tab Kpi
pages.perms,ja,,pages.perms.menu.aiBudgetAllocator,AI予算配分
pages.perms,ja,,pages.perms.menu.channelKpi.runAi,AI分析実行
pages.perms,ja,,pages.perms.menu.marketingIntel.badgeAiRec,AI推薦 {{n}}件
pages.perms,ja,,pages.perms.menu.marketingIntel.todayAdSpend,本日総広告費
pages.perms,ja,,pages.perms.menu.marketingIntel.summaryOrders,注文 {{n}}件 · 総売上 {{rev}} · ROAS {{roas}}x
pages.perms,zh,,pages.perms.menu.aiBudgetAllocator,AI预算分配
pages.perms,zh,,pages.perms.menu.channelKpi.runAi,运行AI分析
pages.perms,zh,,pages.perms.menu.marketingIntel.badgeAiRec,AI推荐 {{n}}条
pages.perms,zh,,pages.perms.menu.marketingIntel.todayAdSpend,今日广告总支出
pages.perms,zh,,pages.perms.menu.marketingIntel.summaryOrders,{{n}}笔订单 · 总收入 {{rev}} · ROAS {{roas}}x
pages.perms,zh-TW,,pages.perms.menu.aiBudgetAllocator,AI预算分配
pages.perms,zh-TW,,pages.perms.menu.channelKpi.runAi,Run AI Analysis
pages.perms,zh-TW,,pages.perms.menu.marketingIntel.badgeAiRec,Badge Ai Rec
pages.perms,zh-TW,,pages.perms.menu.marketingIntel.todayAdSpend,Today Ad Spend
pages.perms,zh-TW,,pages.perms.menu.marketingIntel.summaryOrders,Summary Orders
pages.perms,es,en-cluster,pages.perms.menu.channelKpi.runAi,Run AI Analysis
pages.perms,es,en-cluster,pages.perms.menu.marketingIntel.badgeAiRec,Badge Ai Rec
