ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
👨 Male,1,ruleEnginePage.dash.maleBuyer,👨 Male,👨 Male,
No activity,1,ruleEnginePage.dash.noActivity,No activity,No activity,
No channel data available,1,ruleEnginePage.dash.noChannelData,No channel data available,No channel data available,
No order results found.,1,ruleEnginePage.dash.noOrdersText,No order results found.,No order results found.,
No Security Issues,1,ruleEnginePage.dash.noSecurityIssues,No Security Issues,No Security Issues,
No trend data available,1,ruleEnginePage.dash.noTrendData,No trend data available,No trend data available,
Op. Profit,1,ruleEnginePage.dash.operatingProfit,Op. Profit,Op. Profit,
Own Mall,1,ruleEnginePage.dash.ownName,Own Mall,Own Mall,
Peak Hours:,1,ruleEnginePage.dash.peakHourStr,Peak Hours:,Peak Hours:,
Peak Time,1,ruleEnginePage.dash.peakTime,Peak Time,Peak Time,
Pending Orders,1,ruleEnginePage.dash.pendingOrders,Pending Orders,Pending Orders,
Click a platform card to see,1,ruleEnginePage.dash.platClickHint1,Click a platform card to see,Click a platform card to see,
"Buyer gender, age, region, category",1,ruleEnginePage.dash.platClickHint2,"Buyer gender, age, region, category","Buyer gender, age, region, category",
Detail analysis provided,1,ruleEnginePage.dash.platClickHint3,Detail analysis provided,Detail analysis provided,
Revenue Share by Platform,1,ruleEnginePage.dash.platRevShare,Revenue Share by Platform,Revenue Share by Platform,
Recent Orders (Click → Detail Search),1,ruleEnginePage.dash.recentOrdersClick,Recent Orders (Click → Detail Search),Recent Orders (Click → Detail Search),
Conversion Analysis by Region,1,ruleEnginePage.dash.regDist,Conversion Analysis by Region,Conversion Analysis by Region,
Orders by Region,1,ruleEnginePage.dash.regionOrders,Orders by Region,Orders by Region,
Check Inventory Alerts,1,ruleEnginePage.dash.roleCommerce1,Check Inventory Alerts,Check Inventory Alerts,
Check Near-Stockout Products,1,ruleEnginePage.dash.roleCommerce1Desc,Check Near-Stockout Products,Check Near-Stockout Products,
Order Processing Status,1,ruleEnginePage.dash.roleCommerce2,Order Processing Status,Order Processing Status,
Check Unprocessed Orders,1,ruleEnginePage.dash.roleCommerce2Desc,Check Unprocessed Orders,Check Unprocessed Orders,
Returns/Exchange Management,1,ruleEnginePage.dash.roleCommerce3,Returns/Exchange Management,Returns/Exchange Management,
Process Return Requests,1,ruleEnginePage.dash.roleCommerce3Desc,Process Return Requests,Process Return Requests,
System Errors,1,ruleEnginePage.dash.roleDev1,System Errors,System Errors,
Check Error Logs,1,ruleEnginePage.dash.roleDev1Desc,Check Error Logs,Check Error Logs,
API Key Management,1,ruleEnginePage.dash.roleDev2,API Key Management,API Key Management,
Renew Expiring Keys,1,ruleEnginePage.dash.roleDev2Desc,Renew Expiring Keys,Renew Expiring Keys,
Review Schema Changes,1,ruleEnginePage.dash.roleDev3Desc,Review Schema Changes,Review Schema Changes,
P&L Status,1,ruleEnginePage.dash.roleFinance1,P&L Status,P&L Status,
Check Today's P&L,1,ruleEnginePage.dash.roleFinance1Desc,Check Today's P&L,Check Today's P&L,
Settlement Reconciliation,1,ruleEnginePage.dash.roleFinance2,Settlement Reconciliation,Settlement Reconciliation,
Review Unmatched Transactions,1,ruleEnginePage.dash.roleFinance2Desc,Review Unmatched Transactions,Review Unmatched Transactions,
Generate Report,1,ruleEnginePage.dash.roleFinance3,Generate Report,Generate Report,
Create Weekly Report,1,ruleEnginePage.dash.roleFinance3Desc,Create Weekly Report,Create Weekly Report,
Crisis Response Guide,1,ruleEnginePage.dash.roleMarketer1,Crisis Response Guide,Crisis Response Guide,
Check ROAS declining channels,1,ruleEnginePage.dash.roleMarketer1Desc,Check ROAS declining channels,Check ROAS declining channels,
Campaign Optimization Suggestions,1,ruleEnginePage.dash.roleMarketer2,Campaign Optimization Suggestions,Campaign Optimization Suggestions,
AI-based Auto Optimization,1,ruleEnginePage.dash.roleMarketer2Desc,AI-based Auto Optimization,AI-based Auto Optimization,
Team Feedback Review,1,ruleEnginePage.dash.roleMarketer3,Team Feedback Review,Team Feedback Review,
CRM Insights Review,1,ruleEnginePage.dash.roleMarketer3Desc,CRM Insights Review,CRM Insights Review,
Logistics Issues,1,ruleEnginePage.dash.roleOps1,Logistics Issues,Logistics Issues,
Check Shipping Delays,1,ruleEnginePage.dash.roleOps1Desc,Check Shipping Delays,Check Shipping Delays,
Asia Logistics,1,ruleEnginePage.dash.roleOps2,Asia Logistics,Asia Logistics,
Overseas Logistics Status,1,ruleEnginePage.dash.roleOps2Desc,Overseas Logistics Status,Overseas Logistics Status,
Warehouse Management,1,ruleEnginePage.dash.roleOps3,Warehouse Management,Warehouse Management,
Monitor Inventory Levels,1,ruleEnginePage.dash.roleOps3Desc,Monitor Inventory Levels,Monitor Inventory Levels,
Security Alert,1,ruleEnginePage.dash.securityAlert,Security Alert,Security Alert,
We provide customized dashboards,1,ruleEnginePage.dash.selectRoleDesc,We provide customized dashboards,We provide customized dashboards,
Please Select Your Role,1,ruleEnginePage.dash.selectRoleTitle,Please Select Your Role,Please Select Your Role,
