ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Churn Action,2,pages.marketingIntel.aiPredict.kpi.churnAction,Churn Action,Churn Action,
Churn Risk Customer,2,pages.marketingIntel.aiPredict.kpi.churnRisk,Churn Risk Customer,Churn Risk Customer,
High Ltv,2,pages.marketingIntel.aiPredict.kpi.highLtv,High Ltv,High Ltv,
High Ltv Sub,2,pages.marketingIntel.aiPredict.kpi.highLtvSub,High Ltv Sub,High Ltv Sub,
Ml Accuracy,2,pages.marketingIntel.aiPredict.kpi.mlAccuracy,Ml Accuracy,Ml Accuracy,
Ml Sub,2,pages.marketingIntel.aiPredict.kpi.mlSub,Ml Sub,Ml Sub,
Revenue Sub,2,pages.marketingIntel.aiPredict.kpi.revenueSub,Revenue Sub,Revenue Sub,
Ai Suggestions,2,pages.marketingIntel.aiSuggestions,Ai Suggestions,Ai Suggestions,
Anomaly detected,2,pages.marketingIntel.anomalyDetected,Anomaly detected,Anomaly detected,
Audience Insights,2,pages.marketingIntel.audienceInsights,Audience Insights,Audience Insights,
Ad Channel Note,2,pages.marketingIntel.auth.adChannelNote,Ad Channel Note,Ad Channel Note,
Ad Channel Title,2,pages.marketingIntel.auth.adChannelTitle,Ad Channel Title,Ad Channel Title,
Address Detail Label,2,pages.marketingIntel.auth.addressDetailLabel,Address Detail Label,Address Detail Label,
Address Required,2,pages.marketingIntel.auth.addressRequired,Address Required,Address Required,
Admin Email Label,2,pages.marketingIntel.auth.adminEmailLabel,Admin Email Label,Admin Email Label,
Admin Key Label,2,pages.marketingIntel.auth.adminKeyLabel,Admin Key Label,Admin Key Label,
Admin Key Ph,2,pages.marketingIntel.auth.adminKeyPh,Admin Key Ph,Admin Key Ph,
Admin Login Btn,2,pages.marketingIntel.auth.adminLoginBtn,Admin Login Btn,Admin Login Btn,
Admin Login Desc,2,pages.marketingIntel.auth.adminLoginDesc,Admin Login Desc,Admin Login Desc,
Admin Login Title,2,pages.marketingIntel.auth.adminLoginTitle,Admin Login Title,Admin Login Title,
Agree All,2,pages.marketingIntel.auth.agreeAll,Agree All,Agree All,
Agree And,2,pages.marketingIntel.auth.agreeAnd,Agree And,Agree And,
I agree to,2,pages.marketingIntel.auth.agreeConsent,I agree to,I agree to,
Agree Marketing,2,pages.marketingIntel.auth.agreeMarketing,Agree Marketing,Agree Marketing,
Terms of Service,2,pages.marketingIntel.auth.agreeTerms,Terms of Service,Terms of Service,
Agree Terms Required,2,pages.marketingIntel.auth.agreeTermsRequired,Agree Terms Required,Agree Terms Required,
Already have an account?,2,pages.marketingIntel.auth.alreadyHaveAccount,Already have an account?,Already have an account?,
Business Number Hint,2,pages.marketingIntel.auth.businessNumberHint,Business Number Hint,Business Number Hint,
Business Number,2,pages.marketingIntel.auth.businessNumberLabel,Business Number,Business Number Label,
Business Number Required,2,pages.marketingIntel.auth.businessNumberRequired,Business Number Required,Business Number Required,
Business Type Required,2,pages.marketingIntel.auth.businessTypeRequired,Business Type Required,Business Type Required,
Business Warning,2,pages.marketingIntel.auth.businessWarning,Business Warning,Business Warning,
Ceo Name Label,2,pages.marketingIntel.auth.ceoNameLabel,Ceo Name Label,Ceo Name Label,
Ceo Required,2,pages.marketingIntel.auth.ceoRequired,Ceo Required,Ceo Required,
Company Label,2,pages.marketingIntel.auth.companyLabel,Company Label,Company Label,
Company Required,2,pages.marketingIntel.auth.companyRequired,Company Required,Company Required,
Completion Note,2,pages.marketingIntel.auth.completionNote,Completion Note,Completion Note,
Country Required,2,pages.marketingIntel.auth.countryRequired,Country Required,Country Required,
Email Required,2,pages.marketingIntel.auth.emailRequired,Email Required,Email Required,
Free Trial (Demo),2,pages.marketingIntel.auth.freePlan,Free Trial (Demo),Free Trial (Demo),
Simple sign up with email · name,2,pages.marketingIntel.auth.freePlanDesc,Simple sign up with email · name,Simple sign up with email · name,
✨ Free Sign Up,2,pages.marketingIntel.auth.freeRegister,✨ Free Sign Up,✨ Free Sign Up,
Easy start · Free trial of core features,2,pages.marketingIntel.auth.freeTrialDesc,Easy start · Free trial of core features,Easy start · Free trial of core features,
Free Trial (Demo) Registration,2,pages.marketingIntel.auth.freeTrialTitle,Free Trial (Demo) Registration,Free Trial (Demo) Registration,
Included Features,2,pages.marketingIntel.auth.includedFeatures,Included Features,Included Features,
Key Verified,2,pages.marketingIntel.auth.keyVerified,Key Verified,Key Verified,
Logging in...,2,pages.marketingIntel.auth.loggingIn,Logging in...,Logging in...,
🔐 Login,2,pages.marketingIntel.auth.loginBtn,🔐 Login,🔐 Login,
Monthly Revenue Label,2,pages.marketingIntel.auth.monthlyRevenueLabel,Monthly Revenue Label,Monthly Revenue Label,
Next Business,2,pages.marketingIntel.auth.nextBusiness,Next Business,Next Business,
Next Channels,2,pages.marketingIntel.auth.nextChannels,Next Channels,Next Channels,
Not Admin Account,2,pages.marketingIntel.auth.notAdminAccount,Not Admin Account,Not Admin Account,
Or login with account,2,pages.marketingIntel.auth.orLoginWith,Or login with account,Or login with account,
Paid Plan Sign Up,2,pages.marketingIntel.auth.paidPlan,Paid Plan Sign Up,Paid Plan Sign Up,
Paid Plan Desc,2,pages.marketingIntel.auth.paidPlanDesc,Paid Plan Desc,Paid Plan Desc,
Paid Plan Note,2,pages.marketingIntel.auth.paidPlanNote,Paid Plan Note,Paid Plan Note,
Paid Plan Title,2,pages.marketingIntel.auth.paidPlanTitle,Paid Plan Title,Paid Plan Title,
Confirm Password,2,pages.marketingIntel.auth.passwordConfirm,Confirm Password,Confirm Password,
Password (min 6 characters),2,pages.marketingIntel.auth.passwordHint,Password (min 6 characters),Password (min 6 characters),
Password Mismatch,2,pages.marketingIntel.auth.passwordMismatch,Password Mismatch,Password Mismatch,
Password Too Short,2,pages.marketingIntel.auth.passwordTooShort,Password Too Short,Password Too Short,
Phone Required,2,pages.marketingIntel.auth.phoneRequired,Phone Required,Phone Required,
Plan Note,2,pages.marketingIntel.auth.PlanNote,Plan Note,Plan Note,
Plan Question,2,pages.marketingIntel.auth.planQuestion,Plan Question,Plan Question,
Select Registration Type,2,pages.marketingIntel.auth.planTypeTitle,Select Registration Type,Select Registration Type,
Premium Only,2,pages.marketingIntel.auth.premiumOnly,Premium Only,Premium Only,
Price Not Set,2,pages.marketingIntel.auth.priceNotSet,Price Not Set,Price Not Set,
Processing Register,2,pages.marketingIntel.auth.processingRegister,Processing Register,Processing Register,
⚡ Quick Demo,2,pages.marketingIntel.auth.quickStart,⚡ Quick Demo,⚡ Quick Demo,
Recommended For,2,pages.marketingIntel.auth.recommendedFor,Recommended For,Recommended For,
Reenter Key,2,pages.marketingIntel.auth.reenterKey,Reenter Key,Reenter Key,
Sales Channel Note,2,pages.marketingIntel.auth.salesChannelNote,Sales Channel Note,Sales Channel Note,
Sales Channel Required,2,pages.marketingIntel.auth.salesChannelRequired,Sales Channel Required,Sales Channel Required,
Sales Channel Title,2,pages.marketingIntel.auth.salesChannelTitle,Sales Channel Title,Sales Channel Title,
🚀 Start Free,2,pages.marketingIntel.auth.startFree,🚀 Start Free,🚀 Start Free,
Start Plan,2,pages.marketingIntel.auth.startPlan,Start Plan,Start Plan,
① Account Info,2,pages.marketingIntel.auth.step1Account,① Account Info,① Account Info,
② Business Info,2,pages.marketingIntel.auth.step2Business,② Business Info,② Business Info,
③ Channels & Complete,2,pages.marketingIntel.auth.step3Channels,③ Channels & Complete,③ Channels & Complete,
Terms Required,2,pages.marketingIntel.auth.termsRequired,Terms Required,Terms Required,
🎯 Try Demo,2,pages.marketingIntel.auth.try,🎯 Try Demo,🎯 Try Demo,
Verify Key,2,pages.marketingIntel.auth.verifyKey,Verify Key,Verify Key,
Website Label,2,pages.marketingIntel.auth.websiteLabel,Website Label,Website Label,
Wrong Admin Key,2,pages.marketingIntel.auth.wrongAdminKey,Wrong Admin Key,Wrong Admin Key,
Zip Code Label,2,pages.marketingIntel.auth.zipCodeLabel,Zip Code Label,Zip Code Label,
Budget Opt Desc,2,pages.marketingIntel.budgetOptDesc,Budget Opt Desc,Budget Opt Desc,
Channel Analysis,2,pages.marketingIntel.channelAnalysis,Channel Analysis,Channel Analysis,
Key Insight,2,pages.marketingIntel.channelKpiPage.keyInsight,Key Insight,Key Insight,
Creative Perf,2,pages.marketingIntel.creativePerf,Creative Perf,Creative Perf,
Ad Format Count,2,pages.marketingIntel.creativeStudio.adFormatCount,Ad Format Count,Ad Format Count,
Ad Preview Label,2,pages.marketingIntel.creativeStudio.adPreviewLabel,Ad Preview Label,Ad Preview Label,
Ad Spec,2,pages.marketingIntel.creativeStudio.adSpec,Ad Spec,Ad Spec,
Advertising,2,pages.marketingIntel.creativeStudio.adTag,Advertising,Advertising,
Ad Tip Title,2,pages.marketingIntel.creativeStudio.adTipTitle,Ad Tip Title,Ad Tip Title,
Body Hint,2,pages.marketingIntel.creativeStudio.bodyHint,Body Hint,Body Hint,
Cat_beauty_desc,2,pages.marketingIntel.creativeStudio.cat_beauty_desc,Cat_beauty_desc,Cat_beauty_desc,
Cat_electronics,2,pages.marketingIntel.creativeStudio.cat_electronics,Cat_electronics,Cat_electronics,
Cat_electronics_desc,2,pages.marketingIntel.creativeStudio.cat_electronics_desc,Cat_electronics_desc,Cat_electronics_desc,
Cat_fashion,2,pages.marketingIntel.creativeStudio.cat_fashion,Cat_fashion,Cat_fashion,
Cat_fashion_desc,2,pages.marketingIntel.creativeStudio.cat_fashion_desc,Cat_fashion_desc,Cat_fashion_desc,
Cat_food_desc,2,pages.marketingIntel.creativeStudio.cat_food_desc,Cat_food_desc,Cat_food_desc,
Cat_general,2,pages.marketingIntel.creativeStudio.cat_general,Cat_general,Cat_general,
Cat_general_desc,2,pages.marketingIntel.creativeStudio.cat_general_desc,Cat_general_desc,Cat_general_desc,
Cat_overseas_buy,2,pages.marketingIntel.creativeStudio.cat_overseas_buy,Cat_overseas_buy,Cat_overseas_buy,
Cat_overseas_buy_desc,2,pages.marketingIntel.creativeStudio.cat_overseas_buy_desc,Cat_overseas_buy_desc,Cat_overseas_buy_desc,
Cat_overseas_ship,2,pages.marketingIntel.creativeStudio.cat_overseas_ship,Cat_overseas_ship,Cat_overseas_ship,
Cat_overseas_ship_desc,2,pages.marketingIntel.creativeStudio.cat_overseas_ship_desc,Cat_overseas_ship_desc,Cat_overseas_ship_desc,
