keypath,pattern,action,ko_pass,n_locales_pass,n_locales_placeholder,n_locales_missing,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class
pages.marketingIntel.adProductPh,PAT_X,skip,1,15,0,0,광고 상품을 입력해주세요,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS,Ad Product Ph,PASS
pages.marketingIntel.adReady,PAT_X,skip,0,14,0,1,,MISSING,Ad Ready,PASS,広告可能,PASS,可投广告,PASS,可投广告,PASS,Ad Ready,PASS,Ad Ready,PASS,พร้อมลงโฆษณา,PASS,Ad Ready,PASS,Ad Ready,PASS,Ad Ready,PASS,Ad Ready,PASS,可投廣告,PASS,Ad Ready,PASS,Siap iklan,PASS
pages.marketingIntel.adRegenerate,PAT_X,skip,1,15,0,0,광고 다시 생성,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS,Ad Regenerate,PASS
pages.marketingIntel.adResult,PAT_X,skip,1,15,0,0,광고 결과,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS,Ad Result,PASS
pages.marketingIntel.adSize,PAT_X,skip,1,15,0,0,광고 사이즈,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS,Ad Size,PASS
pages.marketingIntel.adSpend,PAT_X,skip,0,14,0,1,,MISSING,Ad Spend,PASS,広告費,PASS,广告费,PASS,广告费,PASS,Gasto Publicitario,PASS,Dépense Pub.,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS,Ad Spend,PASS
pages.marketingIntel.adStyle,PAT_X,skip,1,15,0,0,광고 스타일,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS,Ad Style,PASS
pages.marketingIntel.adTarget,PAT_X,skip,1,15,0,0,광고 타겟,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS,Ad Target,PASS
pages.marketingIntel.adTargetPh,PAT_X,skip,1,15,0,0,광고 타겟을 입력해주세요,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS,Ad Target Ph,PASS
pages.marketingIntel.adTone,PAT_X,skip,1,15,0,0,광고 톤앤매너,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS,Ad Tone,PASS
pages.marketingIntel.admin.callVolume,PAT_X,skip,1,15,0,0,호출량,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS,Call Volume,PASS
pages.marketingIntel.admin.connected,PAT_B,translate,1,5,10,0,연결됨,PASS,Connected,P4,接続済み,PASS,已连接,PASS,已连接,PASS,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,Connected,P4,เชื่อมต่อแล้ว,PASS,Connected,P4
pages.marketingIntel.admin.currency,PAT_X,translate,0,0,15,0,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4,Currency,P4
pages.marketingIntel.admin.ipRestriction,PAT_X,skip,1,15,0,0,IP 제한,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS,Ip Restriction,PASS
pages.marketingIntel.admin.pageSub,PAT_X,skip,1,15,0,0,커넥터 & 통합 관리,PASS,Connector & integration management,PASS,コネクタ＆統合管理,PASS,连接器与集成管理,PASS,连接器与集成管理,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,Connector & integration management,PASS,การวิเคราะห์ AI แบบบูรณาการ - การจัดการตัวชี้วัดผลการดำเนินงานโฆษณาแบบครบวงจร,PASS,Connector & integration management,PASS
pages.marketingIntel.admin.pageTitle,PAT_X,skip,1,15,0,0,🔌 연동 허브,PASS,🔌 Integration Hub,PASS,🔌 連携ハブ,PASS,🔌 集成中心,PASS,🔌 集成中心,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,🔌 Integration Hub,PASS,การตลาดและผลการดำเนินงานโฆษณา (Overview),PASS,🔌 Integration Hub,PASS
pages.marketingIntel.admin.save,PAT_B,translate,1,2,13,0,저장,PASS,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,Save,P4,???,PASS
pages.marketingIntel.admin.saved,PAT_X,skip,1,15,0,0,✓ 저장 완료,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS,✓ Save Complete,PASS
pages.marketingIntel.admin.sessionTimeout,PAT_X,skip,1,15,0,0,세션 타임아웃,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS,Session Timeout,PASS
pages.marketingIntel.admin.since,PAT_B,translate,1,1,14,0,가입일시,PASS,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4,Since,P4
pages.marketingIntel.admin.sub,PAT_D,skip,0,1,0,14,,MISSING,,MISSING,,MISSING,,MISSING,ガバナンス · 管理者,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING
pages.marketingIntel.admin.tabBilling,PAT_X,skip,1,15,0,0,결제,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS,Tab Billing,PASS
pages.marketingIntel.admin.tabGeneral,PAT_X,skip,1,15,0,0,일반,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS,Tab General,PASS
pages.marketingIntel.admin.tabIntegrations,PAT_X,skip,1,15,0,0,연동,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS,Tab Integrations,PASS
pages.marketingIntel.admin.tabSecurity,PAT_X,skip,1,15,0,0,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS,Security,PASS
pages.marketingIntel.admin.tabWorkspace,PAT_X,skip,1,15,0,0,워크스페이스,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS,Tab Workspace,PASS
