ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
This menu is available on paid plans. Upgrade to unlock all expert features.,1,pages.marketing.upgradalDesc,This menu is available on paid plans. Upgrade to unlock all expert features.,This menu is available on paid plans. Upgrade to unlock all expert features.,
Upgrade Notice,1,pages.marketing.upgradalTitle,Upgrade Notice,Upgrade Notice,
Action Label,1,pages.marketingIntel.actionLabel,Action Label,Action Label,
Ad Body,1,pages.marketingIntel.adBody,Ad Body,Ad Body,
Ad Copy,1,pages.marketingIntel.adCopy,Ad Copy,Ad Copy,
Ad Creative Sub,1,pages.marketingIntel.adCreativeSub,Ad Creative Sub,Ad Creative Sub,
Ad Creative Title,1,pages.marketingIntel.adCreativeTitle,Ad Creative Title,Ad Creative Title,
Ad Cta,1,pages.marketingIntel.adCta,Ad Cta,Ad Cta,
⬇ Download,1,pages.marketingIntel.adDownload,⬇ Download,⬇ Download,
Ad Generate,1,pages.marketingIntel.adGenerate,Ad Generate,Ad Generate,
Ad Generating,1,pages.marketingIntel.adGenerating,Ad Generating,Ad Generating,
Ad Hashtags,1,pages.marketingIntel.adHashtags,Ad Hashtags,Ad Hashtags,
Ad Headline,1,pages.marketingIntel.adHeadline,Ad Headline,Ad Headline,
Ad Keyword,1,pages.marketingIntel.adKeyword,Ad Keyword,Ad Keyword,
Ad Keyword Ph,1,pages.marketingIntel.adKeywordPh,Ad Keyword Ph,Ad Keyword Ph,
Ad Keywords,1,pages.marketingIntel.adKeywords,Ad Keywords,Ad Keywords,
Call Volume,1,pages.marketingIntel.admin.callVolume,Call Volume,Call Volume,
Ip Restriction,1,pages.marketingIntel.admin.ipRestriction,Ip Restriction,Ip Restriction,
Session Timeout,1,pages.marketingIntel.admin.sessionTimeout,Session Timeout,Session Timeout,
Tab Billing,1,pages.marketingIntel.admin.tabBilling,Tab Billing,Tab Billing,
Tab General,1,pages.marketingIntel.admin.tabGeneral,Tab General,Tab General,
Tab Integrations,1,pages.marketingIntel.admin.tabIntegrations,Tab Integrations,Tab Integrations,
Tab Workspace,1,pages.marketingIntel.admin.tabWorkspace,Tab Workspace,Tab Workspace,
Two Factor,1,pages.marketingIntel.admin.twoFactor,Two Factor,Two Factor,
Workspace Name,1,pages.marketingIntel.admin.workspaceName,Workspace Name,Workspace Name,
Ad Platform,1,pages.marketingIntel.adPlatform,Ad Platform,Ad Platform,
Ad Product,1,pages.marketingIntel.adProduct,Ad Product,Ad Product,
Ad Product Ph,1,pages.marketingIntel.adProductPh,Ad Product Ph,Ad Product Ph,
Ad Regenerate,1,pages.marketingIntel.adRegenerate,Ad Regenerate,Ad Regenerate,
Ad Result,1,pages.marketingIntel.adResult,Ad Result,Ad Result,
Ad Size,1,pages.marketingIntel.adSize,Ad Size,Ad Size,
Ad Style,1,pages.marketingIntel.adStyle,Ad Style,Ad Style,
Ad Target,1,pages.marketingIntel.adTarget,Ad Target,Ad Target,
Ad Target Ph,1,pages.marketingIntel.adTargetPh,Ad Target Ph,Ad Target Ph,
Ad Tone,1,pages.marketingIntel.adTone,Ad Tone,Ad Tone,
Ai Engine,1,pages.marketingIntel.aiEngine,Ai Engine,Ai Engine,
Ai Engine Desc,1,pages.marketingIntel.aiEngineDesc,Ai Engine Desc,Ai Engine Desc,
Col Detail,1,pages.marketingIntel.auditLog.colDetail,Col Detail,Col Detail,
Export CSV,1,pages.marketingIntel.auditLog.exportCsv,Export CSV,Export Csv,
Filter Action,1,pages.marketingIntel.auditLog.filterAction,Filter Action,Filter Action,
Filter Date,1,pages.marketingIntel.auditLog.filterDate,Filter Date,Filter Date,
Filter User,1,pages.marketingIntel.auditLog.filterUser,Filter User,Filter User,
No Logs,1,pages.marketingIntel.auditLog.noLogs,No Logs,No Logs,
Auto Order Mode,1,pages.marketingIntel.autoOrderMode,Auto Order Mode,Auto Order Mode,
⚙️ Automation Rules List,1,pages.marketingIntel.autoRules,⚙️ Automation Rules List,⚙️ Automation Rules List,
Avg Confidence,1,pages.marketingIntel.avgConfidence,Avg Confidence,Avg Confidence,
Avg Eng Rate,1,pages.marketingIntel.avgEngRate,Avg Eng Rate,Avg Eng Rate,
Badge Ai Rec,1,pages.marketingIntel.badgeAiRec,Badge Ai Rec,Badge Ai Rec,
All Segments,1,pages.marketingIntel.campaignMgr.allSegments,All Segments,All Segments,
Type Automation,1,pages.marketingIntel.campaignMgr.typeAutomation,Type Automation,Type Automation,
Campaign R O I,1,pages.marketingIntel.campaignROI,Campaign R O I,Campaign R O I,
Cart Rate,1,pages.marketingIntel.cartRate,Cart Rate,Cart Rate,
Cart To Buy,1,pages.marketingIntel.cartToBuy,Cart To Buy,Cart To Buy,
Channel Demand,1,pages.marketingIntel.channelDemand,Channel Demand,Channel Demand,
Channel Detail,1,pages.marketingIntel.channelDetail,Channel Detail,Channel Detail,
Condition Line Clicked,1,pages.marketingIntel.conditionLineClicked,Condition Line Clicked,Condition Line Clicked,
Condition Purchased,1,pages.marketingIntel.conditionPurchased,Condition Purchased,Condition Purchased,
Conf Label,1,pages.marketingIntel.confLabel,Conf Label,Conf Label,
Backup History,1,pages.marketingIntel.dbAdmin.backupHistory,Backup History,Backup History,
Backup Now,1,pages.marketingIntel.dbAdmin.backupNow,Backup Now,Backup Now,
Db Connected,1,pages.marketingIntel.dbAdmin.dbConnected,Db Connected,Db Connected,
Last Backup,1,pages.marketingIntel.dbAdmin.lastBackup,Last Backup,Last Backup,
Query Result,1,pages.marketingIntel.dbAdmin.queryResult,Query Result,Query Result,
Run Query,1,pages.marketingIntel.dbAdmin.runQuery,Run Query,Run Query,
Slow Queries,1,pages.marketingIntel.dbAdmin.slowQueries,Slow Queries,Slow Queries,
Tab Backup,1,pages.marketingIntel.dbAdmin.tabBackup,Tab Backup,Tab Backup,
Tab Query,1,pages.marketingIntel.dbAdmin.tabQuery,Tab Query,Tab Query,
Tab Status,1,pages.marketingIntel.dbAdmin.tabStatus,Tab Status,Tab Status,
Total Size,1,pages.marketingIntel.dbAdmin.totalSize,Total Size,Total Size,
Total Tables,1,pages.marketingIntel.dbAdmin.totalTables,Total Tables,Total Tables,
Dim Channel,1,pages.marketingIntel.dimChannel,Dim Channel,Dim Channel,
Content type,1,pages.marketingIntel.dimContent,Content type,Dim Content,
Dim Coupon,1,pages.marketingIntel.dimCoupon,Dim Coupon,Dim Coupon,
Dim Customer,1,pages.marketingIntel.dimCustomer,Dim Customer,Dim Customer,
Dim Device,1,pages.marketingIntel.dimDevice,Dim Device,Dim Device,
Dim Tier,1,pages.marketingIntel.dimTier,Dim Tier,Dim Tier,
Dim Time,1,pages.marketingIntel.dimTime,Dim Time,Dim Time,
Dim Touch,1,pages.marketingIntel.dimTouch,Dim Touch,Dim Touch,
Email Sender Ph,1,pages.marketingIntel.emailSenderPh,Email Sender Ph,Email Sender Ph,
Engagement Trend,1,pages.marketingIntel.engagementTrend,Engagement Trend,Engagement Trend,
Final Cvr,1,pages.marketingIntel.finalCvr,Final Cvr,Final Cvr,
Forecast30d,1,pages.marketingIntel.forecast30d,Forecast30d,Forecast30d,
Forecast30d Total,1,pages.marketingIntel.forecast30dTotal,Forecast30d Total,Forecast30d Total,
Forecast7d Total,1,pages.marketingIntel.forecast7dTotal,Forecast7d Total,Forecast7d Total,
Impression count,1,pages.marketingIntel.funnelImp,Impression count,Impressions,
Funnel Total,1,pages.marketingIntel.funnelTotal,Funnel Total,Funnel Total,
🎯 What you can do with this menu,1,pages.marketingIntel.helpPanel.canDo,🎯 What you can do with this menu,🎯 What you can do with this menu,
Current Page Help,1,pages.marketingIntel.helpPanel.currentPageHelp,Current Page Help,Current Page Help,
