ko_value,count,sample_path,sample_ja_value,sample_en_value,suggested_ko
Guide Node Whatsapp,1,crm.aiHub.catalogSync.journey.guideNodeWhatsapp,Guide Node Whatsapp,Guide Node Whatsapp,
Ab test,1,crm.aiHub.catalogSync.journey.nodeTypes.ab_test,Ab test,Ab test,
Cart abandoned,1,crm.aiHub.catalogSync.journey.triggerTypes.cart_abandoned,Cart abandoned,Cart abandoned,
Segment entered,1,crm.aiHub.catalogSync.journey.triggerTypes.segment_entered,Segment entered,Segment entered,
Webhook trigger,1,crm.aiHub.catalogSync.journey.triggerTypes.webhook_trigger,Webhook trigger,Webhook trigger,
Channel Attr,1,crm.aiHub.catalogSync.pxl.channelAttr,Channel Attr,Channel Attr,
Conv Rate,1,crm.aiHub.catalogSync.pxl.convRate,Conv Rate,Conv Rate,
Create Error,1,crm.aiHub.catalogSync.pxl.createError,Create Error,Create Error,
Create Success,1,crm.aiHub.catalogSync.pxl.createSuccess,Create Success,Create Success,
Delete Confirm,1,crm.aiHub.catalogSync.pxl.deleteConfirm,Delete Confirm,Delete Confirm,
Event Type,1,crm.aiHub.catalogSync.pxl.eventType,Event Type,Event Type,
Funnel Cart,1,crm.aiHub.catalogSync.pxl.funnelCart,Funnel Cart,Funnel Cart,
Funnel Checkout,1,crm.aiHub.catalogSync.pxl.funnelCheckout,Funnel Checkout,Funnel Checkout,
Funnel Product,1,crm.aiHub.catalogSync.pxl.funnelProduct,Funnel Product,Funnel Product,
Funnel Purchase,1,crm.aiHub.catalogSync.pxl.funnelPurchase,Funnel Purchase,Funnel Purchase,
